inventory_balance_id,company_id,plant_id,warehouse_id,material_id,on_hand_qty,allocated_qty,available_qty,safety_stock_qty,snapshot_date
43,1,1,1,43,426.5015,34.3566,392.1449,382.7512,2026-08-05
44,1,1,1,44,432.9328,214.654,218.2788,276.7532,2026-08-05
45,1,1,1,45,104,42,62,58,2026-08-05
46,1,1,1,46,74,22,52,44,2026-08-05
47,1,1,1,47,128,64,64,61,2026-08-05
48,1,1,1,48,120,62,58,79,2026-08-05
49,1,1,1,49,39,15,24,22,2026-08-05
50,1,1,1,50,293.404,71.7561,221.6479,268.1744,2026-08-05
51,1,1,1,51,15.768,6.1445,9.6235,20.6729,2026-08-05
52,1,1,1,52,88.3422,23.3677,64.9745,31.7226,2026-08-05
53,1,1,1,53,95,13,82,43,2026-08-05
54,1,1,1,54,67,14,53,32,2026-08-05
55,1,1,1,55,21,5,16,24,2026-08-05
56,1,1,1,56,104,43,61,54,2026-08-05
57,1,1,1,57,24,12,12,18,2026-08-05
58,1,1,1,58,469.5251,45.3119,424.2132,406.2464,2026-08-05
59,1,1,1,59,1188.5493,494.4797,694.0696,382.0078,2026-08-05
60,1,1,1,60,251.1181,92.8793,158.2388,278.4499,2026-08-05
61,1,1,1,61,11,4,7,13,2026-08-05
62,1,1,1,62,140,30,110,76,2026-08-05
63,1,1,1,63,116,25,91,41,2026-08-05
64,1,1,1,64,59,13,46,22,2026-08-05
65,1,1,1,65,29,11,18,63,2026-08-05
66,1,1,1,66,46.7753,7.7285,39.0468,110.851,2026-08-05
67,1,1,1,67,526.0759,214.2981,311.7778,352.6857,2026-08-05
68,1,1,1,68,280.2587,123.1205,157.1382,477.8557,2026-08-05
69,1,1,1,69,20,7,13,20,2026-08-05
70,1,1,1,70,94,6,88,62,2026-08-05
71,1,1,1,71,75,18,57,75,2026-08-05
72,1,1,1,72,104,22,82,63,2026-08-05
73,1,1,1,73,41,19,22,22,2026-08-05
74,1,1,1,74,396.395,48.9301,347.4649,189.1811,2026-08-05
75,1,1,1,75,648.2936,283.9007,364.3929,279.0504,2026-08-05
76,1,1,1,76,193.0489,29.3903,163.6586,104.7,2026-08-05
77,1,1,1,77,21,10,11,51,2026-08-05
78,1,1,1,78,19,2,17,26,2026-08-05
79,1,1,1,79,184,41,143,64,2026-08-05
80,1,1,1,80,68,27,41,28,2026-08-05
81,1,1,1,81,147,40,107,55,2026-08-05
82,1,1,1,82,518.2124,109.3121,408.9003,415.5907,2026-08-05
83,1,1,1,83,558.3452,165.429,392.9162,258.1282,2026-08-05
84,1,1,1,84,389.2633,36.2019,353.0614,437.6391,2026-08-05
85,1,1,1,85,41,5,36,33,2026-08-05
86,1,1,1,86,6,0,6,7,2026-08-05
87,1,1,1,87,75,7,68,23,2026-08-05
88,1,1,1,88,38,1,37,12,2026-08-05
89,1,1,1,89,31,12,19,50,2026-08-05
90,1,1,1,90,235.6671,119.8836,115.7835,176.4192,2026-08-05
91,1,1,1,91,312.6615,30.9213,281.7402,315.1745,2026-08-05
92,1,1,1,92,400.6784,112.2058,288.4726,145.2328,2026-08-05
93,1,1,1,93,77,13,64,29,2026-08-05
94,1,1,1,94,64,24,40,27,2026-08-05
95,1,1,1,95,14,5,9,26,2026-08-05
96,1,1,1,96,83,28,55,32,2026-08-05
97,1,1,1,97,26,12,14,19,2026-08-05
98,1,1,1,98,312.1539,132.885,179.2689,499.5845,2026-08-05
99,1,1,1,99,430.5969,199.5214,231.0755,307.8799,2026-08-05
100,1,1,1,100,1656.558,249.8712,1406.6868,486.5222,2026-08-05
101,1,1,1,101,50,6,44,75,2026-08-05
102,1,1,1,102,21,8,13,38,2026-08-05
103,1,1,1,103,88,25,63,34,2026-08-05
104,1,1,1,104,56,16,40,29,2026-08-05
105,1,1,1,105,172,67,105,51,2026-08-05
106,1,1,1,106,10.5724,0.6096,9.9628,22.2438,2026-08-05
107,1,1,1,107,81.494,32.8474,48.6466,95.0169,2026-08-05
108,1,1,1,108,568.6801,287.8593,280.8208,283.6895,2026-08-05
109,1,1,1,109,26,3,23,29,2026-08-05
110,1,1,1,110,36,9,27,70,2026-08-05
111,1,1,1,111,34,10,24,33,2026-08-05
112,1,1,1,112,133,13,120,49,2026-08-05
113,1,1,1,113,29,12,17,26,2026-08-05
114,1,1,1,114,66.6713,33.1469,33.5244,52.1437,2026-08-05
115,1,1,1,115,82.315,44.2358,38.0792,82.6563,2026-08-05
116,1,1,1,116,192.2694,35.5673,156.7021,76.9736,2026-08-05
117,1,1,1,117,190,61,129,68,2026-08-05
118,1,1,1,118,18,9,9,43,2026-08-05
119,1,1,1,119,18,3,15,19,2026-08-05
120,1,1,1,120,95,11,84,35,2026-08-05
121,1,2,3,1,979.8885,268.1969,711.6916,280.0,2026-08-05
122,1,2,3,2,213.4547,18.2878,195.1669,315.3956,2026-08-05
123,1,2,3,3,40.6795,4.195,36.4845,53.5341,2026-08-05
124,1,2,3,4,83.0549,16.3333,66.7216,48.5642,2026-08-05
125,1,2,3,5,84,5,79,34,2026-08-05
126,1,2,3,6,103,23,80,38,2026-08-05
127,1,2,3,7,190,76,114,77,2026-08-05
128,1,2,3,8,27,3,24,16,2026-08-05
129,1,2,3,9,249,65,184,80,2026-08-05
130,1,2,3,10,349.5863,135.8999,213.6864,306.3356,2026-08-05
131,1,2,3,11,1293.1334,87.0201,1206.1133,398.5982,2026-08-05
132,1,2,3,12,302.7622,117.4062,185.356,254.9155,2026-08-05
133,1,2,3,13,199,24,175,76,2026-08-05
134,1,2,3,14,83,37,46,27,2026-08-05
135,1,2,3,15,118,11,107,39,2026-08-05
136,1,2,3,16,44,9,35,23,2026-08-05
137,1,2,3,17,10,5,5,17,2026-08-05
138,1,2,3,18,681.9931,207.7941,474.199,394.9246,2026-08-05
139,1,2,3,19,511.4106,92.9861,418.4245,173.3451,2026-08-05
140,1,2,3,20,1062.452,438.8944,623.5576,327.3669,2026-08-05
141,1,2,3,21,52,7,45,16,2026-08-05
142,1,2,3,22,43,3,40,18,2026-08-05
143,1,2,3,23,27,1,26,38,2026-08-05
144,1,2,3,24,244,70,174,71,2026-08-05
145,1,2,3,25,135,27,108,41,2026-08-05
146,1,2,3,26,103.2088,10.7055,92.5033,30.7009,2026-08-05
147,1,2,3,27,259.8054,56.8912,202.9142,111.0761,2026-08-05
148,1,2,3,28,217.2982,24.9852,192.313,215.1755,2026-08-05
149,1,2,3,29,107,57,50,61,2026-08-05
150,1,2,3,30,62,20,42,49,2026-08-05
151,1,2,3,31,193,26,167,71,2026-08-05
152,1,2,3,32,235,22,213,72,2026-08-05
153,1,2,3,33,30,10,20,63,2026-08-05
154,1,2,3,34,677.6074,332.0054,345.602,226.8909,2026-08-05
155,1,2,3,35,175.5193,42.926,132.5933,55.7924,2026-08-05
156,1,2,3,36,106.5787,38.3195,68.2592,233.0477,2026-08-05
157,1,2,3,37,98,20,78,77,2026-08-05
158,1,2,3,38,39,9,30,22,2026-08-05
159,1,2,3,39,214,74,140,65,2026-08-05
160,1,2,3,40,188,93,95,54,2026-08-05
161,1,2,3,41,32,2,30,14,2026-08-05
162,1,2,3,42,167.7845,15.1253,152.6592,382.7299,2026-08-05
163,1,2,3,43,474.1147,232.1561,241.9586,382.7512,2026-08-05
164,1,2,3,44,725.2464,117.6251,607.6213,276.7532,2026-08-05
165,1,2,3,45,158,51,107,58,2026-08-05
166,1,2,3,46,18,3,15,44,2026-08-05
167,1,2,3,47,211,16,195,61,2026-08-05
168,1,2,3,48,32,3,29,79,2026-08-05
169,1,2,3,49,54,29,25,22,2026-08-05
170,1,2,3,50,778.2594,155.5694,622.69,268.1744,2026-08-05
171,1,2,3,51,64.3046,15.7569,48.5477,20.6729,2026-08-05
172,1,2,3,52,33.6056,4.1916,29.414,31.7226,2026-08-05
173,1,2,3,53,130,37,93,43,2026-08-05
174,1,2,3,54,23,9,14,32,2026-08-05
175,1,2,3,55,27,7,20,24,2026-08-05
176,1,2,3,56,106,44,62,54,2026-08-05
177,1,2,3,57,22,10,12,18,2026-08-05
178,1,2,3,58,335.6669,94.4285,241.2384,406.2464,2026-08-05
179,1,2,3,59,983.4951,241.9229,741.5722,382.0078,2026-08-05
180,1,2,3,60,243.044,29.7884,213.2556,278.4499,2026-08-05
181,1,2,3,61,23,6,17,13,2026-08-05
182,1,2,3,62,190,85,105,76,2026-08-05
183,1,2,3,63,107,21,86,41,2026-08-05
184,1,2,3,64,74,19,55,22,2026-08-05
185,1,2,3,65,31,4,27,63,2026-08-05
186,1,2,3,66,275.1966,67.0488,208.1478,110.851,2026-08-05
187,1,2,3,67,1036.0967,539.1996,496.8971,352.6857,2026-08-05
188,1,2,3,68,686.6329,195.9188,490.7141,477.8557,2026-08-05
189,1,2,3,69,43,17,26,20,2026-08-05
190,1,2,3,70,87,25,62,62,2026-08-05
191,1,2,3,71,35,12,23,75,2026-08-05
192,1,2,3,72,31,15,16,63,2026-08-05
193,1,2,3,73,44,14,30,22,2026-08-05
194,1,2,3,74,241.4246,99.6455,141.7791,189.1811,2026-08-05
195,1,2,3,75,119.8729,18.7426,101.1303,279.0504,2026-08-05
196,1,2,3,76,93.1732,17.4986,75.6746,104.7,2026-08-05
197,1,2,3,77,136,62,74,51,2026-08-05
198,1,2,3,78,25,3,22,26,2026-08-05
199,1,2,3,79,175,14,161,64,2026-08-05
200,1,2,3,80,83,23,60,28,2026-08-05
201,1,2,3,81,149,38,111,55,2026-08-05
202,1,2,3,82,1414.5322,515.6582,898.874,415.5907,2026-08-05
203,1,2,3,83,495.2509,103.5198,391.7311,258.1282,2026-08-05
204,1,2,3,84,924.5115,261.1338,663.3777,437.6391,2026-08-05
205,1,2,3,85,105,11,94,33,2026-08-05
206,1,2,3,86,19,1,18,7,2026-08-05
207,1,2,3,87,9,4,5,23,2026-08-05
208,1,2,3,88,13,1,12,12,2026-08-05
209,1,2,3,89,114,57,57,50,2026-08-05
210,1,2,3,90,318.0185,135.2275,182.791,176.4192,2026-08-05
211,1,2,3,91,604.9573,175.4587,429.4986,315.1745,2026-08-05
212,1,2,3,92,372.8645,22.6864,350.1781,145.2328,2026-08-05
213,1,2,3,93,95,22,73,29,2026-08-05
214,1,2,3,94,84,5,79,27,2026-08-05
215,1,2,3,95,24,10,14,26,2026-08-05
216,1,2,3,96,82,8,74,32,2026-08-05
217,1,2,3,97,12,6,6,19,2026-08-05
218,1,2,3,98,273.5528,142.8029,130.7499,499.5845,2026-08-05
219,1,2,3,99,847.1333,56.2617,790.8716,307.8799,2026-08-05
220,1,2,3,100,1073.907,163.178,910.729,486.5222,2026-08-05
221,1,2,3,101,130,67,63,75,2026-08-05
222,1,2,3,102,16,7,9,38,2026-08-05
223,1,2,3,103,47,7,40,34,2026-08-05
224,1,2,3,104,82,23,59,29,2026-08-05
225,1,2,3,105,71,36,35,51,2026-08-05
226,1,2,3,106,65.1501,30.7167,34.4334,22.2438,2026-08-05
227,1,2,3,107,283.128,42.0562,241.0718,95.0169,2026-08-05
228,1,2,3,108,500.7795,34.4538,466.3257,283.6895,2026-08-05
229,1,2,3,109,65,35,30,29,2026-08-05
230,1,2,3,110,199,59,140,70,2026-08-05
231,1,2,3,111,17,2,15,33,2026-08-05
232,1,2,3,112,164,69,95,49,2026-08-05
233,1,2,3,113,56,6,50,26,2026-08-05
234,1,2,3,114,157.0817,65.3177,91.764,52.1437,2026-08-05
235,1,2,3,115,169.4562,37.4466,132.0096,82.6563,2026-08-05
236,1,2,3,116,122.197,54.2209,67.9761,76.9736,2026-08-05
237,1,2,3,117,42,18,24,68,2026-08-05
238,1,2,3,118,110,10,100,43,2026-08-05
239,1,2,3,119,64,27,37,19,2026-08-05
240,1,2,3,120,85,5,80,35,2026-08-05
