production_order_id,company_id,production_order_code,sales_order_line_id,plant_id,product_id,planned_qty,completed_qty,planned_start_date,planned_finish_date,actual_finish_date,progress_rate,status
31,1,生产-000031,31,1,27,1,1.0,2024-08-18,2024-11-04,2024-11-11,100.0,已完成
32,1,生产-000032,32,1,40,2,2.0,2024-08-18,2024-11-25,2024-12-01,100.0,已完成
33,1,生产-000033,33,1,31,2,2.0,2024-08-18,2024-11-15,2024-11-11,100.0,已完成
34,1,生产-000034,34,2,38,1,1.0,2024-08-18,2024-10-15,2024-10-19,100.0,已完成
35,1,生产-000035,35,1,12,2,2.0,2024-08-18,2024-10-15,2024-10-20,100.0,已完成
36,1,生产-000036,36,2,5,1,1.0,2024-08-19,2024-10-26,2024-10-31,100.0,已完成
37,1,生产-000037,37,2,15,2,2.0,2024-08-20,2024-10-14,2024-10-21,100.0,已完成
38,1,生产-000038,38,1,6,2,2.0,2024-08-21,2024-10-29,2024-10-29,100.0,已完成
39,1,生产-000039,39,1,4,5,5.0,2024-08-22,2024-12-02,2024-11-29,100.0,已完成
40,1,生产-000040,40,1,9,2,2.0,2024-08-22,2024-11-12,2024-11-11,100.0,已完成
41,1,生产-000041,41,2,27,2,2.0,2024-08-22,2024-11-26,2024-11-30,100.0,已完成
42,1,生产-000042,42,1,33,1,1.0,2024-08-23,2024-09-25,2024-09-26,100.0,已完成
43,1,生产-000043,43,2,25,5,5.0,2024-08-23,2024-11-25,2024-11-29,100.0,已完成
44,1,生产-000044,44,2,30,2,2.0,2024-08-23,2024-09-20,2024-09-24,100.0,已完成
45,1,生产-000045,45,2,14,1,1.0,2024-08-25,2024-10-10,2024-10-14,100.0,已完成
46,1,生产-000046,46,1,24,2,2.0,2024-08-25,2024-11-17,2024-11-13,100.0,已完成
47,1,生产-000047,47,1,37,1,1.0,2024-08-25,2024-12-03,2024-12-03,100.0,已完成
48,1,生产-000048,48,1,32,1,1.0,2024-08-27,2024-12-05,2024-12-01,100.0,已完成
49,1,生产-000049,49,1,4,1,1.0,2024-08-28,2024-12-10,2024-12-08,100.0,已完成
50,1,生产-000050,50,1,35,1,1.0,2024-08-28,2024-12-15,2024-12-19,100.0,已完成
51,1,生产-000051,51,1,30,1,1.0,2024-08-28,2024-11-22,2024-11-20,100.0,已完成
52,1,生产-000052,52,2,10,2,2.0,2024-08-29,2024-12-13,2024-12-16,100.0,已完成
53,1,生产-000053,53,2,34,3,3.0,2024-08-29,2024-10-15,2024-10-13,100.0,已完成
54,1,生产-000054,54,2,30,5,5.0,2024-08-29,2024-10-12,2024-10-08,100.0,已完成
55,1,生产-000055,55,1,31,5,5.0,2024-08-30,2024-12-17,2024-12-20,100.0,已完成
56,1,生产-000056,56,2,10,1,1.0,2024-08-30,2024-10-14,2024-10-18,100.0,已完成
57,1,生产-000057,57,2,26,3,3.0,2024-08-31,2024-11-15,2024-11-22,100.0,已完成
58,1,生产-000058,58,1,33,1,1.0,2024-08-31,2024-10-28,2024-10-30,100.0,已完成
59,1,生产-000059,59,1,31,1,1.0,2024-08-31,2024-11-15,2024-11-22,100.0,已完成
60,1,生产-000060,60,2,25,1,1.0,2024-09-01,2024-12-09,2024-12-12,100.0,已完成
61,1,生产-000061,61,1,27,1,1.0,2024-09-01,2024-12-16,2024-12-22,100.0,已完成
62,1,生产-000062,62,1,1,2,2.0,2024-09-01,2024-11-21,2024-11-21,100.0,已完成
63,1,生产-000063,63,2,33,4,4.0,2024-09-01,2024-12-19,2024-12-15,100.0,已完成
64,1,生产-000064,64,1,1,2,2.0,2024-09-02,2024-10-28,2024-11-04,100.0,已完成
65,1,生产-000065,65,2,3,1,1.0,2024-09-02,2024-11-13,2024-11-09,100.0,已完成
66,1,生产-000066,66,2,32,2,2.0,2024-09-03,2024-12-19,2024-12-23,100.0,已完成
67,1,生产-000067,67,2,11,1,1.0,2024-09-03,2024-11-05,2024-11-11,100.0,已完成
68,1,生产-000068,68,1,30,1,1.0,2024-09-04,2024-11-28,2024-11-24,100.0,已完成
69,1,生产-000069,69,1,3,2,2.0,2024-09-04,2024-10-24,2024-10-25,100.0,已完成
70,1,生产-000070,70,1,40,2,2.0,2024-09-04,2024-10-24,2024-10-20,100.0,已完成
71,1,生产-000071,71,1,27,1,1.0,2024-09-04,2024-10-20,2024-10-23,100.0,已完成
72,1,生产-000072,72,1,25,4,4.0,2024-09-05,2024-12-19,2024-12-24,100.0,已完成
73,1,生产-000073,73,2,35,5,5.0,2024-09-05,2024-10-25,2024-10-26,100.0,已完成
74,1,生产-000074,74,1,18,4,4.0,2024-09-05,2024-12-08,2024-12-08,100.0,已完成
75,1,生产-000075,75,2,19,5,5.0,2024-09-05,2024-11-17,2024-11-20,100.0,已完成
76,1,生产-000076,76,1,26,1,1.0,2024-09-06,2024-10-19,2024-10-24,100.0,已完成
77,1,生产-000077,77,1,15,1,1.0,2024-09-06,2024-11-01,2024-11-03,100.0,已完成
78,1,生产-000078,78,1,7,1,1.0,2024-09-07,2024-11-15,2024-11-22,100.0,已完成
79,1,生产-000079,79,1,33,1,1.0,2024-09-07,2024-11-06,2024-11-05,100.0,已完成
80,1,生产-000080,80,1,35,2,2.0,2024-09-07,2024-10-21,2024-10-21,100.0,已完成
81,1,生产-000081,81,1,32,1,1.0,2024-09-07,2024-10-05,2024-10-11,100.0,已完成
82,1,生产-000082,82,1,8,2,2.0,2024-09-08,2024-11-24,2024-11-29,100.0,已完成
83,1,生产-000083,83,2,26,1,1.0,2024-09-08,2024-11-06,2024-11-02,100.0,已完成
84,1,生产-000084,84,2,39,5,5.0,2024-09-08,2024-12-07,2024-12-05,100.0,已完成
85,1,生产-000085,85,2,27,1,1.0,2024-09-08,2024-10-19,2024-10-23,100.0,已完成
86,1,生产-000086,86,2,25,2,2.0,2024-09-09,2024-12-13,2024-12-13,100.0,已完成
87,1,生产-000087,87,2,6,2,2.0,2024-09-09,2024-12-03,2024-12-09,100.0,已完成
88,1,生产-000088,88,1,22,4,4.0,2024-09-09,2024-12-08,2024-12-10,100.0,已完成
89,1,生产-000089,89,1,33,4,4.0,2024-09-10,2024-11-06,2024-11-08,100.0,已完成
90,1,生产-000090,90,1,39,1,1.0,2024-09-10,2024-12-07,2024-12-06,100.0,已完成
91,1,生产-000091,91,1,21,4,4.0,2024-09-10,2024-10-06,2024-10-05,100.0,已完成
92,1,生产-000092,92,2,38,1,1.0,2024-09-11,2024-12-27,2024-12-26,100.0,已完成
93,1,生产-000093,93,2,20,3,3.0,2024-09-11,2024-10-18,2024-10-23,100.0,已完成
94,1,生产-000094,94,2,13,2,2.0,2024-09-11,2024-11-11,2024-11-15,100.0,已完成
95,1,生产-000095,95,2,26,3,3.0,2024-09-11,2024-12-30,2025-01-01,100.0,已完成
96,1,生产-000096,96,1,36,3,3.0,2024-09-12,2024-10-13,2024-10-15,100.0,已完成
97,1,生产-000097,97,2,9,2,2.0,2024-09-13,2024-12-08,2024-12-11,100.0,已完成
98,1,生产-000098,98,1,15,5,5.0,2024-09-13,2024-11-30,2024-11-30,100.0,已完成
99,1,生产-000099,99,2,9,1,1.0,2024-09-13,2024-11-29,2024-11-30,100.0,已完成
100,1,生产-000100,100,2,33,1,1.0,2024-09-14,2024-11-20,2024-11-20,100.0,已完成
101,1,生产-000101,101,2,22,1,1.0,2024-09-14,2024-11-07,2024-11-03,100.0,已完成
102,1,生产-000102,102,1,21,3,3.0,2024-09-14,2024-12-29,2025-01-01,100.0,已完成
103,1,生产-000103,103,2,19,2,2.0,2024-09-14,2024-10-28,2024-10-25,100.0,已完成
104,1,生产-000104,104,2,2,2,2.0,2024-09-14,2024-11-10,2024-11-06,100.0,已完成
105,1,生产-000105,105,1,12,1,1.0,2024-09-15,2024-10-23,2024-10-27,100.0,已完成
106,1,生产-000106,106,1,8,2,2.0,2024-09-15,2024-11-29,2024-11-29,100.0,已完成
107,1,生产-000107,107,1,7,1,1.0,2024-09-15,2024-10-17,2024-10-17,100.0,已完成
108,1,生产-000108,108,1,30,3,3.0,2024-09-15,2024-10-31,2024-11-06,100.0,已完成
109,1,生产-000109,109,2,33,2,2.0,2024-09-16,2024-11-05,2024-11-04,100.0,已完成
110,1,生产-000110,110,2,8,1,1.0,2024-09-16,2024-12-27,2024-12-26,100.0,已完成
111,1,生产-000111,111,1,19,1,1.0,2024-09-16,2024-11-07,2024-11-08,100.0,已完成
112,1,生产-000112,112,1,35,1,1.0,2024-09-16,2024-12-09,2024-12-13,100.0,已完成
113,1,生产-000113,113,1,28,4,4.0,2024-09-16,2024-11-02,2024-11-09,100.0,已完成
114,1,生产-000114,114,1,35,2,2.0,2024-09-16,2024-10-31,2024-11-07,100.0,已完成
115,1,生产-000115,115,2,20,2,2.0,2024-09-16,2024-11-18,2024-11-19,100.0,已完成
116,1,生产-000116,116,1,14,1,1.0,2024-09-17,2024-11-09,2024-11-06,100.0,已完成
117,1,生产-000117,117,2,23,3,3.0,2024-09-17,2024-11-11,2024-11-08,100.0,已完成
118,1,生产-000118,118,2,38,4,4.0,2024-09-17,2025-01-01,2024-12-30,100.0,已完成
119,1,生产-000119,119,1,37,2,2.0,2024-09-17,2024-10-31,2024-11-01,100.0,已完成
120,1,生产-000120,120,1,35,1,1.0,2024-09-17,2024-11-18,2024-11-23,100.0,已完成
121,1,生产-000121,121,1,32,2,2.0,2024-09-18,2024-12-14,2024-12-14,100.0,已完成
122,1,生产-000122,122,2,20,1,1.0,2024-09-20,2024-11-20,2024-11-26,100.0,已完成
123,1,生产-000123,123,1,12,4,4.0,2024-09-20,2024-10-23,2024-10-30,100.0,已完成
124,1,生产-000124,124,1,23,5,5.0,2024-09-20,2024-12-22,2024-12-27,100.0,已完成
125,1,生产-000125,125,1,22,5,5.0,2024-09-20,2024-12-28,2024-12-25,100.0,已完成
126,1,生产-000126,126,1,28,2,2.0,2024-09-20,2024-11-07,2024-11-07,100.0,已完成
127,1,生产-000127,127,1,33,5,5.0,2024-09-20,2024-11-08,2024-11-15,100.0,已完成
128,1,生产-000128,128,1,19,2,2.0,2024-09-21,2025-01-10,2025-01-08,100.0,已完成
129,1,生产-000129,129,1,13,2,2.0,2024-09-21,2024-10-20,2024-10-19,100.0,已完成
130,1,生产-000130,130,1,27,2,2.0,2024-09-22,2024-12-15,2024-12-18,100.0,已完成
131,1,生产-000131,131,1,24,1,1.0,2024-09-22,2024-10-25,2024-10-24,100.0,已完成
132,1,生产-000132,132,2,26,4,4.0,2024-09-22,2024-12-26,2024-12-26,100.0,已完成
133,1,生产-000133,133,2,32,2,2.0,2024-09-22,2025-01-03,2025-01-10,100.0,已完成
134,1,生产-000134,134,1,37,4,4.0,2024-09-23,2025-01-02,2024-12-30,100.0,已完成
135,1,生产-000135,135,1,35,2,2.0,2024-09-23,2024-12-07,2024-12-04,100.0,已完成
136,1,生产-000136,136,2,4,1,1.0,2024-09-23,2024-12-02,2024-12-01,100.0,已完成
137,1,生产-000137,137,2,35,1,1.0,2024-09-24,2024-12-09,2024-12-08,100.0,已完成
138,1,生产-000138,138,1,28,1,1.0,2024-09-24,2024-12-19,2024-12-16,100.0,已完成
139,1,生产-000139,139,2,27,1,1.0,2024-09-24,2024-12-01,2024-11-28,100.0,已完成
140,1,生产-000140,140,1,19,2,2.0,2024-09-24,2024-12-23,2024-12-23,100.0,已完成
141,1,生产-000141,141,1,9,2,2.0,2024-09-24,2024-11-23,2024-11-28,100.0,已完成
142,1,生产-000142,142,2,37,4,4.0,2024-09-25,2024-11-09,2024-11-13,100.0,已完成
143,1,生产-000143,143,2,1,1,1.0,2024-09-25,2024-11-04,2024-11-01,100.0,已完成
144,1,生产-000144,144,2,26,1,1.0,2024-09-25,2024-12-27,2025-01-01,100.0,已完成
145,1,生产-000145,145,1,18,3,3.0,2024-09-25,2024-10-26,2024-10-26,100.0,已完成
146,1,生产-000146,146,1,9,4,4.0,2024-09-26,2024-11-24,2024-11-20,100.0,已完成
147,1,生产-000147,147,1,30,2,2.0,2024-09-26,2024-10-24,2024-10-26,100.0,已完成
148,1,生产-000148,148,1,32,1,1.0,2024-09-27,2024-12-10,2024-12-09,100.0,已完成
149,1,生产-000149,149,2,9,4,4.0,2024-09-27,2024-12-16,2024-12-22,100.0,已完成
150,1,生产-000150,150,1,1,1,1.0,2024-09-28,2024-11-29,2024-12-02,100.0,已完成
151,1,生产-000151,151,2,25,4,4.0,2024-09-28,2024-12-28,2024-12-31,100.0,已完成
152,1,生产-000152,152,2,21,2,2.0,2024-09-28,2024-12-21,2024-12-19,100.0,已完成
153,1,生产-000153,153,1,27,2,2.0,2024-09-28,2025-01-12,2025-01-16,100.0,已完成
154,1,生产-000154,154,2,4,4,4.0,2024-09-29,2024-11-18,2024-11-20,100.0,已完成
155,1,生产-000155,155,1,2,4,4.0,2024-09-29,2024-11-30,2024-11-29,100.0,已完成
156,1,生产-000156,156,1,19,1,1.0,2024-09-30,2025-01-06,2025-01-04,100.0,已完成
157,1,生产-000157,157,2,23,2,2.0,2024-10-01,2024-12-13,2024-12-15,100.0,已完成
158,1,生产-000158,158,1,10,3,3.0,2024-10-01,2024-10-30,2024-10-26,100.0,已完成
159,1,生产-000159,159,2,33,1,1.0,2024-10-01,2025-01-05,2025-01-06,100.0,已完成
160,1,生产-000160,160,2,23,3,3.0,2024-10-01,2024-12-16,2024-12-21,100.0,已完成
161,1,生产-000161,161,2,20,1,1.0,2024-10-02,2025-01-14,2025-01-17,100.0,已完成
162,1,生产-000162,162,1,21,5,5.0,2024-10-02,2025-01-19,2025-01-18,100.0,已完成
163,1,生产-000163,163,2,28,1,1.0,2024-10-02,2024-11-01,2024-11-02,100.0,已完成
164,1,生产-000164,164,1,35,3,3.0,2024-10-02,2024-11-05,2024-11-08,100.0,已完成
165,1,生产-000165,165,1,39,4,4.0,2024-10-02,2024-11-21,2024-11-21,100.0,已完成
166,1,生产-000166,166,2,4,2,2.0,2024-10-02,2025-01-11,2025-01-12,100.0,已完成
167,1,生产-000167,167,1,21,1,1.0,2024-10-03,2024-12-28,2024-12-27,100.0,已完成
168,1,生产-000168,168,1,40,4,4.0,2024-10-03,2024-12-06,2024-12-11,100.0,已完成
169,1,生产-000169,169,1,27,5,5.0,2024-10-04,2024-11-16,2024-11-14,100.0,已完成
170,1,生产-000170,170,1,39,3,3.0,2024-10-04,2024-11-08,2024-11-04,100.0,已完成
171,1,生产-000171,171,1,8,5,5.0,2024-10-04,2024-12-19,2024-12-24,100.0,已完成
172,1,生产-000172,172,1,19,1,1.0,2024-10-05,2024-12-26,2024-12-28,100.0,已完成
173,1,生产-000173,173,1,18,1,1.0,2024-10-05,2025-01-10,2025-01-17,100.0,已完成
174,1,生产-000174,174,1,6,4,4.0,2024-10-06,2024-12-24,2024-12-28,100.0,已完成
175,1,生产-000175,175,1,36,1,1.0,2024-10-06,2025-01-19,2025-01-26,100.0,已完成
176,1,生产-000176,176,1,36,1,1.0,2024-10-06,2024-12-04,2024-12-07,100.0,已完成
177,1,生产-000177,177,1,28,3,3.0,2024-10-06,2025-01-20,2025-01-22,100.0,已完成
178,1,生产-000178,178,2,33,1,1.0,2024-10-07,2025-01-21,2025-01-28,100.0,已完成
179,1,生产-000179,179,1,33,2,2.0,2024-10-07,2024-11-26,2024-11-23,100.0,已完成
180,1,生产-000180,180,1,30,3,3.0,2024-10-08,2025-01-25,2025-02-01,100.0,已完成
181,1,生产-000181,181,1,8,1,1.0,2024-10-08,2025-01-08,2025-01-05,100.0,已完成
182,1,生产-000182,182,2,11,1,1.0,2024-10-08,2024-11-28,2024-12-04,100.0,已完成
183,1,生产-000183,183,1,4,1,1.0,2024-10-08,2024-12-16,2024-12-23,100.0,已完成
184,1,生产-000184,184,2,33,1,1.0,2024-10-09,2024-11-14,2024-11-19,100.0,已完成
185,1,生产-000185,185,1,18,2,2.0,2024-10-09,2025-01-11,2025-01-14,100.0,已完成
186,1,生产-000186,186,1,31,3,3.0,2024-10-09,2025-01-02,2024-12-30,100.0,已完成
187,1,生产-000187,187,1,32,4,4.0,2024-10-09,2024-12-25,2024-12-27,100.0,已完成
188,1,生产-000188,188,2,27,4,4.0,2024-10-09,2024-11-26,2024-11-23,100.0,已完成
189,1,生产-000189,189,1,22,2,2.0,2024-10-10,2024-12-18,2024-12-20,100.0,已完成
190,1,生产-000190,190,2,26,5,5.0,2024-10-10,2024-11-29,2024-11-27,100.0,已完成
191,1,生产-000191,191,1,16,2,2.0,2024-10-10,2025-01-01,2025-01-05,100.0,已完成
192,1,生产-000192,192,1,21,4,4.0,2024-10-11,2024-11-14,2024-11-13,100.0,已完成
193,1,生产-000193,193,1,36,4,4.0,2024-10-11,2025-01-05,2025-01-06,100.0,已完成
194,1,生产-000194,194,1,35,5,5.0,2024-10-12,2025-01-03,2025-01-10,100.0,已完成
195,1,生产-000195,195,2,30,1,1.0,2024-10-12,2025-01-14,2025-01-13,100.0,已完成
196,1,生产-000196,196,1,30,2,2.0,2024-10-13,2025-01-22,2025-01-19,100.0,已完成
197,1,生产-000197,197,1,32,3,3.0,2024-10-13,2024-11-30,2024-11-26,100.0,已完成
198,1,生产-000198,198,2,2,4,4.0,2024-10-14,2025-01-03,2024-12-30,100.0,已完成
199,1,生产-000199,199,2,25,5,5.0,2024-10-14,2024-12-04,2024-12-10,100.0,已完成
200,1,生产-000200,200,2,22,5,5.0,2024-10-14,2024-12-29,2024-12-27,100.0,已完成
201,1,生产-000201,201,2,10,2,2.0,2024-10-14,2025-01-21,2025-01-17,100.0,已完成
202,1,生产-000202,202,1,36,3,3.0,2024-10-15,2025-01-06,2025-01-04,100.0,已完成
203,1,生产-000203,203,1,19,1,1.0,2024-10-16,2024-11-22,2024-11-26,100.0,已完成
204,1,生产-000204,204,1,5,3,3.0,2024-10-16,2024-12-28,2025-01-02,100.0,已完成
205,1,生产-000205,205,1,4,3,3.0,2024-10-16,2024-12-23,2024-12-30,100.0,已完成
206,1,生产-000206,206,2,16,5,5.0,2024-10-16,2025-01-12,2025-01-12,100.0,已完成
207,1,生产-000207,207,2,36,2,2.0,2024-10-17,2025-01-19,2025-01-15,100.0,已完成
208,1,生产-000208,208,1,12,1,1.0,2024-10-17,2025-02-01,2025-01-28,100.0,已完成
209,1,生产-000209,209,1,12,4,4.0,2024-10-18,2024-11-13,2024-11-09,100.0,已完成
210,1,生产-000210,210,1,36,5,5.0,2024-10-19,2024-12-21,2024-12-27,100.0,已完成
211,1,生产-000211,211,1,22,1,1.0,2024-10-20,2025-01-03,2024-12-31,100.0,已完成
212,1,生产-000212,212,2,39,2,2.0,2024-10-20,2024-11-22,2024-11-18,100.0,已完成
213,1,生产-000213,213,2,35,3,3.0,2024-10-21,2024-11-24,2024-11-30,100.0,已完成
214,1,生产-000214,214,2,4,5,5.0,2024-10-22,2024-12-06,2024-12-06,100.0,已完成
215,1,生产-000215,215,1,33,4,4.0,2024-10-22,2024-11-25,2024-11-24,100.0,已完成
216,1,生产-000216,216,2,33,3,3.0,2024-10-22,2025-01-18,2025-01-15,100.0,已完成
217,1,生产-000217,217,2,39,3,3.0,2024-10-22,2025-01-25,2025-01-27,100.0,已完成
218,1,生产-000218,218,1,31,5,5.0,2024-10-23,2024-12-11,2024-12-09,100.0,已完成
219,1,生产-000219,219,2,27,3,3.0,2024-10-23,2025-01-26,2025-01-27,100.0,已完成
220,1,生产-000220,220,1,24,1,1.0,2024-10-23,2024-12-28,2025-01-04,100.0,已完成
221,1,生产-000221,221,2,21,5,5.0,2024-10-23,2024-12-13,2024-12-14,100.0,已完成
222,1,生产-000222,222,2,5,4,4.0,2024-10-24,2024-11-30,2024-12-05,100.0,已完成
223,1,生产-000223,223,2,30,2,2.0,2024-10-24,2025-01-11,2025-01-15,100.0,已完成
224,1,生产-000224,224,2,38,1,1.0,2024-10-25,2025-02-01,2025-02-02,100.0,已完成
225,1,生产-000225,225,2,17,2,2.0,2024-10-25,2025-01-25,2025-01-31,100.0,已完成
226,1,生产-000226,226,1,40,1,1.0,2024-10-25,2024-11-30,2024-12-06,100.0,已完成
227,1,生产-000227,227,1,3,5,5.0,2024-10-26,2024-12-01,2024-12-04,100.0,已完成
228,1,生产-000228,228,1,40,1,1.0,2024-10-26,2025-01-18,2025-01-23,100.0,已完成
229,1,生产-000229,229,2,8,1,1.0,2024-10-26,2025-02-04,2025-02-04,100.0,已完成
230,1,生产-000230,230,1,3,2,2.0,2024-10-27,2025-01-14,2025-01-16,100.0,已完成
231,1,生产-000231,231,1,9,1,1.0,2024-10-28,2025-01-20,2025-01-18,100.0,已完成
232,1,生产-000232,232,2,37,1,1.0,2024-10-28,2025-01-08,2025-01-13,100.0,已完成
233,1,生产-000233,233,1,32,2,2.0,2024-10-29,2024-12-17,2024-12-19,100.0,已完成
234,1,生产-000234,234,1,35,1,1.0,2024-10-29,2024-12-25,2024-12-28,100.0,已完成
235,1,生产-000235,235,2,36,4,4.0,2024-10-30,2024-12-27,2024-12-27,100.0,已完成
236,1,生产-000236,236,2,40,4,4.0,2024-10-30,2024-12-15,2024-12-22,100.0,已完成
237,1,生产-000237,237,1,24,4,4.0,2024-10-30,2024-12-07,2024-12-07,100.0,已完成
238,1,生产-000238,238,1,5,2,2.0,2024-10-30,2025-01-11,2025-01-10,100.0,已完成
239,1,生产-000239,239,1,39,1,1.0,2024-10-31,2024-12-31,2025-01-06,100.0,已完成
240,1,生产-000240,240,2,35,1,1.0,2024-10-31,2024-12-27,2024-12-28,100.0,已完成
241,1,生产-000241,241,1,14,2,2.0,2024-10-31,2025-02-13,2025-02-09,100.0,已完成
242,1,生产-000242,242,1,14,2,2.0,2024-10-31,2025-02-02,2025-01-30,100.0,已完成
243,1,生产-000243,243,2,2,1,1.0,2024-11-01,2024-12-21,2024-12-23,100.0,已完成
244,1,生产-000244,244,2,33,5,5.0,2024-11-01,2025-01-09,2025-01-10,100.0,已完成
245,1,生产-000245,245,1,10,2,2.0,2024-11-01,2024-12-19,2024-12-21,100.0,已完成
246,1,生产-000246,246,2,18,2,2.0,2024-11-01,2025-02-05,2025-02-08,100.0,已完成
247,1,生产-000247,247,1,25,4,4.0,2024-11-01,2025-02-03,2025-02-03,100.0,已完成
248,1,生产-000248,248,1,24,1,1.0,2024-11-01,2024-11-28,2024-12-01,100.0,已完成
249,1,生产-000249,249,2,17,1,1.0,2024-11-01,2024-12-30,2025-01-02,100.0,已完成
250,1,生产-000250,250,1,7,5,5.0,2024-11-01,2024-11-28,2024-11-28,100.0,已完成
251,1,生产-000251,251,2,13,2,2.0,2024-11-02,2025-01-26,2025-01-31,100.0,已完成
252,1,生产-000252,252,2,29,4,4.0,2024-11-02,2025-02-17,2025-02-21,100.0,已完成
253,1,生产-000253,253,1,4,1,1.0,2024-11-02,2025-01-15,2025-01-19,100.0,已完成
254,1,生产-000254,254,1,20,3,3.0,2024-11-03,2024-12-13,2024-12-12,100.0,已完成
255,1,生产-000255,255,2,32,1,1.0,2024-11-03,2025-01-17,2025-01-21,100.0,已完成
256,1,生产-000256,256,1,32,2,2.0,2024-11-03,2025-01-16,2025-01-20,100.0,已完成
257,1,生产-000257,257,2,39,4,4.0,2024-11-04,2024-12-13,2024-12-18,100.0,已完成
258,1,生产-000258,258,2,22,1,1.0,2024-11-04,2025-02-05,2025-02-05,100.0,已完成
259,1,生产-000259,259,1,1,2,2.0,2024-11-04,2024-12-31,2024-12-30,100.0,已完成
260,1,生产-000260,260,1,23,5,5.0,2024-11-05,2024-12-14,2024-12-11,100.0,已完成
261,1,生产-000261,261,1,36,2,2.0,2024-11-05,2024-12-30,2025-01-02,100.0,已完成
262,1,生产-000262,262,1,31,5,5.0,2024-11-06,2025-02-21,2025-02-28,100.0,已完成
263,1,生产-000263,263,1,4,4,4.0,2024-11-06,2025-01-23,2025-01-23,100.0,已完成
264,1,生产-000264,264,2,32,2,2.0,2024-11-07,2024-12-05,2024-12-04,100.0,已完成
265,1,生产-000265,265,1,18,2,2.0,2024-11-07,2025-02-25,2025-02-26,100.0,已完成
266,1,生产-000266,266,1,22,2,2.0,2024-11-07,2024-12-09,2024-12-14,100.0,已完成
267,1,生产-000267,267,1,37,1,1.0,2024-11-07,2024-12-17,2024-12-13,100.0,已完成
268,1,生产-000268,268,1,27,1,1.0,2024-11-08,2025-01-28,2025-01-31,100.0,已完成
269,1,生产-000269,269,2,34,1,1.0,2024-11-08,2025-02-07,2025-02-09,100.0,已完成
270,1,生产-000270,270,1,22,1,1.0,2024-11-09,2025-01-16,2025-01-14,100.0,已完成
271,1,生产-000271,271,1,9,3,3.0,2024-11-09,2024-12-29,2024-12-29,100.0,已完成
