supplier_price_tier_id,supplier_material_id,min_qty,discount_rate,effective_from,effective_to
368,123,200,0.05,2026-01-01,2026-12-31
369,123,500,0.08,2026-01-01,2026-12-31
370,124,50,0.02,2026-01-01,2026-12-31
371,124,200,0.05,2026-01-01,2026-12-31
372,124,500,0.08,2026-01-01,2026-12-31
373,125,50,0.02,2026-01-01,2026-12-31
374,125,200,0.05,2026-01-01,2026-12-31
375,125,500,0.08,2026-01-01,2026-12-31
376,126,50,0.02,2026-01-01,2026-12-31
377,126,200,0.05,2026-01-01,2026-12-31
378,126,500,0.08,2026-01-01,2026-12-31
379,127,50,0.02,2026-01-01,2026-12-31
380,127,200,0.05,2026-01-01,2026-12-31
381,127,500,0.08,2026-01-01,2026-12-31
382,128,50,0.02,2026-01-01,2026-12-31
383,128,200,0.05,2026-01-01,2026-12-31
384,128,500,0.08,2026-01-01,2026-12-31
385,129,50,0.02,2026-01-01,2026-12-31
386,129,200,0.05,2026-01-01,2026-12-31
387,129,500,0.08,2026-01-01,2026-12-31
388,130,50,0.02,2026-01-01,2026-12-31
389,130,200,0.05,2026-01-01,2026-12-31
390,130,500,0.08,2026-01-01,2026-12-31
391,131,50,0.02,2026-01-01,2026-12-31
392,131,200,0.05,2026-01-01,2026-12-31
393,131,500,0.08,2026-01-01,2026-12-31
394,132,50,0.02,2026-01-01,2026-12-31
395,132,200,0.05,2026-01-01,2026-12-31
396,132,500,0.08,2026-01-01,2026-12-31
397,133,50,0.02,2026-01-01,2026-12-31
398,133,200,0.05,2026-01-01,2026-12-31
399,133,500,0.08,2026-01-01,2026-12-31
400,134,50,0.02,2026-01-01,2026-12-31
401,134,200,0.05,2026-01-01,2026-12-31
402,134,500,0.08,2026-01-01,2026-12-31
403,135,50,0.02,2026-01-01,2026-12-31
404,135,200,0.05,2026-01-01,2026-12-31
405,135,500,0.08,2026-01-01,2026-12-31
406,136,50,0.02,2026-01-01,2026-12-31
407,136,200,0.05,2026-01-01,2026-12-31
408,136,500,0.08,2026-01-01,2026-12-31
409,137,50,0.02,2026-01-01,2026-12-31
410,137,200,0.05,2026-01-01,2026-12-31
411,137,500,0.08,2026-01-01,2026-12-31
412,138,50,0.02,2026-01-01,2026-12-31
413,138,200,0.05,2026-01-01,2026-12-31
414,138,500,0.08,2026-01-01,2026-12-31
415,139,50,0.02,2026-01-01,2026-12-31
416,139,200,0.05,2026-01-01,2026-12-31
417,139,500,0.08,2026-01-01,2026-12-31
418,140,50,0.02,2026-01-01,2026-12-31
419,140,200,0.05,2026-01-01,2026-12-31
420,140,500,0.08,2026-01-01,2026-12-31
421,141,50,0.02,2026-01-01,2026-12-31
422,141,200,0.05,2026-01-01,2026-12-31
423,141,500,0.08,2026-01-01,2026-12-31
424,142,50,0.02,2026-01-01,2026-12-31
425,142,200,0.05,2026-01-01,2026-12-31
426,142,500,0.08,2026-01-01,2026-12-31
427,143,50,0.02,2026-01-01,2026-12-31
428,143,200,0.05,2026-01-01,2026-12-31
429,143,500,0.08,2026-01-01,2026-12-31
430,144,50,0.02,2026-01-01,2026-12-31
431,144,200,0.05,2026-01-01,2026-12-31
432,144,500,0.08,2026-01-01,2026-12-31
433,145,50,0.02,2026-01-01,2026-12-31
434,145,200,0.05,2026-01-01,2026-12-31
435,145,500,0.08,2026-01-01,2026-12-31
436,146,50,0.02,2026-01-01,2026-12-31
437,146,200,0.05,2026-01-01,2026-12-31
438,146,500,0.08,2026-01-01,2026-12-31
439,147,50,0.02,2026-01-01,2026-12-31
440,147,200,0.05,2026-01-01,2026-12-31
441,147,500,0.08,2026-01-01,2026-12-31
442,148,50,0.02,2026-01-01,2026-12-31
443,148,200,0.05,2026-01-01,2026-12-31
444,148,500,0.08,2026-01-01,2026-12-31
445,149,50,0.02,2026-01-01,2026-12-31
446,149,200,0.05,2026-01-01,2026-12-31
447,149,500,0.08,2026-01-01,2026-12-31
448,150,50,0.02,2026-01-01,2026-12-31
449,150,200,0.05,2026-01-01,2026-12-31
450,150,500,0.08,2026-01-01,2026-12-31
451,151,50,0.02,2026-01-01,2026-12-31
452,151,200,0.05,2026-01-01,2026-12-31
453,151,500,0.08,2026-01-01,2026-12-31
454,152,50,0.02,2026-01-01,2026-12-31
455,152,200,0.05,2026-01-01,2026-12-31
456,152,500,0.08,2026-01-01,2026-12-31
457,153,50,0.02,2026-01-01,2026-12-31
458,153,200,0.05,2026-01-01,2026-12-31
459,153,500,0.08,2026-01-01,2026-12-31
460,154,50,0.02,2026-01-01,2026-12-31
461,154,200,0.05,2026-01-01,2026-12-31
462,154,500,0.08,2026-01-01,2026-12-31
463,155,50,0.02,2026-01-01,2026-12-31
464,155,200,0.05,2026-01-01,2026-12-31
465,155,500,0.08,2026-01-01,2026-12-31
466,156,50,0.02,2026-01-01,2026-12-31
467,156,200,0.05,2026-01-01,2026-12-31
468,156,500,0.08,2026-01-01,2026-12-31
469,157,50,0.02,2026-01-01,2026-12-31
470,157,200,0.05,2026-01-01,2026-12-31
471,157,500,0.08,2026-01-01,2026-12-31
472,158,50,0.02,2026-01-01,2026-12-31
473,158,200,0.05,2026-01-01,2026-12-31
474,158,500,0.08,2026-01-01,2026-12-31
475,159,50,0.02,2026-01-01,2026-12-31
476,159,200,0.05,2026-01-01,2026-12-31
477,159,500,0.08,2026-01-01,2026-12-31
478,160,50,0.02,2026-01-01,2026-12-31
479,160,200,0.05,2026-01-01,2026-12-31
480,160,500,0.08,2026-01-01,2026-12-31
481,161,50,0.02,2026-01-01,2026-12-31
482,161,200,0.05,2026-01-01,2026-12-31
483,161,500,0.08,2026-01-01,2026-12-31
484,162,50,0.02,2026-01-01,2026-12-31
485,162,200,0.05,2026-01-01,2026-12-31
486,162,500,0.08,2026-01-01,2026-12-31
487,163,50,0.02,2026-01-01,2026-12-31
488,163,200,0.05,2026-01-01,2026-12-31
489,163,500,0.08,2026-01-01,2026-12-31
490,164,50,0.02,2026-01-01,2026-12-31
491,164,200,0.05,2026-01-01,2026-12-31
492,164,500,0.08,2026-01-01,2026-12-31
493,165,50,0.02,2026-01-01,2026-12-31
494,165,200,0.05,2026-01-01,2026-12-31
495,165,500,0.08,2026-01-01,2026-12-31
496,166,50,0.02,2026-01-01,2026-12-31
497,166,200,0.05,2026-01-01,2026-12-31
498,166,500,0.08,2026-01-01,2026-12-31
499,167,50,0.02,2026-01-01,2026-12-31
500,167,200,0.05,2026-01-01,2026-12-31
501,167,500,0.08,2026-01-01,2026-12-31
502,168,50,0.02,2026-01-01,2026-12-31
503,168,200,0.05,2026-01-01,2026-12-31
504,168,500,0.08,2026-01-01,2026-12-31
505,169,50,0.02,2026-01-01,2026-12-31
506,169,200,0.05,2026-01-01,2026-12-31
507,169,500,0.08,2026-01-01,2026-12-31
508,170,50,0.02,2026-01-01,2026-12-31
509,170,200,0.05,2026-01-01,2026-12-31
510,170,500,0.08,2026-01-01,2026-12-31
511,171,50,0.02,2026-01-01,2026-12-31
512,171,200,0.05,2026-01-01,2026-12-31
513,171,500,0.08,2026-01-01,2026-12-31
514,172,50,0.02,2026-01-01,2026-12-31
515,172,200,0.05,2026-01-01,2026-12-31
516,172,500,0.08,2026-01-01,2026-12-31
517,173,50,0.02,2026-01-01,2026-12-31
518,173,200,0.05,2026-01-01,2026-12-31
519,173,500,0.08,2026-01-01,2026-12-31
520,174,50,0.02,2026-01-01,2026-12-31
521,174,200,0.05,2026-01-01,2026-12-31
522,174,500,0.08,2026-01-01,2026-12-31
523,175,50,0.02,2026-01-01,2026-12-31
524,175,200,0.05,2026-01-01,2026-12-31
525,175,500,0.08,2026-01-01,2026-12-31
526,176,50,0.02,2026-01-01,2026-12-31
527,176,200,0.05,2026-01-01,2026-12-31
528,176,500,0.08,2026-01-01,2026-12-31
529,177,50,0.02,2026-01-01,2026-12-31
530,177,200,0.05,2026-01-01,2026-12-31
531,177,500,0.08,2026-01-01,2026-12-31
532,178,50,0.02,2026-01-01,2026-12-31
533,178,200,0.05,2026-01-01,2026-12-31
534,178,500,0.08,2026-01-01,2026-12-31
535,179,50,0.02,2026-01-01,2026-12-31
536,179,200,0.05,2026-01-01,2026-12-31
537,179,500,0.08,2026-01-01,2026-12-31
538,180,50,0.02,2026-01-01,2026-12-31
539,180,200,0.05,2026-01-01,2026-12-31
540,180,500,0.08,2026-01-01,2026-12-31
541,181,50,0.02,2026-01-01,2026-12-31
542,181,200,0.05,2026-01-01,2026-12-31
543,181,500,0.08,2026-01-01,2026-12-31
544,182,50,0.02,2026-01-01,2026-12-31
545,182,200,0.05,2026-01-01,2026-12-31
546,182,500,0.08,2026-01-01,2026-12-31
547,183,50,0.02,2026-01-01,2026-12-31
548,183,200,0.05,2026-01-01,2026-12-31
549,183,500,0.08,2026-01-01,2026-12-31
550,184,50,0.02,2026-01-01,2026-12-31
551,184,200,0.05,2026-01-01,2026-12-31
552,184,500,0.08,2026-01-01,2026-12-31
553,185,50,0.02,2026-01-01,2026-12-31
554,185,200,0.05,2026-01-01,2026-12-31
555,185,500,0.08,2026-01-01,2026-12-31
556,186,50,0.02,2026-01-01,2026-12-31
557,186,200,0.05,2026-01-01,2026-12-31
558,186,500,0.08,2026-01-01,2026-12-31
559,187,50,0.02,2026-01-01,2026-12-31
560,187,200,0.05,2026-01-01,2026-12-31
561,187,500,0.08,2026-01-01,2026-12-31
562,188,50,0.02,2026-01-01,2026-12-31
563,188,200,0.05,2026-01-01,2026-12-31
564,188,500,0.08,2026-01-01,2026-12-31
565,189,50,0.02,2026-01-01,2026-12-31
566,189,200,0.05,2026-01-01,2026-12-31
567,189,500,0.08,2026-01-01,2026-12-31
568,190,50,0.02,2026-01-01,2026-12-31
569,190,200,0.05,2026-01-01,2026-12-31
570,190,500,0.08,2026-01-01,2026-12-31
571,191,50,0.02,2026-01-01,2026-12-31
572,191,200,0.05,2026-01-01,2026-12-31
573,191,500,0.08,2026-01-01,2026-12-31
574,192,50,0.02,2026-01-01,2026-12-31
575,192,200,0.05,2026-01-01,2026-12-31
576,192,500,0.08,2026-01-01,2026-12-31
577,193,50,0.02,2026-01-01,2026-12-31
578,193,200,0.05,2026-01-01,2026-12-31
579,193,500,0.08,2026-01-01,2026-12-31
580,194,50,0.02,2026-01-01,2026-12-31
