purchase_order_line_id,purchase_order_id,line_no,material_id,ordered_qty,received_qty,unit_price,line_amount
122,122,1,92,374.8357,374.8357,23.3,8731.82
123,123,1,120,140,140,1376.9,192766.3
124,124,1,74,411.1869,0.0,81.71,33599.65
125,125,1,89,11,11,35.79,393.65
126,126,1,53,49,49,569.05,27883.6
127,127,1,34,519.6168,519.6168,100.79,52372.49
128,128,1,16,85,85,1806.53,153554.72
129,129,1,65,90,90,14.9,1340.97
130,130,1,38,144,144,351.34,50592.51
131,131,1,32,96,96,954.89,91669.85
132,132,1,22,89,89,652.37,58060.6
133,133,1,107,491.0405,491.0405,9.21,4520.63
134,134,1,92,379.7625,379.7625,21.79,8273.88
135,135,1,24,8,8,352.09,2816.7
136,136,1,21,51,51,396.33,20212.68
137,137,1,48,62,62,261.46,16210.51
138,138,1,79,71,71,1377.29,97787.47
139,139,1,23,28,28,1505.58,42156.3
140,140,1,14,75,75,568.92,42668.99
141,141,1,120,86,86,1199.94,103194.7
142,142,1,33,155,155,32.93,5103.63
143,143,1,28,984.6854,984.6854,44.83,44146.59
144,144,1,54,107,107,792.42,84788.6
145,145,1,69,6,6,265.95,1595.69
146,146,1,29,42,42,827.35,34748.86
147,147,1,7,19,19,3154.21,59929.99
148,148,1,10,49.1427,49.1427,93.6,4599.7
149,149,1,43,56.3811,56.3811,8.52,480.52
150,150,1,96,132,132,935.49,123484.24
151,151,1,103,96,96,2428.5,233136.45
152,152,1,48,13,13,287.98,3743.76
153,153,1,101,67,67,214.33,14359.93
154,154,1,27,205.9721,205.9721,10.58,2180.07
155,155,1,86,16,16,505.29,8084.72
156,156,1,95,59,59,1824.32,107634.92
157,157,1,23,128,128,1456.39,186417.81
158,158,1,76,608.1085,608.1085,30.82,18743.28
159,159,1,68,759.5361,759.5361,27.17,20636.35
160,160,1,6,148,148,569.85,84337.23
161,161,1,85,61,61,730.48,44559.01
162,162,1,46,71,71,620.24,44037.17
163,163,1,54,11,11,772.97,8502.7
164,164,1,108,219.4494,219.4494,33.94,7447.27
165,165,1,73,146,146,13.5,1971.2
166,166,1,78,115,115,798.83,91865.29
167,167,1,15,115,115,1828.3,210254.06
168,168,1,109,115,115,493.03,56698.76
169,169,1,66,61.4662,61.4662,124.04,7624.11
170,170,1,24,110,110,350.1,38511.43
171,171,1,46,116,116,647.85,75150.31
172,172,1,60,72.088,72.088,22.9,1650.81
173,173,1,86,35,35,548.87,19210.42
174,174,1,107,913.2246,913.2246,9.42,8601.7
175,175,1,117,71,71,349.96,24847.48
176,176,1,15,85,85,1601.87,136158.73
177,177,1,7,56,56,3338.55,186959.04
178,178,1,57,28,28,32.03,896.87
179,179,1,13,95,95,652.96,62031.19
180,180,1,100,124.7974,124.7974,34.99,4367.21
181,181,1,2,716.4013,716.4013,84.42,60480.14
182,182,1,87,87,87,2554.87,222273.46
183,183,1,105,89,89,3.28,291.71
184,184,1,86,13,13,563.33,7323.23
185,185,1,86,71,71,527.97,37485.54
186,186,1,43,469.7202,469.7202,7.73,3631.92
187,187,1,18,976.2827,976.2827,102.37,99944.48
188,188,1,120,109,109,1377.68,150166.65
189,189,1,14,31,31,565.48,17529.77
190,190,1,48,12,12,245.07,2940.89
191,191,1,40,28,28,338.85,9487.71
192,192,1,6,9,9,525.45,4729.06
193,193,1,61,137,137,572.53,78437.04
194,194,1,82,904.6417,904.6417,100.54,90953.18
195,195,1,50,1096.8477,1096.8477,82.4,90376.92
196,196,1,117,135,135,321.92,43459.7
197,197,1,8,26,26,1325.87,34472.62
198,198,1,114,299.2346,0.0,146.54,43849.15
199,199,1,14,30,30,553.13,16593.97
200,200,1,47,96,96,301.85,28977.78
201,201,1,96,9,9,916.28,8246.48
202,202,1,85,138,138,802.69,110771.86
203,203,1,109,39,39,490.33,19122.89
204,204,1,21,122,122,400.91,48910.9
205,205,1,91,637.2742,637.2742,11.91,7590.96
206,206,1,102,121,121,355.34,42996.45
207,207,1,83,216.3647,216.3647,8.39,1815.9
208,208,1,110,8,8,671.65,5373.16
209,209,1,91,313.5724,313.5724,11.91,3733.09
210,210,1,91,509.0165,509.0165,11.35,5779.81
211,211,1,52,1005.5746,1005.5746,22.0,22126.35
212,212,1,22,79,79,607.81,48017.08
213,213,1,31,81,81,594.2,48130.01
214,214,1,64,104,104,270.94,28177.9
215,215,1,111,35,35,2160.21,75607.49
216,216,1,23,8,8,1504.75,12038.01
217,217,1,66,663.8621,663.8621,115.33,76563.39
218,218,1,75,1178.1294,1178.1294,7.16,8432.36
219,219,1,59,922.3452,922.3452,11.24,10369.14
220,220,1,75,254.5845,254.5845,6.83,1738.13
221,221,1,79,26,26,1385.69,36028.04
222,222,1,22,39,39,667.51,26032.79
223,223,1,63,94,94,3320.8,312155.43
224,224,1,42,759.5156,759.5156,121.26,92096.45
225,225,1,5,101,101,674.25,68099.36
226,226,1,33,103,103,37.22,3833.89
227,227,1,45,131,131,547.3,71696.37
228,228,1,64,150,150,307.24,46086.1
229,229,1,47,24,24,338.84,8132.27
230,230,1,26,467.7295,467.7295,121.61,56879.35
231,231,1,95,83,83,2019.64,167630.5
232,232,1,84,66.5503,0.0,27.54,1832.77
233,233,1,95,135,135,1922.5,259538.09
234,234,1,43,366.7706,366.7706,8.08,2962.79
235,235,1,78,11,11,846.79,9314.72
236,236,1,80,11,11,1367.12,15038.32
237,237,1,38,48,48,339.19,16280.97
238,238,1,110,38,38,785.57,29851.48
239,239,1,95,33,33,1833.16,60494.42
240,240,1,16,152,152,1656.42,251775.94
241,241,1,76,975.0244,975.0244,32.65,31831.84
242,242,1,72,66,66,46.62,3076.97
243,243,1,120,59,59,1230.53,72601.53
244,244,1,83,676.1502,676.1502,8.57,5797.69
245,245,1,34,1170.0822,1170.0822,96.29,112672.5
246,246,1,55,22,22,786.59,17304.99
247,247,1,81,95,95,10.65,1012.0
248,248,1,68,204.0838,204.0838,23.7,4837.66
249,249,1,115,56.5305,56.5305,11.91,673.19
250,250,1,80,62,62,1384.33,85828.65
251,251,1,67,553.5559,553.5559,13.12,7264.04
252,252,1,73,21,21,12.86,270.05
253,253,1,119,58,58,3274.15,189900.97
254,254,1,58,997.7819,997.7819,98.62,98399.31
255,255,1,97,128,128,22.96,2938.49
256,256,1,108,327.5929,327.5929,36.13,11835.56
257,257,1,23,41,41,1540.13,63145.52
258,258,1,81,151,151,10.42,1573.35
259,259,1,117,12,12,354.96,4259.5
260,260,1,101,99,99,234.04,23170.39
261,261,1,8,126,126,1260.08,158770.12
262,262,1,77,77,77,704.85,54273.07
263,263,1,1,138.5384,138.5384,135.27,18740.31
264,264,1,79,70,70,1417.65,99235.28
265,265,1,16,103,103,1734.67,178670.89
266,266,1,80,34,34,1288.48,43808.26
267,267,1,79,33,33,1512.18,49901.78
268,268,1,26,273.8171,273.8171,122.15,33447.32
269,269,1,106,59.9022,59.9022,75.19,4503.88
270,270,1,33,159,159,37.63,5983.65
271,271,1,73,157,157,13.08,2054.29
272,272,1,68,524.6402,524.6402,25.19,13215.81
273,273,1,70,125,125,218.49,27310.67
274,274,1,107,1004.5942,1004.5942,8.66,8695.72
275,275,1,46,44,44,596.35,26239.55
276,276,1,69,131,131,287.58,37673.25
277,277,1,40,13,13,359.01,4667.11
278,278,1,49,98,98,35.45,3474.54
279,279,1,56,27,27,1253.26,33838.04
280,280,1,11,955.2675,955.2675,9.73,9293.54
281,281,1,113,76,76,12.36,939.65
282,282,1,113,150,150,13.1,1965.64
283,283,1,55,56,56,783.8,43892.6
284,284,1,65,36,36,14.97,539.1
285,285,1,41,109,109,20.73,2259.5
286,286,1,70,15,15,205.1,3076.57
287,287,1,40,121,121,342.3,41417.93
288,288,1,16,141,141,1755.83,247571.87
289,289,1,96,131,131,1067.19,139802.47
290,290,1,24,13,13,340.71,4429.25
291,291,1,116,156.4729,156.4729,25.27,3953.32
292,292,1,8,133,133,1379.77,183509.23
293,293,1,1,812.728,812.728,136.97,111318.63
294,294,1,71,139,139,1755.29,243985.53
295,295,1,28,627.5181,627.5181,45.09,28296.21
296,296,1,65,72,72,16.85,1212.97
297,297,1,5,140,140,686.85,96158.65
298,298,1,74,1104.2083,1104.2083,72.23,79753.27
299,299,1,82,1061.1749,1061.1749,107.52,114101.31
300,300,1,59,146.6911,146.6911,10.58,1552.32
301,301,1,79,65,65,1408.02,91521.33
302,302,1,89,85,85,31.55,2682.02
303,303,1,60,946.1336,946.1336,23.74,22460.58
304,304,1,51,624.4437,624.4437,5.51,3437.65
305,305,1,27,1149.1341,1149.1341,9.75,11200.01
306,306,1,105,123,123,3.5,430.66
307,307,1,97,114,114,23.44,2672.44
308,308,1,89,96,96,35.97,3453.23
309,309,1,96,33,33,1040.33,34330.77
310,310,1,108,957.9412,957.9412,37.73,36144.31
311,311,1,69,17,17,267.72,4551.26
312,312,1,107,538.4144,538.4144,9.57,5151.42
313,313,1,11,324.701,324.701,10.38,3369.45
314,314,1,114,840.0361,840.0361,149.63,125693.54
315,315,1,94,101,101,491.37,49628.31
316,316,1,1,848.587,848.587,131.17,111313.11
317,317,1,20,820.1856,820.1856,36.2,29692.39
318,318,1,65,83,83,16.51,1370.47
319,319,1,86,26,26,512.24,13318.14
320,320,1,3,134.4916,134.4916,13.31,1789.84
321,321,1,113,37,37,13.69,506.45
322,322,1,97,61,61,22.48,1371.57
323,323,1,48,135,135,272.93,36845.29
324,324,1,64,84,84,296.33,24891.95
325,325,1,119,47,47,3335.71,156778.51
326,326,1,104,108,108,2146.57,231829.94
327,327,1,94,112,112,507.24,56810.83
328,328,1,57,27,27,35.57,960.4
329,329,1,57,76,76,33.73,2563.83
330,330,1,105,75,75,3.24,243.25
331,331,1,55,61,61,821.05,50083.81
332,332,1,38,103,103,348.83,35929.7
333,333,1,19,980.7865,980.7865,5.31,5211.59
334,334,1,93,7,7,398.77,2791.4
335,335,1,114,228.8674,228.8674,143.11,32754.31
336,336,1,16,127,127,1844.14,234205.3
337,337,1,47,42,42,295.69,12418.83
338,338,1,14,104,104,578.2,60133.16
339,339,1,1,1073.3076,1073.3076,126.15,135394.57
340,340,1,16,144,144,1749.07,251866.73
341,341,1,75,635.6417,635.6417,6.5,4132.81
342,342,1,65,11,11,15.33,168.61
343,343,1,110,148,148,691.34,102317.93
344,344,1,74,637.0052,637.0052,80.09,51014.56
345,345,1,112,79,79,1083.48,85594.59
346,346,1,80,77,77,1361.37,104825.32
347,347,1,3,1177.8829,1177.8829,13.89,16358.89
348,348,1,106,935.8585,935.8585,74.02,69269.58
349,349,1,18,231.4713,231.4713,114.79,26569.58
350,350,1,111,51,51,2137.69,109022.43
351,351,1,91,915.9424,915.9424,11.25,10308.74
352,352,1,105,107,107,3.13,334.42
353,353,1,92,89.0023,0.0,22.17,1973.49
354,354,1,13,95,95,725.01,68876.38
355,355,1,46,111,111,624.17,69282.57
356,356,1,46,78,78,629.14,49072.94
357,357,1,116,60.2879,60.2879,21.7,1308.41
358,358,1,91,1022.1781,1022.1781,12.1,12368.21
359,359,1,36,756.0517,756.0517,34.34,25963.64
360,360,1,94,28,28,473.24,13250.84
361,361,1,44,376.3252,376.3252,22.03,8291.32
362,362,1,47,147,147,293.94,43208.64
363,363,1,39,138,138,3016.91,416333.88
364,364,1,20,1025.1286,1025.1286,36.8,37725.48
365,365,1,82,723.2285,723.2285,109.63,79289.31
366,366,1,15,140,140,1708.48,239187.39
367,367,1,67,894.1892,894.1892,13.02,11644.52
368,368,1,40,33,33,340.52,11237.32
369,369,1,58,149.536,149.536,88.84,13284.9
370,370,1,15,153,153,1676.68,256532.63
371,371,1,54,70,70,814.15,56990.4
372,372,1,45,93,93,539.42,50165.77
373,373,1,45,45,45,530.43,23869.37
374,374,1,87,42,42,2637.84,110789.21
375,375,1,87,15,15,2548.23,38223.47
376,376,1,64,129,129,277.61,35811.18
377,377,1,77,85,85,797.56,67792.65
378,378,1,39,160,160,3170.96,507353.56
379,379,1,35,657.1088,657.1088,8.44,5548.09
380,380,1,110,61,61,669.83,40859.61
381,381,1,106,812.5686,812.5686,84.73,68850.54
382,382,1,11,718.4463,718.4463,10.79,7753.08
383,383,1,6,151,151,553.95,83645.97
384,384,1,104,59,59,2148.7,126773.53
385,385,1,60,157.9667,157.9667,22.3,3522.9
386,386,1,82,541.2601,541.2601,97.13,52573.96
387,387,1,10,618.8318,618.8318,86.1,53281.86
388,388,1,106,985.7837,985.7837,77.4,76297.95
389,389,1,81,38,38,10.96,416.57
390,390,1,64,44,44,298.18,13120.12
391,391,1,3,848.4512,848.4512,14.18,12029.39
392,392,1,13,104,104,658.23,68456.39
393,393,1,77,24,24,749.49,17987.79
394,394,1,4,1027.6812,1027.6812,35.28,36259.01
395,395,1,110,122,122,728.48,88874.04
396,396,1,65,20,20,16.34,326.89
397,397,1,51,1117.3829,1117.3829,5.94,6633.82
398,398,1,23,109,109,1609.5,175435.02
399,399,1,52,755.97,755.97,19.8,14968.84
400,400,1,91,1027.544,1027.544,11.56,11874.75
401,401,1,49,63,63,31.1,1959.16
402,402,1,94,158,158,531.94,84046.21
403,403,1,31,148,148,641.56,94950.85
404,404,1,52,82.8414,82.8414,19.73,1634.6
405,405,1,45,29,29,559.27,16218.69
406,406,1,103,70,70,2186.6,153062.33
407,407,1,24,105,105,324.33,34054.91
408,408,1,90,667.0051,667.0051,86.05,57394.3
409,409,1,91,656.7958,656.7958,10.87,7140.1
410,410,1,59,354.0949,354.0949,10.38,3676.51
411,411,1,83,1046.5962,1046.5962,8.21,8595.19
412,412,1,105,113,113,3.41,385.52
413,413,1,68,892.3023,892.3023,26.82,23932.42
414,414,1,120,127,127,1272.34,161587.43
415,415,1,20,144.7074,144.7074,36.37,5262.8
416,416,1,39,39,39,3209.36,125165.22
417,417,1,107,735.7399,735.7399,8.71,6409.18
418,418,1,70,79,79,222.81,17602.19
419,419,1,8,82,82,1261.13,103412.88
420,420,1,65,33,33,17.46,576.06
421,421,1,45,7,7,540.58,3784.06
422,422,1,10,722.0128,722.0128,96.8,69894.3
423,423,1,16,112,112,1687.42,188991.35
424,424,1,64,76,76,304.44,23137.63
425,425,1,49,67,67,32.54,2180.19
426,426,1,97,85,85,22.38,1902.69
427,427,1,70,83,83,211.93,17589.84
428,428,1,13,68,68,648.48,44096.87
429,429,1,61,136,136,594.21,80812.41
430,430,1,119,6,6,2996.31,17977.88
431,431,1,65,8,8,14.96,119.65
432,432,1,84,460.7636,460.7636,28.32,13049.22
433,433,1,49,23,23,35.06,806.33
434,434,1,39,78,78,3020.25,235579.79
435,435,1,74,510.0888,510.0888,82.89,42283.21
436,436,1,86,106,106,507.07,53749.58
437,437,1,48,87,87,259.24,22553.62
438,438,1,104,120,120,2124.72,254965.91
439,439,1,106,92.739,92.739,82.18,7621.59
440,440,1,19,135.6672,135.6672,5.16,700.66
441,441,1,96,33,33,937.0,30920.85
442,442,1,26,514.108,514.108,114.97,59109.43
443,443,1,77,151,151,772.87,116703.99
444,444,1,109,131,131,508.52,66615.97
445,445,1,69,10,10,293.22,2932.21
446,446,1,3,832.3203,832.3203,13.39,11140.85
447,447,1,118,94,94,209.19,19664.22
448,448,1,14,133,133,531.62,70705.65
449,449,1,22,42,0,643.63,27032.25
450,450,1,49,119,119,33.15,3944.3
451,451,1,120,111,111,1303.68,144708.83
452,452,1,3,465.3477,465.3477,14.41,6705.19
453,453,1,6,72,72,526.62,37916.49
454,454,1,37,151,151,739.15,111611.36
455,455,1,86,22,22,499.64,10992.05
456,456,1,11,896.0572,896.0572,10.72,9602.46
457,457,1,80,74,74,1409.22,104282.04
458,458,1,1,610.2835,610.2835,128.73,78563.64
459,459,1,52,542.828,542.828,20.38,11061.41
460,460,1,5,128,128,623.54,79813.43
461,461,1,9,127,127,15.31,1944.34
462,462,1,57,49,49,32.32,1583.85
463,463,1,10,98.6618,98.6618,91.12,8989.81
464,464,1,77,27,27,794.17,21442.47
465,465,1,5,156,156,599.07,93455.36
466,466,1,79,77,77,1474.01,113499.01
467,467,1,107,741.3836,741.3836,8.89,6592.74
468,468,1,87,78,78,2739.65,213692.7
469,469,1,18,183.6221,183.6221,112.54,20665.34
470,470,1,1,900.6587,900.6587,132.49,119327.85
471,471,1,86,150,150,549.42,82412.65
472,472,1,86,92,92,577.05,53088.32
473,473,1,79,106,106,1467.47,155551.48
474,474,1,69,94,94,293.44,27583.5
475,475,1,59,1133.6905,1133.6905,11.39,12914.43
476,476,1,83,111.5631,111.5631,7.62,850.41
477,477,1,42,1084.1011,1084.1011,114.44,124064.88
478,478,1,103,25,25,2353.77,58844.21
479,479,1,84,411.0689,411.0689,31.57,12975.85
480,480,1,120,11,11,1303.32,14336.57
481,481,1,51,83.8679,83.8679,6.04,506.9
482,482,1,35,1068.1122,1068.1122,9.15,9777.58
483,483,1,43,754.0532,754.0532,7.87,5935.06
484,484,1,8,98,98,1427.62,139906.61
485,485,1,45,81,81,606.08,49092.49
486,486,1,113,84,84,12.6,1058.41
487,487,1,89,51,51,36.86,1879.63
488,488,1,82,119.2124,119.2124,94.77,11297.67
489,489,1,13,141,141,701.21,98870.96
490,490,1,19,819.55,819.55,5.73,4695.29
491,491,1,79,104,104,1417.11,147379.34
492,492,1,3,413.1647,413.1647,13.84,5716.7
493,493,1,23,34,34,1566.16,53249.5
494,494,1,22,14,14,591.36,8279.02
495,495,1,63,74,74,3142.84,232570.43
496,496,1,119,148,148,3192.22,472448.1
497,497,1,83,209.5238,209.5238,8.48,1776.59
498,498,1,25,64,64,35.3,2259.05
499,499,1,42,1156.3685,1156.3685,127.26,147157.2
500,500,1,44,170.6577,170.6577,22.99,3922.75
501,501,1,77,32,32,726.42,23245.41
502,502,1,112,64,64,1072.93,68667.64
503,503,1,80,96,0,1352.81,129869.64
504,504,1,56,121,121,1297.05,156942.63
505,505,1,65,87,87,17.37,1511.02
506,506,1,115,971.4962,971.4962,13.81,13414.39
507,507,1,96,152,152,1064.43,161793.41
508,508,1,40,157,157,324.66,50972.22
509,509,1,52,702.989,702.989,20.93,14715.33
510,510,1,23,63,63,1449.25,91302.86
511,511,1,80,48,48,1437.92,69020.16
512,512,1,42,394.6746,394.6746,130.34,51440.86
513,513,1,64,46,46,283.35,13034.15
514,514,1,41,47,47,20.33,955.55
515,515,1,84,306.9546,306.9546,29.92,9184.76
516,516,1,18,383.677,383.677,116.83,44826.51
517,517,1,36,393.4045,393.4045,30.16,11866.78
518,518,1,45,26,26,577.0,15002.02
519,519,1,18,903.6823,903.6823,110.88,100202.7
520,520,1,109,91,91,494.78,45024.98
521,521,1,37,39,0,735.91,28700.56
522,522,1,66,586.7917,586.7917,120.4,70648.67
523,523,1,87,62,62,2933.05,181849.17
524,524,1,49,82,82,35.59,2918.14
525,525,1,14,79,79,604.11,47724.66
526,526,1,50,865.532,865.532,83.46,72239.92
527,527,1,9,6,6,14.82,88.92
528,528,1,105,56,56,3.4,190.61
529,529,1,7,24,24,3282.64,78783.33
530,530,1,70,45,45,218.64,9838.99
531,531,1,47,79,79,344.38,27206.2
532,532,1,5,29,29,646.95,18761.54
533,533,1,54,126,126,838.59,105662.92
534,534,1,3,419.3796,419.3796,13.5,5661.09
535,535,1,100,1179.2638,1179.2638,34.41,40581.72
536,536,1,20,239.8909,239.8909,37.53,9003.55
537,537,1,36,1188.2027,1188.2027,33.51,39814.09
538,538,1,98,365.0665,365.0665,94.63,34546.23
539,539,1,20,837.2815,837.2815,35.03,29330.42
540,540,1,78,38,38,846.05,32149.79
541,541,1,90,1083.3123,1083.3123,81.02,87769.39
542,542,1,83,1101.2755,1101.2755,8.77,9659.32
543,543,1,49,136,136,32.61,4434.31
544,544,1,108,1016.7995,1016.7995,33.57,34138.22
545,545,1,63,132,132,3362.76,443884.1
546,546,1,20,339.4158,339.4158,37.04,12571.4
547,547,1,56,146,146,1292.76,188742.68
548,548,1,54,94,94,816.49,76750.45
549,549,1,54,40,40,812.16,32486.31
550,550,1,108,727.9299,727.9299,35.92,26148.89
551,551,1,75,1046.3594,1046.3594,6.81,7126.98
552,552,1,26,679.0652,679.0652,111.97,76033.02
553,553,1,120,44,44,1391.57,61229.26
554,554,1,80,49,49,1272.94,62374.25
555,555,1,64,103,103,303.24,31234.08
556,556,1,1,1025.7734,1025.7734,142.67,146351.62
557,557,1,89,9,9,35.54,319.86
558,558,1,46,7,7,610.54,4273.76
559,559,1,43,199.114,199.114,7.92,1576.8
560,560,1,44,1037.9195,1037.9195,20.49,21262.75
561,561,1,72,68,68,51.24,3484.32
562,562,1,80,76,76,1263.45,96021.97
563,563,1,14,117,117,604.82,70763.37
564,564,1,55,135,135,814.14,109908.43
565,565,1,99,689.3919,689.3919,5.14,3540.7
566,566,1,62,27,27,287.41,7759.99
567,567,1,96,103,103,1022.53,105320.37
568,568,1,81,9,0,11.26,101.37
569,569,1,63,44,44,3453.69,151962.23
570,570,1,115,750.5449,750.5449,13.12,9843.97
571,571,1,9,77,77,15.49,1192.4
572,572,1,23,92,92,1397.67,128585.29
573,573,1,98,928.0467,928.0467,96.87,89904.45
574,574,1,75,651.4833,651.4833,6.53,4255.06
575,575,1,82,813.4705,813.4705,104.0,84597.23
576,576,1,33,122,122,37.75,4604.94
577,577,1,77,48,48,755.7,36273.66
578,578,1,52,945.5077,945.5077,21.91,20716.73
579,579,1,48,99,99,256.24,25367.49
580,580,1,114,99.2646,99.2646,142.4,14135.6
581,581,1,106,63.2907,63.2907,84.26,5332.7
582,582,1,31,95,95,640.46,60843.81
583,583,1,97,122,122,23.92,2918.15
584,584,1,18,1022.8791,1022.8791,118.84,121562.99
585,585,1,47,38,38,328.23,12472.79
586,586,1,97,129,129,20.79,2681.99
587,587,1,71,158,158,1969.84,311234.75
588,588,1,42,978.2407,978.2407,119.28,116688.97
589,589,1,7,68,68,2935.64,199623.36
590,590,1,24,83,83,348.08,28890.45
591,591,1,61,43,43,575.17,24732.18
592,592,1,24,160,160,366.41,58625.69
593,593,1,90,641.8513,641.8513,81.13,52072.17
594,594,1,32,7,7,907.77,6354.38
595,595,1,101,7,7,222.36,1556.54
596,596,1,73,153,153,14.71,2250.67
