requirement_allocation_id,material_requirement_id,purchase_order_line_id,allocated_qty
285,28728,877,97.2858
286,28729,3288,24
287,28730,1982,27
288,28731,2060,28
289,28732,3649,70.6562
290,28733,533,27
291,28734,2072,19
292,28735,3021,154.9125
293,28736,3292,10
294,28737,491,4
295,28738,2835,14
296,28739,1617,15
297,28740,2613,22
298,28756,632,486.3117
299,28757,2371,33
300,28758,333,92.0151
301,28759,680,42
302,28760,2919,110.4481
303,28761,1805,6
304,28762,533,37
305,28763,2893,44
306,28764,2941,25
307,28765,341,285.9536
308,28766,2833,240.3502
309,28767,2084,55
310,28768,2848,108.6269
311,28769,649,6
312,28770,1757,258.2073
313,28803,3044,2
314,28804,1534,8
315,28805,3609,11
316,28806,3818,8
317,28807,1225,8
318,28808,1331,6
319,28809,2,2
320,28810,1836,6.6073
321,28811,3179,106.8872
322,28812,55,10
323,28813,3416,9
324,28814,2024,6
325,28815,436,5
326,28816,1099,79.6332
327,28817,1720,9
328,28818,151,6
329,28819,3865,8
330,28820,1419,35.7457
331,28839,2422,267.993
332,28840,1970,15
333,28841,1580,23
334,28842,813,26.9268
335,28843,1770,92.5522
336,28844,3809,14
337,28845,372,33
338,28846,1649,31
339,28847,673,6
340,28848,2932,310.4837
341,28849,2160,40
342,28850,43,348.4885
343,28851,151,39
344,28852,306,16
345,28853,2245,37
346,28869,2775,5
347,28870,755,15
348,28871,1580,18
349,28872,132,20
350,28873,1053,10
351,28874,2738,21
352,28875,1770,31.8209
353,28876,3937,149.8075
354,28877,372,4
355,28878,1493,4
356,28879,1602,143.9071
357,28880,3985,92.2508
358,28881,1031,6
359,28882,3026,16
360,28883,3923,12
361,28884,1835,47.2439
362,28885,3317,11
363,28886,3819,206.3041
364,28887,743,4
365,28888,2902,40.0566
366,28889,461,14
367,28890,2829,16.6964
368,28891,1258,6.5974
369,28892,2738,10
370,28893,3682,8
371,28894,1770,107.9891
372,28895,2185,3
373,28896,1523,10
374,28897,3179,122.839
375,28898,2496,9
376,28899,2535,19.7765
377,28900,3712,10
378,28901,1099,27.6885
379,28902,2399,9
380,28903,1147,115.1047
381,28904,648,9
382,28905,1419,17.2313
383,29069,2775,3
384,29070,463,41.1891
385,29071,1769,6
386,29072,3279,66.5824
387,29073,2739,6
388,29074,813,21.139
389,29075,3809,4
390,29076,1484,5
391,29077,2496,7
392,29078,2451,4
393,29079,266,7
394,29080,3840,5
395,29081,3927,5
396,29082,53,5
397,29083,306,5
398,29084,1317,2
399,29085,3865,4
400,29161,2775,3
401,29162,463,80.259
402,29163,1288,29.246
403,29164,2953,3
404,29165,1225,4
405,29166,2525,4
406,29167,2185,10
407,29168,1484,5
408,29169,329,12
409,29170,2024,3
410,29171,3026,10
411,29172,3923,2
412,29173,673,7
413,29174,3214,9.5549
414,29175,3712,6
415,29176,1535,88.2291
416,29177,2608,4
417,29178,845,68.1343
418,29179,1448,7
419,29180,3044,5
420,29181,463,27.2506
421,29182,3971,4
422,29183,2956,3
423,29184,985,19.3972
424,29185,399,12.7256
425,29186,2,4
426,29187,2024,2
427,29188,3214,69.4253
428,29189,3712,8
429,29190,1687,1
430,29191,535,47.2075
431,29192,3720,40.703
432,29193,3819,36.5324
433,29194,3125,462.3051
434,29195,2422,66.0656
435,29196,3279,81.4738
436,29197,1041,53.7275
437,29198,3408,3
438,29199,3809,6
439,29200,2185,3
440,29201,2536,9
441,29202,2791,55.1148
442,29203,3026,4
443,29204,2451,10
444,29205,1325,6
445,29206,3712,7
446,29207,436,10
447,29208,3865,4
448,29209,1175,37.4427
449,29210,534,419.3796
450,29211,2321,9
451,29212,1970,49
452,29213,2739,43
453,29214,3627,199.7755
454,29215,323,62
455,29216,2260,354.0679
456,29217,55,43
457,29218,3416,37
458,29219,2024,61
459,29220,673,68
460,29221,1535,53.7436
461,29222,1505,479.014
462,29223,1147,489.5149
463,29224,1864,21
464,29225,414,49
465,29226,534,31.7594
466,29227,2321,3
467,29228,1970,3
468,29229,2739,2
469,29230,3627,13.139
470,29231,323,3
471,29232,2260,19.9445
472,29233,55,3
473,29234,3416,2
474,29235,2024,5
475,29236,673,5
476,29237,1535,3.8273
477,29238,1505,13.6653
478,29239,1147,22.4378
479,29240,1864,2
480,29241,414,4
481,29242,2775,7
482,29243,463,34.0883
483,29244,1288,90.5075
484,29245,3279,57.1107
485,29246,985,80.2594
486,29247,323,7
487,29248,2536,11
488,29249,329,7
489,29250,3214,30.1204
490,29251,1535,98.9569
491,29252,2108,6
492,29253,2399,6
493,29254,53,4
494,29255,2245,10
495,29256,414,2
496,29273,632,121.0985
497,29274,2371,10
498,29275,333,21.8876
499,29276,680,12
500,29277,2919,78.544
501,29278,1805,6
502,29279,533,9
503,29280,2893,13
504,29281,2941,7
505,29282,341,74.719
506,29283,408,125.3298
507,29284,2084,17
508,29285,2848,23.2683
509,29286,649,2
510,29287,1757,64.6205
511,29302,3382,61.8235
512,29303,1269,6
513,29304,2079,58.2766
514,29305,2158,58.1391
515,29306,392,14
516,29307,3325,7
517,29308,1177,17
518,29309,1805,3
519,29310,3254,132.0821
520,29311,1733,22
521,29312,2941,20
522,29313,271,8
523,29314,3861,3
524,29315,2674,13
525,29316,2823,23
526,29317,3623,3
527,29318,249,56.5305
528,29319,1337,3
529,29340,3382,61.8235
530,29341,1269,16
531,29342,2079,391.0608
532,29343,2158,183.4012
533,29344,392,37
534,29345,3325,20
535,29346,1177,45
536,29347,1805,6
537,29348,3254,501.1598
538,29349,1733,63
539,29350,2941,46
540,29351,271,20
541,29352,3861,16
542,29353,2674,13
543,29354,2823,71
544,29355,3623,19
545,29356,249,56.5305
546,29357,1337,10
547,29358,463,79.8768
548,29359,2953,12
549,29360,3818,11
550,29361,1394,124.5924
551,29362,3627,123.247
552,29363,1484,3
553,29364,3985,77.1655
554,29365,1523,3
555,29366,3416,2
556,29367,420,3
557,29368,673,13
558,29369,3317,11
559,29370,266,12
560,29371,3712,8
561,29372,2452,173.6314
562,29373,845,23.6528
563,29374,1172,12
564,29375,414,8
565,29376,3382,61.8235
566,29377,3129,22
567,29378,779,42.9792
568,29379,1309,25.1764
569,29380,3325,21
570,29381,2471,29
571,29382,3417,274.2677
572,29383,3110,11
573,29384,2893,22
574,29385,2382,257.779
575,29386,3275,27
576,29387,1552,88.2576
577,29388,767,29
578,29389,408,140.8115
579,29390,1193,16
580,29391,2848,289.2625
581,29392,2068,24
582,29393,249,56.5305
583,29394,2775,1
584,29395,519,47.9686
585,29396,3279,42.6317
586,29397,1266,27.4782
587,29398,2525,7
588,29399,2669,4
589,29400,1649,1
590,29401,673,8
591,29402,3214,33.1692
592,29403,2659,15.49
593,29404,1535,24.2412
594,29405,2323,26.3774
595,29406,1505,13.6222
596,29407,3927,6
597,29408,3807,1
598,29409,3090,38.7342
599,29410,2452,12.8259
600,29411,3207,7
601,29441,534,62.4382
602,29442,1448,2
603,29443,463,37.9076
604,29444,2431,16.279
605,29445,2321,3
606,29446,2738,3
607,29447,3408,6
608,29448,323,2
609,29449,1602,49.1309
610,29450,2024,8
611,29451,1828,6
612,29452,673,2
613,29453,3317,2
614,29454,266,5
615,29455,2608,6
616,29456,289,3
617,29457,1419,35.7457
618,29458,1864,1
619,29459,2079,53.5072
620,29460,2158,32.9224
621,29461,333,37.0783
622,29462,1821,4
623,29463,1782,11.3319
624,29464,2246,7
625,29465,2893,2
626,29466,2382,15.1225
627,29467,2674,4
628,29468,3724,39.3815
629,29469,202,4
630,29470,3843,3
631,29471,2068,2
632,29472,249,49.2407
633,29492,1766,98.0038
634,29493,2321,9
635,29494,1970,14
636,29495,2956,7
637,29496,132,18
638,29497,3627,126.5839
639,29498,1843,32.8174
640,29499,329,7
641,29500,420,7
642,29501,1828,5
643,29502,1835,21.0023
644,29503,574,33.9965
645,29504,2608,16
646,29505,3998,10
647,29506,3090,106.1166
648,29507,53,7
649,29508,414,7
650,29509,3382,61.8235
651,29510,1269,10
652,29511,877,107.0881
653,29512,2439,9
654,29513,333,146.2216
655,29514,2516,15
656,29515,1382,13.0308
657,29516,433,16
658,29517,2893,6
659,29518,1986,19
660,29519,445,10
661,29520,3861,14
662,29521,2674,13
663,29522,629,70.0239
664,29523,2084,11
665,29524,2174,4
666,29525,3252,13
667,29526,1337,5
668,29564,463,85.0372
669,29565,2953,15
670,29566,3818,13
671,29567,1394,147.9084
672,29568,3627,111.7843
673,29569,1484,4
674,29570,3985,69.0261
675,29571,1523,3
676,29572,3416,2
677,29573,420,3
678,29574,673,17
679,29575,3317,11
680,29576,266,11
681,29577,3712,11
682,29578,2452,151.0945
683,29579,845,23.0257
684,29580,1172,12
685,29581,414,10
686,29597,534,32.8655
687,29598,1448,1
688,29599,463,29.2894
689,29600,2431,12.3968
690,29601,2321,3
691,29602,2738,1
692,29603,3408,3
693,29604,323,1
694,29605,1602,23.2368
695,29606,2024,3
696,29607,1828,5
697,29608,673,2
698,29609,3317,1
699,29610,266,4
700,29611,2608,5
701,29612,289,2
702,29613,1419,32.819
703,29614,1864,1
704,29615,3382,61.8235
705,29616,1269,16
706,29617,877,142.265
707,29618,2439,12
708,29619,333,216.7299
709,29620,2516,23
710,29621,1382,20.8254
711,29622,433,23
712,29623,2893,9
713,29624,1986,26
714,29625,445,10
715,29626,3861,22
716,29627,2674,13
717,29628,134,115.8034
718,29629,2084,15
719,29630,2174,7
720,29631,3252,20
721,29632,1337,8
722,29633,3288,1
723,29634,779,2.338
724,29635,3325,3
725,29636,2145,2
726,29637,433,3
727,29638,271,2
728,29639,2692,27.2836
729,29640,3900,12.7304
730,29641,491,1
731,29642,767,1
732,29643,202,3
733,29644,2084,4
734,29645,1708,31.3358
735,29646,2068,1
736,29647,2714,1
737,29648,392,10
738,29649,3512,3
739,29650,2439,3
740,29651,333,139.0342
741,29652,722,142.4858
742,29653,3110,12
743,29654,433,8
744,29655,1733,12
745,29656,1212,42.7865
746,29657,271,6
747,29658,2674,13
748,29659,134,14.5749
749,29660,2823,17
750,29661,3042,6
751,29662,3291,25.0238
752,29663,1337,2
753,29681,3609,4
754,29682,2738,1
755,29683,1041,74.6416
756,29684,1469,6
757,29685,3781,4
758,29686,2525,3
759,29687,2433,8
760,29688,329,7
761,29689,3179,71.0528
762,29690,55,5
763,29691,2024,10
764,29692,1835,41.0451
765,29693,1505,17.4856
766,29694,3998,4
767,29695,535,7.725
768,29696,855,1
769,29697,1172,1
770,29698,743,8
771,29699,755,7
772,29700,519,46.6366
773,29701,2738,5
774,29702,874,2
775,29703,329,5
776,29704,2791,104.5306
777,29705,2496,2
778,29706,3416,5
779,29707,420,2
780,29708,1806,48.8324
781,29709,1828,5
782,29710,667,5
783,29711,436,1
784,29712,3998,11
785,29713,845,14.0073
786,29714,3720,32.3483
787,29715,1864,4
788,29716,743,4
789,29717,414,4
790,29731,3706,364.5739
791,29732,1970,24
792,29733,1580,36
793,29734,1394,44.8353
794,29735,3136,146.08
795,29736,1469,21
796,29737,2525,14
797,29738,1649,50
798,29739,673,10
799,29740,574,502.2755
800,29741,1325,10
801,29742,2659,179.1609
802,29743,1458,24
803,29744,3173,26
804,29745,2838,57
805,29746,2918,154.2083
806,29747,1970,3
807,29748,1266,57.3164
808,29749,2738,10
809,29750,1394,169.7801
810,29751,3136,77.9543
811,29752,2993,15
812,29753,399,123.4735
813,29754,2800,134.7379
814,29755,3317,11
815,29756,2229,139.9489
816,29757,1099,34.5427
817,29758,1228,14.3902
818,29759,2608,12
819,29760,2148,16
820,29761,3998,10
821,29762,2452,65.5763
822,29763,1864,11
823,29764,463,50.4651
824,29765,2431,35.287
825,29766,2365,32.1308
826,29767,3818,5
827,29768,3136,9.0549
828,29769,1649,6
829,29770,2362,2
830,29771,3179,15.8685
831,29772,266,4
832,29773,1610,39.6821
833,29774,1519,4
834,29775,436,3
835,29776,45,2
836,29777,1419,35.7457
837,29778,3382,61.8235
838,29779,632,117.0264
839,29780,3325,14
840,29781,2145,6
841,29782,3110,11
842,29783,3727,118.5838
843,29784,3931,4
844,29785,3021,75.2547
845,29786,1531,27.0803
846,29787,3724,98.5479
847,29788,2754,6
848,29789,134,34.4652
849,29790,2084,10
850,29791,2174,13
851,29792,2598,25.144
852,29793,1136,117.2348
853,29794,632,341.356
854,29795,2371,22
855,29796,333,64.9345
856,29797,1840,26
857,29798,2919,110.4481
858,29799,1805,6
859,29800,533,25
860,29801,2893,30
861,29802,2941,15
862,29803,2692,191.2188
863,29804,408,370.2586
864,29805,2084,33
865,29806,1882,66.4644
866,29807,649,4
867,29808,1136,157.7697
868,29842,3706,298.5066
869,29843,2938,51
870,29844,1394,265.889
871,29845,1843,441.1749
872,29846,3179,283.1403
873,29847,2496,9
874,29848,3416,32
875,29849,574,534.0574
876,29850,1505,479.014
877,29851,402,54
878,29852,2148,79
879,29853,3173,56
880,29854,2838,17
881,29855,1419,35.7457
882,29856,1175,37.4427
883,29857,743,21
884,29858,2775,3
885,29859,463,42.3032
886,29860,240,7
887,29861,3279,40.8217
888,29862,2938,5
889,29863,1394,24.4942
890,29864,1469,4
891,29865,1484,3
892,29866,2496,6
893,29867,667,3
894,29868,266,5
895,29869,1721,6
896,29870,402,5
897,29871,53,4
898,29872,3173,5
899,29873,2997,2
900,29874,855,4
901,29875,2371,12
902,29876,2439,10
903,29877,333,94.2828
904,29878,1782,48.6832
905,29879,227,2
906,29880,1814,2
907,29881,533,3
908,29882,1733,10
909,29883,271,2
910,29884,3900,59.0708
911,29885,1708,61.4895
912,29886,1882,77.5907
913,29887,1724,12
914,29888,3399,92.1542
915,29889,2714,3
916,29890,2528,6
917,29891,2427,15
918,29892,1982,24
919,29893,1840,18
920,29894,2060,12
921,29895,3325,20
922,29896,1782,39.7528
923,29897,722,208.4149
924,29898,227,3
925,29899,433,5
926,29900,3254,185.4343
927,29901,2037,98.8345
928,29902,635,6
929,29903,2207,23
930,29904,3292,16
931,29905,3945,74.6247
932,29906,3861,23
933,29907,3399,185.9721
934,29908,2714,4
935,29909,2528,8
936,29910,2427,19
937,29911,1982,31
938,29912,1840,24
939,29913,2060,16
940,29914,3325,25
941,29915,1782,49.9358
942,29916,722,271.5446
943,29917,227,4
944,29918,433,7
945,29919,3254,252.2202
946,29920,2037,123.0321
947,29921,635,8
948,29922,2207,30
949,29923,3292,21
950,29924,3945,92.8842
951,29925,3861,30
952,29926,3399,254.7091
953,29927,2714,5
954,29928,240,1
955,29929,2010,9.8393
956,29930,2738,3
957,29931,3408,4
958,29932,1484,4
959,29933,673,3
960,29934,72,34.5813
961,29935,3214,40.6515
962,29936,1325,2
963,29937,1681,2
964,29938,1519,4
965,29939,3998,5
966,29940,3720,38.5193
967,29941,45,2
968,29942,743,2
969,29943,463,29.1213
970,29944,240,3
971,29945,1053,11
972,29946,3279,27.1509
973,29947,3818,8
974,29948,3056,14
975,29949,477,131.9995
976,29950,1484,2
977,29951,2669,16
978,29952,3416,9
979,29953,1806,22.8759
980,29954,3026,6
981,29955,3317,11
982,29956,1505,133.1753
983,29957,2148,14
984,29958,256,12.5683
985,29959,1864,12
986,29975,2775,10
987,29976,463,32.4135
988,29977,2365,86.4759
989,29978,3279,42.0354
990,29979,985,80.2326
991,29980,2993,14
992,29981,2536,22
993,29982,329,13
994,29983,3214,73.426
995,29984,1610,87.3961
996,29985,1654,8
997,29986,2399,10
998,29987,53,5
999,29988,2838,18
1000,29989,414,3
1001,30005,534,25.0478
1002,30006,1626,8
1003,30007,2010,15.0975
1004,30008,985,5.5137
1005,30009,2738,6
1006,30010,1421,7
1007,30011,1440,35.9764
1008,30012,3708,3
1009,30013,2362,3
1010,30014,3179,48.424
1011,30015,2496,7
1012,30016,2535,19.7766
1013,30017,1681,7
1014,30018,1099,24.6327
1015,30019,2399,4
1016,30020,256,25.3159
1017,30021,45,5
1018,30022,1419,9.5313
1019,30023,3023,151.8112
1020,30024,1309,306.4909
1021,30025,3690,4
1022,30026,722,255.7691
1023,30027,3931,32
1024,30028,3031,29
1025,30029,3945,147.5758
1026,30030,491,13
1027,30031,2674,13
1028,30032,3724,100.5241
1029,30033,232,24.9376
1030,30034,3027,293.5948
1031,30035,3738,19
1032,30036,632,52.06
1033,30037,2528,7
1034,30038,2158,21.7753
1035,30039,392,8
1036,30040,2827,3
1037,30041,1782,47.2048
1038,30042,1814,2
1039,30043,3275,7
1040,30044,1531,16.9428
1041,30045,445,2
1042,30046,202,6
1043,30047,2174,8
1044,30048,649,1
1045,30049,1136,13.4374
1046,30050,1802,7
1047,30051,2321,9
1048,30052,3971,6
1049,30053,2956,5
1050,30054,2365,254.5067
1051,30055,477,266.4308
1052,30056,3708,21
1053,30057,1484,14
1054,30058,2024,20
1055,30059,2800,71.3029
1056,30060,673,10
1057,30061,266,28
1058,30062,1862,27.9497
1059,30063,2608,32
1060,30064,2148,12
1061,30065,2452,40.925
1062,30066,1864,4
1063,30081,2321,9
1064,30082,3971,10
1065,30083,2956,8
1066,30084,2365,449.4815
1067,30085,477,439.8254
1068,30086,3708,36
1069,30087,1484,25
1070,30088,2024,34
1071,30089,2800,113.6117
1072,30090,673,14
1073,30091,266,34
1074,30092,1862,48.6662
1075,30093,2608,41
1076,30094,2148,20
1077,30095,2452,73.7445
1078,30096,1864,6
1079,30097,2775,43
1080,30098,2220,230.3561
1081,30099,2365,601.8127
1082,30100,3279,366.1062
1083,30101,985,287.5242
1084,30102,2993,45
1085,30103,2536,69
1086,30104,329,47
1087,30105,3214,206.6836
1088,30106,1610,625.9067
1089,30107,1654,37
1090,30108,2399,38
1091,30109,53,22
1092,30110,2838,61
1093,30111,414,12
1094,30112,3288,3
1095,30113,779,56.2711
1096,30114,3325,12
1097,30115,2145,10
1098,30116,433,14
1099,30117,271,6
1100,30118,2692,120.6275
1101,30119,3900,112.9075
1102,30120,491,5
1103,30121,767,6
1104,30122,202,17
1105,30123,2084,16
1106,30124,1708,141.1247
1107,30125,2689,6
1108,30126,2714,6
1109,30127,3382,61.8235
1110,30128,1269,16
1111,30129,877,104.5801
1112,30130,2439,10
1113,30131,333,210.8083
1114,30132,2516,17
1115,30133,1382,16.3975
1116,30134,433,22
1117,30135,2893,6
1118,30136,1986,22
1119,30137,445,10
1120,30138,3861,16
1121,30139,2674,13
1122,30140,1718,75.7707
1123,30141,2084,12
1124,30142,2174,5
1125,30143,3252,20
1126,30144,3738,7
1127,30145,2918,211.3537
1128,30146,2775,24
1129,30147,2431,114.726
1130,30148,2321,9
1131,30149,1421,10
1132,30150,1440,55.7934
1133,30151,874,8
1134,30152,2496,9
1135,30153,2535,70.5365
1136,30154,3148,9
1137,30155,1519,30
1138,30156,1654,37
1139,30157,2997,3
1140,30158,79,58.5715
1141,30159,414,26
1142,30161,3706,5.7376
1143,30163,3049,15.7292
1144,30167,2536,1
1145,30170,667,1
1146,30171,264,1
1147,30172,1681,1
1148,30173,436,2
1149,30204,877,36.5526
1150,30205,2096,3
1151,30206,1982,4
1152,30207,482,4.1883
1153,30208,1782,17.5666
1154,30209,3855,3
1155,30210,227,6
1156,30211,2246,7
1157,30212,271,2
1158,30213,2692,59.44
1159,30214,491,8
1160,30215,2142,59.8392
1161,30216,1570,7
1162,30217,3252,3
1163,30218,2613,5
1164,30219,877,211.0613
1165,30220,2096,13
1166,30221,1982,19
1167,30222,482,22.2947
1168,30223,1782,72.3642
1169,30224,3855,10
1170,30225,227,26
1171,30226,2246,26
1172,30227,271,6
1173,30228,2692,254.2647
1174,30229,491,34
1175,30230,2142,145.3522
1176,30231,1570,33
1177,30232,3252,13
1178,30233,2613,30
1179,30234,1389,6.3682
1180,30235,3288,1
1181,30236,2060,3
1182,30237,2919,4.4625
1183,30238,1821,2
1184,30239,2516,3
1185,30240,722,21.5008
1186,30241,433,1
1187,30242,3931,2
1188,30243,1986,3
1189,30244,1353,6.7747
1190,30245,2207,1
1191,30246,3861,4
1192,30247,1718,38.0815
1193,30248,2075,4
1194,30249,1882,3.603
1195,30250,3738,2
1196,30251,1626,9
1197,30252,3706,95.8291
1198,30253,3156,24
1199,30254,136,17
1200,30255,1053,11
1201,30256,1602,52.3784
1202,30257,2536,27
1203,30258,329,13
1204,30259,2791,124.2265
1205,30260,3923,10
1206,30261,264,3
1207,30262,1654,10
1208,30263,855,15
1209,30264,2838,19
1210,30280,1448,7
1211,30281,3706,126.66
1212,30282,2956,5
1213,30283,1852,111.7605
1214,30284,3800,3
1215,30285,3160,12
1216,30286,3049,31.9944
1217,30287,3408,11
1218,30288,2522,5
1219,30289,1181,15.7008
1220,30290,2536,15
1221,30291,2024,12
1222,30292,2800,118.6559
1223,30293,3148,16
1224,30294,1828,7
1225,30295,1681,14
1226,30296,436,2
1227,30297,1654,15
1228,30298,1695,73.9808
1229,30332,2775,10
1230,30333,2220,290.608
1231,30334,1852,112.2174
1232,30335,3800,17
1233,30336,3056,19
1234,30337,2525,14
1235,30338,3708,65
1236,30339,1484,27
1237,30340,329,65
1238,30341,2024,19
1239,30342,3026,40
1240,30343,3923,20
1241,30344,673,24
1242,30345,3214,530.0908
1243,30346,1681,39
1244,30347,1610,599.5908
1245,30348,2608,20
1246,30349,1695,286.9216
1247,30350,3795,23
1248,30351,2956,21
1249,30352,1852,210.192
1250,30353,1440,55.7934
1251,30354,2525,5
1252,30355,874,3
1253,30356,2536,5
1254,30357,2024,25
1255,30358,673,3
1256,30359,3214,164.0338
1257,30360,3720,152.4294
1258,30361,256,177.1058
1259,30362,3207,24
1260,30363,1634,216.3262
1261,30364,743,6
1262,30365,2775,1
1263,30366,2956,5
1264,30367,1266,13.3723
1265,30368,3056,3
1266,30369,1421,6
