supplier_score_id,supplier_id,month,price_score,delivery_score,quality_score,response_score,stability_score,total_score,supplier_grade
88,4,2025-08-01,81.92,69.39,88.05,70.82,77.32,78.13,C
89,4,2025-09-01,74.69,76.18,91.28,93.64,89.38,82.65,B
90,4,2025-10-01,83.73,69.91,91.05,90.81,75.62,81.31,B
91,4,2025-11-01,80.94,68.93,93.22,92.07,80.25,81.45,B
92,4,2025-12-01,77.64,77.08,93.0,71.18,88.37,81.74,B
93,4,2026-01-01,81.27,70.02,90.84,89.82,70.35,80.05,B
94,4,2026-02-01,75.89,71.6,94.38,96.27,89.81,82.65,B
95,4,2026-03-01,76.05,74.88,89.03,88.04,91.08,81.65,B
96,4,2026-04-01,77.69,66.75,93.46,89.34,90.31,80.78,B
97,4,2026-05-01,82.08,74.25,92.35,83.38,94.06,83.63,B
98,4,2026-06-01,76.3,74.97,93.71,79.11,78.4,80.74,B
99,4,2026-07-01,77.53,74.96,88.44,70.22,91.71,80.17,B
100,4,2026-08-01,82.0,70.44,94.82,77.83,96.23,82.74,B
101,5,2024-08-01,89.23,77.04,94.72,91.07,79.08,86.11,B
102,5,2024-09-01,81.47,76.86,92.91,95.61,91.41,85.35,B
103,5,2024-10-01,82.62,71.92,88.2,89.38,82.08,81.43,B
104,5,2024-11-01,81.86,65.0,95.27,82.17,95.05,81.5,B
105,5,2024-12-01,87.22,74.12,93.56,70.6,73.52,81.84,B
106,5,2025-01-01,83.78,75.68,89.71,88.04,91.23,84.0,B
107,5,2025-02-01,87.32,71.17,93.15,80.84,79.05,82.46,B
108,5,2025-03-01,92.67,72.5,92.28,95.07,74.98,84.99,B
109,5,2025-04-01,88.3,77.13,91.96,87.45,71.65,84.11,B
110,5,2025-05-01,83.92,71.67,92.68,96.0,71.08,82.36,B
111,5,2025-06-01,92.71,69.3,94.58,87.77,73.49,83.74,B
112,5,2025-07-01,88.3,69.1,90.3,79.68,87.09,82.06,B
113,5,2025-08-01,85.25,76.68,94.22,97.88,97.57,87.42,B
114,5,2025-09-01,90.04,76.48,89.9,82.0,75.84,83.71,B
115,5,2025-10-01,85.22,72.32,93.99,67.6,78.28,81.09,B
116,5,2025-11-01,92.52,71.63,88.26,96.62,89.42,85.29,B
117,5,2025-12-01,91.31,66.9,92.81,89.03,80.54,83.06,B
118,5,2026-01-01,81.6,64.88,90.04,76.79,87.89,78.84,C
119,5,2026-02-01,92.41,68.45,90.66,86.66,95.6,84.53,B
120,5,2026-03-01,89.33,69.34,90.27,73.08,90.21,82.03,B
121,5,2026-04-01,82.22,73.58,95.05,73.64,92.88,83.04,B
122,5,2026-05-01,84.23,70.88,95.45,75.81,84.09,82.18,B
123,5,2026-06-01,88.59,77.33,91.76,92.13,79.4,85.44,B
124,5,2026-07-01,81.6,69.41,91.57,91.01,74.74,80.69,B
125,5,2026-08-01,86.22,76.13,90.29,92.06,97.45,85.92,B
126,6,2024-08-01,83.53,70.21,91.27,90.73,86.5,82.49,B
127,6,2024-09-01,73.14,72.8,90.43,92.55,80.07,80.0,C
128,6,2024-10-01,82.13,74.1,91.2,85.58,96.45,83.77,B
129,6,2024-11-01,76.16,71.87,91.25,89.38,75.5,79.9,C
130,6,2024-12-01,81.22,70.56,88.96,84.51,72.92,79.45,C
131,6,2025-01-01,80.81,73.31,94.68,95.5,90.86,84.5,B
132,6,2025-02-01,74.84,70.98,93.67,92.45,75.11,80.18,B
133,6,2025-03-01,79.05,75.84,94.0,96.04,86.97,84.32,B
134,6,2025-04-01,72.36,71.07,93.54,96.77,95.16,81.99,B
135,6,2025-05-01,74.18,77.2,90.71,74.78,89.82,80.84,B
136,6,2025-06-01,77.32,71.07,90.27,86.59,86.65,80.54,B
137,6,2025-07-01,82.82,79.28,94.42,89.84,97.52,86.83,B
138,6,2025-08-01,74.17,71.37,96.02,96.3,92.83,82.87,B
139,6,2025-09-01,75.12,76.66,95.8,81.58,75.38,81.42,B
140,6,2025-10-01,83.93,76.55,93.12,91.11,85.19,84.86,B
141,6,2025-11-01,74.19,70.42,95.62,93.86,85.86,81.55,B
142,6,2025-12-01,78.66,80.16,92.84,73.62,78.89,82.17,B
143,6,2026-01-01,78.27,70.16,94.27,70.53,79.65,79.2,C
144,6,2026-02-01,82.03,74.95,90.18,96.24,94.53,84.61,B
145,6,2026-03-01,77.89,78.96,91.74,88.45,91.62,84.1,B
146,6,2026-04-01,72.83,70.54,93.69,75.29,97.26,80.05,B
147,6,2026-05-01,81.95,78.24,90.31,83.31,95.44,84.42,B
148,6,2026-06-01,77.88,79.06,89.21,86.39,87.59,82.89,B
149,6,2026-07-01,82.94,74.81,92.98,85.75,86.66,83.66,B
150,6,2026-08-01,79.8,72.09,96.04,80.67,81.02,81.76,B
151,7,2024-08-01,93.12,80.45,95.43,76.36,97.18,88.63,B
152,7,2024-09-01,94.31,69.29,92.96,93.16,94.77,86.4,B
153,7,2024-10-01,92.85,69.88,93.91,89.09,90.64,85.63,B
154,7,2024-11-01,92.49,71.26,92.78,74.34,76.25,82.76,B
155,7,2024-12-01,92.51,70.45,99.45,71.81,76.44,83.95,B
156,7,2025-01-01,93.81,76.58,96.83,73.01,71.57,85.09,B
157,7,2025-02-01,100,77.87,97.1,87.24,72.22,88.58,B
158,7,2025-03-01,94.82,67.94,98.51,84.39,87.72,85.92,B
159,7,2025-04-01,100,73.98,96.7,88.9,74.94,87.75,B
160,7,2025-05-01,96.51,73.9,95.23,69.52,89.89,86.04,B
161,7,2025-06-01,94.15,68.55,96.53,76.42,78.36,83.71,B
162,7,2025-07-01,98.51,73.14,99.87,69.11,85.92,87.04,B
163,7,2025-08-01,97.92,77.2,97.01,71.15,93.76,88.38,B
164,7,2025-09-01,93.76,75.13,96.31,92.87,73.03,86.65,B
165,7,2025-10-01,95.13,73.97,98.16,95.55,97.17,89.79,B
166,7,2025-11-01,100,77.28,99.58,67.97,70.56,86.93,B
167,7,2025-12-01,94.46,68.19,97.81,73.42,85.17,84.38,B
168,7,2026-01-01,100,78.29,92.48,80.04,92.97,88.91,B
169,7,2026-02-01,98.86,68.6,97.19,90.96,96.6,88.35,B
170,7,2026-03-01,99.49,71.12,98.0,96.7,73.78,87.76,B
171,7,2026-04-01,99.02,79.81,95.16,70.76,71.09,86.67,B
172,7,2026-05-01,98.03,69.62,95.57,77.37,72.04,84.23,B
173,7,2026-06-01,100,72.87,96.46,68.01,94.98,87.28,B
174,7,2026-07-01,92.49,72.37,99.22,79.27,75.39,85.1,B
175,7,2026-08-01,96.2,70.45,96.66,73.22,79.31,84.61,B
176,8,2024-08-01,89.67,89.48,92.58,76.47,96.25,89.68,B
177,8,2024-09-01,84.96,80.9,88.26,65.26,79.14,82.02,B
178,8,2024-10-01,90.4,81.76,89.34,75.1,89.87,85.96,B
179,8,2024-11-01,86.59,88.11,95.32,85.84,89.12,89.41,B
180,8,2024-12-01,82.98,81.45,94.08,94.53,71.49,85.3,B
181,8,2025-01-01,81.38,88.8,92.29,95.26,71.45,86.73,B
182,8,2025-02-01,92.52,83.54,94.97,71.42,91.99,88.28,B
183,8,2025-03-01,81.19,80.75,90.18,67.1,97.39,83.52,B
184,8,2025-04-01,92.18,79.87,95.36,80.11,94.57,88.32,B
185,8,2025-05-01,83.94,89.49,90.46,80.65,97.32,88.24,B
186,8,2025-06-01,92.12,86.0,94.46,75.81,75.05,87.53,B
187,8,2025-07-01,83.97,81.0,92.42,86.96,95.8,86.67,B
188,8,2025-08-01,91.99,90.66,91.58,75.01,90.1,89.6,B
189,8,2025-09-01,87.13,80.34,94.17,95.16,78.62,86.81,B
190,8,2025-10-01,86.12,82.94,95.3,93.51,94.58,89.05,B
191,8,2025-11-01,81.64,84.92,92.32,91.82,77.17,85.87,B
192,8,2025-12-01,85.35,89.38,89.07,87.61,76.78,86.86,B
193,8,2026-01-01,90.17,81.19,92.43,92.26,74.82,86.72,B
194,8,2026-02-01,83.82,79.83,92.8,77.67,73.14,83.19,B
195,8,2026-03-01,92.34,86.18,93.96,88.12,92.91,90.53,A
196,8,2026-04-01,88.32,85.2,92.55,70.59,73.25,85.16,B
197,8,2026-05-01,91.65,81.35,94.43,66.99,90.76,86.7,B
198,8,2026-06-01,92.99,92.55,95.47,73.97,71.33,89.41,B
199,8,2026-07-01,90.33,86.7,94.87,81.69,77.39,88.22,B
200,8,2026-08-01,81.35,80.85,93.06,76.95,73.08,82.86,B
201,9,2024-08-01,86.29,75.02,88.79,87.4,93.31,84.34,B
202,9,2024-09-01,87.37,73.17,87.28,95.87,71.87,82.38,B
203,9,2024-10-01,87.43,82.55,84.48,78.95,88.07,84.44,B
204,9,2024-11-01,89.08,80.31,89.45,96.32,73.11,85.67,B
205,9,2024-12-01,84.98,73.68,89.9,65.41,73.47,79.71,C
206,9,2025-01-01,88.04,75.97,85.38,89.83,72.43,82.37,B
207,9,2025-02-01,80.87,74.11,82.82,79.46,80.08,79.11,C
208,9,2025-03-01,83.69,85.01,84.95,89.38,86.85,85.28,B
209,9,2025-04-01,86.77,82.85,87.36,83.45,97.86,86.52,B
210,9,2025-05-01,78.85,78.59,89.78,93.28,78.45,82.91,B
211,9,2025-06-01,85.64,79.71,82.32,69.65,89.76,81.84,B
212,9,2025-07-01,88.84,83.84,82.92,69.21,74.94,82.51,B
213,9,2025-08-01,80.88,82.25,89.8,94.49,71.48,83.94,B
214,9,2025-09-01,78.6,80.76,89.88,91.85,80.12,83.55,B
215,9,2025-10-01,79.36,74.11,86.91,94.55,95.44,82.8,B
216,9,2025-11-01,82.17,76.84,83.87,77.38,89.97,81.3,B
217,9,2025-12-01,86.04,83.22,89.48,73.36,74.82,83.66,B
218,9,2026-01-01,78.98,76.61,88.01,91.63,77.67,81.66,B
219,9,2026-02-01,90.07,73.11,83.0,89.16,72.33,81.35,B
220,9,2026-03-01,86.52,72.88,88.87,97.92,92.44,84.75,B
221,9,2026-04-01,86.08,78.15,89.61,96.94,87.45,85.81,B
222,9,2026-05-01,83.38,78.86,83.93,66.22,71.54,79.26,C
223,9,2026-06-01,89.73,75.11,89.07,83.57,79.7,83.56,B
224,9,2026-07-01,81.45,77.67,85.99,67.69,71.8,79.11,C
225,9,2026-08-01,82.92,83.16,84.35,88.86,85.7,84.22,B
226,10,2024-08-01,91.9,91.34,94.39,95.37,77.19,91.23,A
227,10,2024-09-01,93.24,91.24,92.72,90.15,89.78,91.85,A
228,10,2024-10-01,87.79,94.46,93.85,85.59,81.41,90.45,A
229,10,2024-11-01,83.7,95.71,91.41,82.19,81.77,88.89,B
230,10,2024-12-01,88.42,84.42,87.83,80.17,94.91,86.9,B
231,10,2025-01-01,87.69,89.4,92.93,73.62,86.61,88.0,B
232,10,2025-02-01,87.89,89.58,91.28,80.35,81.11,87.82,B
233,10,2025-03-01,83.43,86.77,93.24,76.05,90.64,86.87,B
234,10,2025-04-01,95.32,93.97,92.57,78.21,91.36,92.12,A
235,10,2025-05-01,85.3,90.33,93.3,83.06,91.43,89.2,B
236,10,2025-06-01,91.41,94.36,90.97,77.02,88.1,90.41,A
237,10,2025-07-01,91.87,91.49,91.21,89.41,85.21,90.68,A
238,10,2025-08-01,84.39,85.95,92.64,70.2,85.29,85.59,B
239,10,2025-09-01,88.46,84.78,91.31,78.31,73.33,85.54,B
240,10,2025-10-01,92.49,86.43,90.51,74.08,94.8,88.57,B
241,10,2025-11-01,86.51,95.21,86.93,84.31,85.38,88.89,B
242,10,2025-12-01,86.3,91.99,90.89,78.9,90.52,88.84,B
243,10,2026-01-01,87.85,96.86,87.97,65.34,89.21,88.47,B
244,10,2026-02-01,90.43,89.06,92.42,88.62,79.11,89.2,B
245,10,2026-03-01,84.46,90.41,91.67,92.22,82.58,88.63,B
246,10,2026-04-01,89.35,90.26,94.28,70.44,79.0,87.93,B
247,10,2026-05-01,84.37,96.01,90.24,83.45,95.36,90.34,A
248,10,2026-06-01,87.41,96.46,92.76,80.8,76.0,89.66,B
249,10,2026-07-01,94.82,86.49,87.87,68.52,84.33,86.9,B
250,10,2026-08-01,94.66,91.83,91.75,91.56,81.05,91.41,A
251,11,2024-08-01,82.59,85.0,84.07,81.02,83.25,83.59,B
252,11,2024-09-01,81.82,78.03,83.8,66.34,96.42,81.09,B
253,11,2024-10-01,78.36,78.83,79.94,93.46,89.58,81.53,B
254,11,2024-11-01,81.96,79.94,80.83,79.51,88.39,81.47,B
255,11,2024-12-01,77.59,82.32,85.33,84.25,86.57,82.51,B
256,11,2025-01-01,78.54,84.88,81.32,96.35,82.35,83.3,B
257,11,2025-02-01,81.5,82.03,85.34,70.69,74.83,80.87,B
258,11,2025-03-01,79.05,74.74,81.03,92.44,76.85,79.37,C
259,11,2025-04-01,80.08,74.01,79.95,80.91,76.99,78.0,C
260,11,2025-05-01,80.07,79.52,85.38,90.13,90.85,83.32,B
261,11,2025-06-01,82.75,75.65,83.35,95.22,77.38,81.48,B
262,11,2025-07-01,80.39,81.72,87.16,95.27,90.08,84.94,B
263,11,2025-08-01,76.68,80.54,86.0,80.74,79.9,80.89,B
264,11,2025-09-01,82.93,74.38,87.06,85.62,70.09,80.38,B
265,11,2025-10-01,85.79,76.86,87.53,67.85,75.21,80.69,B
266,11,2025-11-01,88.39,84.29,81.06,66.67,84.16,82.73,B
267,11,2025-12-01,84.1,75.87,83.09,81.55,86.46,81.36,B
268,11,2026-01-01,78.98,82.72,79.95,85.38,84.0,81.49,B
269,11,2026-02-01,77.13,74.16,82.86,67.6,87.76,77.78,C
270,11,2026-03-01,77.93,73.56,83.82,97.31,91.47,81.38,B
271,11,2026-04-01,80.9,78.9,81.1,65.1,81.69,78.85,C
272,11,2026-05-01,78.31,76.9,81.12,95.84,82.6,80.77,B
273,11,2026-06-01,82.49,76.05,85.91,65.51,75.02,78.97,C
274,11,2026-07-01,81.84,81.37,87.53,72.68,81.84,82.21,B
275,11,2026-08-01,84.06,78.87,85.03,84.15,97.49,84.1,B
276,12,2024-08-01,80.84,80.08,98.42,96.79,83.07,86.83,B
277,12,2024-09-01,76.41,84.61,93.39,85.01,97.71,86.1,B
278,12,2024-10-01,75.11,77.17,97.21,90.37,74.68,82.74,B
279,12,2024-11-01,76.19,80.73,96.91,71.68,82.59,82.92,B
280,12,2024-12-01,79.03,73.6,100,66.14,74.39,80.89,B
281,12,2025-01-01,75.01,78.0,94.83,73.82,73.01,80.54,B
282,12,2025-02-01,74.21,78.82,96.33,97.86,91.36,85.2,B
283,12,2025-03-01,84.71,84.98,99.19,84.5,80.31,87.95,B
284,12,2025-04-01,79.11,82.08,93.77,93.19,80.59,85.22,B
285,12,2025-05-01,84.17,82.84,96.42,96.08,91.98,88.81,B
286,12,2025-06-01,82.23,74.02,93.59,75.88,71.19,80.87,B
287,12,2025-07-01,82.46,79.31,99.52,95.94,75.74,86.45,B
288,12,2025-08-01,85.92,75.49,97.66,68.5,89.87,84.38,B
289,12,2025-09-01,80.86,77.05,92.57,69.49,96.24,83.04,B
290,12,2025-10-01,85.44,82.44,97.39,73.98,77.97,85.63,B
291,12,2025-11-01,81.9,75.95,96.68,82.73,84.75,84.18,B
292,12,2025-12-01,79.1,78.96,93.94,95.55,91.0,85.6,B
293,12,2026-01-01,77.51,74.9,93.06,86.84,97.43,83.54,B
294,12,2026-02-01,74.84,81.12,99.21,89.76,84.94,85.32,B
295,12,2026-03-01,83.01,80.8,99.6,92.79,94.72,88.65,B
296,12,2026-04-01,84.35,83.46,94.13,70.47,93.29,86.03,B
297,12,2026-05-01,83.87,75.66,96.73,79.02,93.14,85.06,B
298,12,2026-06-01,84.11,81.59,93.51,73.35,92.24,85.44,B
299,12,2026-07-01,82.92,74.23,94.56,93.38,86.82,84.66,B
300,12,2026-08-01,82.39,85.89,98.2,65.32,78.33,85.28,B
301,13,2024-08-01,100,95.81,83.73,81.65,89.16,91.75,A
302,13,2024-09-01,94.86,91.86,84.15,81.94,95.42,90.05,A
303,13,2024-10-01,95.72,94.69,83.02,83.54,93.55,90.8,A
304,13,2024-11-01,95.58,93.16,84.91,91.25,87.27,90.92,A
305,13,2024-12-01,96.13,97.75,87.73,82.27,78.17,91.33,A
306,13,2025-01-01,98.73,92.69,85.7,93.76,87.41,92.03,A
307,13,2025-02-01,95.88,98.89,85.03,69.9,93.17,91.2,A
308,13,2025-03-01,99.63,97.87,84.35,83.22,78.85,91.56,A
309,13,2025-04-01,99.24,92.21,81.04,89.31,86.54,90.32,A
310,13,2025-05-01,98.51,91.5,88.38,88.32,79.02,90.91,A
311,13,2025-06-01,100,95.55,82.35,79.88,72.59,89.5,B
312,13,2025-07-01,98.07,98.85,87.94,86.71,74.86,92.32,A
313,13,2025-08-01,100,89.77,84.02,66.76,93.89,89.0,B
314,13,2025-09-01,98.23,96.43,88.58,97.4,82.53,93.62,A
315,13,2025-10-01,100,90.31,83.8,75.6,86.73,89.28,B
316,13,2025-11-01,97.3,89.98,85.99,68.58,70.46,86.72,B
317,13,2025-12-01,98.35,91.07,85.13,67.33,94.74,89.4,B
318,13,2026-01-01,93.85,90.07,84.11,71.63,81.73,86.85,B
319,13,2026-02-01,99.55,94.58,82.96,87.3,87.43,91.47,A
320,13,2026-03-01,95.79,97.16,81.8,76.53,73.7,88.57,B
321,13,2026-04-01,92.91,94.95,86.13,83.93,73.67,89.01,B
322,13,2026-05-01,99.75,92.33,81.51,88.53,87.52,90.62,A
323,13,2026-06-01,100,91.94,83.39,67.26,72.0,87.35,B
324,13,2026-07-01,99.67,92.27,86.9,74.37,94.04,91.17,A
325,13,2026-08-01,98.1,86.24,82.32,76.08,86.46,87.23,B
326,14,2024-08-01,80.98,86.57,83.1,90.27,74.18,83.44,B
327,14,2024-09-01,81.67,86.43,84.72,91.95,80.36,84.76,B
328,14,2024-10-01,87.39,86.78,83.73,78.59,88.55,85.53,B
329,14,2024-11-01,89.6,86.25,83.01,96.33,73.13,85.97,B
330,14,2024-12-01,89.3,81.89,84.86,71.28,83.82,83.62,B
331,14,2025-01-01,88.99,82.54,80.97,84.15,84.75,84.14,B
332,14,2025-02-01,85.41,87.46,82.52,95.93,71.5,84.96,B
333,14,2025-03-01,85.49,86.32,84.3,76.8,79.88,84.01,B
334,14,2025-04-01,89.77,87.87,81.14,76.24,77.3,84.44,B
335,14,2025-05-01,85.86,84.86,84.37,83.63,90.24,85.4,B
336,14,2025-06-01,81.64,81.57,84.63,95.83,96.26,85.25,B
337,14,2025-07-01,84.65,87.37,82.13,68.1,86.6,83.38,B
338,14,2025-08-01,80.2,86.34,82.59,81.64,79.86,82.75,B
339,14,2025-09-01,90.51,86.47,80.67,97.74,91.17,87.63,B
340,14,2025-10-01,91.34,86.51,87.22,77.71,96.62,88.03,B
341,14,2025-11-01,84.82,91.58,80.69,67.35,78.68,83.46,B
342,14,2025-12-01,90.74,85.62,85.15,66.78,70.11,83.35,B
343,14,2026-01-01,88.94,83.83,87.53,68.36,83.14,84.42,B
344,14,2026-02-01,86.64,90.72,88.22,76.86,95.77,88.2,B
345,14,2026-03-01,82.89,80.25,87.47,87.45,79.45,83.35,B
346,14,2026-04-01,82.86,86.31,80.82,76.17,87.95,83.22,B
347,14,2026-05-01,85.28,87.63,87.35,90.79,87.74,87.3,B
348,14,2026-06-01,80.85,88.77,85.71,95.2,90.21,86.81,B
349,14,2026-07-01,81.04,80.45,82.23,65.85,76.01,79.14,C
350,14,2026-08-01,91.18,81.44,88.12,85.86,86.58,86.5,B
351,15,2024-08-01,75.82,78.43,87.94,69.44,92.64,80.68,B
352,15,2024-09-01,74.8,75.81,87.21,91.29,87.93,81.17,B
353,15,2024-10-01,71.55,84.44,83.2,88.78,83.03,81.2,B
354,15,2024-11-01,76.06,72.34,85.48,72.8,86.14,77.98,C
355,15,2024-12-01,75.02,80.98,84.46,89.21,94.27,82.51,B
356,15,2025-01-01,81.41,73.37,84.09,88.78,95.16,81.78,B
357,15,2025-02-01,76.03,76.91,81.1,69.77,73.79,76.71,C
358,15,2025-03-01,72.7,77.71,81.49,74.98,94.49,78.81,C
359,15,2025-04-01,81.4,76.32,84.63,78.08,70.64,79.28,C
360,15,2025-05-01,71.67,79.05,87.67,86.14,77.16,79.88,C
361,15,2025-06-01,80.71,79.56,80.82,87.71,96.52,82.67,B
362,15,2025-07-01,76.69,82.15,86.28,72.09,92.28,81.82,B
363,15,2025-08-01,79.19,81.17,82.67,88.52,93.9,83.06,B
364,15,2025-09-01,79.25,72.81,85.73,79.09,73.07,78.3,C
365,15,2025-10-01,74.96,82.46,87.97,79.55,96.62,83.09,B
366,15,2025-11-01,72.74,77.95,82.72,87.39,80.66,79.06,C
367,15,2025-12-01,81.09,79.88,82.95,67.03,92.64,80.94,B
368,15,2026-01-01,71.7,76.04,81.68,86.02,76.94,77.45,C
369,15,2026-02-01,71.54,78.64,88.56,73.0,97.7,80.69,B
370,15,2026-03-01,77.01,83.73,88.6,69.23,97.65,83.21,B
371,15,2026-04-01,71.76,82.78,87.77,97.41,88.33,83.29,B
372,15,2026-05-01,72.52,80.39,88.56,65.29,92.23,80.14,B
373,15,2026-06-01,74.48,74.28,85.18,87.19,82.76,79.2,C
374,15,2026-07-01,73.34,84.46,86.3,82.44,90.61,82.55,B
375,15,2026-08-01,81.55,78.38,83.48,71.66,76.24,79.56,C
376,16,2024-08-01,98.42,74.67,88.86,94.28,93.25,87.97,B
