payment_id,payment_code,customer_id,payment_date,payment_amount,payment_method
68,回款-000068,6,2025-01-08,203372.08,承兑汇票
69,回款-000069,53,2025-02-14,348932.46,承兑汇票
70,回款-000070,66,2025-02-13,721043.04,承兑汇票
71,回款-000071,57,2025-01-30,1276059.0,银行转账
72,回款-000072,77,2025-02-03,257777.15,承兑汇票
73,回款-000073,67,2025-02-17,724737.72,承兑汇票
74,回款-000074,28,2025-02-15,245399.98,银行转账
75,回款-000075,27,2024-12-20,796993.44,银行转账
76,回款-000076,65,2025-02-07,377344.48,承兑汇票
77,回款-000077,46,2025-03-19,619146.51,承兑汇票
78,回款-000078,71,2025-02-11,445643.91,承兑汇票
79,回款-000079,34,2025-03-07,565805.58,承兑汇票
80,回款-000080,62,2025-02-07,1072942.7,银行转账
81,回款-000081,66,2025-02-26,302711.57,承兑汇票
82,回款-000082,15,2025-03-13,241305.33,承兑汇票
83,回款-000083,65,2025-01-30,186274.97,承兑汇票
84,回款-000084,48,2025-04-02,482723.73,承兑汇票
85,回款-000085,27,2025-01-03,332561.96,银行转账
86,回款-000086,36,2025-02-01,356213.6,承兑汇票
87,回款-000087,45,2025-02-26,160874.99,承兑汇票
88,回款-000088,33,2025-01-20,228274.2,银行转账
89,回款-000089,31,2025-03-18,776205.24,银行转账
90,回款-000090,24,2025-02-13,232519.89,银行转账
91,回款-000091,1,2025-01-21,712088.8,承兑汇票
92,回款-000092,61,2025-01-31,398204.5,承兑汇票
93,回款-000093,43,2025-01-12,499817.46,承兑汇票
94,回款-000094,69,2024-12-24,487472.88,承兑汇票
95,回款-000095,66,2025-02-01,232243.96,银行转账
96,回款-000096,80,2025-04-27,551144.3,银行转账
97,回款-000097,53,2025-02-05,233829.87,承兑汇票
98,回款-000098,49,2025-04-04,898271.15,银行转账
99,回款-000099,38,2025-02-15,403299.36,承兑汇票
100,回款-000100,53,2025-02-02,1431013.8,银行转账
101,回款-000101,57,2025-04-08,327155.96,承兑汇票
102,回款-000102,59,2025-03-09,373104.68,承兑汇票
103,回款-000103,15,2025-04-05,421654.72,银行转账
104,回款-000104,56,2025-02-06,67759.84,银行转账
105,回款-000105,59,2025-04-30,790021.4,银行转账
106,回款-000106,78,2025-02-19,198993.7,承兑汇票
107,回款-000107,35,2025-04-29,168572.71,承兑汇票
108,回款-000108,76,2025-03-03,210714.12,承兑汇票
109,回款-000109,32,2025-04-18,331427.86,承兑汇票
110,回款-000110,67,2025-03-27,533485.86,承兑汇票
111,回款-000111,1,2025-01-23,882161.32,承兑汇票
112,回款-000112,6,2025-03-06,375502.73,银行转账
113,回款-000113,62,2025-03-13,100746.78,银行转账
114,回款-000114,9,2025-01-24,839223.0,银行转账
115,回款-000115,3,2025-02-01,1202713.32,银行转账
116,回款-000116,71,2025-02-27,516234.1,承兑汇票
117,回款-000117,46,2025-01-24,238965.38,银行转账
118,回款-000118,70,2025-04-18,1162704.96,承兑汇票
119,回款-000119,16,2025-04-17,194492.05,承兑汇票
120,回款-000120,22,2025-04-22,896563.12,承兑汇票
121,回款-000121,22,2025-03-27,334178.74,承兑汇票
122,回款-000122,72,2025-02-22,427369.28,承兑汇票
123,回款-000123,66,2025-01-17,649151.01,银行转账
124,回款-000124,16,2025-04-13,635425.44,承兑汇票
125,回款-000125,5,2025-04-20,157491.52,银行转账
126,回款-000126,44,2025-01-15,265786.5,承兑汇票
127,回款-000127,26,2025-02-15,1187179.02,承兑汇票
128,回款-000128,1,2025-03-09,291844.12,银行转账
129,回款-000129,21,2025-02-20,569321.61,承兑汇票
130,回款-000130,26,2025-04-06,236104.91,银行转账
131,回款-000131,76,2025-04-19,422529.0,承兑汇票
132,回款-000132,4,2025-01-07,199162.88,银行转账
133,回款-000133,80,2025-03-12,624120.27,银行转账
134,回款-000134,5,2025-05-12,362540.24,银行转账
135,回款-000135,57,2025-03-15,186626.39,银行转账
136,回款-000136,80,2025-03-17,1029953.12,银行转账
137,回款-000137,46,2024-12-28,1232497.5,承兑汇票
138,回款-000138,38,2025-03-04,903248.1,银行转账
139,回款-000139,30,2025-05-11,172361.04,承兑汇票
140,回款-000140,62,2025-04-05,128966.0,承兑汇票
141,回款-000141,79,2025-04-25,664993.48,银行转账
142,回款-000142,65,2025-04-13,143997.72,承兑汇票
143,回款-000143,28,2025-02-26,167781.98,银行转账
144,回款-000144,17,2025-04-14,569952.72,承兑汇票
145,回款-000145,58,2025-05-13,331706.28,银行转账
146,回款-000146,55,2025-03-20,455637.07,银行转账
147,回款-000147,35,2025-06-19,698069.49,承兑汇票
148,回款-000148,24,2025-03-28,186633.04,银行转账
149,回款-000149,17,2025-02-01,194025.64,银行转账
150,回款-000150,73,2025-02-20,306262.75,承兑汇票
151,回款-000151,23,2025-05-14,539739.84,承兑汇票
152,回款-000152,15,2025-04-04,934229.58,银行转账
153,回款-000153,56,2025-04-24,1058377.68,银行转账
154,回款-000154,79,2025-04-08,940133.16,承兑汇票
155,回款-000155,59,2025-04-09,363102.34,银行转账
156,回款-000156,58,2025-03-21,355512.35,承兑汇票
157,回款-000157,6,2025-04-09,647061.44,银行转账
158,回款-000158,47,2025-04-13,230770.16,银行转账
159,回款-000159,80,2025-05-15,499710.2,银行转账
160,回款-000160,5,2025-03-28,698791.87,银行转账
161,回款-000161,33,2025-03-17,735063.2,银行转账
162,回款-000162,78,2025-03-09,996396.35,银行转账
163,回款-000163,1,2025-03-30,362085.13,银行转账
164,回款-000164,66,2025-03-02,512816.25,银行转账
165,回款-000165,61,2025-02-15,118479.1,银行转账
166,回款-000166,9,2025-03-11,729706.35,承兑汇票
167,回款-000167,40,2025-03-02,1002352.35,承兑汇票
168,回款-000168,23,2025-05-15,239851.63,承兑汇票
169,回款-000169,54,2025-05-08,161190.1,银行转账
170,回款-000170,53,2025-02-10,653139.64,承兑汇票
171,回款-000171,33,2025-03-23,348202.68,银行转账
172,回款-000172,59,2025-04-15,212551.66,承兑汇票
173,回款-000173,46,2025-03-06,534643.1,承兑汇票
174,回款-000174,29,2025-02-05,622919.46,承兑汇票
175,回款-000175,64,2025-02-07,1354274.68,承兑汇票
176,回款-000176,4,2025-04-20,676188.42,承兑汇票
177,回款-000177,20,2025-02-20,1551655.95,承兑汇票
178,回款-000178,25,2025-04-20,646255.29,承兑汇票
179,回款-000179,58,2025-03-12,896041.3,承兑汇票
180,回款-000180,25,2025-02-21,760499.97,承兑汇票
181,回款-000181,46,2025-03-25,517765.28,银行转账
182,回款-000182,35,2025-05-24,265077.22,银行转账
183,回款-000183,7,2025-05-24,595950.96,承兑汇票
184,回款-000184,15,2025-03-05,290520.24,承兑汇票
185,回款-000185,54,2025-03-24,282328.18,银行转账
186,回款-000186,35,2025-05-14,175951.72,银行转账
187,回款-000187,23,2025-05-13,303382.19,银行转账
188,回款-000188,58,2025-04-01,551115.58,承兑汇票
189,回款-000189,48,2025-04-08,207733.88,银行转账
190,回款-000190,52,2025-05-05,638436.56,承兑汇票
191,回款-000191,59,2025-04-23,898724.99,承兑汇票
192,回款-000192,11,2025-01-23,539758.32,银行转账
193,回款-000193,52,2025-04-30,244704.3,承兑汇票
194,回款-000194,72,2025-03-06,208070.01,承兑汇票
195,回款-000195,31,2025-05-22,232925.29,承兑汇票
196,回款-000196,15,2025-05-14,501226.76,承兑汇票
197,回款-000197,80,2025-04-28,1438276.4,承兑汇票
198,回款-000198,21,2025-02-14,734899.14,银行转账
199,回款-000199,38,2025-04-08,961998.56,银行转账
200,回款-000200,45,2025-03-12,118129.37,银行转账
201,回款-000201,75,2025-03-17,265999.05,承兑汇票
202,回款-000202,44,2025-01-19,1294919.95,承兑汇票
203,回款-000203,76,2025-04-30,926982.96,银行转账
204,回款-000204,47,2025-03-30,89990.47,银行转账
205,回款-000205,9,2025-03-10,771241.83,银行转账
206,回款-000206,59,2025-05-08,498444.42,承兑汇票
207,回款-000207,13,2025-04-10,1005340.68,承兑汇票
208,回款-000208,69,2025-03-21,209241.48,银行转账
209,回款-000209,41,2025-03-15,396547.36,承兑汇票
210,回款-000210,43,2025-03-16,341594.1,银行转账
211,回款-000211,37,2025-04-11,762458.2,银行转账
212,回款-000212,43,2025-04-13,796515.24,承兑汇票
213,回款-000213,13,2025-05-09,503572.48,银行转账
214,回款-000214,57,2025-06-09,575445.7,承兑汇票
215,回款-000215,55,2025-04-01,395668.9,承兑汇票
216,回款-000216,30,2025-05-12,216018.7,银行转账
217,回款-000217,58,2025-05-10,111313.31,银行转账
218,回款-000218,51,2025-04-23,188963.8,承兑汇票
219,回款-000219,61,2025-03-20,930263.22,承兑汇票
220,回款-000220,23,2025-07-04,276523.73,承兑汇票
221,回款-000221,21,2025-03-30,305797.52,银行转账
222,回款-000222,57,2025-05-16,770499.69,银行转账
223,回款-000223,9,2025-04-29,508914.84,银行转账
224,回款-000224,36,2025-05-20,514104.23,银行转账
225,回款-000225,34,2025-03-27,760000.54,承兑汇票
226,回款-000226,74,2025-04-29,506227.83,承兑汇票
227,回款-000227,69,2025-02-27,938062.28,承兑汇票
228,回款-000228,47,2025-04-15,82759.66,承兑汇票
229,回款-000229,67,2025-05-27,1521860.45,银行转账
230,回款-000230,64,2025-04-26,1434908.45,承兑汇票
231,回款-000231,78,2025-04-16,159069.88,银行转账
232,回款-000232,45,2025-04-21,1006738.34,银行转账
233,回款-000233,23,2025-04-10,248974.31,承兑汇票
234,回款-000234,25,2025-03-21,211070.75,承兑汇票
235,回款-000235,16,2025-05-05,385792.88,银行转账
236,回款-000236,2,2025-02-22,176716.59,银行转账
237,回款-000237,49,2025-06-06,565454.92,承兑汇票
238,回款-000238,16,2025-04-02,126936.02,银行转账
239,回款-000239,64,2025-04-23,382410.36,银行转账
240,回款-000240,45,2025-06-12,276747.02,银行转账
241,回款-000241,64,2025-04-10,1086881.45,承兑汇票
242,回款-000242,57,2025-03-27,134753.88,承兑汇票
243,回款-000243,55,2025-05-24,343475.53,银行转账
244,回款-000244,66,2025-06-08,706327.48,银行转账
245,回款-000245,7,2025-06-30,589251.44,承兑汇票
246,回款-000246,62,2025-04-21,456406.08,银行转账
247,回款-000247,23,2025-05-23,160457.88,承兑汇票
248,回款-000248,19,2025-04-08,387304.38,银行转账
249,回款-000249,18,2025-04-06,1459570.52,银行转账
250,回款-000250,49,2025-05-31,980730.68,承兑汇票
251,回款-000251,44,2025-04-26,211590.32,承兑汇票
252,回款-000252,7,2025-06-14,400056.54,银行转账
253,回款-000253,7,2025-04-19,156245.71,承兑汇票
254,回款-000254,55,2025-05-05,514579.34,银行转账
255,回款-000255,43,2025-04-13,248252.6,承兑汇票
256,回款-000256,50,2025-03-18,164436.61,承兑汇票
257,回款-000257,18,2025-04-28,263043.72,承兑汇票
258,回款-000258,50,2025-06-04,910465.85,银行转账
259,回款-000259,22,2025-05-17,100913.83,银行转账
260,回款-000260,72,2025-05-07,715865.28,银行转账
261,回款-000261,32,2025-05-23,487567.42,承兑汇票
262,回款-000262,8,2025-04-25,621875.49,承兑汇票
263,回款-000263,17,2025-04-25,316008.75,承兑汇票
264,回款-000264,13,2025-06-01,345682.48,银行转账
265,回款-000265,17,2025-05-04,201868.1,承兑汇票
266,回款-000266,78,2025-03-18,735505.08,承兑汇票
267,回款-000267,66,2025-02-25,1279481.25,银行转账
268,回款-000268,79,2025-05-08,121580.31,银行转账
269,回款-000269,69,2025-04-04,131316.25,承兑汇票
270,回款-000270,50,2025-04-18,211164.19,承兑汇票
271,回款-000271,12,2025-05-16,242327.44,承兑汇票
272,回款-000272,62,2025-04-08,417298.15,承兑汇票
273,回款-000273,35,2025-06-08,279618.68,承兑汇票
274,回款-000274,64,2025-04-21,656516.96,银行转账
275,回款-000275,80,2025-04-08,429253.46,承兑汇票
276,回款-000276,22,2025-05-17,427700.04,银行转账
277,回款-000277,71,2025-06-14,467781.54,银行转账
278,回款-000278,77,2025-06-03,98311.75,承兑汇票
279,回款-000279,43,2025-04-14,1037826.69,银行转账
280,回款-000280,62,2025-04-09,1288257.35,银行转账
281,回款-000281,6,2025-06-07,195522.7,银行转账
282,回款-000282,17,2025-06-07,782606.34,承兑汇票
283,回款-000283,67,2025-07-01,1446437.92,承兑汇票
284,回款-000284,53,2025-06-27,605931.84,银行转账
285,回款-000285,24,2025-05-12,263296.99,承兑汇票
286,回款-000286,36,2025-04-11,413324.44,银行转账
287,回款-000287,53,2025-04-30,584374.54,承兑汇票
288,回款-000288,21,2025-04-23,508262.38,承兑汇票
289,回款-000289,60,2025-05-12,1432321.9,银行转账
290,回款-000290,1,2025-04-25,181368.63,银行转账
291,回款-000291,29,2025-04-17,472461.18,承兑汇票
292,回款-000292,77,2025-06-18,1056211.3,银行转账
293,回款-000293,46,2025-06-13,285345.1,承兑汇票
294,回款-000294,37,2025-05-15,215807.81,银行转账
295,回款-000295,69,2025-05-15,327456.48,银行转账
296,回款-000296,15,2025-05-12,601287.15,承兑汇票
297,回款-000297,20,2025-04-29,123553.92,承兑汇票
298,回款-000298,37,2025-05-22,212388.42,承兑汇票
299,回款-000299,71,2025-05-26,176675.01,承兑汇票
300,回款-000300,67,2025-06-30,181022.72,银行转账
301,回款-000301,22,2025-07-10,162730.21,承兑汇票
302,回款-000302,18,2025-04-25,1210683.84,承兑汇票
303,回款-000303,78,2025-05-26,187551.56,承兑汇票
304,回款-000304,78,2025-06-02,1599118.2,银行转账
305,回款-000305,17,2025-05-22,933177.64,承兑汇票
306,回款-000306,26,2025-05-08,184025.99,承兑汇票
307,回款-000307,32,2025-05-26,549994.74,银行转账
308,回款-000308,17,2025-04-18,180409.82,承兑汇票
309,回款-000309,44,2025-05-12,231048.78,银行转账
310,回款-000310,42,2025-05-07,1160343.6,银行转账
311,回款-000311,70,2025-07-04,440034.74,承兑汇票
312,回款-000312,78,2025-06-06,184152.96,承兑汇票
313,回款-000313,39,2025-07-15,248764.39,承兑汇票
314,回款-000314,23,2025-08-18,239643.1,银行转账
315,回款-000315,31,2025-05-27,494915.88,承兑汇票
316,回款-000316,23,2025-08-04,369716.26,承兑汇票
317,回款-000317,73,2025-05-14,220411.25,银行转账
318,回款-000318,66,2025-05-23,145634.35,银行转账
319,回款-000319,31,2025-06-29,454330.18,承兑汇票
320,回款-000320,25,2025-06-13,322802.96,银行转账
321,回款-000321,68,2025-06-05,300135.87,承兑汇票
322,回款-000322,25,2025-04-24,428822.42,承兑汇票
323,回款-000323,43,2025-06-08,267624.54,承兑汇票
324,回款-000324,20,2025-05-15,787124.6,银行转账
325,回款-000325,27,2025-05-13,894107.7,承兑汇票
326,回款-000326,19,2025-08-06,363731.84,银行转账
327,回款-000327,32,2025-06-15,738674.46,承兑汇票
328,回款-000328,36,2025-05-12,359835.28,银行转账
329,回款-000329,57,2025-05-02,551023.68,银行转账
330,回款-000330,31,2025-06-20,310576.07,银行转账
331,回款-000331,80,2025-07-13,941674.56,承兑汇票
332,回款-000332,5,2025-06-15,207699.75,银行转账
333,回款-000333,60,2025-06-26,905582.04,银行转账
334,回款-000334,30,2025-06-18,84253.83,承兑汇票
335,回款-000335,48,2025-08-16,185263.73,银行转账
336,回款-000336,37,2025-04-29,133046.84,承兑汇票
337,回款-000337,4,2025-04-18,517509.75,承兑汇票
338,回款-000338,15,2025-07-20,1126819.4,承兑汇票
339,回款-000339,21,2025-05-22,768836.16,承兑汇票
340,回款-000340,62,2025-06-24,673487.92,银行转账
341,回款-000341,22,2025-06-22,91505.23,银行转账
342,回款-000342,41,2025-05-09,795008.64,承兑汇票
343,回款-000343,11,2025-05-03,523397.67,承兑汇票
344,回款-000344,5,2025-06-27,306470.42,银行转账
345,回款-000345,32,2025-06-18,202226.89,银行转账
346,回款-000346,35,2025-06-18,933434.32,银行转账
347,回款-000347,15,2025-07-23,318347.76,银行转账
348,回款-000348,12,2025-06-29,352450.14,银行转账
349,回款-000349,5,2025-07-14,247372.64,承兑汇票
350,回款-000350,12,2025-06-16,428341.25,银行转账
351,回款-000351,52,2025-05-28,190027.22,承兑汇票
352,回款-000352,5,2025-07-20,657403.44,银行转账
353,回款-000353,64,2025-06-04,329522.98,承兑汇票
354,回款-000354,29,2025-06-18,868549.88,承兑汇票
355,回款-000355,13,2025-07-28,989290.32,银行转账
356,回款-000356,79,2025-07-13,348433.86,承兑汇票
357,回款-000357,3,2025-07-12,395736.8,银行转账
358,回款-000358,30,2025-07-30,267188.02,承兑汇票
359,回款-000359,40,2025-05-04,168674.46,银行转账
360,回款-000360,39,2025-08-09,1316208.32,银行转账
361,回款-000361,70,2025-05-29,915354.36,银行转账
362,回款-000362,77,2025-06-06,584220.09,承兑汇票
363,回款-000363,21,2025-03-26,244241.09,承兑汇票
364,回款-000364,51,2025-06-22,385042.9,银行转账
365,回款-000365,50,2025-08-08,180829.3,承兑汇票
366,回款-000366,10,2025-05-27,390840.5,承兑汇票
367,回款-000367,80,2025-08-31,328343.0,银行转账
368,回款-000368,76,2025-07-26,1078373.3,承兑汇票
369,回款-000369,35,2025-09-15,399559.06,承兑汇票
370,回款-000370,25,2025-06-13,520899.98,承兑汇票
371,回款-000371,80,2025-08-07,491271.38,承兑汇票
372,回款-000372,10,2025-07-17,349447.46,银行转账
373,回款-000373,8,2025-08-30,164428.04,承兑汇票
374,回款-000374,21,2025-05-04,112572.55,承兑汇票
375,回款-000375,25,2025-06-22,839381.76,承兑汇票
376,回款-000376,24,2025-05-30,691456.64,承兑汇票
377,回款-000377,23,2025-08-31,827194.54,银行转账
378,回款-000378,46,2025-05-06,296633.48,银行转账
379,回款-000379,38,2025-07-29,150409.13,银行转账
380,回款-000380,13,2025-07-04,219305.08,银行转账
381,回款-000381,29,2025-06-12,185752.55,承兑汇票
382,回款-000382,50,2025-08-19,1186485.55,银行转账
383,回款-000383,22,2025-07-06,446005.27,银行转账
384,回款-000384,67,2025-09-30,388291.76,银行转账
385,回款-000385,75,2025-05-26,1447292.76,承兑汇票
386,回款-000386,4,2025-06-30,197183.86,承兑汇票
387,回款-000387,72,2025-05-24,1227956.45,银行转账
388,回款-000388,45,2025-09-10,138166.9,银行转账
389,回款-000389,51,2025-07-09,442042.56,银行转账
390,回款-000390,24,2025-07-22,473250.56,承兑汇票
391,回款-000391,79,2025-09-21,804194.94,银行转账
392,回款-000392,34,2025-05-30,927509.37,承兑汇票
393,回款-000393,40,2025-05-05,1186991.45,银行转账
394,回款-000394,10,2025-07-28,732830.88,承兑汇票
395,回款-000395,51,2025-05-13,158059.41,银行转账
396,回款-000396,2,2025-05-28,1081657.47,承兑汇票
397,回款-000397,36,2025-06-30,201554.25,银行转账
398,回款-000398,78,2025-08-13,1134131.2,银行转账
399,回款-000399,13,2025-09-26,512666.64,承兑汇票
400,回款-000400,64,2025-05-07,960338.2,承兑汇票
401,回款-000401,3,2025-08-17,277230.53,银行转账
402,回款-000402,53,2025-06-26,536714.02,承兑汇票
403,回款-000403,3,2025-06-23,133218.23,银行转账
404,回款-000404,11,2025-05-23,314673.68,银行转账
405,回款-000405,49,2025-06-05,893118.45,银行转账
406,回款-000406,39,2025-06-11,745739.22,银行转账
407,回款-000407,10,2025-09-03,218406.08,承兑汇票
408,回款-000408,32,2025-07-24,69419.0,银行转账
409,回款-000409,79,2025-08-20,948129.2,银行转账
410,回款-000410,2,2025-06-24,238371.48,承兑汇票
411,回款-000411,29,2025-06-30,284101.77,银行转账
412,回款-000412,8,2025-08-06,144187.52,承兑汇票
413,回款-000413,7,2025-08-01,158255.96,承兑汇票
414,回款-000414,73,2025-05-23,334565.2,承兑汇票
415,回款-000415,36,2025-08-28,938215.32,承兑汇票
416,回款-000416,59,2025-06-10,967063.2,承兑汇票
417,回款-000417,55,2025-06-01,200584.75,承兑汇票
418,回款-000418,13,2025-08-24,923030.32,银行转账
419,回款-000419,13,2025-08-04,393592.13,承兑汇票
420,回款-000420,16,2025-06-26,241319.04,银行转账
421,回款-000421,33,2025-05-30,443914.82,银行转账
422,回款-000422,75,2025-07-15,180063.75,银行转账
423,回款-000423,72,2025-06-26,494535.36,银行转账
424,回款-000424,14,2025-05-25,274917.89,银行转账
425,回款-000425,10,2025-08-12,352588.96,承兑汇票
426,回款-000426,34,2025-05-02,208209.25,承兑汇票
427,回款-000427,67,2025-07-17,404291.75,承兑汇票
428,回款-000428,64,2025-05-12,131491.01,承兑汇票
429,回款-000429,11,2025-06-01,505800.58,承兑汇票
430,回款-000430,39,2025-06-28,87867.98,承兑汇票
431,回款-000431,41,2025-07-23,864446.94,银行转账
432,回款-000432,21,2025-06-03,249510.7,承兑汇票
433,回款-000433,71,2025-08-05,544448.18,银行转账
434,回款-000434,20,2025-05-17,190767.55,银行转账
435,回款-000435,26,2025-08-19,1630296.28,承兑汇票
436,回款-000436,19,2025-08-28,1026283.59,银行转账
437,回款-000437,78,2025-06-17,251896.83,承兑汇票
438,回款-000438,78,2025-08-25,279295.26,承兑汇票
439,回款-000439,40,2025-07-26,315328.3,银行转账
440,回款-000440,45,2025-08-07,513940.0,银行转账
441,回款-000441,39,2025-07-14,252759.44,承兑汇票
442,回款-000442,49,2025-08-03,139993.56,银行转账
443,回款-000443,74,2025-07-12,227924.64,银行转账
444,回款-000444,51,2025-07-25,170217.67,承兑汇票
445,回款-000445,56,2025-09-13,756281.19,承兑汇票
446,回款-000446,19,2025-08-24,545966.56,银行转账
447,回款-000447,71,2025-10-11,242414.88,银行转账
448,回款-000448,55,2025-06-24,527634.69,承兑汇票
449,回款-000449,5,2025-08-15,606049.35,银行转账
450,回款-000450,63,2025-06-21,166526.43,银行转账
451,回款-000451,69,2025-06-30,329657.28,银行转账
452,回款-000452,17,2025-07-02,99032.08,承兑汇票
453,回款-000453,32,2025-08-15,534329.6,承兑汇票
454,回款-000454,38,2025-07-02,261653.41,承兑汇票
455,回款-000455,12,2025-09-10,370392.56,银行转账
456,回款-000456,8,2025-08-26,228366.71,承兑汇票
457,回款-000457,53,2025-08-19,367127.06,银行转账
458,回款-000458,19,2025-08-29,226675.44,银行转账
459,回款-000459,57,2025-07-12,301541.02,承兑汇票
460,回款-000460,66,2025-08-20,507894.7,银行转账
461,回款-000461,24,2025-06-09,896573.85,承兑汇票
462,回款-000462,18,2025-05-15,131368.75,银行转账
463,回款-000463,59,2025-10-10,293445.56,银行转账
464,回款-000464,34,2025-06-06,193241.19,银行转账
465,回款-000465,63,2025-08-06,488663.73,承兑汇票
466,回款-000466,44,2025-06-16,95840.3,承兑汇票
467,回款-000467,45,2025-08-21,270542.32,承兑汇票
468,回款-000468,47,2025-08-12,528899.16,银行转账
469,回款-000469,8,2025-06-20,656167.44,银行转账
470,回款-000470,57,2025-09-03,81096.11,承兑汇票
471,回款-000471,17,2025-07-10,814916.28,银行转账
472,回款-000472,75,2025-07-23,713737.65,银行转账
473,回款-000473,37,2025-06-26,613089.6,银行转账
474,回款-000474,8,2025-08-23,556350.45,承兑汇票
475,回款-000475,7,2025-10-11,81182.82,银行转账
476,回款-000476,53,2025-07-28,1076063.7,银行转账
477,回款-000477,29,2025-07-22,1186018.64,承兑汇票
478,回款-000478,49,2025-07-19,268361.88,承兑汇票
479,回款-000479,4,2025-08-12,244367.54,承兑汇票
480,回款-000480,28,2025-05-22,348702.52,承兑汇票
481,回款-000481,18,2025-07-16,186160.98,承兑汇票
482,回款-000482,37,2025-06-17,249852.79,承兑汇票
483,回款-000483,5,2025-10-03,191252.95,承兑汇票
484,回款-000484,75,2025-08-12,396211.72,银行转账
485,回款-000485,47,2025-06-19,216974.48,承兑汇票
486,回款-000486,19,2025-09-06,223551.75,承兑汇票
487,回款-000487,19,2025-10-26,95231.8,承兑汇票
488,回款-000488,80,2025-10-08,156084.88,银行转账
489,回款-000489,60,2025-08-29,154699.55,银行转账
490,回款-000490,10,2025-09-19,543420.45,承兑汇票
491,回款-000491,10,2025-11-08,273427.62,银行转账
492,回款-000492,17,2025-08-29,225279.97,承兑汇票
493,回款-000493,37,2025-06-27,713350.92,承兑汇票
494,回款-000494,51,2025-08-28,772038.99,承兑汇票
495,回款-000495,57,2025-08-27,1204684.0,银行转账
