quality_inspection_id,inspection_code,inspection_type,supplier_id,material_id,production_order_id,inspection_date,inspected_qty,accepted_qty,rejected_qty,result,defect_type
237,来料检验-000237,来料检验,26,34,,2026-01-18,1170.0822,1170.0822,0.0,合格,
238,来料检验-000238,来料检验,18,55,,2026-04-05,22,22,0,合格,
239,来料检验-000239,来料检验,12,81,,2025-10-01,95,95,0,合格,
240,来料检验-000240,来料检验,22,68,,2025-05-24,204.0838,204.0838,0.0,合格,
241,来料检验-000241,来料检验,19,115,,2026-05-03,56.5305,56.5305,0.0,合格,
242,来料检验-000242,来料检验,13,80,,2025-03-17,62,62,0,合格,
243,来料检验-000243,来料检验,44,67,,2025-11-21,553.5559,553.5559,0.0,合格,
244,来料检验-000244,来料检验,39,73,,2026-04-25,21,18,3,不合格,性能不达标
245,来料检验-000245,来料检验,50,119,,2025-05-06,58,58,0,合格,
246,来料检验-000246,来料检验,13,58,,2024-09-12,997.7819,997.7819,0.0,合格,
247,来料检验-000247,来料检验,29,97,,2025-04-05,128,128,0,合格,
248,来料检验-000248,来料检验,43,108,,2026-06-10,327.5929,327.5929,0.0,合格,
249,来料检验-000249,来料检验,15,23,,2026-08-03,41,41,0,合格,
250,来料检验-000250,来料检验,19,81,,2025-10-26,151,151,0,合格,
251,来料检验-000251,来料检验,37,117,,2025-12-24,12,12,0,合格,
252,来料检验-000252,来料检验,25,101,,2025-04-13,99,99,0,合格,
253,来料检验-000253,来料检验,13,8,,2025-01-14,126,126,0,合格,
254,来料检验-000254,来料检验,21,77,,2025-07-17,77,77,0,合格,
255,来料检验-000255,来料检验,1,1,,2024-10-13,138.5384,138.5384,0.0,合格,
256,来料检验-000256,来料检验,31,79,,2026-06-17,70,70,0,合格,
257,来料检验-000257,来料检验,43,16,,2024-12-10,103,103,0,合格,
258,来料检验-000258,来料检验,26,80,,2026-06-02,34,34,0,合格,
259,来料检验-000259,来料检验,11,79,,2025-11-21,33,33,0,合格,
260,来料检验-000260,来料检验,12,26,,2025-09-11,273.8171,273.8171,0.0,合格,
261,来料检验-000261,来料检验,34,106,,2026-04-23,59.9022,59.9022,0.0,合格,
262,来料检验-000262,来料检验,42,33,,2026-01-23,159,159,0,合格,
263,来料检验-000263,来料检验,39,73,,2026-05-18,157,148,9,不合格,性能不达标
264,来料检验-000264,来料检验,40,68,,2026-01-20,524.6402,524.6402,0.0,合格,
265,来料检验-000265,来料检验,16,70,,2024-08-17,125,125,0,合格,
266,来料检验-000266,来料检验,43,107,,2025-08-21,1004.5942,1004.5942,0.0,合格,
267,来料检验-000267,来料检验,18,46,,2026-04-18,44,44,0,合格,
268,来料检验-000268,来料检验,47,69,,2025-09-17,131,131,0,合格,
269,来料检验-000269,来料检验,49,40,,2025-11-10,13,13,0,合格,
270,来料检验-000270,来料检验,30,49,,2024-09-29,98,98,0,合格,
271,来料检验-000271,来料检验,10,56,,2024-09-29,27,27,0,合格,
272,来料检验-000272,来料检验,34,11,,2025-07-07,955.2675,955.2675,0.0,合格,
273,来料检验-000273,来料检验,47,113,,2026-08-03,76,76,0,合格,
274,来料检验-000274,来料检验,27,113,,2026-04-11,150,139,11,不合格,尺寸超差
275,来料检验-000275,来料检验,18,55,,2026-06-18,56,56,0,合格,
276,来料检验-000276,来料检验,3,65,,2025-10-11,36,36,0,合格,
277,来料检验-000277,来料检验,49,41,,2025-10-21,109,109,0,合格,
278,来料检验-000278,来料检验,9,70,,2025-01-08,15,15,0,合格,
279,来料检验-000279,来料检验,49,40,,2025-06-09,121,121,0,合格,
280,来料检验-000280,来料检验,46,16,,2025-12-09,141,141,0,合格,
281,来料检验-000281,来料检验,13,96,,2026-06-05,131,131,0,合格,
282,来料检验-000282,来料检验,35,24,,2024-11-21,13,13,0,合格,
283,来料检验-000283,来料检验,50,116,,2025-07-27,156.4729,156.4729,0.0,合格,
284,来料检验-000284,来料检验,36,8,,2025-04-03,133,133,0,合格,
285,来料检验-000285,来料检验,48,1,,2026-03-22,812.728,812.728,0.0,合格,
286,来料检验-000286,来料检验,14,71,,2026-01-26,139,139,0,合格,
287,来料检验-000287,来料检验,1,28,,2026-07-17,627.5181,627.5181,0.0,合格,
288,来料检验-000288,来料检验,13,65,,2025-07-29,72,72,0,合格,
289,来料检验-000289,来料检验,9,5,,2025-08-09,140,140,0,合格,
290,来料检验-000290,来料检验,34,74,,2025-09-13,1104.2083,1104.2083,0.0,合格,
291,来料检验-000291,来料检验,16,82,,2024-12-26,1061.1749,1061.1749,0.0,合格,
292,来料检验-000292,来料检验,17,59,,2024-10-06,146.6911,146.6911,0.0,合格,
293,来料检验-000293,来料检验,11,79,,2024-11-27,65,65,0,合格,
294,来料检验-000294,来料检验,47,89,,2026-05-15,85,85,0,合格,
295,来料检验-000295,来料检验,34,60,,2025-04-26,946.1336,946.1336,0.0,合格,
296,来料检验-000296,来料检验,44,51,,2025-09-22,624.4437,624.4437,0.0,合格,
297,来料检验-000297,来料检验,7,27,,2024-11-14,1149.1341,1149.1341,0.0,合格,
298,来料检验-000298,来料检验,44,105,,2026-04-06,123,123,0,合格,
299,来料检验-000299,来料检验,40,97,,2025-06-02,114,114,0,合格,
300,来料检验-000300,来料检验,48,89,,2025-01-29,96,96,0,合格,
301,来料检验-000301,来料检验,30,96,,2025-09-12,33,33,0,合格,
302,来料检验-000302,来料检验,5,108,,2024-09-11,957.9412,957.9412,0.0,合格,
303,来料检验-000303,来料检验,47,69,,2026-05-25,17,17,0,合格,
304,来料检验-000304,来料检验,35,107,,2025-03-17,538.4144,538.4144,0.0,合格,
305,来料检验-000305,来料检验,14,11,,2025-10-10,324.701,324.701,0.0,合格,
306,来料检验-000306,来料检验,41,114,,2025-08-28,840.0361,840.0361,0.0,合格,
307,来料检验-000307,来料检验,4,94,,2026-03-16,101,101,0,合格,
308,来料检验-000308,来料检验,48,1,,2025-01-12,848.587,848.587,0.0,合格,
309,来料检验-000309,来料检验,46,20,,2025-04-07,820.1856,820.1856,0.0,合格,
310,来料检验-000310,来料检验,3,65,,2025-12-20,83,83,0,合格,
311,来料检验-000311,来料检验,19,86,,2025-11-30,26,26,0,合格,
312,来料检验-000312,来料检验,15,3,,2024-11-03,134.4916,134.4916,0.0,合格,
313,来料检验-000313,来料检验,47,113,,2026-01-01,37,37,0,合格,
314,来料检验-000314,来料检验,39,97,,2025-11-13,61,61,0,合格,
315,来料检验-000315,来料检验,39,48,,2026-05-23,135,135,0,合格,
316,来料检验-000316,来料检验,24,64,,2025-04-12,84,84,0,合格,
317,来料检验-000317,来料检验,15,119,,2025-03-14,47,47,0,合格,
318,来料检验-000318,来料检验,39,104,,2025-11-29,108,108,0,合格,
319,来料检验-000319,来料检验,50,94,,2025-09-01,112,112,0,合格,
320,来料检验-000320,来料检验,22,57,,2025-12-11,27,27,0,合格,
321,来料检验-000321,来料检验,44,57,,2026-06-04,76,76,0,合格,
322,来料检验-000322,来料检验,44,105,,2024-09-24,75,75,0,合格,
323,来料检验-000323,来料检验,47,55,,2025-10-25,61,61,0,合格,
324,来料检验-000324,来料检验,11,38,,2026-04-10,103,103,0,合格,
325,来料检验-000325,来料检验,48,19,,2026-06-17,980.7865,980.7865,0.0,合格,
326,来料检验-000326,来料检验,45,93,,2025-07-24,7,7,0,合格,
327,来料检验-000327,来料检验,25,114,,2026-04-18,228.8674,228.8674,0.0,合格,
328,来料检验-000328,来料检验,4,16,,2025-01-30,127,127,0,合格,
329,来料检验-000329,来料检验,33,47,,2026-02-24,42,42,0,合格,
330,来料检验-000330,来料检验,30,14,,2024-12-21,104,104,0,合格,
331,来料检验-000331,来料检验,21,1,,2026-05-17,1073.3076,1073.3076,0.0,合格,
332,来料检验-000332,来料检验,23,16,,2026-04-01,144,144,0,合格,
333,来料检验-000333,来料检验,9,75,,2026-05-13,635.6417,635.6417,0.0,合格,
334,来料检验-000334,来料检验,13,65,,2025-08-14,11,11,0,合格,
335,来料检验-000335,来料检验,43,110,,2025-03-28,148,148,0,合格,
336,来料检验-000336,来料检验,29,74,,2025-01-24,637.0052,637.0052,0.0,合格,
337,来料检验-000337,来料检验,26,112,,2025-12-09,79,79,0,合格,
338,来料检验-000338,来料检验,26,80,,2025-12-16,77,77,0,合格,
339,来料检验-000339,来料检验,3,3,,2025-08-10,1177.8829,1177.8829,0.0,合格,
340,来料检验-000340,来料检验,3,106,,2025-11-09,935.8585,935.8585,0.0,合格,
341,来料检验-000341,来料检验,31,18,,2025-01-22,231.4713,231.4713,0.0,合格,
342,来料检验-000342,来料检验,40,111,,2026-03-16,51,51,0,合格,
343,来料检验-000343,来料检验,13,91,,2025-09-08,915.9424,915.9424,0.0,合格,
344,来料检验-000344,来料检验,44,105,,2025-12-27,107,107,0,合格,
345,来料检验-000345,来料检验,32,13,,2025-05-26,95,95,0,合格,
346,来料检验-000346,来料检验,18,46,,2025-03-28,111,111,0,合格,
347,来料检验-000347,来料检验,18,46,,2025-07-04,78,78,0,合格,
