order_cost_snapshot_id,sales_order_id,snapshot_date,material_cost,labor_cost,outsource_cost,overhead_cost,logistics_cost,total_cost,sales_revenue,gross_profit,gross_margin_rate,cost_type
34,34,2024-10-19,110965.93,24298.52,17898.39,29024.36,3221.61,185408.81,259735.23,74326.42,0.2862,实际
35,35,2024-10-19,120208.16,46253.72,14517.0,36340.56,3368.12,220687.56,297200.95,76513.39,0.2574,实际
36,36,2024-10-30,121051.43,33999.86,7534.95,23883.92,3214.66,189684.82,279532.73,89847.91,0.3214,实际
37,37,2024-10-18,232323.4,28698.1,38932.06,36564.34,6781.38,343299.28,518351.89,175052.61,0.3377,实际
38,38,2024-11-02,161233.68,50566.1,6535.92,26505.96,4194.24,249035.9,345813.83,96777.93,0.2799,实际
39,39,2024-12-06,399266.1,60674.85,138907.45,100307.1,13454.35,712609.8,878854.89,166245.09,0.1892,实际
40,40,2024-11-16,243272.04,43675.4,61660.16,62609.92,7623.3,418840.84,603184.43,184343.59,0.3056,实际
41,41,2024-11-30,142681.28,72733.7,59557.28,50539.9,5055.96,330568.14,420144.82,89576.68,0.2132,实际
42,42,2024-09-29,159715.01,15627.64,17365.19,36267.61,4427.0,233402.45,335847.61,102445.16,0.305,实际
43,43,2024-11-29,537577.8,64926.35,93084.75,100790.85,15766.55,812146.25,1171188.35,359042.1,0.3066,实际
44,44,2024-09-24,222820.36,31312.72,42895.24,49544.32,6642.88,353215.52,513032.67,159817.15,0.3115,实际
45,45,2024-10-14,103494.89,29445.48,23216.03,30950.2,3167.77,190274.38,247958.28,57683.9,0.2326,实际
46,46,2024-11-21,72000.52,64928.42,11413.56,29386.64,2085.36,179814.5,258701.38,78886.88,0.3049,实际
47,47,2024-12-07,114579.5,14175.67,15608.73,20961.64,3254.71,168580.25,250253.1,81672.85,0.3264,实际
48,48,2024-12-09,129011.68,9599.13,18793.58,31559.58,3695.13,192659.1,237275.51,44616.41,0.188,实际
49,49,2024-12-14,79853.22,12134.97,27781.49,20061.42,2690.87,142521.96,180347.2,37825.24,0.2097,实际
50,50,2024-12-19,96586.7,11647.99,26133.26,20114.88,3068.0,157550.83,227668.67,70117.84,0.308,实际
51,51,2024-11-26,111410.18,15656.36,21447.62,24772.16,3321.44,176607.76,244788.86,68181.1,0.2785,实际
52,52,2024-12-17,398831.04,40069.82,56687.82,78897.72,11387.98,585874.38,730243.04,144368.66,0.1977,实际
53,53,2024-10-19,329903.97,97278.45,71062.83,81861.69,10024.17,590131.08,790948.05,200816.97,0.2539,实际
54,54,2024-10-16,557050.9,78281.8,107238.1,123860.8,16607.2,883038.8,1107815.06,224776.26,0.2029,实际
55,55,2024-12-21,676905.75,186312.55,118707.5,168694.85,19890.35,1170511.0,1508714.89,338203.89,0.2242,实际
56,56,2024-10-18,199415.52,20034.91,28343.91,39448.86,5693.99,292937.19,423210.45,130273.26,0.3078,实际
57,57,2024-11-19,234320.94,39127.2,80083.08,68090.1,7860.09,429481.44,538487.77,109006.33,0.2024,实际
58,58,2024-11-01,159715.01,15627.64,17365.19,36267.61,4427.0,233402.45,321557.74,88155.29,0.2742,实际
59,59,2024-11-19,135381.15,37262.51,23741.5,33738.97,3978.07,234102.2,327573.35,93471.15,0.2853,实际
60,60,2024-12-13,107515.56,12985.27,18616.95,20158.17,3153.31,162429.25,234460.23,72030.98,0.3072,实际
61,61,2024-12-20,71340.64,36366.85,29778.64,25269.95,2527.98,165284.07,237692.07,72408.0,0.3046,实际
62,62,2024-11-25,345931.34,73346.26,58873.56,64311.34,10120.12,552582.62,727134.31,174551.69,0.2401,实际
63,63,2024-12-23,638860.04,62510.56,69460.76,145070.44,17708.0,933609.8,1245215.9,311606.1,0.2502,实际
64,64,2024-11-01,345931.34,73346.26,58873.56,64311.34,10120.12,552582.62,774386.6,221803.98,0.2864,实际
65,65,2024-11-17,63504.03,26439.8,18388.81,15090.74,2047.32,125470.7,172776.43,47305.73,0.2738,实际
66,66,2024-12-23,258023.36,19198.26,37587.16,63119.16,7390.26,385318.2,484604.06,99285.86,0.2049,实际
67,67,2024-11-09,91724.96,16210.19,3866.65,20169.04,2389.79,134360.63,199732.09,65371.46,0.3273,实际
68,68,2024-12-02,111410.18,15656.36,21447.62,24772.16,3321.44,176607.76,220519.3,43911.54,0.1991,实际
69,69,2024-10-28,127008.06,52879.6,36777.62,30181.48,4094.64,250941.4,331431.49,80490.09,0.2429,实际
70,70,2024-10-28,200711.54,62883.94,62629.14,54055.42,6583.52,386863.56,476278.96,89415.4,0.1877,实际
71,71,2024-10-24,71340.64,36366.85,29778.64,25269.95,2527.98,165284.07,212114.06,46829.99,0.2208,实际
72,72,2024-12-23,430062.24,51941.08,74467.8,80632.68,12613.24,649717.0,937148.83,287431.83,0.3067,实际
73,73,2024-10-29,482933.5,58239.95,130666.3,100574.4,15340.0,787754.15,1089055.83,301301.68,0.2767,实际
74,74,2024-12-12,612553.48,85956.68,33749.52,95926.0,16157.56,844343.28,1189924.39,345581.11,0.2904,实际
75,75,2024-11-21,405710.1,107304.65,18001.35,64252.95,10592.8,605861.85,743935.39,138073.54,0.1856,实际
76,76,2024-10-23,78106.98,13042.4,26694.36,22696.7,2620.03,143160.48,201047.26,57886.78,0.2879,实际
77,77,2024-11-05,116161.7,14349.05,19466.03,18282.17,3390.69,171649.64,249022.55,77372.91,0.3107,实际
78,78,2024-11-19,102615.23,32102.62,11974.64,26859.39,2864.75,176416.63,242031.73,65615.1,0.2711,实际
79,79,2024-11-10,159715.01,15627.64,17365.19,36267.61,4427.0,233402.45,286523.48,53121.03,0.1854,实际
80,80,2024-10-25,193173.4,23295.98,52266.52,40229.76,6136.0,315101.66,438033.51,122931.85,0.2806,实际
81,81,2024-10-09,129011.68,9599.13,18793.58,31559.58,3695.13,192659.1,252210.82,59551.72,0.2361,实际
82,82,2024-11-28,166536.86,47697.86,12861.5,47485.82,4484.96,279067.0,349246.95,70179.95,0.2009,实际
83,83,2024-11-10,78106.98,13042.4,26694.36,22696.7,2620.03,143160.48,179349.85,36189.37,0.2018,实际
84,84,2024-12-11,423393.75,171302.65,174968.5,99594.65,14959.05,884218.6,1246923.5,362704.9,0.2909,实际
85,85,2024-10-23,71340.64,36366.85,29778.64,25269.95,2527.98,165284.07,203372.08,38088.01,0.1873,实际
86,86,2024-12-17,215031.12,25970.54,37233.9,40316.34,6306.62,324858.5,421747.96,96889.46,0.2297,实际
87,87,2024-12-07,161233.68,50566.1,6535.92,26505.96,4194.24,249035.9,348932.46,99896.56,0.2863,实际
88,88,2024-12-12,319156.0,130744.84,45720.36,73252.8,9121.92,577995.92,721043.03,143047.11,0.1984,实际
89,89,2024-11-10,638860.04,62510.56,69460.76,145070.44,17708.0,933609.8,1276059.0,342449.2,0.2684,实际
90,90,2024-12-11,84678.75,34260.53,34993.7,19918.93,2991.81,176843.72,257777.15,80933.43,0.314,实际
91,91,2024-10-10,332956.56,71872.88,33230.28,71885.6,9154.68,519100.0,724737.72,205637.72,0.2837,实际
92,92,2024-12-31,110965.93,24298.52,17898.39,29024.36,3221.61,185408.81,245399.98,59991.17,0.2445,实际
93,93,2024-10-22,312666.45,57411.0,93050.61,84520.86,10142.94,557791.86,796993.43,239201.57,0.3001,实际
94,94,2024-11-15,106429.66,75061.82,64799.4,48420.78,4280.72,298992.4,377344.47,78352.07,0.2076,实际
95,95,2025-01-03,234320.94,39127.2,80083.08,68090.1,7860.09,429481.44,619146.51,189665.07,0.3063,实际
96,96,2024-10-17,142244.01,107966.4,30466.53,55798.56,4317.75,340793.28,445643.92,104850.64,0.2353,实际
97,97,2024-12-12,243272.04,43675.4,61660.16,62609.92,7623.3,418840.84,565805.59,146964.75,0.2597,实际
98,98,2024-12-04,580808.5,71745.25,97330.15,91410.85,16953.45,858248.2,1072942.71,214694.51,0.2001,实际
99,99,2024-12-03,121636.02,21837.7,30830.08,31304.96,3811.65,209420.42,302711.57,93291.15,0.3082,实际
100,100,2024-11-24,159715.01,15627.64,17365.19,36267.61,4427.0,233402.45,301631.66,68229.21,0.2262,实际
101,101,2024-11-11,79789.0,32686.21,11430.09,18313.2,2280.48,144498.98,186274.97,41775.99,0.2243,实际
102,102,2025-01-02,249717.42,53904.66,24922.71,53914.2,6866.01,389325.0,482723.73,93398.73,0.1935,实际
103,103,2024-11-01,162284.04,42921.86,7200.54,25701.18,4237.12,242344.74,332561.96,90217.22,0.2713,实际
104,104,2024-11-14,92468.06,67191.14,53803.14,37398.6,3656.78,254517.7,356213.61,101695.91,0.2855,实际
105,105,2024-10-27,60104.08,23126.86,7258.5,18170.28,1684.06,110343.78,160874.99,50531.21,0.3141,实际
106,106,2024-12-03,166536.86,47697.86,12861.5,47485.82,4484.96,279067.0,342900.26,63833.26,0.1862,实际
107,107,2024-10-21,102615.23,32102.62,11974.64,26859.39,2864.75,176416.63,228274.2,51857.57,0.2272,实际
108,108,2024-11-04,334230.54,46969.08,64342.86,74316.48,9964.32,529823.28,776205.25,246381.97,0.3174,实际
109,109,2024-11-09,319430.02,31255.28,34730.38,72535.22,8854.0,466804.9,640234.14,173429.24,0.2709,实际
110,110,2024-12-31,83268.43,23848.93,6430.75,23742.91,2242.48,139533.5,187630.8,48097.3,0.2563,实际
111,111,2024-11-11,81142.02,21460.93,3600.27,12850.59,2118.56,121172.37,159688.01,38515.64,0.2412,实际
112,112,2024-12-13,96586.7,11647.99,26133.26,20114.88,3068.0,157550.83,232519.89,74969.06,0.3224,实际
113,113,2024-11-06,259192.52,151497.08,41717.4,75099.56,7522.76,535029.32,712088.82,177059.5,0.2486,实际
114,114,2024-11-04,193173.4,23295.98,52266.52,40229.76,6136.0,315101.66,398204.5,83102.84,0.2087,实际
115,115,2024-11-22,208444.3,38274.0,62033.74,56347.24,6761.96,371861.24,499817.47,127956.23,0.256,实际
116,116,2024-11-13,103494.89,29445.48,23216.03,30950.2,3167.77,190274.38,263483.68,73209.3,0.2779,实际
117,117,2024-11-15,217362.57,71030.7,59148.72,47891.28,6912.78,402346.05,508456.6,106110.55,0.2087,实际
118,118,2025-01-05,443863.72,97194.08,71593.56,116097.44,12886.44,741635.24,958366.53,216731.29,0.2261,实际
119,119,2024-11-04,229159.0,28351.34,31217.46,41923.28,6509.42,337160.5,487472.88,150312.38,0.3084,实际
120,120,2024-11-22,96586.7,11647.99,26133.26,20114.88,3068.0,157550.83,232243.96,74693.13,0.3216,实际
121,121,2024-12-18,258023.36,19198.26,37587.16,63119.16,7390.26,385318.2,551144.3,165826.1,0.3009,实际
122,122,2024-11-24,104222.15,19137.0,31016.87,28173.62,3380.98,185930.62,233829.87,47899.25,0.2048,实际
123,123,2024-10-27,240416.32,92507.44,29034.0,72681.12,6736.24,441375.12,647359.91,205984.79,0.3182,实际
124,124,2024-12-26,362270.95,118384.5,98581.2,79818.8,11521.3,670576.75,898271.16,227694.41,0.2535,实际
125,125,2025-01-01,398945.0,163431.05,57150.45,91566.0,11402.4,722494.9,988533.55,266038.65,0.2691,实际
126,126,2024-11-11,129596.26,75748.54,20858.7,37549.78,3761.38,267514.66,403299.35,135784.69,0.3367,实际
127,127,2024-11-12,798575.05,78138.2,86825.95,181338.05,22135.0,1167012.25,1431013.82,264001.57,0.1845,实际
128,128,2025-01-14,162284.04,42921.86,7200.54,25701.18,4237.12,242344.74,327155.96,84811.22,0.2592,实际
129,129,2024-10-24,106429.66,75061.82,64799.4,48420.78,4280.72,298992.4,373104.69,74112.29,0.1986,实际
130,130,2024-12-19,142681.28,72733.7,59557.28,50539.9,5055.96,330568.14,421654.72,91086.58,0.216,实际
131,131,2024-10-29,36000.26,32464.21,5706.78,14693.32,1042.68,89907.25,135519.67,45612.42,0.3366,实际
132,132,2024-12-30,312427.92,52169.6,106777.44,90786.8,10480.12,572641.92,790021.4,217379.48,0.2752,实际
133,133,2025-01-07,258023.36,19198.26,37587.16,63119.16,7390.26,385318.2,536962.34,151644.14,0.2824,实际
134,134,2025-01-06,458318.0,56702.68,62434.92,83846.56,13018.84,674321.0,954717.58,280396.58,0.2937,实际
135,135,2024-12-11,193173.4,23295.98,52266.52,40229.76,6136.0,315101.66,397241.82,82140.16,0.2068,实际
136,136,2024-12-06,79853.22,12134.97,27781.49,20061.42,2690.87,142521.96,214943.12,72421.16,0.3369,实际
137,137,2024-12-13,96586.7,11647.99,26133.26,20114.88,3068.0,157550.83,198993.7,41442.87,0.2083,实际
138,138,2024-12-23,64798.13,37874.27,10429.35,18774.89,1880.69,133757.33,168572.71,34815.38,0.2065,实际
139,139,2024-12-05,71340.64,36366.85,29778.64,25269.95,2527.98,165284.07,210714.12,45430.05,0.2156,实际
140,140,2024-12-27,162284.04,42921.86,7200.54,25701.18,4237.12,242344.74,331427.86,89083.12,0.2688,实际
141,141,2024-11-27,243272.04,43675.4,61660.16,62609.92,7623.3,418840.84,533485.85,114645.01,0.2149,实际
142,142,2024-11-13,458318.0,56702.68,62434.92,83846.56,13018.84,674321.0,882161.32,207840.32,0.2356,实际
143,143,2024-11-08,172965.67,36673.13,29436.78,32155.67,5060.06,276291.31,375502.73,99211.42,0.2642,实际
144,144,2024-12-31,78106.98,13042.4,26694.36,22696.7,2620.03,143160.48,201493.56,58333.08,0.2895,实际
145,145,2024-10-30,459415.11,64467.51,25312.14,71944.5,12118.17,633257.46,839223.0,205965.54,0.2454,实际
146,146,2024-11-28,486544.08,87350.8,123320.32,125219.84,15246.6,837681.68,1202713.3,365031.62,0.3035,实际
147,147,2024-10-28,222820.36,31312.72,42895.24,49544.32,6642.88,353215.52,516234.1,163018.58,0.3158,实际
148,148,2024-12-14,129011.68,9599.13,18793.58,31559.58,3695.13,192659.1,238965.38,46306.28,0.1938,实际
149,149,2024-12-20,486544.08,87350.8,123320.32,125219.84,15246.6,837681.68,1162704.96,325023.28,0.2795,实际
150,150,2024-12-03,172965.67,36673.13,29436.78,32155.67,5060.06,276291.31,388984.09,112692.78,0.2897,实际
151,151,2025-01-01,430062.24,51941.08,74467.8,80632.68,12613.24,649717.0,896563.11,246846.11,0.2753,实际
152,152,2024-12-25,166478.28,35936.44,16615.14,35942.8,4577.34,259550.0,334178.75,74628.75,0.2233,实际
153,153,2025-01-16,142681.28,72733.7,59557.28,50539.9,5055.96,330568.14,427369.29,96801.15,0.2265,实际
154,154,2024-11-22,319412.88,48539.88,111125.96,80245.68,10763.48,570087.84,811438.74,241350.9,0.2974,实际
155,155,2024-12-04,184936.12,134382.28,107606.28,74797.2,7313.56,509035.4,635425.43,126390.03,0.1989,实际
156,156,2025-01-10,81142.02,21460.93,3600.27,12850.59,2118.56,121172.37,157491.52,36319.15,0.2306,实际
157,157,2024-12-17,144908.38,47353.8,39432.48,31927.52,4608.52,268230.7,332233.12,64002.42,0.1926,实际
158,158,2024-11-03,598246.56,60104.73,85031.73,118346.58,17081.97,878811.57,1187179.03,308367.46,0.2597,实际
159,159,2025-01-09,159715.01,15627.64,17365.19,36267.61,4427.0,233402.45,291844.12,58441.67,0.2002,实际
160,160,2024-12-20,217362.57,71030.7,59148.72,47891.28,6912.78,402346.05,569321.61,166975.56,0.2933,实际
161,161,2025-01-18,104222.15,19137.0,31016.87,28173.62,3380.98,185930.62,236104.91,50174.29,0.2125,实际
162,162,2025-01-23,416195.7,89841.1,41537.85,89857.0,11443.35,648875.0,845057.98,196182.98,0.2322,实际
163,163,2024-11-05,64798.13,37874.27,10429.35,18774.89,1880.69,133757.33,199162.88,65405.55,0.3284,实际
164,164,2024-11-09,289760.1,34943.97,78399.78,60344.64,9204.0,472652.49,624120.27,151467.78,0.2427,实际
165,165,2024-11-25,338715.0,137042.12,139974.8,79675.72,11967.24,707374.88,941155.29,233780.41,0.2484,实际
166,166,2025-01-15,159706.44,24269.94,55562.98,40122.84,5381.74,285043.92,362540.23,77496.31,0.2138,实际
167,167,2025-01-01,83239.14,17968.22,8307.57,17971.4,2288.67,129775.0,186626.39,56851.39,0.3046,实际
168,168,2024-12-10,401423.08,125767.88,125258.28,108110.84,13167.04,773727.12,1029953.13,256226.01,0.2488,实际
169,169,2024-11-20,356703.2,181834.25,148893.2,126349.75,12639.9,826420.35,1232497.5,406077.15,0.3295,实际
170,170,2024-11-12,254036.25,102781.59,104981.1,59756.79,8975.43,530531.16,772607.17,242076.01,0.3133,实际
171,171,2024-12-23,416342.15,119244.65,32153.75,118714.55,11212.4,697667.5,903248.12,205580.62,0.2276,实际
172,172,2024-12-30,81142.02,21460.93,3600.27,12850.59,2118.56,121172.37,172361.04,51188.67,0.297,实际
173,173,2025-01-14,153138.37,21489.17,8437.38,23981.5,4039.39,211085.82,257932.0,46846.18,0.1816,实际
174,174,2024-12-28,322467.36,101132.2,13071.84,53011.92,8388.48,498071.8,664993.47,166921.67,0.251,实际
175,175,2025-01-23,47414.67,35988.8,10155.51,18599.52,1439.25,113597.76,143997.72,30399.96,0.2111,实际
176,176,2024-12-08,47414.67,35988.8,10155.51,18599.52,1439.25,113597.76,167781.98,54184.22,0.3229,实际
177,177,2025-01-24,194394.39,113622.81,31288.05,56324.67,5642.07,401271.99,569952.72,168680.73,0.296,实际
178,178,2025-01-25,159715.01,15627.64,17365.19,36267.61,4427.0,233402.45,331706.28,98303.83,0.2964,实际
179,179,2024-11-30,319430.02,31255.28,34730.38,72535.22,8854.0,466804.9,569546.34,102741.44,0.1804,实际
180,180,2025-01-29,334230.54,46969.08,64342.86,74316.48,9964.32,529823.28,698069.48,168246.2,0.241,实际
181,181,2025-01-12,83268.43,23848.93,6430.75,23742.91,2242.48,139533.5,186633.04,47099.54,0.2524,实际
182,182,2024-12-02,91724.96,16210.19,3866.65,20169.04,2389.79,134360.63,172954.75,38594.12,0.2231,实际
183,183,2024-12-20,79853.22,12134.97,27781.49,20061.42,2690.87,142521.96,194025.64,51503.68,0.2654,实际
184,184,2024-11-18,159715.01,15627.64,17365.19,36267.61,4427.0,233402.45,306262.75,72860.3,0.2379,实际
185,185,2025-01-15,306276.74,42978.34,16874.76,47963.0,8078.78,422171.64,539739.83,117568.19,0.2178,实际
186,186,2025-01-06,406143.45,111787.53,71224.5,101216.91,11934.21,702306.6,934229.57,231922.97,0.2483,实际
187,187,2024-12-29,516046.72,38396.52,75174.32,126238.32,14780.52,770636.4,1058377.67,287741.27,0.2719,实际
188,188,2024-11-30,285362.56,145467.4,119114.56,101079.8,10111.92,661136.28,940133.18,278996.9,0.2968,实际
189,189,2024-12-22,159578.0,65372.42,22860.18,36626.4,4560.96,288997.96,363102.33,74104.37,0.2041,实际
190,190,2024-12-03,390534.9,65212.0,133471.8,113483.5,13100.15,715802.4,934515.19,218712.79,0.234,实际
191,191,2025-01-05,144409.82,74955.26,22896.22,46998.7,4182.66,293442.64,444390.44,150947.8,0.3397,实际
192,192,2024-11-18,332956.56,71872.88,33230.28,71885.6,9154.68,519100.0,697995.39,178895.39,0.2563,实际
193,193,2025-01-09,189658.68,143955.2,40622.04,74398.08,5757.0,454391.04,647061.42,192670.38,0.2978,实际
194,194,2025-01-07,482933.5,58239.95,130666.3,100574.4,15340.0,787754.15,1074800.93,287046.78,0.2671,实际
195,195,2025-01-18,111410.18,15656.36,21447.62,24772.16,3321.44,176607.76,230770.16,54162.4,0.2347,实际
196,196,2025-01-26,222820.36,31312.72,42895.24,49544.32,6642.88,353215.52,499710.19,146494.67,0.2932,实际
197,197,2024-12-04,387035.04,28797.39,56380.74,94678.74,11085.39,577977.3,873489.84,295512.54,0.3383,实际
198,198,2025-01-07,184936.12,134382.28,107606.28,74797.2,7313.56,509035.4,735063.18,226027.78,0.3075,实际
199,199,2024-12-08,537577.8,64926.35,93084.75,100790.85,15766.55,812146.25,1088652.1,276505.85,0.254,实际
200,200,2025-01-02,398945.0,163431.05,57150.45,91566.0,11402.4,722494.9,996396.34,273901.44,0.2749,实际
201,201,2025-01-25,398831.04,40069.82,56687.82,78897.72,11387.98,585874.38,724170.27,138295.89,0.191,实际
202,202,2025-01-10,142244.01,107966.4,30466.53,55798.56,4317.75,340793.28,512816.26,172022.98,0.3354,实际
203,203,2024-11-26,81142.02,21460.93,3600.27,12850.59,2118.56,121172.37,148098.87,26926.5,0.1818,实际
204,204,2025-01-01,363154.29,101999.58,22604.85,71651.76,9643.98,569054.46,729706.36,160651.9,0.2202,实际
205,205,2024-12-27,239559.66,36404.91,83344.47,60184.26,8072.61,427565.88,553534.88,125969.0,0.2276,实际
206,206,2025-01-16,361024.55,187388.15,57240.55,117496.75,10456.65,733606.6,1002352.34,268745.74,0.2681,实际
207,207,2025-01-23,94829.34,71977.6,20311.02,37199.04,2878.5,227195.52,299814.53,72619.01,0.2422,实际
208,208,2025-02-05,60104.08,23126.86,7258.5,18170.28,1684.06,110343.78,161190.1,50846.32,0.3154,实际
209,209,2024-11-17,240416.32,92507.44,29034.0,72681.12,6736.24,441375.12,653139.65,211764.53,0.3242,实际
210,210,2024-12-25,237073.35,179944.0,50777.55,92997.6,7196.25,567988.8,696405.37,128416.57,0.1844,实际
211,211,2025-01-07,79789.0,32686.21,11430.09,18313.2,2280.48,144498.98,212551.66,68052.68,0.3202,实际
212,212,2024-11-26,169357.5,68521.06,69987.4,39837.86,5983.62,353687.44,534643.09,180955.65,0.3385,实际
213,213,2024-11-28,289760.1,34943.97,78399.78,60344.64,9204.0,472652.49,622919.45,150266.96,0.2412,实际
214,214,2024-12-10,399266.1,60674.85,138907.45,100307.1,13454.35,712609.8,1001102.4,288492.6,0.2882,实际
215,215,2024-11-29,638860.04,62510.56,69460.76,145070.44,17708.0,933609.8,1354274.67,420664.87,0.3106,实际
216,216,2025-01-22,479145.03,46882.92,52095.57,108802.83,13281.0,700207.35,900827.11,200619.76,0.2227,实际
217,217,2025-01-29,254036.25,102781.59,104981.1,59756.79,8975.43,530531.16,676188.41,145657.25,0.2154,实际
218,218,2024-12-15,676905.75,186312.55,118707.5,168694.85,19890.35,1170511.0,1551655.95,381144.95,0.2456,实际
219,219,2025-01-30,214021.92,109100.55,89335.92,75809.85,7583.94,495852.21,646255.28,150403.07,0.2327,实际
220,220,2025-01-01,36000.26,32464.21,5706.78,14693.32,1042.68,89907.25,116619.75,26712.5,0.2291,实际
221,221,2024-12-17,416195.7,89841.1,41537.85,89857.0,11443.35,648875.0,896041.29,247166.29,0.2758,实际
222,222,2024-12-04,484205.72,135999.44,30139.8,95535.68,12858.64,758739.28,950624.95,191885.67,0.2019,实际
223,223,2025-01-15,222820.36,31312.72,42895.24,49544.32,6642.88,353215.52,517765.28,164549.76,0.3178,实际
224,224,2025-02-05,110965.93,24298.52,17898.39,29024.36,3221.61,185408.81,265077.22,79668.41,0.3005,实际
225,225,2025-01-29,284034.76,15072.48,56316.78,52638.3,8508.78,416571.12,595950.95,179379.83,0.301,实际
226,226,2024-12-04,100355.77,31441.97,31314.57,27027.71,3291.76,193431.78,290520.24,97088.46,0.3342,实际
227,227,2024-12-05,317520.15,132199.0,91944.05,75453.7,10236.6,627353.5,799279.72,171926.22,0.2151,实际
228,228,2025-01-22,100355.77,31441.97,31314.57,27027.71,3291.76,193431.78,282328.18,88896.4,0.3149,实际
229,229,2025-02-08,83268.43,23848.93,6430.75,23742.91,2242.48,139533.5,175951.72,36418.22,0.207,实际
230,230,2025-01-18,127008.06,52879.6,36777.62,30181.48,4094.64,250941.4,336871.57,85930.17,0.2551,实际
231,231,2025-01-24,121636.02,21837.7,30830.08,31304.96,3811.65,209420.42,303382.19,93961.77,0.3097,实际
232,232,2025-01-12,114579.5,14175.67,15608.73,20961.64,3254.71,168580.25,233632.73,65052.48,0.2784,实际
233,233,2024-12-21,258023.36,19198.26,37587.16,63119.16,7390.26,385318.2,551115.58,165797.38,0.3008,实际
234,234,2024-12-29,96586.7,11647.99,26133.26,20114.88,3068.0,157550.83,207733.88,50183.05,0.2416,实际
