supplier_material_id,supplier_id,material_id,supplier_material_code,quoted_price,lead_time_days,minimum_order_qty,priority_rank,is_approved
72,49,17,供料-049-017,16.83,42,12,2,1
73,35,17,供料-035-017,16.29,42,70,3,1
74,12,17,供料-012-017,18.02,42,7,4,1
75,13,17,供料-013-017,16.83,35,36,5,1
76,17,18,供料-017-018,101.5,13,9.8196,1,1
77,41,18,供料-041-018,107.36,10,56.0056,2,1
78,31,18,供料-031-018,98.71,4,78.2666,3,1
79,48,18,供料-048-018,102.6,12,32.2699,4,1
80,19,19,供料-019-019,4.66,33,22.3092,1,1
81,16,19,供料-016-019,4.96,32,38.9425,2,1
82,35,19,供料-035-019,5.17,27,36.8643,3,1
83,48,19,供料-048-019,4.89,28,70.6047,4,1
84,18,19,供料-018-019,5.18,35,13.6348,5,1
85,41,19,供料-041-019,4.61,25,40.1886,6,1
86,50,20,供料-050-020,33.66,7,34.2894,1,1
87,46,20,供料-046-020,30.67,9,14.0748,2,1
88,7,20,供料-007-020,34.09,13,56.7186,3,1
89,48,20,供料-048-020,29.2,13,64.6554,4,1
90,24,21,供料-024-021,340.06,20,21,1,1
91,11,21,供料-011-021,335.53,21,75,2,1
92,14,21,供料-014-021,364.15,25,63,3,1
93,38,22,供料-038-022,579.16,32,73,1,1
94,10,22,供料-010-022,507.88,31,43,2,1
95,50,22,供料-050-022,561.88,26,35,3,1
96,48,22,供料-048-022,493.64,24,71,4,1
97,4,23,供料-004-023,1445.22,12,60,1,1
98,34,23,供料-034-023,1429.44,11,12,2,1
99,32,23,供料-032-023,1307.88,8,74,3,1
100,3,23,供料-003-023,1298.72,8,17,4,1
101,15,23,供料-015-023,1442.05,12,62,5,1
102,42,23,供料-042-023,1347.34,9,27,6,1
103,40,24,供料-040-024,319.79,23,22,1,1
104,35,24,供料-035-024,330.05,17,19,2,1
105,46,24,供料-046-024,364.02,21,29,3,1
106,25,25,供料-025-025,38.28,10,40,1,1
107,26,25,供料-026-025,37.07,5,43,2,1
108,46,25,供料-046-025,36.49,13,17,3,1
109,1,26,供料-001-026,109.81,13,10.2148,1,1
110,12,26,供料-012-026,111.21,23,31.2927,2,1
111,22,26,供料-022-026,106.64,23,26.9675,3,1
112,27,26,供料-027-026,103.33,24,45.8458,4,1
113,43,27,供料-043-027,9.39,22,75.6112,1,1
114,41,27,供料-041-027,10.21,23,11.578,2,1
115,7,27,供料-007-027,9.16,19,22.4363,3,1
116,18,27,供料-018-027,10.72,22,26.143,4,1
117,33,28,供料-033-028,32.68,16,56.0652,1,1
118,2,28,供料-002-028,34.02,27,40.1969,2,1
119,1,28,供料-001-028,29.02,27,54.8071,3,1
120,44,28,供料-044-028,29.02,25,27.9896,4,1
121,49,28,供料-049-028,32.6,22,37.317,5,1
122,11,28,供料-011-028,33.99,21,67.954,6,1
123,39,29,供料-039-029,696.97,37,36,1,1
124,8,29,供料-008-029,668.72,27,59,2,1
125,50,29,供料-050-029,756.64,35,73,3,1
126,32,29,供料-032-029,691.95,34,77,4,1
127,47,29,供料-047-029,685.77,37,33,5,1
128,22,29,供料-022-029,691.5,36,39,6,1
129,34,30,供料-034-030,251.84,8,29,1,1
130,4,30,供料-004-030,233.62,4,60,2,1
131,11,30,供料-011-030,258.15,6,12,3,1
132,30,31,供料-030-031,472.06,25,38,1,1
133,9,31,供料-009-031,484.89,33,35,2,1
134,48,31,供料-048-031,415.12,25,17,3,1
135,28,32,供料-028-032,980.07,36,9,1,1
136,46,32,供料-046-032,929.87,31,24,2,1
137,40,32,供料-040-032,949.67,32,54,3,1
138,44,32,供料-044-032,845.9,28,52,4,1
139,47,32,供料-047-032,914.94,25,46,5,1
140,23,32,供料-023-032,1002.02,30,10,6,1
141,42,33,供料-042-033,29.68,22,62,1,1
142,3,33,供料-003-033,32.41,21,61,2,1
143,2,33,供料-002-033,34.17,22,7,3,1
144,1,33,供料-001-033,33.59,21,7,4,1
145,14,33,供料-014-033,31.4,21,13,5,1
146,24,33,供料-024-033,31.88,22,16,6,1
147,8,34,供料-008-034,116.05,27,76.5447,1,1
148,24,34,供料-024-034,104.65,33,9.1149,2,1
149,26,34,供料-026-034,114.21,31,62.9563,3,1
150,49,35,供料-049-035,8.6,6,38.3153,1,1
151,14,35,供料-014-035,8.33,11,38.3516,2,1
152,43,35,供料-043-035,9.76,8,15.6532,3,1
153,2,35,供料-002-035,9.77,11,37.0024,4,1
154,26,35,供料-026-035,9.42,10,66.1874,5,1
155,44,35,供料-044-035,8.54,9,8.885,6,1
156,33,36,供料-033-036,30.01,18,54.9684,1,1
157,43,36,供料-043-036,30.83,14,20.7889,2,1
158,32,36,供料-032-036,29.91,17,16.3787,3,1
159,2,36,供料-002-036,31.53,14,61.5437,4,1
160,35,36,供料-035-036,26.84,15,43.025,5,1
161,19,37,供料-019-037,688.89,15,53,1,1
162,29,37,供料-029-037,632.68,20,41,2,1
163,8,37,供料-008-037,730.61,22,22,3,1
164,28,37,供料-028-037,676.62,17,38,4,1
165,37,37,供料-037-037,702.64,12,74,5,1
166,11,38,供料-011-038,355.95,17,63,1,1
167,18,38,供料-018-038,358.57,25,38,2,1
168,40,38,供料-040-038,345.94,25,45,3,1
169,5,38,供料-005-038,330.05,15,25,4,1
170,10,39,供料-010-039,2651.76,14,28,1,1
171,50,39,供料-050-039,2901.8,13,48,2,1
172,26,39,供料-026-039,2945.02,9,42,3,1
173,13,39,供料-013-039,2687.8,19,80,4,1
174,5,39,供料-005-039,2938.57,8,28,5,1
175,11,39,供料-011-039,3005.54,13,31,6,1
176,9,40,供料-009-040,286.45,9,38,1,1
177,49,40,供料-049-040,315.36,12,63,2,1
178,18,40,供料-018-040,290.3,14,60,3,1
179,3,41,供料-003-041,15.69,28,62,1,1
180,46,41,供料-046-041,18.13,32,56,2,1
181,40,41,供料-040-041,15.15,25,28,3,1
182,25,41,供料-025-041,15.61,24,46,4,1
183,49,41,供料-049-041,18.1,28,37,5,1
184,34,41,供料-034-041,15.73,33,74,6,1
185,19,42,供料-019-042,106.62,13,69.2247,1,1
186,36,42,供料-036-042,105.95,9,49.3688,2,1
187,24,42,供料-024-042,96.62,11,36.1929,3,1
188,23,42,供料-023-042,101.48,15,57.5927,4,1
189,29,43,供料-029-043,8.63,41,47.991,1,1
190,8,43,供料-008-043,8.8,39,78.146,2,1
191,42,43,供料-042-043,7.69,41,36.3924,3,1
192,16,44,供料-016-044,18.15,17,71.802,1,1
193,6,44,供料-006-044,20.13,19,61.1218,2,1
194,24,44,供料-024-044,21.43,12,36.1222,3,1
195,20,44,供料-020-044,17.97,16,75.1374,4,1
196,4,44,供料-004-044,18.59,13,42.6486,5,1
197,8,45,供料-008-045,411.81,17,78,1,1
198,34,45,供料-034-045,446.95,16,15,2,1
199,46,45,供料-046-045,461.54,15,65,3,1
200,45,45,供料-045-045,406.5,16,13,4,1
201,5,46,供料-005-046,607.32,31,75,1,1
202,33,46,供料-033-046,641.11,37,40,2,1
203,18,46,供料-018-046,597.97,28,46,3,1
204,15,47,供料-015-047,293.17,12,20,1,1
205,19,47,供料-019-047,312.15,23,34,2,1
206,45,47,供料-045-047,305.98,14,7,3,1
207,33,47,供料-033-047,289.78,12,70,4,1
208,3,48,供料-003-048,236.74,16,9,1,1
209,21,48,供料-021-048,236.51,17,47,2,1
210,1,48,供料-001-048,259.34,17,41,3,1
211,23,48,供料-023-048,229.33,21,26,4,1
212,39,48,供料-039-048,240.6,22,67,5,1
213,48,48,供料-048-048,246.49,25,59,6,1
214,4,49,供料-004-049,26.97,26,75,1,1
215,30,49,供料-030-049,28.31,30,70,2,1
216,7,49,供料-007-049,28.2,27,28,3,1
217,18,49,供料-018-049,25.75,25,46,4,1
218,11,50,供料-011-050,85.14,3,51.9607,1,1
219,22,50,供料-022-050,81.38,6,61.2276,2,1
220,1,50,供料-001-050,88.71,7,39.8196,3,1
221,5,50,供料-005-050,82.22,8,38.6474,4,1
222,18,50,供料-018-050,90.97,9,43.8178,5,1
223,12,50,供料-012-050,93.42,3,78.8852,6,1
224,44,51,供料-044-051,5.14,35,39.4858,1,1
225,26,51,供料-026-051,5.26,37,13.3101,2,1
226,8,51,供料-008-051,5.17,34,27.2347,3,1
227,1,51,供料-001-051,5.54,37,71.1267,4,1
228,13,51,供料-013-051,5.35,34,40.3003,5,1
229,34,52,供料-034-052,19.02,32,48.484,1,1
230,3,52,供料-003-052,21.33,30,44.9314,2,1
231,24,52,供料-024-052,20.18,30,6.5664,3,1
232,37,53,供料-037-053,529.73,22,61,1,1
233,41,53,供料-041-053,494.95,11,25,2,1
234,24,53,供料-024-053,493.29,14,59,3,1
235,46,54,供料-046-054,697.96,38,22,1,1
236,9,54,供料-009-054,636.68,31,36,2,1
237,33,54,供料-033-054,690.92,38,68,3,1
238,3,54,供料-003-054,651.8,39,26,4,1
239,45,55,供料-045-055,732.06,31,21,1,1
240,38,55,供料-038-055,758.06,31,46,2,1
241,47,55,供料-047-055,772.69,31,20,3,1
242,33,55,供料-033-055,738.98,34,30,4,1
243,18,55,供料-018-055,813.11,32,7,5,1
244,30,55,供料-030-055,747.74,34,15,6,1
245,19,56,供料-019-056,1314.78,4,35,1,1
246,27,56,供料-027-056,1264.74,8,77,2,1
247,14,56,供料-014-056,1280.65,5,46,3,1
248,5,56,供料-005-056,1180.12,7,55,4,1
249,10,56,供料-010-056,1269.76,8,8,5,1
250,28,56,供料-028-056,1225.76,8,45,6,1
251,44,57,供料-044-057,30.82,6,9,1,1
252,22,57,供料-022-057,34.41,13,68,2,1
253,32,57,供料-032-057,31.43,5,9,3,1
254,18,57,供料-018-057,29.34,14,36,4,1
255,37,57,供料-037-057,31.4,5,44,5,1
256,17,58,供料-017-058,99.78,27,23.5761,1,1
257,5,58,供料-005-058,103.34,37,37.7973,2,1
258,6,58,供料-006-058,107.56,35,70.2415,3,1
259,13,58,供料-013-058,103.53,33,62.5127,4,1
260,40,58,供料-040-058,104.09,35,15.4597,5,1
261,23,59,供料-023-059,9.0,41,39.3006,1,1
262,27,59,供料-027-059,9.47,32,38.7603,2,1
263,22,59,供料-022-059,8.8,38,46.6915,3,1
264,31,59,供料-031-059,9.49,40,71.3619,4,1
265,17,59,供料-017-059,9.72,35,35.196,5,1
266,42,60,供料-042-060,21.8,17,60.9619,1,1
267,34,60,供料-034-060,23.22,23,47.2365,2,1
268,20,60,供料-020-060,23.76,23,57.8922,3,1
269,15,61,供料-015-061,501.11,24,43,1,1
270,19,61,供料-019-061,503.87,30,68,2,1
271,1,61,供料-001-061,532.35,22,44,3,1
272,43,61,供料-043-061,478.73,30,28,4,1
273,2,61,供料-002-061,510.74,19,77,5,1
274,43,62,供料-043-062,265.27,11,69,1,1
275,8,62,供料-008-062,237.6,12,8,2,1
276,12,62,供料-012-062,233.71,15,57,3,1
277,17,62,供料-017-062,235.87,7,64,4,1
278,9,62,供料-009-062,272.08,14,23,5,1
279,27,62,供料-027-062,260.87,10,16,6,1
280,46,63,供料-046-063,2832.17,10,67,1,1
281,39,63,供料-039-063,2893.89,19,46,2,1
282,11,63,供料-011-063,2550.82,18,54,3,1
283,35,63,供料-035-063,2698.89,10,45,4,1
284,12,63,供料-012-063,2549.57,16,39,5,1
285,36,64,供料-036-064,252.1,24,7,1,1
286,25,64,供料-025-064,253.1,23,54,2,1
287,24,64,供料-024-064,279.31,28,79,3,1
288,3,65,供料-003-065,15.94,24,19,1,1
289,13,65,供料-013-065,16.56,28,72,2,1
290,15,65,供料-015-065,17.01,27,70,3,1
291,33,65,供料-033-065,16.38,23,55,4,1
292,6,66,供料-006-066,102.68,32,34.7596,1,1
293,7,66,供料-007-066,106.57,37,64.223,2,1
294,43,66,供料-043-066,113.28,31,27.7212,3,1
295,49,66,供料-049-066,113.2,33,10.1324,4,1
296,45,66,供料-045-066,99.85,37,31.6799,5,1
297,38,67,供料-038-067,10.28,21,25.7429,1,1
298,17,67,供料-017-067,11.32,18,33.6992,2,1
299,48,67,供料-048-067,10.36,23,54.0105,3,1
300,44,67,供料-044-067,10.17,15,25.5037,4,1
301,40,67,供料-040-067,11.84,18,40.787,5,1
302,40,68,供料-040-068,22.99,38,26.499,1,1
303,49,68,供料-049-068,24.23,42,17.4596,2,1
304,1,68,供料-001-068,23.98,34,16.9309,3,1
305,22,68,供料-022-068,26.83,32,16.121,4,1
306,17,69,供料-017-069,217.2,31,48,1,1
307,28,69,供料-028-069,215.95,37,72,2,1
308,47,69,供料-047-069,218.27,36,45,3,1
309,3,70,供料-003-070,199.2,21,78,1,1
310,9,70,供料-009-070,179.85,21,79,2,1
311,29,70,供料-029-070,193.39,19,65,3,1
312,16,70,供料-016-070,197.14,15,67,4,1
313,14,71,供料-014-071,1720.19,38,34,1,1
314,32,71,供料-032-071,1665.13,32,17,2,1
315,23,71,供料-023-071,1575.9,39,65,3,1
316,42,71,供料-042-071,1702.21,36,55,4,1
317,17,72,供料-017-072,49.23,34,73,1,1
318,2,72,供料-002-072,43.7,36,33,2,1
319,33,72,供料-033-072,47.7,40,11,3,1
320,20,72,供料-020-072,47.45,38,69,4,1
321,31,73,供料-031-073,13.34,31,54,1,1
322,25,73,供料-025-073,13.62,26,49,2,1
323,11,73,供料-011-073,14.96,31,17,3,1
324,39,73,供料-039-073,14.6,22,25,4,1
325,41,74,供料-041-074,80.66,25,34.6686,1,1
326,34,74,供料-034-074,79.61,25,36.1664,2,1
327,2,74,供料-002-074,86.76,17,43.0186,3,1
328,29,74,供料-029-074,78.13,26,78.8581,4,1
329,32,74,供料-032-074,83.85,16,72.5517,5,1
330,9,74,供料-009-074,84.39,22,53.9927,6,1
331,35,75,供料-035-075,6.1,32,23.9286,1,1
332,9,75,供料-009-075,6.12,34,19.2046,2,1
333,14,75,供料-014-075,6.36,30,47.063,3,1
334,30,75,供料-030-075,5.81,36,71.6194,4,1
335,49,75,供料-049-075,6.14,30,46.5269,5,1
336,39,75,供料-039-075,6.42,34,73.1415,6,1
337,10,76,供料-010-076,23.85,32,69.3995,1,1
338,30,76,供料-030-076,23.57,27,5.9699,2,1
339,47,76,供料-047-076,25.74,31,15.9119,3,1
340,22,76,供料-022-076,24.09,28,38.6508,4,1
341,45,76,供料-045-076,25.39,30,64.1113,5,1
342,7,76,供料-007-076,25.57,33,21.7945,6,1
343,41,77,供料-041-077,698.6,11,31,1,1
344,33,77,供料-033-077,690.42,9,64,2,1
345,21,77,供料-021-077,709.29,6,34,3,1
346,43,77,供料-043-077,723.41,14,33,4,1
347,9,77,供料-009-077,710.15,9,49,5,1
348,49,77,供料-049-077,722.28,8,66,6,1
349,39,78,供料-039-078,667.59,13,66,1,1
350,7,78,供料-007-078,629.77,21,12,2,1
351,42,78,供料-042-078,661.39,14,9,3,1
352,33,78,供料-033-078,587.24,22,41,4,1
353,48,79,供料-048-079,1249.67,24,21,1,1
354,11,79,供料-011-079,1348.65,30,71,2,1
355,4,79,供料-004-079,1423.59,25,78,3,1
356,26,79,供料-026-079,1267.81,28,55,4,1
357,49,79,供料-049-079,1321.46,23,25,5,1
358,31,79,供料-031-079,1435.54,29,50,6,1
359,50,80,供料-050-080,1196.53,33,19,1,1
360,21,80,供料-021-080,1214.36,25,43,2,1
361,13,80,供料-013-080,1204.66,28,31,3,1
362,26,80,供料-026-080,1248.49,26,8,4,1
363,1,81,供料-001-081,8.73,30,43,1,1
364,12,81,供料-012-081,8.78,24,50,2,1
365,15,81,供料-015-081,10.03,21,71,3,1
366,19,81,供料-019-081,9.49,29,11,4,1
367,47,81,供料-047-081,8.98,28,68,5,1
368,14,81,供料-014-081,8.9,23,23,6,1
369,16,82,供料-016-082,90.81,8,72.2785,1,1
370,49,82,供料-049-082,75.64,19,13.5663,2,1
371,41,82,供料-041-082,80.2,19,32.0338,3,1
372,35,82,供料-035-082,85.93,12,9.1402,4,1
373,37,82,供料-037-082,82.32,13,10.3057,5,1
374,6,82,供料-006-082,89.66,11,14.5239,6,1
375,27,83,供料-027-083,7.14,36,25.4659,1,1
376,49,83,供料-049-083,7.1,31,45.6259,2,1
377,23,83,供料-023-083,7.5,42,34.9465,3,1
378,9,83,供料-009-083,7.43,31,49.2619,4,1
379,42,84,供料-042-084,30.57,31,40.3481,1,1
380,41,84,供料-041-084,31.43,39,58.2432,2,1
381,1,84,供料-001-084,31.94,37,78.1408,3,1
382,12,84,供料-012-084,26.74,33,13.4426,4,1
383,46,84,供料-046-084,29.72,29,45.6462,5,1
384,26,84,供料-026-084,28.7,29,32.6615,6,1
385,42,85,供料-042-085,710.2,26,65,1,1
386,27,85,供料-027-085,757.22,22,37,2,1
387,33,85,供料-033-085,701.28,23,61,3,1
388,34,85,供料-034-085,650.71,26,32,4,1
389,28,85,供料-028-085,750.94,19,17,5,1
390,49,86,供料-049-086,490.18,24,23,1,1
391,24,86,供料-024-086,485.48,26,20,2,1
392,44,86,供料-044-086,439.96,21,56,3,1
393,47,86,供料-047-086,480.14,21,59,4,1
394,19,86,供料-019-086,503.42,28,30,5,1
395,21,87,供料-021-087,2663.04,8,46,1,1
396,44,87,供料-044-087,2624.01,9,50,2,1
397,34,87,供料-034-087,2489.62,7,17,3,1
398,36,87,供料-036-087,2582.41,12,19,4,1
399,26,87,供料-026-087,2490.05,8,9,5,1
400,6,88,供料-006-088,1162.6,6,69,1,1
401,7,88,供料-007-088,1037.64,7,78,2,1
402,5,88,供料-005-088,1146.46,7,59,3,1
403,24,88,供料-024-088,1226.28,8,62,4,1
404,32,88,供料-032-088,1075.63,16,30,5,1
405,37,88,供料-037-088,1154.06,12,19,6,1
406,37,89,供料-037-089,30.99,14,66,1,1
407,47,89,供料-047-089,29.05,15,66,2,1
408,36,89,供料-036-089,27.16,12,14,3,1
409,48,89,供料-048-089,31.95,18,78,4,1
410,18,89,供料-018-089,28.59,15,36,5,1
411,31,90,供料-031-090,89.34,6,67.3477,1,1
412,23,90,供料-023-090,88.96,14,69.6255,2,1
413,10,90,供料-010-090,87.04,12,73.1256,3,1
414,12,91,供料-012-091,9.59,20,39.9479,1,1
415,20,91,供料-020-091,10.49,21,67.6186,2,1
416,13,91,供料-013-091,9.22,15,57.3494,3,1
417,22,92,供料-022-092,20.67,38,76.7287,1,1
418,31,92,供料-031-092,21.72,32,66.0183,2,1
419,39,92,供料-039-092,20.57,37,71.3524,3,1
420,35,93,供料-035-093,417.86,10,10,1,1
421,45,93,供料-045-093,455.86,17,45,2,1
422,21,93,供料-021-093,440.29,13,35,3,1
423,40,93,供料-040-093,447.01,16,63,4,1
424,6,93,供料-006-093,460.77,21,28,5,1
425,4,94,供料-004-094,566.3,37,16,1,1
426,50,94,供料-050-094,564.19,31,43,2,1
427,32,94,供料-032-094,509.7,32,54,3,1
428,17,94,供料-017-094,474.38,32,38,4,1
429,5,94,供料-005-094,516.21,33,42,5,1
430,34,95,供料-034-095,1871.71,3,34,1,1
431,36,95,供料-036-095,1859.58,4,18,2,1
432,28,95,供料-028-095,1975.0,10,34,3,1
433,18,95,供料-018-095,1823.0,7,6,4,1
434,45,95,供料-045-095,1886.87,3,50,5,1
435,35,96,供料-035-096,692.48,8,20,1,1
436,18,96,供料-018-096,734.33,3,62,2,1
437,30,96,供料-030-096,690.92,8,78,3,1
438,13,96,供料-013-096,708.25,12,31,4,1
439,50,96,供料-050-096,733.98,5,65,5,1
440,44,96,供料-044-096,749.6,6,25,6,1
441,29,97,供料-029-097,21.86,33,67,1,1
442,40,97,供料-040-097,21.45,38,78,2,1
443,39,97,供料-039-097,23.19,41,51,3,1
444,32,97,供料-032-097,23.33,42,80,4,1
445,13,98,供料-013-098,92.15,14,62.6172,1,1
446,14,98,供料-014-098,87.96,16,35.0344,2,1
447,48,98,供料-048-098,95.2,19,67.9737,3,1
448,44,98,供料-044-098,101.58,19,5.827,4,1
449,24,99,供料-024-099,5.12,31,27.7351,1,1
450,9,99,供料-009-099,4.72,34,14.312,2,1
451,34,99,供料-034-099,4.36,31,17.0509,3,1
452,31,99,供料-031-099,5.12,30,11.1588,4,1
453,39,100,供料-039-100,32.78,37,23.3921,1,1
454,36,100,供料-036-100,32.04,32,16.4012,2,1
455,9,100,供料-009-100,35.43,34,48.5996,3,1
456,25,100,供料-025-100,30.67,31,63.4862,4,1
457,41,101,供料-041-101,200.11,17,19,1,1
458,34,101,供料-034-101,220.05,13,75,2,1
459,48,101,供料-048-101,189.71,17,57,3,1
460,25,101,供料-025-101,189.38,22,25,4,1
461,12,102,供料-012-102,313.83,5,32,1,1
462,42,102,供料-042-102,308.84,8,59,2,1
463,40,102,供料-040-102,296.29,4,7,3,1
464,38,103,供料-038-103,2025.25,23,7,1,1
465,37,103,供料-037-103,1990.44,18,29,2,1
466,19,103,供料-019-103,2124.9,17,73,3,1
467,45,104,供料-045-104,1722.65,14,58,1,1
468,41,104,供料-041-104,1737.77,19,64,2,1
469,35,104,供料-035-104,1580.83,20,67,3,1
470,30,104,供料-030-104,1561.09,12,76,4,1
471,39,104,供料-039-104,1665.63,15,17,5,1
472,7,104,供料-007-104,1671.93,21,29,6,1
473,44,105,供料-044-105,2.68,25,19,1,1
474,28,105,供料-028-105,2.75,25,49,2,1
475,29,105,供料-029-105,2.95,22,63,3,1
476,3,105,供料-003-105,2.68,28,78,4,1
477,3,106,供料-003-106,71.46,35,48.4793,1,1
478,12,106,供料-012-106,78.11,29,12.5231,2,1
479,36,106,供料-036-106,67.23,28,62.7802,3,1
480,34,106,供料-034-106,80.81,27,58.0634,4,1
481,21,106,供料-021-106,69.36,33,30.818,5,1
482,35,107,供料-035-107,7.94,32,28.1228,1,1
483,40,107,供料-040-107,7.73,23,34.0694,2,1
484,43,107,供料-043-107,9.0,24,18.4817,3,1
485,33,107,供料-033-107,8.91,31,37.3216,4,1
486,27,107,供料-027-107,8.42,29,19.9746,5,1
487,43,108,供料-043-108,32.11,30,78.4623,1,1
488,5,108,供料-005-108,32.46,23,54.83,2,1
489,13,108,供料-013-108,32.01,22,40.8623,3,1
490,26,109,供料-026-109,447.95,18,10,1,1
491,2,109,供料-002-109,480.9,16,15,2,1
492,12,109,供料-012-109,457.3,15,47,3,1
493,28,110,供料-028-110,610.98,33,33,1,1
494,43,110,供料-043-110,688.83,33,77,2,1
495,4,110,供料-004-110,611.04,28,45,3,1
496,41,110,供料-041-110,642.38,31,10,4,1
497,20,110,供料-020-110,632.06,29,79,5,1
498,11,111,供料-011-111,2195.98,32,15,1,1
499,29,111,供料-029-111,2275.85,37,17,2,1
500,21,111,供料-021-111,2186.46,33,80,3,1
501,40,111,供料-040-111,1963.3,35,70,4,1
502,38,111,供料-038-111,2202.41,28,12,5,1
503,49,112,供料-049-112,1184.29,34,37,1,1
504,17,112,供料-017-112,1182.21,31,11,2,1
505,26,112,供料-026-112,1177.56,28,44,3,1
506,16,112,供料-016-112,1172.29,32,20,4,1
507,33,112,供料-033-112,1014.31,35,57,5,1
508,21,113,供料-021-113,12.05,7,39,1,1
509,39,113,供料-039-113,11.88,5,39,2,1
510,47,113,供料-047-113,10.98,11,67,3,1
511,43,113,供料-043-113,10.48,10,26,4,1
512,27,113,供料-027-113,11.98,14,47,5,1
513,41,114,供料-041-114,108.13,31,31.5774,1,1
514,25,114,供料-025-114,106.19,35,60.8917,2,1
515,9,114,供料-009-114,113.52,38,33.0452,3,1
516,7,114,供料-007-114,110.87,28,38.3786,4,1
517,46,114,供料-046-114,113.25,33,62.3165,5,1
518,22,114,供料-022-114,98.87,37,61.5011,6,1
519,22,115,供料-022-115,13.0,28,54.9527,1,1
520,3,115,供料-003-115,11.39,26,74.8642,2,1
521,19,115,供料-019-115,11.84,34,8.0493,3,1
522,41,115,供料-041-115,12.21,29,61.0545,4,1
523,39,115,供料-039-115,11.94,29,35.5883,5,1
524,5,116,供料-005-116,23.9,21,18.1532,1,1
525,50,116,供料-050-116,21.26,16,77.6993,2,1
526,15,116,供料-015-116,23.07,20,66.6283,3,1
527,25,117,供料-025-117,304.58,9,34,1,1
