production_operation_id,production_order_id,operation_no,operation_name,planned_hours,actual_hours,status
88,22,4,调试检验,66.0286,74.6237,已完成
89,23,1,机械加工,52.0027,45.9905,已完成
90,23,2,电气装配,52.0027,49.4304,已完成
91,23,3,整机装配,52.0027,45.0646,已完成
92,23,4,调试检验,52.0027,47.949,已完成
93,24,1,机械加工,102.9192,110.6518,已完成
94,24,2,电气装配,102.9192,108.3144,已完成
95,24,3,整机装配,102.9192,96.4652,已完成
96,24,4,调试检验,102.9192,110.5044,已完成
97,25,1,机械加工,42.4664,36.1491,已完成
98,25,2,电气装配,42.4664,48.5291,已完成
99,25,3,整机装配,42.4664,37.6906,已完成
100,25,4,调试检验,42.4664,46.9267,已完成
101,26,1,机械加工,68.704,71.1784,已完成
102,26,2,电气装配,68.704,72.1395,已完成
103,26,3,整机装配,68.704,65.9885,已完成
104,26,4,调试检验,68.704,61.5234,已完成
105,27,1,机械加工,31.6118,33.4294,已完成
106,27,2,电气装配,31.6118,37.1294,已完成
107,27,3,整机装配,31.6118,33.5868,已完成
108,27,4,调试检验,31.6118,32.668,已完成
109,28,1,机械加工,101.2568,118.1554,已完成
110,28,2,电气装配,101.2568,98.8652,已完成
111,28,3,整机装配,101.2568,107.2678,已完成
112,28,4,调试检验,101.2568,108.9019,已完成
113,29,1,机械加工,97.7957,98.2287,已完成
114,29,2,电气装配,97.7957,107.2493,已完成
115,29,3,整机装配,97.7957,102.5981,已完成
116,29,4,调试检验,97.7957,93.6476,已完成
117,30,1,机械加工,88.218,85.1981,已完成
118,30,2,电气装配,88.218,93.436,已完成
119,30,3,整机装配,88.218,98.6421,已完成
120,30,4,调试检验,88.218,96.572,已完成
121,31,1,机械加工,98.823,112.5142,已完成
122,31,2,电气装配,98.823,113.3647,已完成
123,31,3,整机装配,98.823,101.4309,已完成
124,31,4,调试检验,98.823,97.9938,已完成
125,32,1,机械加工,85.4401,83.5718,已完成
126,32,2,电气装配,85.4401,81.8319,已完成
127,32,3,整机装配,85.4401,96.6072,已完成
128,32,4,调试检验,85.4401,95.4211,已完成
129,33,1,机械加工,101.2568,119.4327,已完成
130,33,2,电气装配,101.2568,87.7445,已完成
131,33,3,整机装配,101.2568,101.9627,已完成
132,33,4,调试检验,101.2568,115.6203,已完成
133,34,1,机械加工,66.0286,74.5674,已完成
134,34,2,电气装配,66.0286,72.5204,已完成
135,34,3,整机装配,66.0286,76.299,已完成
136,34,4,调试检验,66.0286,74.0329,已完成
137,35,1,机械加工,62.8447,61.7904,已完成
138,35,2,电气装配,62.8447,54.7292,已完成
139,35,3,整机装配,62.8447,73.1127,已完成
140,35,4,调试检验,62.8447,64.2755,已完成
141,36,1,机械加工,92.3909,80.6098,已完成
142,36,2,电气装配,92.3909,99.1969,已完成
143,36,3,整机装配,92.3909,84.8926,已完成
144,36,4,调试检验,92.3909,98.3136,已完成
145,37,1,机械加工,38.992,38.1855,已完成
146,37,2,电气装配,38.992,41.7883,已完成
147,37,3,整机装配,38.992,38.9036,已完成
148,37,4,调试检验,38.992,35.2847,已完成
149,38,1,机械加工,68.704,72.4348,已完成
150,38,2,电气装配,68.704,59.4099,已完成
151,38,3,整机装配,68.704,72.1788,已完成
152,38,4,调试检验,68.704,76.6191,已完成
153,39,1,机械加工,32.9755,37.3944,已完成
154,39,2,电气装配,32.9755,32.2792,已完成
155,39,3,整机装配,32.9755,34.572,已完成
156,39,4,调试检验,32.9755,32.628,已完成
157,40,1,机械加工,59.3416,59.2808,已完成
158,40,2,电气装配,59.3416,54.9689,已完成
159,40,3,整机装配,59.3416,53.1896,已完成
160,40,4,调试检验,59.3416,64.3798,已完成
161,41,1,机械加工,98.823,114.173,已完成
162,41,2,电气装配,98.823,95.8584,已完成
163,41,3,整机装配,98.823,98.883,已完成
164,41,4,调试检验,98.823,92.3213,已完成
165,42,1,机械加工,42.4664,44.4149,已完成
166,42,2,电气装配,42.4664,38.4358,已完成
167,42,3,整机装配,42.4664,46.5216,已完成
168,42,4,调试检验,42.4664,47.2821,已完成
169,43,1,机械加工,35.2861,30.6515,已完成
170,43,2,电气装配,35.2861,31.4987,已完成
171,43,3,整机装配,35.2861,32.1049,已完成
172,43,4,调试检验,35.2861,38.8681,已完成
173,44,1,机械加工,42.5445,47.8922,已完成
174,44,2,电气装配,42.5445,43.4184,已完成
175,44,3,整机装配,42.5445,44.8645,已完成
176,44,4,调试检验,42.5445,46.7032,已完成
177,45,1,机械加工,80.0149,76.4576,已完成
178,45,2,电气装配,80.0149,71.2686,已完成
179,45,3,整机装配,80.0149,82.3548,已完成
180,45,4,调试检验,80.0149,77.7857,已完成
181,46,1,机械加工,88.218,96.7218,已完成
182,46,2,电气装配,88.218,99.1632,已完成
183,46,3,整机装配,88.218,85.3912,已完成
184,46,4,调试检验,88.218,76.8069,已完成
185,47,1,机械加工,38.5209,38.3725,已完成
186,47,2,电气装配,38.5209,35.3697,已完成
187,47,3,整机装配,38.5209,37.8062,已完成
188,47,4,调试检验,38.5209,41.7296,已完成
189,48,1,机械加工,26.0846,23.2792,已完成
190,48,2,电气装配,26.0846,25.1223,已完成
191,48,3,整机装配,26.0846,28.0981,已完成
192,48,4,调试检验,26.0846,25.6048,已完成
193,49,1,机械加工,32.9755,36.7938,已完成
194,49,2,电气装配,32.9755,28.6299,已完成
195,49,3,整机装配,32.9755,34.9102,已完成
196,49,4,调试检验,32.9755,30.6179,已完成
197,50,1,机械加工,31.6522,31.5122,已完成
198,50,2,电气装配,31.6522,33.6727,已完成
199,50,3,整机装配,31.6522,28.9046,已完成
200,50,4,调试检验,31.6522,33.7407,已完成
201,51,1,机械加工,42.5445,46.726,已完成
202,51,2,电气装配,42.5445,37.1038,已完成
203,51,3,整机装配,42.5445,41.9905,已完成
204,51,4,调试检验,42.5445,39.6911,已完成
205,52,1,机械加工,54.4427,63.5117,已完成
206,52,2,电气装配,54.4427,58.9392,已完成
207,52,3,整机装配,54.4427,52.7369,已完成
208,52,4,调试检验,54.4427,52.5454,已完成
209,53,1,机械加工,88.1145,75.443,已完成
210,53,2,电气装配,88.1145,95.8218,已完成
211,53,3,整机装配,88.1145,85.7696,已完成
212,53,4,调试检验,88.1145,75.4071,已完成
213,54,1,机械加工,42.5445,50.093,已完成
214,54,2,电气装配,42.5445,47.9861,已完成
215,54,3,整机装配,42.5445,49.2249,已完成
216,54,4,调试检验,42.5445,36.68,已完成
217,55,1,机械加工,101.2568,115.0675,已完成
218,55,2,电气装配,101.2568,93.3,已完成
219,55,3,整机装配,101.2568,117.3296,已完成
220,55,4,调试检验,101.2568,112.1351,已完成
221,56,1,机械加工,54.4427,47.6497,已完成
222,56,2,电气装配,54.4427,54.9095,已完成
223,56,3,整机装配,54.4427,51.2199,已完成
224,56,4,调试检验,54.4427,48.3051,已完成
225,57,1,机械加工,35.4413,30.2725,已完成
226,57,2,电气装配,35.4413,39.272,已完成
227,57,3,整机装配,35.4413,32.6014,已完成
228,57,4,调试检验,35.4413,32.9617,已完成
229,58,1,机械加工,42.4664,49.1706,已完成
230,58,2,电气装配,42.4664,38.2288,已完成
231,58,3,整机装配,42.4664,46.1363,已完成
232,58,4,调试检验,42.4664,41.7611,已完成
233,59,1,机械加工,101.2568,101.8446,已完成
234,59,2,电气装配,101.2568,110.9257,已完成
235,59,3,整机装配,101.2568,109.4187,已完成
236,59,4,调试检验,101.2568,90.8319,已完成
237,60,1,机械加工,35.2861,35.6791,已完成
238,60,2,电气装配,35.2861,37.6068,已完成
239,60,3,整机装配,35.2861,41.4957,已完成
240,60,4,调试检验,35.2861,36.3027,已完成
241,61,1,机械加工,98.823,113.6981,已完成
242,61,2,电气装配,98.823,94.261,已完成
243,61,3,整机装配,98.823,98.6194,已完成
244,61,4,调试检验,98.823,86.8701,已完成
245,62,1,机械加工,99.6553,111.8109,已完成
246,62,2,电气装配,99.6553,90.2225,已完成
247,62,3,整机装配,99.6553,112.7909,已完成
248,62,4,调试检验,99.6553,94.6823,已完成
249,63,1,机械加工,42.4664,46.9456,已完成
250,63,2,电气装配,42.4664,42.4251,已完成
251,63,3,整机装配,42.4664,45.9507,已完成
252,63,4,调试检验,42.4664,43.1654,已完成
253,64,1,机械加工,99.6553,108.7441,已完成
254,64,2,电气装配,99.6553,107.2334,已完成
255,64,3,整机装配,99.6553,107.7411,已完成
256,64,4,调试检验,99.6553,110.5231,已完成
257,65,1,机械加工,71.8473,84.2811,已完成
258,65,2,电气装配,71.8473,61.8162,已完成
259,65,3,整机装配,71.8473,69.7942,已完成
260,65,4,调试检验,71.8473,69.6245,已完成
261,66,1,机械加工,26.0846,29.5415,已完成
262,66,2,电气装配,26.0846,29.6028,已完成
263,66,3,整机装配,26.0846,26.3836,已完成
264,66,4,调试检验,26.0846,22.6129,已完成
265,67,1,机械加工,44.0494,50.7763,已完成
266,67,2,电气装配,44.0494,46.7162,已完成
267,67,3,整机装配,44.0494,46.9962,已完成
268,67,4,调试检验,44.0494,46.7157,已完成
269,68,1,机械加工,42.5445,47.5915,已完成
270,68,2,电气装配,42.5445,41.6216,已完成
271,68,3,整机装配,42.5445,45.7899,已完成
272,68,4,调试检验,42.5445,42.9821,已完成
273,69,1,机械加工,71.8473,62.0728,已完成
274,69,2,电气装配,71.8473,61.8904,已完成
275,69,3,整机装配,71.8473,68.303,已完成
276,69,4,调试检验,71.8473,74.6083,已完成
277,70,1,机械加工,85.4401,93.5091,已完成
278,70,2,电气装配,85.4401,74.7384,已完成
279,70,3,整机装配,85.4401,79.5303,已完成
280,70,4,调试检验,85.4401,81.6817,已完成
281,71,1,机械加工,98.823,111.3008,已完成
282,71,2,电气装配,98.823,85.174,已完成
283,71,3,整机装配,98.823,111.991,已完成
284,71,4,调试检验,98.823,109.2176,已完成
285,72,1,机械加工,35.2861,38.6779,已完成
286,72,2,电气装配,35.2861,38.5056,已完成
287,72,3,整机装配,35.2861,39.4017,已完成
288,72,4,调试检验,35.2861,38.1769,已完成
289,73,1,机械加工,31.6522,29.2616,已完成
290,73,2,电气装配,31.6522,34.1765,已完成
291,73,3,整机装配,31.6522,32.9418,已完成
292,73,4,调试检验,31.6522,30.2044,已完成
293,74,1,机械加工,58.3945,58.5727,已完成
294,74,2,电气装配,58.3945,54.3894,已完成
295,74,3,整机装配,58.3945,55.563,已完成
296,74,4,调试检验,58.3945,62.5132,已完成
297,75,1,机械加工,58.3178,60.5034,已完成
298,75,2,电气装配,58.3178,56.8002,已完成
299,75,3,整机装配,58.3178,63.8002,已完成
300,75,4,调试检验,58.3178,58.2354,已完成
301,76,1,机械加工,35.4413,37.617,已完成
302,76,2,电气装配,35.4413,37.527,已完成
303,76,3,整机装配,35.4413,35.3784,已完成
304,76,4,调试检验,35.4413,38.6088,已完成
305,77,1,机械加工,38.992,35.4951,已完成
306,77,2,电气装配,38.992,37.4767,已完成
307,77,3,整机装配,38.992,43.0682,已完成
308,77,4,调试检验,38.992,36.1006,已完成
309,78,1,机械加工,87.2354,92.4467,已完成
310,78,2,电气装配,87.2354,96.5996,已完成
311,78,3,整机装配,87.2354,91.992,已完成
312,78,4,调试检验,87.2354,96.2119,已完成
313,79,1,机械加工,42.4664,43.1755,已完成
314,79,2,电气装配,42.4664,43.038,已完成
315,79,3,整机装配,42.4664,37.3907,已完成
316,79,4,调试检验,42.4664,44.3098,已完成
317,80,1,机械加工,31.6522,37.1043,已完成
318,80,2,电气装配,31.6522,28.0543,已完成
319,80,3,整机装配,31.6522,34.7235,已完成
320,80,4,调试检验,31.6522,34.1778,已完成
321,81,1,机械加工,26.0846,25.2614,已完成
322,81,2,电气装配,26.0846,30.2421,已完成
323,81,3,整机装配,26.0846,26.3919,已完成
324,81,4,调试检验,26.0846,25.9515,已完成
325,82,1,机械加工,64.8069,56.6051,已完成
326,82,2,电气装配,64.8069,70.6675,已完成
327,82,3,整机装配,64.8069,68.8614,已完成
328,82,4,调试检验,64.8069,59.773,已完成
329,83,1,机械加工,35.4413,30.554,已完成
330,83,2,电气装配,35.4413,38.7428,已完成
331,83,3,整机装配,35.4413,38.2625,已完成
332,83,4,调试检验,35.4413,37.2207,已完成
333,84,1,机械加工,93.0993,101.1446,已完成
334,84,2,电气装配,93.0993,102.6322,已完成
335,84,3,整机装配,93.0993,95.1197,已完成
336,84,4,调试检验,93.0993,100.1501,已完成
337,85,1,机械加工,98.823,84.2427,已完成
338,85,2,电气装配,98.823,115.4476,已完成
339,85,3,整机装配,98.823,104.7739,已完成
340,85,4,调试检验,98.823,110.0961,已完成
341,86,1,机械加工,35.2861,31.2574,已完成
342,86,2,电气装配,35.2861,40.2362,已完成
343,86,3,整机装配,35.2861,37.8483,已完成
344,86,4,调试检验,35.2861,32.6716,已完成
345,87,1,机械加工,68.704,78.2015,已完成
346,87,2,电气装配,68.704,72.2235,已完成
347,87,3,整机装配,68.704,74.2886,已完成
348,87,4,调试检验,68.704,79.5765,已完成
349,88,1,机械加工,88.8212,84.3971,已完成
350,88,2,电气装配,88.8212,86.4797,已完成
351,88,3,整机装配,88.8212,95.8483,已完成
352,88,4,调试检验,88.8212,76.4397,已完成
353,89,1,机械加工,42.4664,49.8078,已完成
354,89,2,电气装配,42.4664,36.5353,已完成
355,89,3,整机装配,42.4664,38.0324,已完成
356,89,4,调试检验,42.4664,49.6841,已完成
357,90,1,机械加工,93.0993,80.9068,已完成
358,90,2,电气装配,93.0993,89.1395,已完成
359,90,3,整机装配,93.0993,97.6706,已完成
360,90,4,调试检验,93.0993,93.3511,已完成
361,91,1,机械加工,48.8267,50.029,已完成
362,91,2,电气装配,48.8267,50.4344,已完成
363,91,3,整机装配,48.8267,42.6726,已完成
364,91,4,调试检验,48.8267,55.1272,已完成
365,92,1,机械加工,66.0286,59.1169,已完成
366,92,2,电气装配,66.0286,64.2293,已完成
367,92,3,整机装配,66.0286,59.3799,已完成
368,92,4,调试检验,66.0286,63.347,已完成
369,93,1,机械加工,52.0027,56.4453,已完成
370,93,2,电气装配,52.0027,45.5406,已完成
371,93,3,整机装配,52.0027,54.6677,已完成
372,93,4,调试检验,52.0027,58.6945,已完成
373,94,1,机械加工,101.9862,112.6899,已完成
374,94,2,电气装配,101.9862,100.7685,已完成
375,94,3,整机装配,101.9862,106.4974,已完成
376,94,4,调试检验,101.9862,117.3173,已完成
377,95,1,机械加工,35.4413,38.0337,已完成
378,95,2,电气装配,35.4413,37.6947,已完成
379,95,3,整机装配,35.4413,37.2653,已完成
380,95,4,调试检验,35.4413,36.6876,已完成
381,96,1,机械加工,97.7957,90.4184,已完成
382,96,2,电气装配,97.7957,103.5806,已完成
383,96,3,整机装配,97.7957,96.5417,已完成
384,96,4,调试检验,97.7957,101.5509,已完成
385,97,1,机械加工,59.3416,65.4491,已完成
386,97,2,电气装配,59.3416,58.2134,已完成
387,97,3,整机装配,59.3416,68.7902,已完成
388,97,4,调试检验,59.3416,68.1943,已完成
389,98,1,机械加工,38.992,33.7696,已完成
390,98,2,电气装配,38.992,39.1192,已完成
391,98,3,整机装配,38.992,41.5881,已完成
392,98,4,调试检验,38.992,37.301,已完成
393,99,1,机械加工,59.3416,53.2829,已完成
394,99,2,电气装配,59.3416,53.4693,已完成
395,99,3,整机装配,59.3416,64.2554,已完成
396,99,4,调试检验,59.3416,61.5056,已完成
397,100,1,机械加工,42.4664,40.8092,已完成
398,100,2,电气装配,42.4664,36.633,已完成
399,100,3,整机装配,42.4664,38.3617,已完成
400,100,4,调试检验,42.4664,49.2172,已完成
401,101,1,机械加工,88.8212,75.5556,已完成
402,101,2,电气装配,88.8212,100.0131,已完成
403,101,3,整机装配,88.8212,79.2363,已完成
404,101,4,调试检验,88.8212,94.7261,已完成
405,102,1,机械加工,48.8267,54.9402,已完成
406,102,2,电气装配,48.8267,44.5627,已完成
407,102,3,整机装配,48.8267,43.6389,已完成
408,102,4,调试检验,48.8267,44.2345,已完成
409,103,1,机械加工,58.3178,66.6003,已完成
410,103,2,电气装配,58.3178,60.609,已完成
411,103,3,整机装配,58.3178,53.6353,已完成
412,103,4,调试检验,58.3178,67.4403,已完成
413,104,1,机械加工,91.2923,83.2102,已完成
414,104,2,电气装配,91.2923,80.0292,已完成
415,104,3,整机装配,91.2923,86.4292,已完成
416,104,4,调试检验,91.2923,78.5152,已完成
417,105,1,机械加工,62.8447,72.3225,已完成
418,105,2,电气装配,62.8447,60.6934,已完成
419,105,3,整机装配,62.8447,56.556,已完成
420,105,4,调试检验,62.8447,72.5877,已完成
421,106,1,机械加工,64.8069,64.8293,已完成
422,106,2,电气装配,64.8069,68.8662,已完成
423,106,3,整机装配,64.8069,57.5339,已完成
424,106,4,调试检验,64.8069,70.4147,已完成
425,107,1,机械加工,87.2354,81.6208,已完成
426,107,2,电气装配,87.2354,89.7907,已完成
427,107,3,整机装配,87.2354,84.5854,已完成
428,107,4,调试检验,87.2354,97.3111,已完成
429,108,1,机械加工,42.5445,36.7879,已完成
430,108,2,电气装配,42.5445,37.8773,已完成
431,108,3,整机装配,42.5445,39.9309,已完成
432,108,4,调试检验,42.5445,48.569,已完成
433,109,1,机械加工,42.4664,43.8455,已完成
434,109,2,电气装配,42.4664,37.2502,已完成
435,109,3,整机装配,42.4664,42.5479,已完成
436,109,4,调试检验,42.4664,42.2988,已完成
437,110,1,机械加工,64.8069,65.2549,已完成
438,110,2,电气装配,64.8069,68.8889,已完成
439,110,3,整机装配,64.8069,75.3118,已完成
440,110,4,调试检验,64.8069,61.5617,已完成
441,111,1,机械加工,58.3178,68.4174,已完成
442,111,2,电气装配,58.3178,68.0805,已完成
443,111,3,整机装配,58.3178,62.8596,已完成
444,111,4,调试检验,58.3178,55.1272,已完成
445,112,1,机械加工,31.6522,36.0549,已完成
446,112,2,电气装配,31.6522,36.2636,已完成
447,112,3,整机装配,31.6522,29.0798,已完成
448,112,4,调试检验,31.6522,34.3882,已完成
449,113,1,机械加工,102.9192,104.9133,已完成
450,113,2,电气装配,102.9192,98.4175,已完成
451,113,3,整机装配,102.9192,96.7164,已完成
452,113,4,调试检验,102.9192,102.3229,已完成
453,114,1,机械加工,31.6522,28.8482,已完成
454,114,2,电气装配,31.6522,30.642,已完成
455,114,3,整机装配,31.6522,32.2534,已完成
456,114,4,调试检验,31.6522,37.267,已完成
457,115,1,机械加工,52.0027,44.5705,已完成
458,115,2,电气装配,52.0027,48.1679,已完成
459,115,3,整机装配,52.0027,50.8296,已完成
460,115,4,调试检验,52.0027,54.6215,已完成
461,116,1,机械加工,80.0149,72.7617,已完成
462,116,2,电气装配,80.0149,78.7838,已完成
463,116,3,整机装配,80.0149,73.7538,已完成
464,116,4,调试检验,80.0149,71.0999,已完成
465,117,1,机械加工,64.3394,70.5416,已完成
466,117,2,电气装配,64.3394,70.0843,已完成
467,117,3,整机装配,64.3394,65.6122,已完成
468,117,4,调试检验,64.3394,64.9265,已完成
469,118,1,机械加工,66.0286,57.7384,已完成
470,118,2,电气装配,66.0286,56.4365,已完成
471,118,3,整机装配,66.0286,67.1375,已完成
472,118,4,调试检验,66.0286,71.6104,已完成
473,119,1,机械加工,38.5209,36.9253,已完成
474,119,2,电气装配,38.5209,42.457,已完成
475,119,3,整机装配,38.5209,43.1321,已完成
476,119,4,调试检验,38.5209,44.0129,已完成
477,120,1,机械加工,31.6522,30.5657,已完成
478,120,2,电气装配,31.6522,30.2688,已完成
479,120,3,整机装配,31.6522,28.6306,已完成
480,120,4,调试检验,31.6522,34.3165,已完成
481,121,1,机械加工,26.0846,27.7481,已完成
482,121,2,电气装配,26.0846,23.7695,已完成
483,121,3,整机装配,26.0846,23.0263,已完成
484,121,4,调试检验,26.0846,29.5872,已完成
485,122,1,机械加工,52.0027,46.1771,已完成
486,122,2,电气装配,52.0027,50.2132,已完成
487,122,3,整机装配,52.0027,60.8144,已完成
488,122,4,调试检验,52.0027,49.3286,已完成
489,123,1,机械加工,62.8447,58.7328,已完成
490,123,2,电气装配,62.8447,65.7726,已完成
491,123,3,整机装配,62.8447,55.8892,已完成
492,123,4,调试检验,62.8447,55.9743,已完成
493,124,1,机械加工,64.3394,58.3982,已完成
494,124,2,电气装配,64.3394,55.9555,已完成
495,124,3,整机装配,64.3394,62.8989,已完成
496,124,4,调试检验,64.3394,55.0765,已完成
497,125,1,机械加工,88.8212,75.6099,已完成
498,125,2,电气装配,88.8212,79.1277,已完成
499,125,3,整机装配,88.8212,102.7881,已完成
500,125,4,调试检验,88.8212,97.0796,已完成
501,126,1,机械加工,102.9192,100.8185,已完成
502,126,2,电气装配,102.9192,108.7976,已完成
503,126,3,整机装配,102.9192,117.9095,已完成
504,126,4,调试检验,102.9192,111.8157,已完成
505,127,1,机械加工,42.4664,44.0088,已完成
506,127,2,电气装配,42.4664,43.7126,已完成
507,127,3,整机装配,42.4664,47.5748,已完成
508,127,4,调试检验,42.4664,49.9746,已完成
509,128,1,机械加工,58.3178,67.7535,已完成
510,128,2,电气装配,58.3178,57.6352,已完成
511,128,3,整机装配,58.3178,56.5067,已完成
512,128,4,调试检验,58.3178,67.1027,已完成
513,129,1,机械加工,101.9862,106.9951,已完成
514,129,2,电气装配,101.9862,113.2631,已完成
515,129,3,整机装配,101.9862,87.0009,已完成
516,129,4,调试检验,101.9862,109.8259,已完成
517,130,1,机械加工,98.823,114.698,已完成
518,130,2,电气装配,98.823,110.7718,已完成
519,130,3,整机装配,98.823,97.3006,已完成
520,130,4,调试检验,98.823,112.9784,已完成
521,131,1,机械加工,88.218,78.9626,已完成
522,131,2,电气装配,88.218,87.4554,已完成
523,131,3,整机装配,88.218,86.1634,已完成
524,131,4,调试检验,88.218,102.3309,已完成
525,132,1,机械加工,35.4413,36.0358,已完成
526,132,2,电气装配,35.4413,33.314,已完成
527,132,3,整机装配,35.4413,30.8636,已完成
528,132,4,调试检验,35.4413,32.8331,已完成
529,133,1,机械加工,26.0846,26.4485,已完成
530,133,2,电气装配,26.0846,22.2973,已完成
531,133,3,整机装配,26.0846,25.958,已完成
532,133,4,调试检验,26.0846,27.6686,已完成
533,134,1,机械加工,38.5209,41.1762,已完成
534,134,2,电气装配,38.5209,40.3047,已完成
535,134,3,整机装配,38.5209,33.5184,已完成
536,134,4,调试检验,38.5209,41.6896,已完成
537,135,1,机械加工,31.6522,30.7834,已完成
538,135,2,电气装配,31.6522,30.2629,已完成
539,135,3,整机装配,31.6522,29.4282,已完成
540,135,4,调试检验,31.6522,34.4584,已完成
541,136,1,机械加工,32.9755,32.0381,已完成
542,136,2,电气装配,32.9755,29.8556,已完成
543,136,3,整机装配,32.9755,31.2066,已完成
544,136,4,调试检验,32.9755,37.5634,已完成
545,137,1,机械加工,31.6522,29.9092,已完成
546,137,2,电气装配,31.6522,28.9896,已完成
547,137,3,整机装配,31.6522,31.427,已完成
548,137,4,调试检验,31.6522,27.0898,已完成
549,138,1,机械加工,102.9192,112.319,已完成
550,138,2,电气装配,102.9192,112.1119,已完成
551,138,3,整机装配,102.9192,109.3042,已完成
552,138,4,调试检验,102.9192,99.6107,已完成
553,139,1,机械加工,98.823,105.2107,已完成
554,139,2,电气装配,98.823,109.1883,已完成
555,139,3,整机装配,98.823,112.5075,已完成
556,139,4,调试检验,98.823,100.5917,已完成
557,140,1,机械加工,58.3178,60.9626,已完成
558,140,2,电气装配,58.3178,56.8562,已完成
559,140,3,整机装配,58.3178,52.5559,已完成
560,140,4,调试检验,58.3178,56.3108,已完成
561,141,1,机械加工,59.3416,59.3341,已完成
