purchase_order_id,company_id,purchase_order_code,supplier_id,plant_id,order_date,promised_delivery_date,expected_delivery_date,status,buyer_id,currency,order_amount,source_system
23,1,采购-000023,33,2,2024-11-06,2024-11-29,2024-12-03,已完成,26,CNY,25804.87,ERP
24,1,采购-000024,50,1,2024-08-22,2024-09-17,2024-09-17,已完成,21,CNY,330983.43,ERP
25,1,采购-000025,35,1,2025-05-08,2025-06-19,2025-06-19,已完成,22,CNY,1960.46,ERP
26,1,采购-000026,48,1,2024-12-01,2024-12-24,2024-12-24,已完成,23,CNY,11800.23,ERP
27,1,采购-000027,48,1,2025-10-22,2025-11-14,2025-11-14,已完成,24,CNY,1810.25,ERP
28,1,采购-000028,33,1,2025-06-19,2025-06-26,2025-06-26,已完成,25,CNY,46787.89,ERP
29,1,采购-000029,9,2,2025-06-10,2025-07-11,2025-07-11,已完成,26,CNY,57238.23,ERP
30,1,采购-000030,10,1,2024-09-25,2024-10-26,2024-10-26,已完成,21,CNY,82921.26,ERP
31,1,采购-000031,23,1,2024-12-11,2024-12-25,2024-12-25,已完成,22,CNY,22170.05,ERP
32,1,采购-000032,6,2,2026-01-21,2026-02-17,2026-02-17,已完成,23,CNY,92645.37,ERP
33,1,采购-000033,26,1,2025-02-28,2025-03-10,2025-03-10,已完成,24,CNY,8447.63,ERP
34,1,采购-000034,22,2,2025-01-20,2025-01-26,2025-01-26,已完成,25,CNY,92300.5,ERP
35,1,采购-000035,49,1,2025-08-05,2025-09-02,2025-09-02,已完成,26,CNY,1825.9,ERP
36,1,采购-000036,21,2,2024-12-22,2024-12-28,2024-12-28,已完成,21,CNY,105712.41,ERP
37,1,采购-000037,21,1,2025-06-08,2025-07-03,2025-07-03,已完成,22,CNY,37326.26,ERP
38,1,采购-000038,6,2,2026-08-01,2026-08-22,2026-09-01,在途,23,CNY,14282.86,ERP
39,1,采购-000039,30,1,2024-09-12,2024-10-12,2024-10-12,已完成,24,CNY,356.92,ERP
40,1,采购-000040,18,1,2024-09-12,2024-09-26,2024-09-26,已完成,25,CNY,39992.73,ERP
41,1,采购-000041,9,2,2025-11-01,2025-12-02,2025-12-02,已完成,26,CNY,110015.41,ERP
42,1,采购-000042,12,1,2026-07-10,2026-07-30,2026-07-30,已完成,21,CNY,4457.6,ERP
43,1,采购-000043,16,1,2026-05-09,2026-05-17,2026-05-17,已完成,22,CNY,62742.12,ERP
44,1,采购-000044,28,1,2024-11-01,2024-11-26,2024-11-26,已完成,23,CNY,287.88,ERP
45,1,采购-000045,39,1,2026-06-05,2026-06-10,2026-06-10,已完成,24,CNY,1884.25,ERP
46,1,采购-000046,49,1,2024-10-08,2024-10-20,2024-10-20,已完成,25,CNY,41023.95,ERP
47,1,采购-000047,36,2,2025-04-29,2025-06-09,2025-06-09,已完成,26,CNY,82355.56,ERP
48,1,采购-000048,3,1,2025-05-15,2025-06-05,2025-06-05,已完成,21,CNY,4063.26,ERP
49,1,采购-000049,3,2,2026-07-04,2026-08-12,2026-08-12,在途,22,CNY,39619.39,ERP
50,1,采购-000050,50,2,2025-08-10,2025-09-07,2025-09-07,已完成,23,CNY,104126.52,ERP
51,1,采购-000051,15,2,2024-08-05,2024-08-29,2024-08-29,已完成,24,CNY,72595.91,ERP
52,1,采购-000052,49,1,2024-11-05,2024-11-13,2024-11-13,已完成,25,CNY,90735.12,ERP
53,1,采购-000053,41,1,2026-06-20,2026-07-09,2026-07-09,已完成,26,CNY,262247.2,ERP
54,1,采购-000054,1,1,2026-01-11,2026-02-14,2026-02-14,已完成,21,CNY,8545.45,ERP
55,1,采购-000055,17,1,2026-05-19,2026-05-26,2026-05-26,已完成,22,CNY,18175.41,ERP
56,1,采购-000056,47,1,2025-01-24,2025-03-01,2025-03-01,已完成,23,CNY,43405.05,ERP
57,1,采购-000057,42,1,2025-07-20,2025-07-29,2025-07-29,已完成,24,CNY,117738.08,ERP
58,1,采购-000058,44,1,2025-11-27,2025-12-22,2025-12-22,已完成,25,CNY,42162.49,ERP
59,1,采购-000059,19,1,2025-03-13,2025-03-26,2025-03-26,已完成,26,CNY,44408.22,ERP
60,1,采购-000060,12,2,2025-05-16,2025-06-18,2025-06-18,已完成,21,CNY,9292.28,ERP
61,1,采购-000061,9,1,2025-06-30,2025-07-23,2025-07-23,已完成,22,CNY,75129.08,ERP
62,1,采购-000062,39,1,2024-11-02,2024-11-07,2024-11-07,已完成,23,CNY,1706.11,ERP
63,1,采购-000063,14,2,2026-07-06,2026-08-01,2026-08-13,已逾期,24,CNY,11027.26,ERP
64,1,采购-000064,4,2,2026-01-26,2026-02-07,2026-02-07,已完成,25,CNY,197539.33,ERP
65,1,采购-000065,47,1,2026-06-12,2026-06-23,2026-06-23,已完成,26,CNY,1623.24,ERP
66,1,采购-000066,32,2,2026-07-25,2026-08-26,2026-08-26,在途,21,CNY,44231.93,ERP
67,1,采购-000067,11,2,2024-08-24,2024-09-10,2024-09-10,已完成,22,CNY,49864.32,ERP
68,1,采购-000068,40,1,2025-04-04,2025-04-27,2025-05-10,已完成,23,CNY,19619.15,ERP
69,1,采购-000069,21,2,2024-12-05,2025-01-07,2025-01-10,已完成,24,CNY,57730.19,ERP
70,1,采购-000070,23,2,2026-05-18,2026-06-29,2026-06-29,已完成,25,CNY,893.02,ERP
71,1,采购-000071,33,2,2024-12-22,2025-01-31,2025-01-31,已完成,26,CNY,1177.12,ERP
72,1,采购-000072,30,1,2026-05-04,2026-06-09,2026-06-09,已完成,21,CNY,6464.0,ERP
73,1,采购-000073,43,2,2026-01-18,2026-02-17,2026-02-17,已完成,22,CNY,5658.23,ERP
74,1,采购-000074,8,1,2025-12-10,2025-12-22,2025-12-22,已完成,23,CNY,27946.04,ERP
75,1,采购-000075,10,2,2025-08-29,2025-09-29,2025-09-29,已完成,24,CNY,17335.25,ERP
76,1,采购-000076,27,1,2025-04-18,2025-05-24,2025-05-24,已完成,25,CNY,9348.74,ERP
77,1,采购-000077,1,1,2025-03-02,2025-03-23,2025-03-23,已完成,26,CNY,4052.86,ERP
78,1,采购-000078,6,1,2025-04-22,2025-04-28,2025-04-28,已完成,21,CNY,179233.07,ERP
79,1,采购-000079,50,1,2026-06-19,2026-07-05,2026-07-05,已完成,22,CNY,5642.94,ERP
80,1,采购-000080,44,1,2026-07-28,2026-08-03,2026-08-03,已完成,23,CNY,87239.68,ERP
81,1,采购-000081,32,2,2024-08-20,2024-09-01,2024-09-01,已完成,24,CNY,52268.17,ERP
82,1,采购-000082,41,1,2025-11-16,2025-11-27,2025-11-27,已完成,25,CNY,45867.35,ERP
83,1,采购-000083,43,1,2024-08-24,2024-09-23,2024-09-23,已完成,26,CNY,17463.15,ERP
84,1,采购-000084,17,1,2025-01-10,2025-02-14,2025-02-14,已完成,21,CNY,6745.51,ERP
85,1,采购-000085,12,1,2025-01-30,2025-02-04,2025-02-15,已完成,22,CNY,8086.04,ERP
86,1,采购-000086,31,1,2025-11-29,2025-12-05,2025-12-18,已完成,23,CNY,77654.17,ERP
87,1,采购-000087,25,2,2026-03-20,2026-03-29,2026-03-29,已完成,24,CNY,50729.35,ERP
88,1,采购-000088,39,2,2026-05-23,2026-06-07,2026-06-07,已完成,25,CNY,292187.92,ERP
89,1,采购-000089,28,2,2024-08-15,2024-09-21,2024-09-21,已完成,26,CNY,35073.81,ERP
90,1,采购-000090,35,2,2025-01-05,2025-01-17,2025-01-17,已完成,21,CNY,84170.34,ERP
91,1,采购-000091,43,2,2024-11-06,2024-11-28,2024-11-28,已完成,22,CNY,574.29,ERP
92,1,采购-000092,33,1,2025-09-20,2025-09-27,2025-09-27,已完成,23,CNY,984.95,ERP
93,1,采购-000093,7,2,2025-07-23,2025-08-29,2025-08-29,已完成,24,CNY,31523.21,ERP
94,1,采购-000094,43,2,2024-11-13,2024-12-13,2024-12-13,已完成,25,CNY,11588.85,ERP
95,1,采购-000095,37,2,2024-10-07,2024-10-20,2024-10-20,已完成,26,CNY,98082.72,ERP
96,1,采购-000096,6,2,2025-05-22,2025-05-28,2025-05-28,已完成,21,CNY,32624.08,ERP
97,1,采购-000097,5,1,2025-10-20,2025-11-04,2025-11-04,已完成,22,CNY,107573.77,ERP
98,1,采购-000098,46,1,2025-12-11,2026-01-09,2026-01-09,已完成,23,CNY,19281.02,ERP
99,1,采购-000099,31,2,2025-03-19,2025-03-23,2025-03-23,已完成,24,CNY,109718.75,ERP
100,1,采购-000100,6,1,2025-12-28,2026-01-16,2026-01-16,已完成,25,CNY,6752.97,ERP
101,1,采购-000101,17,2,2025-06-12,2025-06-19,2025-06-19,已完成,26,CNY,35431.66,ERP
102,1,采购-000102,4,2,2025-03-26,2025-04-21,2025-04-26,已完成,21,CNY,649.67,ERP
103,1,采购-000103,25,1,2025-08-06,2025-09-10,2025-09-10,已完成,22,CNY,155278.35,ERP
104,1,采购-000104,34,1,2024-12-28,2025-01-20,2025-01-20,已完成,23,CNY,20105.7,ERP
105,1,采购-000105,3,2,2024-10-07,2024-10-15,2024-10-15,已完成,24,CNY,59592.74,ERP
106,1,采购-000106,4,2,2024-12-03,2024-12-15,2024-12-15,已完成,25,CNY,97878.44,ERP
107,1,采购-000107,50,1,2024-09-07,2024-10-10,2024-10-10,已完成,26,CNY,153639.19,ERP
108,1,采购-000108,24,2,2025-05-15,2025-06-15,2025-06-15,已完成,21,CNY,384.89,ERP
109,1,采购-000109,33,1,2024-08-18,2024-08-25,2024-08-25,已完成,22,CNY,230195.2,ERP
110,1,采购-000110,23,2,2026-01-12,2026-02-02,2026-02-02,已完成,23,CNY,30637.82,ERP
111,1,采购-000111,35,2,2025-01-22,2025-02-03,2025-02-03,已完成,24,CNY,13415.59,ERP
112,1,采购-000112,49,1,2025-01-14,2025-02-05,2025-02-05,已完成,25,CNY,22928.1,ERP
113,1,采购-000113,26,1,2025-08-17,2025-08-26,2025-08-26,已完成,26,CNY,326437.33,ERP
114,1,采购-000114,9,2,2025-09-24,2025-10-28,2025-10-31,已完成,21,CNY,212.04,ERP
115,1,采购-000115,23,1,2026-05-17,2026-06-16,2026-06-16,已完成,22,CNY,39572.7,ERP
116,1,采购-000116,49,2,2024-12-02,2025-01-01,2025-01-01,已完成,23,CNY,5150.08,ERP
117,1,采购-000117,33,1,2026-05-25,2026-07-01,2026-07-01,已完成,24,CNY,35333.96,ERP
118,1,采购-000118,11,1,2025-04-16,2025-05-07,2025-05-07,已完成,25,CNY,47451.12,ERP
119,1,采购-000119,8,2,2025-12-08,2025-12-27,2025-12-27,已完成,26,CNY,42442.66,ERP
120,1,采购-000120,26,1,2025-10-03,2025-10-29,2025-10-29,已完成,21,CNY,110171.49,ERP
121,1,采购-000121,40,2,2025-05-15,2025-05-31,2025-06-13,已完成,22,CNY,6990.39,ERP
122,1,采购-000122,31,2,2025-09-16,2025-10-18,2025-10-18,已完成,23,CNY,8731.82,ERP
123,1,采购-000123,22,2,2025-05-15,2025-06-07,2025-06-07,已完成,24,CNY,192766.3,ERP
124,1,采购-000124,29,2,2026-08-03,2026-08-29,2026-08-29,在途,25,CNY,33599.65,ERP
125,1,采购-000125,36,2,2026-02-17,2026-03-01,2026-03-01,已完成,26,CNY,393.65,ERP
126,1,采购-000126,37,2,2025-01-16,2025-02-07,2025-02-07,已完成,21,CNY,27883.6,ERP
127,1,采购-000127,8,1,2024-09-10,2024-10-07,2024-10-07,已完成,22,CNY,52372.49,ERP
128,1,采购-000128,4,2,2025-03-06,2025-03-17,2025-03-17,已完成,23,CNY,153554.72,ERP
129,1,采购-000129,15,1,2026-03-08,2026-04-04,2026-04-04,已完成,24,CNY,1340.97,ERP
130,1,采购-000130,11,2,2025-05-08,2025-05-25,2025-05-25,已完成,25,CNY,50592.51,ERP
131,1,采购-000131,40,1,2026-04-03,2026-05-05,2026-05-05,已完成,26,CNY,91669.85,ERP
132,1,采购-000132,10,1,2026-03-30,2026-04-30,2026-04-30,已完成,21,CNY,58060.6,ERP
133,1,采购-000133,43,2,2025-08-27,2025-09-20,2025-09-20,已完成,22,CNY,4520.63,ERP
134,1,采购-000134,31,2,2026-05-03,2026-06-04,2026-06-04,已完成,23,CNY,8273.88,ERP
135,1,采购-000135,46,1,2024-11-24,2024-12-15,2024-12-15,已完成,24,CNY,2816.7,ERP
136,1,采购-000136,14,1,2026-07-03,2026-07-28,2026-07-28,已完成,25,CNY,20212.68,ERP
137,1,采购-000137,3,1,2026-04-07,2026-04-23,2026-04-23,已完成,26,CNY,16210.51,ERP
138,1,采购-000138,4,1,2024-08-08,2024-09-02,2024-09-02,已完成,21,CNY,97787.47,ERP
139,1,采购-000139,34,1,2025-10-26,2025-11-06,2025-11-06,已完成,22,CNY,42156.3,ERP
140,1,采购-000140,10,1,2025-01-01,2025-02-01,2025-02-01,已完成,23,CNY,42668.99,ERP
141,1,采购-000141,34,1,2026-02-07,2026-03-09,2026-03-09,已完成,24,CNY,103194.7,ERP
142,1,采购-000142,42,1,2024-12-18,2025-01-09,2025-01-22,已完成,25,CNY,5103.63,ERP
143,1,采购-000143,49,2,2024-10-13,2024-11-04,2024-11-04,已完成,26,CNY,44146.59,ERP
144,1,采购-000144,9,1,2025-05-30,2025-06-30,2025-06-30,已完成,21,CNY,84788.6,ERP
145,1,采购-000145,28,1,2026-03-18,2026-04-24,2026-04-24,已完成,22,CNY,1595.69,ERP
146,1,采购-000146,47,1,2024-09-05,2024-10-12,2024-10-25,已完成,23,CNY,34748.86,ERP
147,1,采购-000147,40,1,2025-06-18,2025-07-04,2025-07-08,已完成,24,CNY,59929.99,ERP
148,1,采购-000148,42,1,2025-03-21,2025-04-26,2025-04-26,已完成,25,CNY,4599.7,ERP
149,1,采购-000149,42,2,2024-12-22,2025-02-01,2025-02-01,已完成,26,CNY,480.52,ERP
150,1,采购-000150,30,1,2026-05-07,2026-05-15,2026-05-15,已完成,21,CNY,123484.24,ERP
151,1,采购-000151,37,1,2026-04-16,2026-05-04,2026-05-04,已完成,22,CNY,233136.45,ERP
152,1,采购-000152,48,2,2025-12-31,2026-01-25,2026-02-09,已完成,23,CNY,3743.76,ERP
153,1,采购-000153,48,1,2024-10-08,2024-10-25,2024-10-25,已完成,24,CNY,14359.93,ERP
154,1,采购-000154,7,1,2025-08-01,2025-08-20,2025-08-26,已完成,25,CNY,2180.07,ERP
155,1,采购-000155,19,1,2024-10-26,2024-11-23,2024-11-23,已完成,26,CNY,8084.72,ERP
156,1,采购-000156,45,1,2025-03-03,2025-03-06,2025-03-06,已完成,21,CNY,107634.92,ERP
157,1,采购-000157,32,1,2025-12-14,2025-12-22,2025-12-22,已完成,22,CNY,186417.81,ERP
158,1,采购-000158,47,2,2026-01-17,2026-02-17,2026-02-17,已完成,23,CNY,18743.28,ERP
159,1,采购-000159,1,1,2025-05-01,2025-06-04,2025-06-04,已完成,24,CNY,20636.35,ERP
160,1,采购-000160,47,2,2024-10-22,2024-10-28,2024-10-28,已完成,25,CNY,84337.23,ERP
161,1,采购-000161,42,2,2024-10-04,2024-10-30,2024-10-30,已完成,26,CNY,44559.01,ERP
162,1,采购-000162,5,1,2024-08-08,2024-09-08,2024-09-11,已完成,21,CNY,44037.17,ERP
163,1,采购-000163,9,1,2025-09-14,2025-10-15,2025-10-15,已完成,22,CNY,8502.7,ERP
164,1,采购-000164,43,1,2025-10-03,2025-11-02,2025-11-02,已完成,23,CNY,7447.27,ERP
165,1,采购-000165,39,2,2025-04-12,2025-05-04,2025-05-04,已完成,24,CNY,1971.2,ERP
166,1,采购-000166,7,2,2026-02-05,2026-02-26,2026-02-26,已完成,25,CNY,91865.29,ERP
167,1,采购-000167,29,1,2026-03-14,2026-03-22,2026-03-22,已完成,26,CNY,210254.06,ERP
168,1,采购-000168,2,1,2025-06-29,2025-07-15,2025-07-15,已完成,21,CNY,56698.76,ERP
169,1,采购-000169,49,2,2026-02-12,2026-03-17,2026-03-17,已完成,22,CNY,7624.11,ERP
170,1,采购-000170,46,2,2026-03-19,2026-04-09,2026-04-09,已完成,23,CNY,38511.43,ERP
171,1,采购-000171,18,1,2025-01-19,2025-02-16,2025-02-16,已完成,24,CNY,75150.31,ERP
172,1,采购-000172,34,1,2025-08-27,2025-09-19,2025-09-19,已完成,25,CNY,1650.81,ERP
173,1,采购-000173,19,2,2026-06-11,2026-07-09,2026-07-09,已完成,26,CNY,19210.42,ERP
174,1,采购-000174,33,1,2026-04-13,2026-05-14,2026-05-14,已完成,21,CNY,8601.7,ERP
175,1,采购-000175,37,2,2025-05-23,2025-06-03,2025-06-03,已完成,22,CNY,24847.48,ERP
176,1,采购-000176,50,2,2024-11-13,2024-11-19,2024-11-19,已完成,23,CNY,136158.73,ERP
177,1,采购-000177,40,2,2024-08-03,2024-08-19,2024-08-19,已完成,24,CNY,186959.04,ERP
178,1,采购-000178,44,1,2025-11-08,2025-11-14,2025-11-14,已完成,25,CNY,896.87,ERP
179,1,采购-000179,5,2,2026-03-01,2026-03-16,2026-03-16,已完成,26,CNY,62031.19,ERP
180,1,采购-000180,36,2,2026-03-30,2026-05-01,2026-05-01,已完成,21,CNY,4367.21,ERP
181,1,采购-000181,16,2,2024-12-18,2025-01-14,2025-01-28,已完成,22,CNY,60480.14,ERP
182,1,采购-000182,34,2,2025-06-06,2025-06-13,2025-06-13,已完成,23,CNY,222273.46,ERP
183,1,采购-000183,44,1,2024-12-03,2024-12-28,2024-12-28,已完成,24,CNY,291.71,ERP
184,1,采购-000184,24,1,2026-03-07,2026-04-02,2026-04-02,已完成,25,CNY,7323.23,ERP
185,1,采购-000185,44,1,2026-01-04,2026-01-25,2026-01-25,已完成,26,CNY,37485.54,ERP
186,1,采购-000186,42,1,2024-08-09,2024-09-19,2024-09-19,已完成,21,CNY,3631.92,ERP
187,1,采购-000187,48,2,2025-07-15,2025-07-27,2025-07-27,已完成,22,CNY,99944.48,ERP
188,1,采购-000188,21,1,2025-12-29,2026-01-23,2026-01-23,已完成,23,CNY,150166.65,ERP
189,1,采购-000189,30,1,2025-03-07,2025-04-16,2025-04-16,已完成,24,CNY,17529.77,ERP
190,1,采购-000190,21,1,2025-09-13,2025-09-30,2025-09-30,已完成,25,CNY,2940.89,ERP
191,1,采购-000191,49,1,2025-09-18,2025-09-30,2025-09-30,已完成,26,CNY,9487.71,ERP
192,1,采购-000192,3,1,2025-12-13,2025-12-28,2025-12-28,已完成,21,CNY,4729.06,ERP
193,1,采购-000193,1,1,2025-08-11,2025-09-02,2025-09-02,已完成,22,CNY,78437.04,ERP
194,1,采购-000194,49,1,2025-03-26,2025-04-14,2025-04-14,已完成,23,CNY,90953.18,ERP
195,1,采购-000195,18,2,2026-01-06,2026-01-15,2026-01-15,已完成,24,CNY,90376.92,ERP
196,1,采购-000196,4,2,2025-08-08,2025-08-22,2025-08-22,已完成,25,CNY,43459.7,ERP
197,1,采购-000197,14,1,2026-05-10,2026-05-31,2026-05-31,已完成,26,CNY,34472.62,ERP
198,1,采购-000198,7,2,2026-07-16,2026-08-13,2026-08-13,在途,21,CNY,43849.15,ERP
199,1,采购-000199,36,1,2025-10-04,2025-11-14,2025-11-14,已完成,22,CNY,16593.97,ERP
200,1,采购-000200,33,1,2024-10-26,2024-11-07,2024-11-07,已完成,23,CNY,28977.78,ERP
201,1,采购-000201,13,1,2025-10-17,2025-10-29,2025-10-29,已完成,24,CNY,8246.48,ERP
202,1,采购-000202,33,2,2026-03-28,2026-04-20,2026-04-20,已完成,25,CNY,110771.86,ERP
203,1,采购-000203,12,1,2025-09-02,2025-09-17,2025-09-17,已完成,26,CNY,19122.89,ERP
204,1,采购-000204,11,2,2026-06-08,2026-06-29,2026-07-02,已完成,21,CNY,48910.9,ERP
205,1,采购-000205,12,2,2026-03-17,2026-04-06,2026-04-06,已完成,22,CNY,7590.96,ERP
206,1,采购-000206,42,1,2025-05-08,2025-05-16,2025-05-16,已完成,23,CNY,42996.45,ERP
207,1,采购-000207,9,1,2025-03-26,2025-04-26,2025-04-26,已完成,24,CNY,1815.9,ERP
208,1,采购-000208,41,2,2026-03-06,2026-04-06,2026-04-06,已完成,25,CNY,5373.16,ERP
209,1,采购-000209,20,2,2026-04-09,2026-04-30,2026-04-30,已完成,26,CNY,3733.09,ERP
210,1,采购-000210,13,1,2024-08-12,2024-08-27,2024-08-27,已完成,21,CNY,5779.81,ERP
211,1,采购-000211,24,1,2024-10-23,2024-11-22,2024-11-22,已完成,22,CNY,22126.35,ERP
212,1,采购-000212,10,1,2025-09-11,2025-10-12,2025-10-12,已完成,23,CNY,48017.08,ERP
213,1,采购-000213,30,2,2024-10-21,2024-11-15,2024-11-15,已完成,24,CNY,48130.01,ERP
214,1,采购-000214,24,2,2024-10-04,2024-11-01,2024-11-01,已完成,25,CNY,28177.9,ERP
215,1,采购-000215,21,1,2024-12-03,2025-01-05,2025-01-05,已完成,26,CNY,75607.49,ERP
216,1,采购-000216,15,1,2025-04-07,2025-04-19,2025-04-19,已完成,21,CNY,12038.01,ERP
217,1,采购-000217,7,2,2026-02-01,2026-03-10,2026-03-10,已完成,22,CNY,76563.39,ERP
218,1,采购-000218,35,2,2024-09-03,2024-10-05,2024-10-05,已完成,23,CNY,8432.36,ERP
219,1,采购-000219,23,1,2026-06-12,2026-07-23,2026-07-23,已完成,24,CNY,10369.14,ERP
220,1,采购-000220,30,2,2026-03-13,2026-04-18,2026-04-18,已完成,25,CNY,1738.13,ERP
221,1,采购-000221,11,1,2025-04-19,2025-05-19,2025-05-19,已完成,26,CNY,36028.04,ERP
222,1,采购-000222,38,2,2026-06-11,2026-07-13,2026-07-25,已完成,21,CNY,26032.79,ERP
223,1,采购-000223,39,2,2024-11-13,2024-12-02,2024-12-02,已完成,22,CNY,312155.43,ERP
224,1,采购-000224,36,1,2026-02-13,2026-02-22,2026-02-22,已完成,23,CNY,92096.45,ERP
225,1,采购-000225,9,1,2024-10-14,2024-11-06,2024-11-06,已完成,24,CNY,68099.36,ERP
226,1,采购-000226,14,1,2026-05-17,2026-06-07,2026-06-21,已完成,25,CNY,3833.89,ERP
227,1,采购-000227,34,2,2026-05-10,2026-05-26,2026-05-26,已完成,26,CNY,71696.37,ERP
228,1,采购-000228,36,2,2025-07-04,2025-07-28,2025-07-28,已完成,21,CNY,46086.1,ERP
229,1,采购-000229,45,2,2025-06-06,2025-06-20,2025-06-20,已完成,22,CNY,8132.27,ERP
230,1,采购-000230,27,1,2024-11-11,2024-12-05,2024-12-05,已完成,23,CNY,56879.35,ERP
231,1,采购-000231,36,1,2025-07-23,2025-07-27,2025-08-07,已完成,24,CNY,167630.5,ERP
232,1,采购-000232,1,2,2026-07-08,2026-08-14,2026-08-14,在途,25,CNY,1832.77,ERP
233,1,采购-000233,36,1,2025-02-12,2025-02-16,2025-02-21,已完成,26,CNY,259538.09,ERP
234,1,采购-000234,29,1,2025-09-25,2025-11-05,2025-11-05,已完成,21,CNY,2962.79,ERP
235,1,采购-000235,42,1,2025-06-15,2025-06-29,2025-06-29,已完成,22,CNY,9314.72,ERP
236,1,采购-000236,13,2,2025-10-12,2025-11-09,2025-11-09,已完成,23,CNY,15038.32,ERP
237,1,采购-000237,11,2,2026-02-05,2026-02-22,2026-02-22,已完成,24,CNY,16280.97,ERP
238,1,采购-000238,4,1,2024-12-27,2025-01-24,2025-01-24,已完成,25,CNY,29851.48,ERP
239,1,采购-000239,28,1,2025-02-23,2025-03-05,2025-03-05,已完成,26,CNY,60494.42,ERP
240,1,采购-000240,7,1,2026-05-21,2026-06-04,2026-06-04,已完成,21,CNY,251775.94,ERP
241,1,采购-000241,45,2,2025-03-30,2025-04-29,2025-04-29,已完成,22,CNY,31831.84,ERP
242,1,采购-000242,2,2,2025-12-29,2026-02-03,2026-02-03,已完成,23,CNY,3076.97,ERP
243,1,采购-000243,22,1,2024-10-28,2024-11-20,2024-11-20,已完成,24,CNY,72601.53,ERP
244,1,采购-000244,23,2,2025-09-05,2025-10-17,2025-10-17,已完成,25,CNY,5797.69,ERP
245,1,采购-000245,26,1,2025-12-04,2026-01-04,2026-01-18,已完成,26,CNY,112672.5,ERP
246,1,采购-000246,18,1,2026-03-04,2026-04-05,2026-04-05,已完成,21,CNY,17304.99,ERP
247,1,采购-000247,12,1,2025-09-07,2025-10-01,2025-10-01,已完成,22,CNY,1012.0,ERP
248,1,采购-000248,22,1,2025-04-22,2025-05-24,2025-05-24,已完成,23,CNY,4837.66,ERP
249,1,采购-000249,19,2,2026-03-30,2026-05-03,2026-05-03,已完成,24,CNY,673.19,ERP
250,1,采购-000250,13,1,2025-02-17,2025-03-17,2025-03-17,已完成,25,CNY,85828.65,ERP
251,1,采购-000251,44,2,2025-11-06,2025-11-21,2025-11-21,已完成,26,CNY,7264.04,ERP
252,1,采购-000252,39,1,2026-04-03,2026-04-25,2026-04-25,已完成,21,CNY,270.05,ERP
253,1,采购-000253,50,2,2025-04-10,2025-05-06,2025-05-06,已完成,22,CNY,189900.97,ERP
254,1,采购-000254,13,1,2024-08-10,2024-09-12,2024-09-12,已完成,23,CNY,98399.31,ERP
255,1,采购-000255,29,1,2025-03-03,2025-04-05,2025-04-05,已完成,24,CNY,2938.49,ERP
256,1,采购-000256,43,1,2026-05-11,2026-06-10,2026-06-10,已完成,25,CNY,11835.56,ERP
