invoice_id,invoice_code,customer_id,sales_order_id,shipment_id,invoice_date,due_date,invoice_amount,status
104,发票-000104,43,115,115,2024-12-08,2025-01-07,499817.46,已开票
105,发票-000105,69,119,119,2024-11-18,2025-01-02,487472.88,已开票
106,发票-000106,66,120,120,2024-12-09,2025-01-23,232243.96,已开票
107,发票-000107,80,121,121,2025-01-09,2025-04-09,551144.3,已开票
108,发票-000108,53,122,122,2024-12-02,2025-01-31,233829.87,已开票
109,发票-000109,49,124,124,2025-01-12,2025-03-13,898271.15,已开票
110,发票-000110,25,125,125,2025-01-09,2025-02-08,988533.55,已开票
111,发票-000111,38,126,126,2024-12-10,2025-01-24,403299.36,已开票
112,发票-000112,53,127,127,2024-11-20,2025-01-19,1431013.8,已开票
113,发票-000113,57,128,128,2025-01-15,2025-03-16,327155.96,已开票
114,发票-000114,59,129,129,2024-11-17,2025-02-15,373104.68,已开票
115,发票-000115,15,130,130,2024-12-26,2025-03-26,421654.72,已开票
116,发票-000116,56,131,131,2024-11-05,2025-02-03,135519.67,已开票
117,发票-000117,59,132,132,2025-01-26,2025-04-26,790021.4,已开票
118,发票-000118,51,133,133,2025-01-28,2025-03-14,536962.34,已开票
119,发票-000119,40,136,136,2024-12-15,2025-01-29,214943.12,已开票
120,发票-000120,78,137,137,2024-12-28,2025-02-11,198993.7,已开票
121,发票-000121,35,138,138,2025-01-08,2025-04-08,168572.71,已开票
122,发票-000122,76,139,139,2024-12-28,2025-02-11,210714.12,已开票
123,发票-000123,32,140,140,2025-01-23,2025-04-23,331427.86,已开票
124,发票-000124,67,141,141,2024-12-03,2025-03-03,533485.86,已开票
125,发票-000125,1,142,142,2024-11-12,2024-12-27,882161.32,已开票
126,发票-000126,6,143,143,2024-12-05,2025-02-03,375502.73,已开票
127,发票-000127,62,144,144,2025-01-11,2025-02-25,201493.56,已开票
128,发票-000128,9,145,145,2024-11-10,2024-12-25,839223.0,已开票
129,发票-000129,3,146,146,2024-12-11,2025-02-09,1202713.32,已开票
130,发票-000130,71,147,147,2024-11-04,2025-02-02,516234.1,已开票
131,发票-000131,46,148,148,2024-12-14,2025-01-28,238965.38,已开票
132,发票-000132,70,149,149,2025-01-16,2025-03-17,1162704.96,已开票
133,发票-000133,16,150,150,2024-12-19,2025-03-19,388984.09,已开票
134,发票-000134,22,151,151,2025-01-27,2025-04-27,896563.12,已开票
135,发票-000135,22,152,152,2025-01-03,2025-04-03,334178.74,已开票
136,发票-000136,72,153,153,2025-01-29,2025-02-28,427369.28,已开票
137,发票-000137,66,154,154,2024-12-08,2025-01-22,811438.76,已开票
138,发票-000138,16,155,155,2024-12-11,2025-03-11,635425.44,已开票
139,发票-000139,5,156,156,2025-01-29,2025-04-29,157491.52,已开票
140,发票-000140,44,157,157,2024-12-24,2025-01-23,332233.12,已开票
141,发票-000141,26,158,158,2024-11-27,2025-01-11,1187179.02,已开票
142,发票-000142,1,159,159,2025-01-15,2025-03-01,291844.12,已开票
143,发票-000143,21,160,160,2025-01-03,2025-02-02,569321.61,已开票
144,发票-000144,26,161,161,2025-02-12,2025-03-29,236104.91,已开票
145,发票-000145,76,162,162,2025-02-17,2025-04-03,845058.0,已开票
146,发票-000146,4,163,163,2024-11-15,2024-12-30,199162.88,已开票
147,发票-000147,80,164,164,2024-12-05,2025-03-05,624120.27,已开票
148,发票-000148,74,165,165,2024-12-20,2025-02-18,941155.28,已开票
149,发票-000149,5,166,166,2025-02-01,2025-05-02,362540.24,已开票
150,发票-000150,57,167,167,2025-01-06,2025-03-07,186626.39,已开票
151,发票-000151,80,168,168,2024-12-27,2025-03-27,1029953.12,已开票
152,发票-000152,46,169,169,2024-11-21,2025-01-05,1232497.5,已开票
153,发票-000153,1,170,170,2024-11-19,2025-01-03,772607.16,已开票
154,发票-000154,38,171,171,2024-12-22,2025-02-05,903248.1,已开票
155,发票-000155,30,172,172,2025-01-14,2025-04-14,172361.04,已开票
156,发票-000156,62,173,173,2025-01-17,2025-03-03,257932.0,已开票
157,发票-000157,79,174,174,2025-01-24,2025-04-24,664993.48,已开票
158,发票-000158,65,175,175,2025-01-27,2025-03-13,143997.72,已开票
159,发票-000159,28,176,176,2024-12-26,2025-01-25,167781.98,已开票
160,发票-000160,17,177,177,2025-01-29,2025-03-15,569952.72,已开票
161,发票-000161,58,178,178,2025-02-17,2025-04-18,331706.28,已开票
162,发票-000162,55,179,179,2024-12-17,2025-02-15,569546.34,已开票
163,发票-000163,35,180,180,2025-02-19,2025-05-20,698069.49,已开票
164,发票-000164,24,181,181,2025-02-08,2025-03-10,186633.04,已开票
165,发票-000165,15,182,182,2024-12-24,2025-03-24,172954.75,已开票
166,发票-000166,17,183,183,2024-12-28,2025-02-11,194025.64,已开票
167,发票-000167,73,184,184,2024-12-08,2025-01-22,306262.75,已开票
168,发票-000168,23,185,185,2025-01-16,2025-04-16,539739.84,已开票
169,发票-000169,15,186,186,2025-01-10,2025-04-10,934229.58,已开票
170,发票-000170,56,187,187,2025-01-10,2025-04-10,1058377.68,已开票
171,发票-000171,79,188,188,2024-12-25,2025-03-25,940133.16,已开票
172,发票-000172,59,189,189,2025-01-17,2025-04-17,363102.34,已开票
173,发票-000173,58,191,191,2025-01-20,2025-03-21,444390.44,已开票
174,发票-000174,4,192,192,2024-11-20,2025-01-04,697995.4,已开票
175,发票-000175,6,193,193,2025-01-16,2025-03-17,647061.44,已开票
176,发票-000176,28,194,194,2025-01-30,2025-03-01,1074800.95,已开票
177,发票-000177,47,195,195,2025-01-25,2025-03-26,230770.16,已开票
178,发票-000178,80,196,196,2025-02-15,2025-05-16,499710.2,已开票
179,发票-000179,5,197,197,2024-12-09,2025-03-09,873489.84,已开票
180,发票-000180,33,198,198,2025-01-16,2025-03-17,735063.2,已开票
181,发票-000181,49,199,199,2025-01-09,2025-03-10,1088652.1,已开票
182,发票-000182,78,200,200,2025-01-30,2025-03-16,996396.35,已开票
183,发票-000183,1,201,201,2025-02-18,2025-04-04,724170.26,已开票
184,发票-000184,66,202,202,2025-01-22,2025-03-08,512816.25,已开票
185,发票-000185,61,203,203,2024-12-20,2025-02-18,148098.87,已开票
186,发票-000186,9,204,204,2025-01-01,2025-02-15,729706.35,已开票
187,发票-000187,40,206,206,2025-01-18,2025-03-04,1002352.35,已开票
188,发票-000188,23,207,207,2025-01-24,2025-04-24,299814.54,已开票
189,发票-000189,54,208,208,2025-03-08,2025-05-07,161190.1,已开票
190,发票-000190,53,209,209,2024-11-26,2025-01-25,653139.64,已开票
191,发票-000191,33,210,210,2024-12-30,2025-02-28,696405.35,已开票
192,发票-000192,59,211,211,2025-01-20,2025-04-20,212551.66,已开票
193,发票-000193,46,212,212,2024-12-18,2025-02-01,534643.1,已开票
194,发票-000194,29,213,213,2024-12-16,2025-01-30,622919.46,已开票
195,发票-000195,64,215,215,2024-12-12,2025-01-26,1354274.68,已开票
196,发票-000196,50,216,216,2025-02-08,2025-04-09,900827.1,已开票
197,发票-000197,4,217,217,2025-02-14,2025-03-31,676188.42,已开票
198,发票-000198,20,218,218,2024-12-23,2025-02-06,1551655.95,已开票
199,发票-000199,25,219,219,2025-02-23,2025-03-25,646255.29,已开票
200,发票-000200,58,221,221,2025-01-01,2025-03-02,896041.3,已开票
201,发票-000201,25,222,222,2024-12-29,2025-01-28,950624.96,已开票
202,发票-000202,46,223,223,2025-02-11,2025-03-28,517765.28,已开票
203,发票-000203,35,224,224,2025-03-02,2025-05-31,265077.22,已开票
204,发票-000204,7,225,225,2025-03-01,2025-05-30,595950.96,已开票
205,发票-000205,15,226,226,2024-12-14,2025-03-14,290520.24,已开票
206,发票-000206,36,227,227,2024-12-12,2025-02-10,799279.7,已开票
207,发票-000207,54,228,228,2025-01-29,2025-03-30,282328.18,已开票
208,发票-000208,35,229,229,2025-02-14,2025-05-15,175951.72,已开票
209,发票-000209,37,230,230,2025-02-04,2025-03-06,336871.56,已开票
210,发票-000210,23,231,231,2025-02-09,2025-05-10,303382.19,已开票
211,发票-000211,58,233,233,2024-12-28,2025-02-26,551115.58,已开票
212,发票-000212,48,234,234,2025-01-10,2025-04-10,207733.88,已开票
213,发票-000213,52,235,235,2025-01-26,2025-04-26,638436.56,已开票
214,发票-000214,59,236,236,2024-12-19,2025-03-19,1123406.24,已开票
215,发票-000215,11,237,237,2024-12-31,2025-01-30,539758.32,已开票
216,发票-000216,75,238,238,2025-02-05,2025-03-22,467034.02,已开票
217,发票-000217,52,239,239,2025-01-20,2025-04-20,244704.3,已开票
218,发票-000218,72,240,240,2025-01-14,2025-02-13,208070.01,已开票
219,发票-000219,31,241,241,2025-02-28,2025-05-29,465850.58,已开票
220,发票-000220,15,242,242,2025-02-20,2025-05-21,501226.76,已开票
221,发票-000221,20,243,243,2025-01-23,2025-03-09,186174.35,已开票
222,发票-000222,80,244,244,2025-01-28,2025-04-28,1438276.4,已开票
223,发票-000223,21,245,245,2024-12-30,2025-01-29,734899.14,已开票
224,发票-000224,32,246,246,2025-03-04,2025-06-02,611171.8,已开票
225,发票-000225,38,247,247,2025-02-08,2025-03-25,961998.56,已开票
226,发票-000226,45,248,248,2024-12-17,2025-03-17,118129.37,已开票
227,发票-000227,75,249,249,2025-01-09,2025-02-23,265999.05,已开票
228,发票-000228,44,250,250,2024-12-29,2025-01-28,1294919.95,已开票
229,发票-000229,76,252,252,2025-02-23,2025-04-09,926982.96,已开票
230,发票-000230,47,253,253,2025-02-02,2025-04-03,179980.94,已开票
231,发票-000231,9,254,254,2024-12-26,2025-02-09,771241.83,已开票
232,发票-000232,80,255,255,2025-02-07,2025-05-08,276804.66,已开票
233,发票-000233,59,256,256,2025-02-03,2025-05-04,498444.42,已开票
234,发票-000234,13,257,257,2024-12-23,2025-03-23,1005340.68,已开票
235,发票-000235,69,258,258,2025-02-13,2025-03-30,209241.48,已开票
236,发票-000236,41,259,259,2025-01-09,2025-03-10,793094.72,已开票
237,发票-000237,20,260,260,2025-01-07,2025-02-21,957009.35,已开票
238,发票-000238,43,261,261,2025-01-12,2025-02-11,341594.1,已开票
239,发票-000239,37,262,262,2025-03-08,2025-04-07,1524916.4,已开票
240,发票-000240,43,263,263,2025-02-17,2025-03-19,796515.24,已开票
241,发票-000241,13,264,264,2025-01-07,2025-04-07,503572.48,已开票
242,发票-000242,57,265,265,2025-03-20,2025-05-19,575445.7,已开票
243,发票-000243,55,266,266,2024-12-29,2025-02-27,395668.9,已开票
244,发票-000244,30,267,267,2025-01-11,2025-04-11,216018.7,已开票
245,发票-000245,58,268,268,2025-02-06,2025-04-07,222626.62,已开票
246,发票-000246,51,270,270,2025-02-17,2025-04-03,188963.8,已开票
247,发票-000247,61,271,271,2025-01-18,2025-03-19,930263.22,已开票
248,发票-000248,64,273,273,2025-02-25,2025-04-11,398766.91,已开票
249,发票-000249,23,274,274,2025-03-09,2025-06-07,345654.66,已开票
250,发票-000250,21,275,275,2025-02-27,2025-03-29,305797.52,已开票
251,发票-000251,57,276,276,2025-02-18,2025-04-19,770499.69,已开票
252,发票-000252,9,277,277,2025-02-25,2025-04-11,508914.84,已开票
253,发票-000253,36,278,278,2025-02-21,2025-04-22,1028208.45,已开票
254,发票-000254,34,279,279,2025-01-22,2025-02-21,950000.68,已开票
255,发票-000255,74,280,280,2025-01-29,2025-03-30,506227.83,已开票
256,发票-000256,69,281,281,2025-01-20,2025-03-06,938062.28,已开票
257,发票-000257,47,282,282,2025-01-22,2025-03-23,165519.31,已开票
258,发票-000258,67,283,283,2025-02-24,2025-05-25,1521860.45,已开票
259,发票-000259,6,284,284,2025-02-01,2025-04-02,524890.62,已开票
260,发票-000260,64,285,285,2025-02-26,2025-04-12,1434908.45,已开票
261,发票-000261,78,286,286,2025-01-29,2025-03-15,159069.88,已开票
262,发票-000262,45,287,287,2025-01-05,2025-04-05,1258422.92,已开票
263,发票-000263,23,288,288,2025-01-19,2025-04-19,497948.61,已开票
264,发票-000264,25,289,289,2025-01-24,2025-02-23,422141.5,已开票
265,发票-000265,16,290,290,2025-01-19,2025-04-19,771585.76,已开票
266,发票-000266,2,291,291,2024-12-31,2025-02-14,176716.59,已开票
267,发票-000267,49,293,293,2025-03-07,2025-05-06,565454.92,已开票
268,发票-000268,16,294,294,2025-01-04,2025-04-04,253872.03,已开票
269,发票-000269,64,295,295,2025-02-12,2025-03-29,382410.36,已开票
270,发票-000270,45,296,296,2025-03-22,2025-06-20,276747.02,已开票
271,发票-000271,64,297,297,2025-02-18,2025-04-04,1086881.45,已开票
272,发票-000272,57,298,298,2025-01-29,2025-03-30,134753.88,已开票
273,发票-000273,55,299,299,2025-02-19,2025-04-20,343475.53,已开票
274,发票-000274,66,301,301,2025-03-21,2025-05-05,706327.48,已开票
275,发票-000275,7,302,302,2025-03-19,2025-06-17,589251.44,已开票
276,发票-000276,62,303,303,2025-03-07,2025-04-21,456406.08,已开票
277,发票-000277,23,304,304,2025-01-31,2025-05-01,160457.88,已开票
278,发票-000278,19,305,305,2025-01-13,2025-04-13,387304.38,已开票
279,发票-000279,18,306,306,2025-02-16,2025-03-18,1459570.52,已开票
280,发票-000280,49,307,307,2025-03-27,2025-05-26,980730.68,已开票
281,发票-000281,44,308,308,2025-03-07,2025-04-06,211590.32,已开票
282,发票-000282,7,309,309,2025-02-24,2025-05-25,400056.54,已开票
283,发票-000283,7,310,310,2025-01-17,2025-04-17,312491.42,已开票
284,发票-000284,55,311,311,2025-02-05,2025-04-06,514579.34,已开票
285,发票-000285,43,312,312,2025-02-28,2025-03-30,248252.6,已开票
286,发票-000286,50,313,313,2025-01-10,2025-03-11,164436.61,已开票
287,发票-000287,18,314,314,2025-03-12,2025-04-11,263043.72,已开票
288,发票-000288,50,315,315,2025-03-03,2025-05-02,910465.85,已开票
289,发票-000289,22,316,316,2025-01-14,2025-04-14,201827.66,已开票
290,发票-000290,72,317,317,2025-03-23,2025-04-22,894831.6,已开票
291,发票-000291,32,318,318,2025-02-28,2025-05-29,609459.28,已开票
292,发票-000292,8,319,319,2025-01-28,2025-03-29,621875.49,已开票
293,发票-000293,61,321,321,2025-02-16,2025-04-17,185823.39,已开票
294,发票-000294,17,322,322,2025-03-03,2025-04-17,395010.94,已开票
295,发票-000295,13,323,323,2025-02-25,2025-05-26,432103.1,已开票
296,发票-000296,17,324,324,2025-03-12,2025-04-26,201868.1,已开票
297,发票-000297,78,325,325,2025-02-07,2025-03-24,735505.08,已开票
298,发票-000298,66,326,326,2025-01-21,2025-03-07,1279481.25,已开票
299,发票-000299,79,327,327,2025-01-17,2025-04-17,243160.62,已开票
300,发票-000300,69,328,328,2025-02-23,2025-04-09,164145.31,已开票
301,发票-000301,50,329,329,2025-02-18,2025-04-19,211164.19,已开票
302,发票-000302,12,330,330,2025-02-14,2025-04-15,242327.44,已开票
303,发票-000303,62,331,331,2025-02-06,2025-03-23,834596.3,已开票
304,发票-000304,35,332,332,2025-02-21,2025-05-22,279618.68,已开票
305,发票-000305,64,333,333,2025-03-13,2025-04-27,656516.96,已开票
306,发票-000306,80,334,334,2025-01-17,2025-04-17,429253.46,已开票
307,发票-000307,22,335,335,2025-01-28,2025-04-28,427700.04,已开票
308,发票-000308,71,336,336,2025-02-14,2025-05-15,935563.08,已开票
309,发票-000309,54,337,337,2025-02-21,2025-04-22,402881.56,已开票
310,发票-000310,37,338,338,2025-02-15,2025-03-17,511537.72,已开票
311,发票-000311,77,339,339,2025-04-06,2025-05-21,196623.5,已开票
312,发票-000312,43,340,340,2025-03-10,2025-04-09,1037826.69,已开票
313,发票-000313,62,341,341,2025-02-05,2025-03-22,1288257.35,已开票
314,发票-000314,6,342,342,2025-04-17,2025-06-16,195522.7,已开票
315,发票-000315,17,343,343,2025-04-04,2025-05-19,978257.92,已开票
316,发票-000316,67,344,344,2025-04-07,2025-07-06,1446437.92,已开票
317,发票-000317,53,345,345,2025-03-29,2025-05-28,605931.84,已开票
318,发票-000318,24,346,346,2025-04-20,2025-05-20,263296.99,已开票
319,发票-000319,36,349,349,2025-02-13,2025-04-14,413324.44,已开票
320,发票-000320,53,350,350,2025-02-20,2025-04-21,584374.54,已开票
321,发票-000321,21,351,351,2025-03-22,2025-04-21,508262.38,已开票
322,发票-000322,60,352,352,2025-03-10,2025-04-24,1432321.9,已开票
323,发票-000323,1,353,353,2025-02-11,2025-03-28,181368.63,已开票
324,发票-000324,29,354,354,2025-03-09,2025-04-23,187602.3,已开票
325,发票-000325,29,355,355,2025-03-12,2025-04-26,472461.18,已开票
326,发票-000326,77,356,356,2025-04-01,2025-05-16,1056211.3,已开票
327,发票-000327,46,357,357,2025-03-27,2025-05-11,285345.1,已开票
328,发票-000328,37,358,358,2025-04-11,2025-05-11,215807.81,已开票
329,发票-000329,69,359,359,2025-03-10,2025-04-24,327456.48,已开票
330,发票-000330,15,360,360,2025-01-29,2025-04-29,601287.15,已开票
331,发票-000331,20,361,361,2025-03-03,2025-04-17,247107.83,已开票
332,发票-000332,37,362,362,2025-04-20,2025-05-20,212388.42,已开票
333,发票-000333,71,364,364,2025-03-04,2025-06-02,176675.01,已开票
334,发票-000334,67,365,365,2025-04-08,2025-07-07,362045.44,已开票
335,发票-000335,22,366,366,2025-03-22,2025-06-20,162730.21,已开票
336,发票-000336,18,367,367,2025-04-04,2025-05-04,1210683.84,已开票
337,发票-000337,78,369,369,2025-03-25,2025-05-09,187551.56,已开票
338,发票-000338,78,370,370,2025-04-11,2025-05-26,1599118.2,已开票
339,发票-000339,17,371,371,2025-03-18,2025-05-02,933177.64,已开票
340,发票-000340,26,372,372,2025-02-21,2025-04-07,184025.99,已开票
341,发票-000341,32,373,373,2025-02-01,2025-05-02,549994.74,已开票
342,发票-000342,17,374,374,2025-03-05,2025-04-19,360819.64,已开票
343,发票-000343,44,375,375,2025-04-20,2025-05-20,462097.56,已开票
344,发票-000344,42,376,376,2025-02-06,2025-04-07,1160343.6,已开票
345,发票-000345,70,377,377,2025-04-01,2025-05-31,440034.74,已开票
346,发票-000346,78,378,378,2025-03-30,2025-05-14,184152.96,已开票
347,发票-000347,57,379,379,2025-03-28,2025-05-27,553912.32,已开票
348,发票-000348,39,381,381,2025-04-26,2025-06-10,248764.39,已开票
349,发票-000349,23,382,382,2025-04-26,2025-07-25,239643.1,已开票
350,发票-000350,31,383,383,2025-02-24,2025-05-25,494915.88,已开票
351,发票-000351,23,384,384,2025-04-03,2025-07-02,739432.52,已开票
352,发票-000352,62,386,386,2025-03-13,2025-04-27,291220.16,已开票
353,发票-000353,2,387,387,2025-02-14,2025-03-31,193227.22,已开票
354,发票-000354,73,388,388,2025-04-04,2025-05-19,440822.5,已开票
355,发票-000355,67,389,389,2025-02-03,2025-05-04,496259.91,已开票
356,发票-000356,66,390,390,2025-03-17,2025-05-01,291268.69,已开票
357,发票-000357,31,391,391,2025-03-25,2025-06-23,454330.18,已开票
358,发票-000358,25,392,392,2025-05-05,2025-06-04,322802.96,已开票
359,发票-000359,68,393,393,2025-02-12,2025-05-13,300135.87,已开票
360,发票-000360,25,394,394,2025-03-20,2025-04-19,428822.42,已开票
361,发票-000361,43,395,395,2025-04-10,2025-05-10,267624.54,已开票
362,发票-000362,25,396,396,2025-03-16,2025-04-15,591086.7,已开票
363,发票-000363,20,397,397,2025-04-08,2025-05-23,787124.6,已开票
364,发票-000364,27,398,398,2025-03-20,2025-05-04,894107.7,已开票
365,发票-000365,28,399,399,2025-03-26,2025-04-25,430583.66,已开票
366,发票-000366,19,400,400,2025-04-14,2025-07-13,363731.84,已开票
367,发票-000367,32,401,401,2025-03-08,2025-06-06,923343.08,已开票
368,发票-000368,36,402,402,2025-02-24,2025-04-25,719670.56,已开票
369,发票-000369,57,404,404,2025-03-10,2025-05-09,551023.68,已开票
370,发票-000370,31,405,405,2025-02-28,2025-05-29,621152.13,已开票
371,发票-000371,80,406,406,2025-04-19,2025-07-18,941674.56,已开票
372,发票-000372,5,407,407,2025-03-06,2025-06-04,207699.75,已开票
373,发票-000373,60,408,408,2025-04-10,2025-05-25,905582.04,已开票
374,发票-000374,30,409,409,2025-03-01,2025-05-30,168507.65,已开票
