price_history_id,material_id,month,average_purchase_price,market_reference_price,month_over_month_rate
103,5,2024-10-01,587.86,597.55,-0.0027
104,5,2024-11-01,583.2,578.71,-0.0079
105,5,2024-12-01,598.49,593.91,0.0262
106,5,2025-01-01,594.95,607.24,-0.0059
107,5,2025-02-01,588.5,586.71,-0.0108
108,5,2025-03-01,591.66,586.78,0.0054
109,5,2025-04-01,579.49,582.63,-0.0206
110,5,2025-05-01,569.29,573.75,-0.0176
111,5,2025-06-01,582.42,586.36,0.0231
112,5,2025-07-01,571.92,588.97,-0.018
113,5,2025-08-01,578.84,578.17,0.0121
114,5,2025-09-01,572.98,561.03,-0.0101
115,5,2025-10-01,580.75,563.39,0.0136
116,5,2025-11-01,577.52,571.81,-0.0056
117,5,2025-12-01,581.58,573.46,0.007
118,5,2026-01-01,597.66,600.82,0.0277
119,5,2026-02-01,609.92,593.12,0.0205
120,5,2026-03-01,630.42,647.42,0.0336
121,5,2026-04-01,636.12,630.94,0.009
122,5,2026-05-01,626.86,618.53,-0.0146
123,5,2026-06-01,622.86,610.35,-0.0064
124,5,2026-07-01,634.77,625.35,0.0191
125,5,2026-08-01,624.47,640.78,-0.0162
126,6,2024-08-01,415.45,415.43,-0.0033
127,6,2024-09-01,415.9,405.33,0.0011
128,6,2024-10-01,419.34,427.86,0.0083
129,6,2024-11-01,428.04,425.81,0.0208
130,6,2024-12-01,438.98,437.86,0.0256
131,6,2025-01-01,449.17,438.24,0.0232
132,6,2025-02-01,448.89,446.31,-0.0006
133,6,2025-03-01,460.56,448.34,0.026
134,6,2025-04-01,450.52,455.37,-0.0218
135,6,2025-05-01,451.07,448.33,0.0012
136,6,2025-06-01,448.08,439.81,-0.0066
137,6,2025-07-01,462.55,454.53,0.0323
138,6,2025-08-01,470.92,462.43,0.0181
139,6,2025-09-01,480.99,468.13,0.0214
140,6,2025-10-01,474.08,483.42,-0.0144
141,6,2025-11-01,480.15,473.84,0.0128
142,6,2025-12-01,492.47,481.65,0.0257
143,6,2026-01-01,496.2,492.62,0.0076
144,6,2026-02-01,506.57,518.99,0.0209
145,6,2026-03-01,518.85,520.05,0.0243
146,6,2026-04-01,530.89,532.42,0.0232
147,6,2026-05-01,520.0,509.2,-0.0205
148,6,2026-06-01,523.62,530.89,0.007
149,6,2026-07-01,533.3,523.9,0.0185
150,6,2026-08-01,528.34,522.71,-0.0093
151,7,2024-08-01,2776.7,2729.06,0.0015
152,7,2024-09-01,2765.42,2791.91,-0.0041
153,7,2024-10-01,2850.22,2816.57,0.0307
154,7,2024-11-01,2827.63,2900.93,-0.0079
155,7,2024-12-01,2911.76,2865.48,0.0298
156,7,2025-01-01,2977.74,2970.33,0.0227
157,7,2025-02-01,2931.31,2865.52,-0.0156
158,7,2025-03-01,2939.68,2997.98,0.0029
159,7,2025-04-01,2889.66,2849.69,-0.017
160,7,2025-05-01,2909.69,2977.72,0.0069
161,7,2025-06-01,2849.51,2919.63,-0.0207
162,7,2025-07-01,2923.23,2887.11,0.0259
163,7,2025-08-01,2924.01,2946.32,0.0003
164,7,2025-09-01,2961.8,3040.36,0.0129
165,7,2025-10-01,2937.95,2858.23,-0.0081
166,7,2025-11-01,2891.97,2805.47,-0.0157
167,7,2025-12-01,2852.66,2917.3,-0.0136
168,7,2026-01-01,2845.72,2898.5,-0.0024
169,7,2026-02-01,2896.46,2826.82,0.0178
170,7,2026-03-01,2925.91,2898.58,0.0102
171,7,2026-04-01,3008.61,3083.95,0.0283
172,7,2026-05-01,2938.42,3000.23,-0.0233
173,7,2026-06-01,2956.93,2995.87,0.0063
174,7,2026-07-01,3059.17,3047.11,0.0346
175,7,2026-08-01,3088.34,3079.02,0.0095
176,8,2024-08-01,1266.11,1280.55,-0.0216
177,8,2024-09-01,1241.05,1236.19,-0.0198
178,8,2024-10-01,1280.36,1293.6,0.0317
179,8,2024-11-01,1317.87,1323.44,0.0293
180,8,2024-12-01,1324.32,1333.04,0.0049
181,8,2025-01-01,1309.86,1318.38,-0.0109
182,8,2025-02-01,1326.17,1335.71,0.0125
183,8,2025-03-01,1294.92,1289.42,-0.0236
184,8,2025-04-01,1312.13,1278.61,0.0133
185,8,2025-05-01,1282.44,1289.85,-0.0226
186,8,2025-06-01,1318.09,1309.22,0.0278
187,8,2025-07-01,1325.82,1337.84,0.0059
188,8,2025-08-01,1370.03,1340.84,0.0333
189,8,2025-09-01,1348.12,1366.61,-0.016
190,8,2025-10-01,1346.48,1371.61,-0.0012
191,8,2025-11-01,1344.8,1373.03,-0.0012
192,8,2025-12-01,1352.57,1322.85,0.0058
193,8,2026-01-01,1319.04,1279.9,-0.0248
194,8,2026-02-01,1295.73,1259.9,-0.0177
195,8,2026-03-01,1314.31,1283.8,0.0143
196,8,2026-04-01,1306.46,1287.64,-0.006
197,8,2026-05-01,1307.74,1327.43,0.001
198,8,2026-06-01,1327.3,1292.38,0.015
199,8,2026-07-01,1338.78,1336.58,0.0086
200,8,2026-08-01,1313.53,1313.69,-0.0189
201,9,2024-08-01,13.18,12.97,-0.0113
202,9,2024-09-01,13.62,13.33,0.0335
203,9,2024-10-01,13.82,13.85,0.0143
204,9,2024-11-01,13.85,14.19,0.0023
205,9,2024-12-01,14.16,14.3,0.0223
206,9,2025-01-01,14.22,14.03,0.0048
207,9,2025-02-01,13.88,14.1,-0.0242
208,9,2025-03-01,13.54,13.52,-0.0247
209,9,2025-04-01,13.69,13.55,0.0109
210,9,2025-05-01,13.94,13.99,0.0183
211,9,2025-06-01,13.73,13.69,-0.0151
212,9,2025-07-01,14.13,14.45,0.0297
213,9,2025-08-01,14.29,14.0,0.0107
214,9,2025-09-01,14.06,14.29,-0.016
215,9,2025-10-01,14.55,14.73,0.0349
216,9,2025-11-01,14.72,14.68,0.0117
217,9,2025-12-01,14.58,14.66,-0.0091
218,9,2026-01-01,14.91,15.1,0.0226
219,9,2026-02-01,14.72,15.0,-0.013
220,9,2026-03-01,14.55,14.53,-0.0118
221,9,2026-04-01,14.87,14.92,0.0221
222,9,2026-05-01,14.58,14.73,-0.0195
223,9,2026-06-01,14.37,14.31,-0.014
224,9,2026-07-01,14.12,14.31,-0.0178
225,9,2026-08-01,14.3,14.08,0.0129
226,10,2024-08-01,75.72,76.46,-0.0218
227,10,2024-09-01,76.54,78.3,0.0108
228,10,2024-10-01,78.34,77.48,0.0235
229,10,2024-11-01,79.32,77.42,0.0125
230,10,2024-12-01,77.68,75.54,-0.0207
231,10,2025-01-01,77.7,75.47,0.0003
232,10,2025-02-01,77.52,76.02,-0.0024
233,10,2025-03-01,77.66,76.9,0.0019
234,10,2025-04-01,78.9,77.04,0.0159
235,10,2025-05-01,81.05,83.41,0.0273
236,10,2025-06-01,80.46,79.2,-0.0073
237,10,2025-07-01,82.94,82.22,0.0309
238,10,2025-08-01,84.16,84.82,0.0147
239,10,2025-09-01,84.86,86.29,0.0083
240,10,2025-10-01,87.71,89.17,0.0335
241,10,2025-11-01,86.17,87.55,-0.0175
242,10,2025-12-01,87.71,89.98,0.0179
243,10,2026-01-01,88.13,90.32,0.0048
244,10,2026-02-01,86.7,84.78,-0.0162
245,10,2026-03-01,84.9,85.52,-0.0208
246,10,2026-04-01,86.11,85.09,0.0143
247,10,2026-05-01,84.56,85.7,-0.018
248,10,2026-06-01,83.99,85.67,-0.0068
249,10,2026-07-01,86.73,85.45,0.0325
250,10,2026-08-01,89.42,87.99,0.0311
251,11,2024-08-01,9.54,9.44,0.0292
252,11,2024-09-01,9.58,9.63,0.0043
253,11,2024-10-01,9.77,9.71,0.0206
254,11,2024-11-01,10.07,10.08,0.0306
255,11,2024-12-01,10.13,10.36,0.0057
256,11,2025-01-01,9.94,9.85,-0.0192
257,11,2025-02-01,10.11,9.98,0.0171
258,11,2025-03-01,10.25,10.32,0.0141
259,11,2025-04-01,10.02,9.87,-0.0223
260,11,2025-05-01,10.28,10.1,0.0262
261,11,2025-06-01,10.16,10.23,-0.0122
262,11,2025-07-01,10.15,9.87,-0.001
263,11,2025-08-01,10.05,10.03,-0.01
264,11,2025-09-01,10.0,9.88,-0.0044
265,11,2025-10-01,9.98,10.17,-0.0027
266,11,2025-11-01,10.18,10.3,0.0208
267,11,2025-12-01,10.41,10.33,0.0222
268,11,2026-01-01,10.28,10.36,-0.0125
269,11,2026-02-01,10.13,10.41,-0.0139
270,11,2026-03-01,10.34,10.28,0.0201
271,11,2026-04-01,10.46,10.52,0.0118
272,11,2026-05-01,10.26,10.21,-0.0193
273,11,2026-06-01,10.33,10.63,0.0068
274,11,2026-07-01,10.43,10.57,0.0096
275,11,2026-08-01,10.34,10.11,-0.0083
276,12,2024-08-01,25.67,25.69,0.0262
277,12,2024-09-01,26.36,26.13,0.0267
278,12,2024-10-01,26.0,25.5,-0.0137
279,12,2024-11-01,26.65,26.3,0.0252
280,12,2024-12-01,26.6,25.96,-0.002
281,12,2025-01-01,27.12,27.34,0.0196
282,12,2025-02-01,27.85,27.45,0.0269
283,12,2025-03-01,27.54,26.8,-0.0113
284,12,2025-04-01,27.29,27.44,-0.009
285,12,2025-05-01,27.14,27.01,-0.0055
286,12,2025-06-01,27.05,27.59,-0.0032
287,12,2025-07-01,27.92,27.38,0.032
288,12,2025-08-01,27.99,27.87,0.0025
289,12,2025-09-01,27.87,27.97,-0.0041
290,12,2025-10-01,27.65,27.88,-0.008
291,12,2025-11-01,28.19,28.36,0.0196
292,12,2025-12-01,29.18,28.41,0.035
293,12,2026-01-01,28.51,28.13,-0.0228
294,12,2026-02-01,28.34,27.55,-0.0061
295,12,2026-03-01,27.94,28.27,-0.014
296,12,2026-04-01,28.0,27.42,0.0021
297,12,2026-05-01,28.92,28.5,0.0329
298,12,2026-06-01,29.59,29.05,0.0232
299,12,2026-07-01,29.95,29.56,0.0121
300,12,2026-08-01,29.91,29.87,-0.0014
301,13,2024-08-01,644.7,656.55,-0.0164
302,13,2024-09-01,644.81,642.77,0.0002
303,13,2024-10-01,638.49,632.1,-0.0098
304,13,2024-11-01,636.52,647.29,-0.0031
305,13,2024-12-01,644.41,662.78,0.0124
306,13,2025-01-01,645.73,637.42,0.0021
307,13,2025-02-01,646.1,660.62,0.0006
308,13,2025-03-01,659.9,661.28,0.0214
309,13,2025-04-01,680.25,672.52,0.0308
310,13,2025-05-01,696.68,693.21,0.0242
311,13,2025-06-01,694.68,691.63,-0.0029
312,13,2025-07-01,681.61,684.9,-0.0188
313,13,2025-08-01,680.2,686.36,-0.0021
314,13,2025-09-01,692.14,680.67,0.0175
315,13,2025-10-01,707.11,695.85,0.0216
316,13,2025-11-01,700.94,709.91,-0.0087
317,13,2025-12-01,712.93,727.49,0.0171
318,13,2026-01-01,717.64,726.86,0.0066
319,13,2026-02-01,739.5,719.78,0.0305
320,13,2026-03-01,723.99,716.05,-0.021
321,13,2026-04-01,719.41,725.25,-0.0063
322,13,2026-05-01,705.65,695.43,-0.0191
323,13,2026-06-01,715.18,719.83,0.0135
324,13,2026-07-01,698.67,681.86,-0.0231
325,13,2026-08-01,684.62,679.41,-0.0201
326,14,2024-08-01,533.46,535.19,-0.0117
327,14,2024-09-01,543.45,541.51,0.0187
328,14,2024-10-01,543.9,554.77,0.0008
329,14,2024-11-01,548.43,536.16,0.0083
330,14,2024-12-01,556.3,549.3,0.0144
331,14,2025-01-01,566.2,550.38,0.0178
332,14,2025-02-01,559.83,564.08,-0.0113
333,14,2025-03-01,570.1,554.21,0.0183
334,14,2025-04-01,559.71,547.1,-0.0182
335,14,2025-05-01,553.89,568.42,-0.0104
336,14,2025-06-01,559.84,545.86,0.0107
337,14,2025-07-01,561.07,567.68,0.0022
338,14,2025-08-01,557.95,567.3,-0.0056
339,14,2025-09-01,554.61,539.36,-0.006
340,14,2025-10-01,547.54,532.56,-0.0127
341,14,2025-11-01,550.77,536.86,0.0059
342,14,2025-12-01,566.04,567.71,0.0277
343,14,2026-01-01,557.1,556.11,-0.0158
344,14,2026-02-01,551.86,545.42,-0.0094
345,14,2026-03-01,541.52,552.77,-0.0187
346,14,2026-04-01,531.06,546.55,-0.0193
347,14,2026-05-01,536.91,526.05,0.011
348,14,2026-06-01,543.52,541.42,0.0123
349,14,2026-07-01,557.64,543.44,0.026
350,14,2026-08-01,559.03,565.02,0.0025
351,15,2024-08-01,1502.56,1509.56,0.0056
352,15,2024-09-01,1491.81,1499.11,-0.0071
353,15,2024-10-01,1542.27,1586.03,0.0338
354,15,2024-11-01,1520.99,1535.42,-0.0138
355,15,2024-12-01,1484.86,1492.12,-0.0238
356,15,2025-01-01,1478.86,1459.54,-0.004
357,15,2025-02-01,1516.02,1548.06,0.0251
358,15,2025-03-01,1511.4,1545.12,-0.003
359,15,2025-04-01,1533.38,1548.1,0.0145
360,15,2025-05-01,1563.03,1606.69,0.0193
361,15,2025-06-01,1556.46,1570.41,-0.0042
362,15,2025-07-01,1561.08,1556.2,0.003
363,15,2025-08-01,1541.06,1545.45,-0.0128
364,15,2025-09-01,1583.34,1544.87,0.0274
365,15,2025-10-01,1612.48,1588.98,0.0184
366,15,2025-11-01,1599.76,1556.75,-0.0079
367,15,2025-12-01,1607.96,1636.85,0.0051
368,15,2026-01-01,1629.91,1602.67,0.0137
369,15,2026-02-01,1683.53,1689.24,0.0329
370,15,2026-03-01,1720.48,1764.17,0.0219
371,15,2026-04-01,1696.61,1667.84,-0.0139
372,15,2026-05-01,1665.81,1699.53,-0.0182
373,15,2026-06-01,1722.29,1751.57,0.0339
374,15,2026-07-01,1707.28,1713.61,-0.0087
375,15,2026-08-01,1696.39,1732.47,-0.0064
376,16,2024-08-01,1307.76,1287.21,-0.0213
377,16,2024-09-01,1304.38,1275.62,-0.0026
378,16,2024-10-01,1303.16,1287.26,-0.0009
379,16,2024-11-01,1309.92,1311.57,0.0052
380,16,2024-12-01,1339.36,1309.03,0.0225
381,16,2025-01-01,1322.64,1339.48,-0.0125
382,16,2025-02-01,1327.77,1322.52,0.0039
383,16,2025-03-01,1321.85,1308.73,-0.0045
384,16,2025-04-01,1355.08,1386.79,0.0251
385,16,2025-05-01,1379.69,1357.33,0.0182
386,16,2025-06-01,1407.01,1434.69,0.0198
387,16,2025-07-01,1434.05,1433.6,0.0192
388,16,2025-08-01,1456.05,1415.9,0.0153
389,16,2025-09-01,1481.85,1519.19,0.0177
390,16,2025-10-01,1524.83,1526.91,0.029
391,16,2025-11-01,1578.03,1552.41,0.0349
392,16,2025-12-01,1563.55,1590.57,-0.0092
393,16,2026-01-01,1595.18,1591.29,0.0202
394,16,2026-02-01,1632.18,1611.71,0.0232
395,16,2026-03-01,1681.51,1728.32,0.0302
396,16,2026-04-01,1722.42,1714.5,0.0243
397,16,2026-05-01,1749.2,1752.75,0.0155
398,16,2026-06-01,1718.58,1762.01,-0.0175
399,16,2026-07-01,1681.84,1677.38,-0.0214
400,16,2026-08-01,1738.36,1707.98,0.0336
401,17,2024-08-01,17.73,17.46,-0.0002
402,17,2024-09-01,17.7,17.26,-0.0017
403,17,2024-10-01,17.84,18.2,0.008
404,17,2024-11-01,17.92,18.21,0.0044
405,17,2024-12-01,17.93,17.43,0.0004
406,17,2025-01-01,17.73,17.8,-0.0111
407,17,2025-02-01,18.05,17.96,0.0181
408,17,2025-03-01,17.79,17.77,-0.0143
409,17,2025-04-01,17.54,17.17,-0.0139
410,17,2025-05-01,17.48,17.61,-0.0035
411,17,2025-06-01,18.02,18.28,0.0304
412,17,2025-07-01,17.69,17.94,-0.0183
413,17,2025-08-01,17.43,17.47,-0.0145
414,17,2025-09-01,17.17,17.41,-0.0151
415,17,2025-10-01,17.37,16.99,0.0119
416,17,2025-11-01,17.66,17.87,0.0167
417,17,2025-12-01,17.39,17.23,-0.0152
418,17,2026-01-01,17.15,17.01,-0.0138
419,17,2026-02-01,17.25,16.96,0.0057
420,17,2026-03-01,17.1,17.56,-0.0089
421,17,2026-04-01,17.34,17.74,0.0141
422,17,2026-05-01,17.5,17.93,0.0091
423,17,2026-06-01,17.34,17.3,-0.0092
424,17,2026-07-01,17.45,17.15,0.0068
425,17,2026-08-01,17.5,17.82,0.0028
426,18,2024-08-01,105.78,103.77,0.0147
427,18,2024-09-01,108.51,109.35,0.0258
428,18,2024-10-01,108.97,108.11,0.0043
429,18,2024-11-01,107.1,105.29,-0.0171
430,18,2024-12-01,107.7,109.3,0.0056
431,18,2025-01-01,106.64,105.96,-0.0098
432,18,2025-02-01,106.28,105.85,-0.0034
433,18,2025-03-01,106.13,106.5,-0.0014
434,18,2025-04-01,106.13,107.13,0.0
435,18,2025-05-01,107.75,108.38,0.0152
436,18,2025-06-01,111.11,110.21,0.0312
437,18,2025-07-01,112.16,112.37,0.0095
438,18,2025-08-01,112.93,113.6,0.0069
439,18,2025-09-01,111.2,108.52,-0.0153
440,18,2025-10-01,110.18,112.5,-0.0092
441,18,2025-11-01,111.35,114.67,0.0106
442,18,2025-12-01,109.06,111.02,-0.0205
443,18,2026-01-01,107.68,107.68,-0.0127
444,18,2026-02-01,110.59,113.03,0.027
445,18,2026-03-01,109.64,108.55,-0.0086
446,18,2026-04-01,107.47,108.68,-0.0198
447,18,2026-05-01,108.15,110.97,0.0064
448,18,2026-06-01,109.68,107.33,0.0141
449,18,2026-07-01,110.97,109.44,0.0118
450,18,2026-08-01,109.8,112.09,-0.0106
451,19,2024-08-01,5.08,5.07,0.034
452,19,2024-09-01,4.98,5.04,-0.0198
453,19,2024-10-01,5.06,5.01,0.0157
454,19,2024-11-01,5.0,4.98,-0.0116
455,19,2024-12-01,5.01,4.95,0.0016
456,19,2025-01-01,5.06,5.1,0.0091
457,19,2025-02-01,5.2,5.26,0.029
458,19,2025-03-01,5.16,5.19,-0.0078
459,19,2025-04-01,5.33,5.36,0.0324
460,19,2025-05-01,5.36,5.43,0.0049
461,19,2025-06-01,5.46,5.37,0.0192
462,19,2025-07-01,5.35,5.4,-0.0196
463,19,2025-08-01,5.31,5.22,-0.0086
464,19,2025-09-01,5.47,5.42,0.0314
465,19,2025-10-01,5.36,5.47,-0.0201
466,19,2025-11-01,5.26,5.36,-0.0194
467,19,2025-12-01,5.3,5.29,0.0074
468,19,2026-01-01,5.46,5.4,0.0316
469,19,2026-02-01,5.53,5.47,0.0115
470,19,2026-03-01,5.43,5.43,-0.0182
471,19,2026-04-01,5.48,5.5,0.0103
472,19,2026-05-01,5.43,5.31,-0.0104
473,19,2026-06-01,5.3,5.33,-0.023
474,19,2026-07-01,5.35,5.45,0.0095
475,19,2026-08-01,5.23,5.1,-0.0222
476,20,2024-08-01,30.53,31.21,-0.0131
477,20,2024-09-01,31.35,30.95,0.0268
478,20,2024-10-01,31.14,30.3,-0.0068
479,20,2024-11-01,30.37,29.62,-0.0247
480,20,2024-12-01,30.91,30.55,0.0177
481,20,2025-01-01,31.93,32.09,0.0329
482,20,2025-02-01,32.29,31.93,0.0114
483,20,2025-03-01,32.01,31.15,-0.0085
484,20,2025-04-01,31.93,31.34,-0.0026
485,20,2025-05-01,32.2,32.39,0.0083
486,20,2025-06-01,32.11,31.93,-0.0027
487,20,2025-07-01,32.33,31.41,0.007
488,20,2025-08-01,33.12,33.06,0.0243
489,20,2025-09-01,32.46,32.59,-0.0201
490,20,2025-10-01,32.3,31.5,-0.0049
491,20,2025-11-01,33.37,32.77,0.0333
492,20,2025-12-01,32.73,32.54,-0.0193
493,20,2026-01-01,32.89,32.83,0.0048
494,20,2026-02-01,33.96,33.93,0.0326
495,20,2026-03-01,34.73,35.13,0.0228
496,20,2026-04-01,34.88,35.85,0.0043
497,20,2026-05-01,34.4,34.48,-0.0139
498,20,2026-06-01,35.13,34.74,0.0214
499,20,2026-07-01,34.74,35.54,-0.0113
500,20,2026-08-01,34.13,33.31,-0.0174
501,21,2024-08-01,348.1,357.07,-0.0063
502,21,2024-09-01,344.98,353.91,-0.009
503,21,2024-10-01,338.08,345.71,-0.02
504,21,2024-11-01,335.45,330.29,-0.0078
505,21,2024-12-01,341.54,343.72,0.0181
506,21,2025-01-01,344.49,340.95,0.0086
507,21,2025-02-01,343.13,339.25,-0.0039
508,21,2025-03-01,349.94,357.92,0.0198
509,21,2025-04-01,360.96,363.57,0.0315
510,21,2025-05-01,356.88,350.94,-0.0113
511,21,2025-06-01,360.79,350.01,0.011
512,21,2025-07-01,370.06,366.11,0.0257
513,21,2025-08-01,376.94,375.73,0.0186
514,21,2025-09-01,379.89,381.02,0.0078
515,21,2025-10-01,389.43,391.38,0.0251
516,21,2025-11-01,393.84,394.0,0.0113
517,21,2025-12-01,384.58,387.71,-0.0235
518,21,2026-01-01,386.64,381.65,0.0053
519,21,2026-02-01,387.6,376.67,0.0025
520,21,2026-03-01,385.68,379.86,-0.005
521,21,2026-04-01,383.93,384.2,-0.0045
522,21,2026-05-01,396.94,397.39,0.0339
523,21,2026-06-01,401.75,396.94,0.0121
524,21,2026-07-01,414.5,406.47,0.0317
525,21,2026-08-01,408.53,408.43,-0.0144
526,22,2024-08-01,498.83,498.32,0.0331
527,22,2024-09-01,496.74,494.01,-0.0042
528,22,2024-10-01,496.02,505.04,-0.0014
529,22,2024-11-01,485.24,478.68,-0.0217
530,22,2024-12-01,482.55,495.16,-0.0056
531,22,2025-01-01,492.55,485.4,0.0207
532,22,2025-02-01,493.56,491.21,0.002
533,22,2025-03-01,508.45,508.39,0.0302
534,22,2025-04-01,509.69,501.49,0.0024
535,22,2025-05-01,519.39,524.8,0.019
536,22,2025-06-01,532.53,547.2,0.0253
537,22,2025-07-01,550.97,554.45,0.0346
538,22,2025-08-01,566.02,576.24,0.0273
539,22,2025-09-01,568.11,578.92,0.0037
540,22,2025-10-01,583.89,579.35,0.0278
541,22,2025-11-01,596.83,580.71,0.0222
542,22,2025-12-01,585.79,574.69,-0.0185
543,22,2026-01-01,587.49,591.76,0.0029
544,22,2026-02-01,574.25,583.91,-0.0225
545,22,2026-03-01,581.75,595.31,0.0131
546,22,2026-04-01,578.94,571.88,-0.0048
547,22,2026-05-01,596.12,580.55,0.0297
548,22,2026-06-01,597.27,594.68,0.0019
549,22,2026-07-01,595.45,590.11,-0.003
550,22,2026-08-01,607.72,597.04,0.0206
551,23,2024-08-01,1265.31,1227.37,-0.0155
552,23,2024-09-01,1235.67,1223.35,-0.0234
553,23,2024-10-01,1276.65,1306.07,0.0332
554,23,2024-11-01,1300.32,1267.42,0.0185
555,23,2024-12-01,1278.98,1254.17,-0.0164
556,23,2025-01-01,1295.23,1316.32,0.0127
557,23,2025-02-01,1326.72,1360.16,0.0243
558,23,2025-03-01,1320.47,1350.69,-0.0047
559,23,2025-04-01,1338.52,1314.3,0.0137
560,23,2025-05-01,1344.91,1371.28,0.0048
561,23,2025-06-01,1383.04,1392.56,0.0284
562,23,2025-07-01,1362.24,1384.18,-0.015
563,23,2025-08-01,1376.01,1375.25,0.0101
