order_cost_detail_id,order_cost_snapshot_id,cost_component,amount,calculation_basis
53,11,外协,88310.34,标准费率
54,11,制造费用,96467.01,标准费率
55,11,包装物流,15180.18,标准费率
56,12,材料,64798.13,BOM与当前价格
57,12,人工,37874.27,标准费率
58,12,外协,10429.35,标准费率
59,12,制造费用,18774.89,标准费率
60,12,包装物流,1880.69,标准费率
61,13,材料,107515.56,BOM与当前价格
62,13,人工,12985.27,标准费率
63,13,外协,18616.95,标准费率
64,13,制造费用,20158.17,标准费率
65,13,包装物流,3153.31,标准费率
66,14,材料,94829.34,BOM与当前价格
67,14,人工,71977.6,标准费率
68,14,外协,20311.02,标准费率
69,14,制造费用,37199.04,标准费率
70,14,包装物流,2878.5,标准费率
71,15,材料,399266.1,BOM与当前价格
72,15,人工,60674.85,标准费率
73,15,外协,138907.45,标准费率
74,15,制造费用,100307.1,标准费率
75,15,包装物流,13454.35,标准费率
76,16,材料,60104.08,BOM与当前价格
77,16,人工,23126.86,标准费率
78,16,外协,7258.5,标准费率
79,16,制造费用,18170.28,标准费率
80,16,包装物流,1684.06,标准费率
81,17,材料,60104.08,BOM与当前价格
82,17,人工,23126.86,标准费率
83,17,外协,7258.5,标准费率
84,17,制造费用,18170.28,标准费率
85,17,包装物流,1684.06,标准费率
86,18,材料,199415.52,BOM与当前价格
87,18,人工,20034.91,标准费率
88,18,外协,28343.91,标准费率
89,18,制造费用,39448.86,标准费率
90,18,包装物流,5693.99,标准费率
91,19,材料,104654.27,BOM与当前价格
92,19,人工,11633.15,标准费率
93,19,外协,23443.71,标准费率
94,19,制造费用,25850.26,标准费率
95,19,包装物流,3202.45,标准费率
96,20,材料,129596.26,BOM与当前价格
97,20,人工,75748.54,标准费率
98,20,外协,20858.7,标准费率
99,20,制造费用,37549.78,标准费率
100,20,包装物流,3761.38,标准费率
101,21,材料,100355.77,BOM与当前价格
102,21,人工,31441.97,标准费率
103,21,外协,31314.57,标准费率
104,21,制造费用,27027.71,标准费率
105,21,包装物流,3291.76,标准费率
106,22,材料,110965.93,BOM与当前价格
107,22,人工,24298.52,标准费率
108,22,外协,17898.39,标准费率
109,22,制造费用,29024.36,标准费率
110,22,包装物流,3221.61,标准费率
111,23,材料,208444.3,BOM与当前价格
112,23,人工,38274.0,标准费率
113,23,外协,62033.74,标准费率
114,23,制造费用,56347.24,标准费率
115,23,包装物流,6761.96,标准费率
116,24,材料,129596.26,BOM与当前价格
117,24,人工,75748.54,标准费率
118,24,外协,20858.7,标准费率
119,24,制造费用,37549.78,标准费率
120,24,包装物流,3761.38,标准费率
121,25,材料,638860.04,BOM与当前价格
122,25,人工,62510.56,标准费率
123,25,外协,69460.76,标准费率
124,25,制造费用,145070.44,标准费率
125,25,包装物流,17708.0,标准费率
126,26,材料,161233.68,BOM与当前价格
127,26,人工,50566.1,标准费率
128,26,外协,6535.92,标准费率
129,26,制造费用,26505.96,标准费率
130,26,包装物流,4194.24,标准费率
131,27,材料,313962.81,BOM与当前价格
132,27,人工,34899.45,标准费率
133,27,外协,70331.13,标准费率
134,27,制造费用,77550.78,标准费率
135,27,包装物流,9607.35,标准费率
136,28,材料,406143.45,BOM与当前价格
137,28,人工,111787.53,标准费率
138,28,外协,71224.5,标准费率
139,28,制造费用,101216.91,标准费率
140,28,包装物流,11934.21,标准费率
141,29,材料,94829.34,BOM与当前价格
142,29,人工,71977.6,标准费率
143,29,外协,20311.02,标准费率
144,29,制造费用,37199.04,标准费率
145,29,包装物流,2878.5,标准费率
146,30,材料,36000.26,BOM与当前价格
147,30,人工,32464.21,标准费率
148,30,外协,5706.78,标准费率
149,30,制造费用,14693.32,标准费率
150,30,包装物流,1042.68,标准费率
151,31,材料,71340.64,BOM与当前价格
152,31,人工,36366.85,标准费率
153,31,外协,29778.64,标准费率
154,31,制造费用,25269.95,标准费率
155,31,包装物流,2527.98,标准费率
156,32,材料,200711.54,BOM与当前价格
157,32,人工,62883.94,标准费率
158,32,外协,62629.14,标准费率
159,32,制造费用,54055.42,标准费率
160,32,包装物流,6583.52,标准费率
161,33,材料,270762.3,BOM与当前价格
162,33,人工,74525.02,标准费率
163,33,外协,47483.0,标准费率
164,33,制造费用,67477.94,标准费率
165,33,包装物流,7956.14,标准费率
166,34,材料,110965.93,BOM与当前价格
167,34,人工,24298.52,标准费率
168,34,外协,17898.39,标准费率
169,34,制造费用,29024.36,标准费率
170,34,包装物流,3221.61,标准费率
171,35,材料,120208.16,BOM与当前价格
172,35,人工,46253.72,标准费率
173,35,外协,14517.0,标准费率
174,35,制造费用,36340.56,标准费率
175,35,包装物流,3368.12,标准费率
176,36,材料,121051.43,BOM与当前价格
177,36,人工,33999.86,标准费率
178,36,外协,7534.95,标准费率
179,36,制造费用,23883.92,标准费率
180,36,包装物流,3214.66,标准费率
181,37,材料,232323.4,BOM与当前价格
182,37,人工,28698.1,标准费率
183,37,外协,38932.06,标准费率
184,37,制造费用,36564.34,标准费率
185,37,包装物流,6781.38,标准费率
186,38,材料,161233.68,BOM与当前价格
187,38,人工,50566.1,标准费率
188,38,外协,6535.92,标准费率
189,38,制造费用,26505.96,标准费率
190,38,包装物流,4194.24,标准费率
191,39,材料,399266.1,BOM与当前价格
192,39,人工,60674.85,标准费率
193,39,外协,138907.45,标准费率
194,39,制造费用,100307.1,标准费率
195,39,包装物流,13454.35,标准费率
196,40,材料,243272.04,BOM与当前价格
197,40,人工,43675.4,标准费率
198,40,外协,61660.16,标准费率
199,40,制造费用,62609.92,标准费率
200,40,包装物流,7623.3,标准费率
201,41,材料,142681.28,BOM与当前价格
202,41,人工,72733.7,标准费率
203,41,外协,59557.28,标准费率
204,41,制造费用,50539.9,标准费率
205,41,包装物流,5055.96,标准费率
206,42,材料,159715.01,BOM与当前价格
207,42,人工,15627.64,标准费率
208,42,外协,17365.19,标准费率
209,42,制造费用,36267.61,标准费率
210,42,包装物流,4427.0,标准费率
211,43,材料,537577.8,BOM与当前价格
212,43,人工,64926.35,标准费率
213,43,外协,93084.75,标准费率
214,43,制造费用,100790.85,标准费率
215,43,包装物流,15766.55,标准费率
216,44,材料,222820.36,BOM与当前价格
217,44,人工,31312.72,标准费率
218,44,外协,42895.24,标准费率
219,44,制造费用,49544.32,标准费率
220,44,包装物流,6642.88,标准费率
221,45,材料,103494.89,BOM与当前价格
222,45,人工,29445.48,标准费率
223,45,外协,23216.03,标准费率
224,45,制造费用,30950.2,标准费率
225,45,包装物流,3167.77,标准费率
226,46,材料,72000.52,BOM与当前价格
227,46,人工,64928.42,标准费率
228,46,外协,11413.56,标准费率
229,46,制造费用,29386.64,标准费率
230,46,包装物流,2085.36,标准费率
231,47,材料,114579.5,BOM与当前价格
232,47,人工,14175.67,标准费率
233,47,外协,15608.73,标准费率
234,47,制造费用,20961.64,标准费率
235,47,包装物流,3254.71,标准费率
236,48,材料,129011.68,BOM与当前价格
237,48,人工,9599.13,标准费率
238,48,外协,18793.58,标准费率
239,48,制造费用,31559.58,标准费率
240,48,包装物流,3695.13,标准费率
241,49,材料,79853.22,BOM与当前价格
242,49,人工,12134.97,标准费率
243,49,外协,27781.49,标准费率
244,49,制造费用,20061.42,标准费率
245,49,包装物流,2690.87,标准费率
246,50,材料,96586.7,BOM与当前价格
247,50,人工,11647.99,标准费率
248,50,外协,26133.26,标准费率
249,50,制造费用,20114.88,标准费率
250,50,包装物流,3068.0,标准费率
251,51,材料,111410.18,BOM与当前价格
252,51,人工,15656.36,标准费率
253,51,外协,21447.62,标准费率
254,51,制造费用,24772.16,标准费率
255,51,包装物流,3321.44,标准费率
256,52,材料,398831.04,BOM与当前价格
257,52,人工,40069.82,标准费率
258,52,外协,56687.82,标准费率
259,52,制造费用,78897.72,标准费率
260,52,包装物流,11387.98,标准费率
261,53,材料,329903.97,BOM与当前价格
262,53,人工,97278.45,标准费率
263,53,外协,71062.83,标准费率
264,53,制造费用,81861.69,标准费率
265,53,包装物流,10024.17,标准费率
266,54,材料,557050.9,BOM与当前价格
267,54,人工,78281.8,标准费率
268,54,外协,107238.1,标准费率
269,54,制造费用,123860.8,标准费率
270,54,包装物流,16607.2,标准费率
271,55,材料,676905.75,BOM与当前价格
272,55,人工,186312.55,标准费率
273,55,外协,118707.5,标准费率
274,55,制造费用,168694.85,标准费率
275,55,包装物流,19890.35,标准费率
276,56,材料,199415.52,BOM与当前价格
277,56,人工,20034.91,标准费率
278,56,外协,28343.91,标准费率
279,56,制造费用,39448.86,标准费率
280,56,包装物流,5693.99,标准费率
281,57,材料,234320.94,BOM与当前价格
282,57,人工,39127.2,标准费率
283,57,外协,80083.08,标准费率
284,57,制造费用,68090.1,标准费率
285,57,包装物流,7860.09,标准费率
286,58,材料,159715.01,BOM与当前价格
287,58,人工,15627.64,标准费率
288,58,外协,17365.19,标准费率
289,58,制造费用,36267.61,标准费率
290,58,包装物流,4427.0,标准费率
291,59,材料,135381.15,BOM与当前价格
292,59,人工,37262.51,标准费率
293,59,外协,23741.5,标准费率
294,59,制造费用,33738.97,标准费率
295,59,包装物流,3978.07,标准费率
296,60,材料,107515.56,BOM与当前价格
297,60,人工,12985.27,标准费率
298,60,外协,18616.95,标准费率
299,60,制造费用,20158.17,标准费率
300,60,包装物流,3153.31,标准费率
301,61,材料,71340.64,BOM与当前价格
302,61,人工,36366.85,标准费率
303,61,外协,29778.64,标准费率
304,61,制造费用,25269.95,标准费率
305,61,包装物流,2527.98,标准费率
306,62,材料,345931.34,BOM与当前价格
307,62,人工,73346.26,标准费率
308,62,外协,58873.56,标准费率
309,62,制造费用,64311.34,标准费率
310,62,包装物流,10120.12,标准费率
311,63,材料,638860.04,BOM与当前价格
312,63,人工,62510.56,标准费率
313,63,外协,69460.76,标准费率
314,63,制造费用,145070.44,标准费率
315,63,包装物流,17708.0,标准费率
316,64,材料,345931.34,BOM与当前价格
317,64,人工,73346.26,标准费率
318,64,外协,58873.56,标准费率
319,64,制造费用,64311.34,标准费率
320,64,包装物流,10120.12,标准费率
321,65,材料,63504.03,BOM与当前价格
322,65,人工,26439.8,标准费率
323,65,外协,18388.81,标准费率
324,65,制造费用,15090.74,标准费率
325,65,包装物流,2047.32,标准费率
326,66,材料,258023.36,BOM与当前价格
327,66,人工,19198.26,标准费率
328,66,外协,37587.16,标准费率
329,66,制造费用,63119.16,标准费率
330,66,包装物流,7390.26,标准费率
331,67,材料,91724.96,BOM与当前价格
332,67,人工,16210.19,标准费率
333,67,外协,3866.65,标准费率
334,67,制造费用,20169.04,标准费率
335,67,包装物流,2389.79,标准费率
336,68,材料,111410.18,BOM与当前价格
337,68,人工,15656.36,标准费率
338,68,外协,21447.62,标准费率
339,68,制造费用,24772.16,标准费率
340,68,包装物流,3321.44,标准费率
341,69,材料,127008.06,BOM与当前价格
342,69,人工,52879.6,标准费率
343,69,外协,36777.62,标准费率
344,69,制造费用,30181.48,标准费率
345,69,包装物流,4094.64,标准费率
346,70,材料,200711.54,BOM与当前价格
347,70,人工,62883.94,标准费率
348,70,外协,62629.14,标准费率
349,70,制造费用,54055.42,标准费率
350,70,包装物流,6583.52,标准费率
351,71,材料,71340.64,BOM与当前价格
352,71,人工,36366.85,标准费率
353,71,外协,29778.64,标准费率
354,71,制造费用,25269.95,标准费率
355,71,包装物流,2527.98,标准费率
356,72,材料,430062.24,BOM与当前价格
357,72,人工,51941.08,标准费率
358,72,外协,74467.8,标准费率
359,72,制造费用,80632.68,标准费率
360,72,包装物流,12613.24,标准费率
361,73,材料,482933.5,BOM与当前价格
362,73,人工,58239.95,标准费率
363,73,外协,130666.3,标准费率
364,73,制造费用,100574.4,标准费率
365,73,包装物流,15340.0,标准费率
366,74,材料,612553.48,BOM与当前价格
367,74,人工,85956.68,标准费率
368,74,外协,33749.52,标准费率
369,74,制造费用,95926.0,标准费率
370,74,包装物流,16157.56,标准费率
371,75,材料,405710.1,BOM与当前价格
372,75,人工,107304.65,标准费率
373,75,外协,18001.35,标准费率
374,75,制造费用,64252.95,标准费率
375,75,包装物流,10592.8,标准费率
376,76,材料,78106.98,BOM与当前价格
377,76,人工,13042.4,标准费率
378,76,外协,26694.36,标准费率
379,76,制造费用,22696.7,标准费率
380,76,包装物流,2620.03,标准费率
381,77,材料,116161.7,BOM与当前价格
382,77,人工,14349.05,标准费率
383,77,外协,19466.03,标准费率
384,77,制造费用,18282.17,标准费率
385,77,包装物流,3390.69,标准费率
386,78,材料,102615.23,BOM与当前价格
387,78,人工,32102.62,标准费率
388,78,外协,11974.64,标准费率
389,78,制造费用,26859.39,标准费率
390,78,包装物流,2864.75,标准费率
391,79,材料,159715.01,BOM与当前价格
392,79,人工,15627.64,标准费率
393,79,外协,17365.19,标准费率
394,79,制造费用,36267.61,标准费率
395,79,包装物流,4427.0,标准费率
396,80,材料,193173.4,BOM与当前价格
397,80,人工,23295.98,标准费率
398,80,外协,52266.52,标准费率
399,80,制造费用,40229.76,标准费率
400,80,包装物流,6136.0,标准费率
401,81,材料,129011.68,BOM与当前价格
402,81,人工,9599.13,标准费率
403,81,外协,18793.58,标准费率
404,81,制造费用,31559.58,标准费率
405,81,包装物流,3695.13,标准费率
406,82,材料,166536.86,BOM与当前价格
407,82,人工,47697.86,标准费率
408,82,外协,12861.5,标准费率
409,82,制造费用,47485.82,标准费率
410,82,包装物流,4484.96,标准费率
411,83,材料,78106.98,BOM与当前价格
412,83,人工,13042.4,标准费率
413,83,外协,26694.36,标准费率
414,83,制造费用,22696.7,标准费率
415,83,包装物流,2620.03,标准费率
416,84,材料,423393.75,BOM与当前价格
417,84,人工,171302.65,标准费率
418,84,外协,174968.5,标准费率
419,84,制造费用,99594.65,标准费率
420,84,包装物流,14959.05,标准费率
421,85,材料,71340.64,BOM与当前价格
422,85,人工,36366.85,标准费率
423,85,外协,29778.64,标准费率
424,85,制造费用,25269.95,标准费率
425,85,包装物流,2527.98,标准费率
426,86,材料,215031.12,BOM与当前价格
427,86,人工,25970.54,标准费率
428,86,外协,37233.9,标准费率
429,86,制造费用,40316.34,标准费率
430,86,包装物流,6306.62,标准费率
431,87,材料,161233.68,BOM与当前价格
432,87,人工,50566.1,标准费率
433,87,外协,6535.92,标准费率
434,87,制造费用,26505.96,标准费率
435,87,包装物流,4194.24,标准费率
436,88,材料,319156.0,BOM与当前价格
437,88,人工,130744.84,标准费率
438,88,外协,45720.36,标准费率
439,88,制造费用,73252.8,标准费率
440,88,包装物流,9121.92,标准费率
441,89,材料,638860.04,BOM与当前价格
442,89,人工,62510.56,标准费率
443,89,外协,69460.76,标准费率
444,89,制造费用,145070.44,标准费率
445,89,包装物流,17708.0,标准费率
446,90,材料,84678.75,BOM与当前价格
447,90,人工,34260.53,标准费率
448,90,外协,34993.7,标准费率
449,90,制造费用,19918.93,标准费率
450,90,包装物流,2991.81,标准费率
451,91,材料,332956.56,BOM与当前价格
452,91,人工,71872.88,标准费率
453,91,外协,33230.28,标准费率
454,91,制造费用,71885.6,标准费率
455,91,包装物流,9154.68,标准费率
456,92,材料,110965.93,BOM与当前价格
457,92,人工,24298.52,标准费率
458,92,外协,17898.39,标准费率
459,92,制造费用,29024.36,标准费率
460,92,包装物流,3221.61,标准费率
461,93,材料,312666.45,BOM与当前价格
462,93,人工,57411.0,标准费率
463,93,外协,93050.61,标准费率
464,93,制造费用,84520.86,标准费率
465,93,包装物流,10142.94,标准费率
466,94,材料,106429.66,BOM与当前价格
467,94,人工,75061.82,标准费率
468,94,外协,64799.4,标准费率
469,94,制造费用,48420.78,标准费率
470,94,包装物流,4280.72,标准费率
471,95,材料,234320.94,BOM与当前价格
472,95,人工,39127.2,标准费率
473,95,外协,80083.08,标准费率
474,95,制造费用,68090.1,标准费率
475,95,包装物流,7860.09,标准费率
476,96,材料,142244.01,BOM与当前价格
477,96,人工,107966.4,标准费率
478,96,外协,30466.53,标准费率
479,96,制造费用,55798.56,标准费率
480,96,包装物流,4317.75,标准费率
481,97,材料,243272.04,BOM与当前价格
482,97,人工,43675.4,标准费率
483,97,外协,61660.16,标准费率
484,97,制造费用,62609.92,标准费率
485,97,包装物流,7623.3,标准费率
486,98,材料,580808.5,BOM与当前价格
487,98,人工,71745.25,标准费率
488,98,外协,97330.15,标准费率
489,98,制造费用,91410.85,标准费率
490,98,包装物流,16953.45,标准费率
491,99,材料,121636.02,BOM与当前价格
492,99,人工,21837.7,标准费率
493,99,外协,30830.08,标准费率
494,99,制造费用,31304.96,标准费率
495,99,包装物流,3811.65,标准费率
496,100,材料,159715.01,BOM与当前价格
497,100,人工,15627.64,标准费率
498,100,外协,17365.19,标准费率
499,100,制造费用,36267.61,标准费率
500,100,包装物流,4427.0,标准费率
501,101,材料,79789.0,BOM与当前价格
502,101,人工,32686.21,标准费率
503,101,外协,11430.09,标准费率
504,101,制造费用,18313.2,标准费率
505,101,包装物流,2280.48,标准费率
506,102,材料,249717.42,BOM与当前价格
507,102,人工,53904.66,标准费率
508,102,外协,24922.71,标准费率
509,102,制造费用,53914.2,标准费率
510,102,包装物流,6866.01,标准费率
511,103,材料,162284.04,BOM与当前价格
512,103,人工,42921.86,标准费率
513,103,外协,7200.54,标准费率
514,103,制造费用,25701.18,标准费率
515,103,包装物流,4237.12,标准费率
516,104,材料,92468.06,BOM与当前价格
517,104,人工,67191.14,标准费率
518,104,外协,53803.14,标准费率
519,104,制造费用,37398.6,标准费率
520,104,包装物流,3656.78,标准费率
521,105,材料,60104.08,BOM与当前价格
522,105,人工,23126.86,标准费率
523,105,外协,7258.5,标准费率
524,105,制造费用,18170.28,标准费率
525,105,包装物流,1684.06,标准费率
526,106,材料,166536.86,BOM与当前价格
527,106,人工,47697.86,标准费率
528,106,外协,12861.5,标准费率
529,106,制造费用,47485.82,标准费率
530,106,包装物流,4484.96,标准费率
531,107,材料,102615.23,BOM与当前价格
532,107,人工,32102.62,标准费率
533,107,外协,11974.64,标准费率
534,107,制造费用,26859.39,标准费率
535,107,包装物流,2864.75,标准费率
536,108,材料,334230.54,BOM与当前价格
537,108,人工,46969.08,标准费率
538,108,外协,64342.86,标准费率
539,108,制造费用,74316.48,标准费率
540,108,包装物流,9964.32,标准费率
541,109,材料,319430.02,BOM与当前价格
542,109,人工,31255.28,标准费率
543,109,外协,34730.38,标准费率
544,109,制造费用,72535.22,标准费率
545,109,包装物流,8854.0,标准费率
546,110,材料,83268.43,BOM与当前价格
547,110,人工,23848.93,标准费率
548,110,外协,6430.75,标准费率
549,110,制造费用,23742.91,标准费率
550,110,包装物流,2242.48,标准费率
551,111,材料,81142.02,BOM与当前价格
552,111,人工,21460.93,标准费率
553,111,外协,3600.27,标准费率
554,111,制造费用,12850.59,标准费率
555,111,包装物流,2118.56,标准费率
556,112,材料,96586.7,BOM与当前价格
557,112,人工,11647.99,标准费率
558,112,外协,26133.26,标准费率
559,112,制造费用,20114.88,标准费率
560,112,包装物流,3068.0,标准费率
561,113,材料,259192.52,BOM与当前价格
562,113,人工,151497.08,标准费率
563,113,外协,41717.4,标准费率
564,113,制造费用,75099.56,标准费率
565,113,包装物流,7522.76,标准费率
566,114,材料,193173.4,BOM与当前价格
567,114,人工,23295.98,标准费率
568,114,外协,52266.52,标准费率
569,114,制造费用,40229.76,标准费率
570,114,包装物流,6136.0,标准费率
571,115,材料,208444.3,BOM与当前价格
572,115,人工,38274.0,标准费率
573,115,外协,62033.74,标准费率
574,115,制造费用,56347.24,标准费率
575,115,包装物流,6761.96,标准费率
576,116,材料,103494.89,BOM与当前价格
577,116,人工,29445.48,标准费率
578,116,外协,23216.03,标准费率
579,116,制造费用,30950.2,标准费率
580,116,包装物流,3167.77,标准费率
581,117,材料,217362.57,BOM与当前价格
582,117,人工,71030.7,标准费率
583,117,外协,59148.72,标准费率
584,117,制造费用,47891.28,标准费率
585,117,包装物流,6912.78,标准费率
586,118,材料,443863.72,BOM与当前价格
587,118,人工,97194.08,标准费率
588,118,外协,71593.56,标准费率
589,118,制造费用,116097.44,标准费率
590,118,包装物流,12886.44,标准费率
591,119,材料,229159.0,BOM与当前价格
592,119,人工,28351.34,标准费率
593,119,外协,31217.46,标准费率
594,119,制造费用,41923.28,标准费率
595,119,包装物流,6509.42,标准费率
596,120,材料,96586.7,BOM与当前价格
597,120,人工,11647.99,标准费率
598,120,外协,26133.26,标准费率
599,120,制造费用,20114.88,标准费率
600,120,包装物流,3068.0,标准费率
601,121,材料,258023.36,BOM与当前价格
602,121,人工,19198.26,标准费率
603,121,外协,37587.16,标准费率
604,121,制造费用,63119.16,标准费率
605,121,包装物流,7390.26,标准费率
606,122,材料,104222.15,BOM与当前价格
607,122,人工,19137.0,标准费率
608,122,外协,31016.87,标准费率
609,122,制造费用,28173.62,标准费率
610,122,包装物流,3380.98,标准费率
611,123,材料,240416.32,BOM与当前价格
612,123,人工,92507.44,标准费率
613,123,外协,29034.0,标准费率
614,123,制造费用,72681.12,标准费率
615,123,包装物流,6736.24,标准费率
616,124,材料,362270.95,BOM与当前价格
617,124,人工,118384.5,标准费率
618,124,外协,98581.2,标准费率
619,124,制造费用,79818.8,标准费率
620,124,包装物流,11521.3,标准费率
621,125,材料,398945.0,BOM与当前价格
622,125,人工,163431.05,标准费率
623,125,外协,57150.45,标准费率
624,125,制造费用,91566.0,标准费率
625,125,包装物流,11402.4,标准费率
626,126,材料,129596.26,BOM与当前价格
627,126,人工,75748.54,标准费率
628,126,外协,20858.7,标准费率
629,126,制造费用,37549.78,标准费率
630,126,包装物流,3761.38,标准费率
631,127,材料,798575.05,BOM与当前价格
632,127,人工,78138.2,标准费率
633,127,外协,86825.95,标准费率
634,127,制造费用,181338.05,标准费率
635,127,包装物流,22135.0,标准费率
636,128,材料,162284.04,BOM与当前价格
637,128,人工,42921.86,标准费率
638,128,外协,7200.54,标准费率
639,128,制造费用,25701.18,标准费率
640,128,包装物流,4237.12,标准费率
641,129,材料,106429.66,BOM与当前价格
642,129,人工,75061.82,标准费率
643,129,外协,64799.4,标准费率
644,129,制造费用,48420.78,标准费率
645,129,包装物流,4280.72,标准费率
646,130,材料,142681.28,BOM与当前价格
647,130,人工,72733.7,标准费率
648,130,外协,59557.28,标准费率
649,130,制造费用,50539.9,标准费率
650,130,包装物流,5055.96,标准费率
651,131,材料,36000.26,BOM与当前价格
652,131,人工,32464.21,标准费率
653,131,外协,5706.78,标准费率
654,131,制造费用,14693.32,标准费率
655,131,包装物流,1042.68,标准费率
656,132,材料,312427.92,BOM与当前价格
657,132,人工,52169.6,标准费率
658,132,外协,106777.44,标准费率
659,132,制造费用,90786.8,标准费率
660,132,包装物流,10480.12,标准费率
661,133,材料,258023.36,BOM与当前价格
662,133,人工,19198.26,标准费率
663,133,外协,37587.16,标准费率
664,133,制造费用,63119.16,标准费率
665,133,包装物流,7390.26,标准费率
666,134,材料,458318.0,BOM与当前价格
667,134,人工,56702.68,标准费率
668,134,外协,62434.92,标准费率
669,134,制造费用,83846.56,标准费率
670,134,包装物流,13018.84,标准费率
671,135,材料,193173.4,BOM与当前价格
672,135,人工,23295.98,标准费率
673,135,外协,52266.52,标准费率
674,135,制造费用,40229.76,标准费率
675,135,包装物流,6136.0,标准费率
676,136,材料,79853.22,BOM与当前价格
677,136,人工,12134.97,标准费率
678,136,外协,27781.49,标准费率
679,136,制造费用,20061.42,标准费率
680,136,包装物流,2690.87,标准费率
681,137,材料,96586.7,BOM与当前价格
682,137,人工,11647.99,标准费率
683,137,外协,26133.26,标准费率
684,137,制造费用,20114.88,标准费率
685,137,包装物流,3068.0,标准费率
686,138,材料,64798.13,BOM与当前价格
687,138,人工,37874.27,标准费率
688,138,外协,10429.35,标准费率
689,138,制造费用,18774.89,标准费率
690,138,包装物流,1880.69,标准费率
691,139,材料,71340.64,BOM与当前价格
692,139,人工,36366.85,标准费率
693,139,外协,29778.64,标准费率
694,139,制造费用,25269.95,标准费率
695,139,包装物流,2527.98,标准费率
696,140,材料,162284.04,BOM与当前价格
697,140,人工,42921.86,标准费率
698,140,外协,7200.54,标准费率
699,140,制造费用,25701.18,标准费率
700,140,包装物流,4237.12,标准费率
701,141,材料,243272.04,BOM与当前价格
702,141,人工,43675.4,标准费率
703,141,外协,61660.16,标准费率
704,141,制造费用,62609.92,标准费率
705,141,包装物流,7623.3,标准费率
706,142,材料,458318.0,BOM与当前价格
707,142,人工,56702.68,标准费率
708,142,外协,62434.92,标准费率
709,142,制造费用,83846.56,标准费率
710,142,包装物流,13018.84,标准费率
711,143,材料,172965.67,BOM与当前价格
712,143,人工,36673.13,标准费率
713,143,外协,29436.78,标准费率
714,143,制造费用,32155.67,标准费率
715,143,包装物流,5060.06,标准费率
716,144,材料,78106.98,BOM与当前价格
717,144,人工,13042.4,标准费率
718,144,外协,26694.36,标准费率
719,144,制造费用,22696.7,标准费率
720,144,包装物流,2620.03,标准费率
721,145,材料,459415.11,BOM与当前价格
722,145,人工,64467.51,标准费率
723,145,外协,25312.14,标准费率
724,145,制造费用,71944.5,标准费率
725,145,包装物流,12118.17,标准费率
726,146,材料,486544.08,BOM与当前价格
727,146,人工,87350.8,标准费率
728,146,外协,123320.32,标准费率
729,146,制造费用,125219.84,标准费率
730,146,包装物流,15246.6,标准费率
731,147,材料,222820.36,BOM与当前价格
732,147,人工,31312.72,标准费率
733,147,外协,42895.24,标准费率
734,147,制造费用,49544.32,标准费率
735,147,包装物流,6642.88,标准费率
736,148,材料,129011.68,BOM与当前价格
737,148,人工,9599.13,标准费率
738,148,外协,18793.58,标准费率
739,148,制造费用,31559.58,标准费率
740,148,包装物流,3695.13,标准费率
741,149,材料,486544.08,BOM与当前价格
742,149,人工,87350.8,标准费率
743,149,外协,123320.32,标准费率
744,149,制造费用,125219.84,标准费率
745,149,包装物流,15246.6,标准费率
746,150,材料,172965.67,BOM与当前价格
747,150,人工,36673.13,标准费率
748,150,外协,29436.78,标准费率
