receipt_id,receipt_code,purchase_order_id,supplier_id,plant_id,receipt_date,status
85,入库-000085,90,35,2,2025-01-17,已入库
86,入库-000086,91,43,2,2024-11-28,已入库
87,入库-000087,92,33,1,2025-09-27,已入库
88,入库-000088,93,7,2,2025-08-29,已入库
89,入库-000089,94,43,2,2024-12-13,已入库
90,入库-000090,95,37,2,2024-10-20,已入库
91,入库-000091,96,6,2,2025-05-28,已入库
92,入库-000092,97,5,1,2025-11-04,已入库
93,入库-000093,98,46,1,2026-01-09,已入库
94,入库-000094,99,31,2,2025-03-23,已入库
95,入库-000095,100,6,1,2026-01-16,已入库
96,入库-000096,101,17,2,2025-06-19,已入库
97,入库-000097,102,4,2,2025-04-26,已入库
98,入库-000098,103,25,1,2025-09-10,已入库
99,入库-000099,104,34,1,2025-01-20,已入库
100,入库-000100,105,3,2,2024-10-15,已入库
101,入库-000101,106,4,2,2024-12-15,已入库
102,入库-000102,107,50,1,2024-10-10,已入库
103,入库-000103,108,24,2,2025-06-15,已入库
104,入库-000104,109,33,1,2024-08-25,已入库
105,入库-000105,110,23,2,2026-02-02,已入库
106,入库-000106,111,35,2,2025-02-03,已入库
107,入库-000107,112,49,1,2025-02-05,已入库
108,入库-000108,113,26,1,2025-08-26,已入库
109,入库-000109,114,9,2,2025-10-31,已入库
110,入库-000110,115,23,1,2026-06-16,已入库
111,入库-000111,116,49,2,2025-01-01,已入库
112,入库-000112,117,33,1,2026-07-01,已入库
113,入库-000113,118,11,1,2025-05-07,已入库
114,入库-000114,119,8,2,2025-12-27,已入库
115,入库-000115,120,26,1,2025-10-29,已入库
116,入库-000116,121,40,2,2025-06-13,已入库
117,入库-000117,122,31,2,2025-10-18,已入库
118,入库-000118,123,22,2,2025-06-07,已入库
119,入库-000119,125,36,2,2026-03-01,已入库
120,入库-000120,126,37,2,2025-02-07,已入库
121,入库-000121,127,8,1,2024-10-07,已入库
122,入库-000122,128,4,2,2025-03-17,已入库
123,入库-000123,129,15,1,2026-04-04,已入库
124,入库-000124,130,11,2,2025-05-25,已入库
125,入库-000125,131,40,1,2026-05-05,已入库
126,入库-000126,132,10,1,2026-04-30,已入库
127,入库-000127,133,43,2,2025-09-20,已入库
128,入库-000128,134,31,2,2026-06-04,已入库
129,入库-000129,135,46,1,2024-12-15,已入库
130,入库-000130,136,14,1,2026-07-28,已入库
131,入库-000131,137,3,1,2026-04-23,已入库
132,入库-000132,138,4,1,2024-09-02,已入库
133,入库-000133,139,34,1,2025-11-06,已入库
134,入库-000134,140,10,1,2025-02-01,已入库
135,入库-000135,141,34,1,2026-03-09,已入库
136,入库-000136,142,42,1,2025-01-22,已入库
137,入库-000137,143,49,2,2024-11-04,已入库
138,入库-000138,144,9,1,2025-06-30,已入库
139,入库-000139,145,28,1,2026-04-24,已入库
140,入库-000140,146,47,1,2024-10-25,已入库
141,入库-000141,147,40,1,2025-07-08,已入库
142,入库-000142,148,42,1,2025-04-26,已入库
143,入库-000143,149,42,2,2025-02-01,已入库
144,入库-000144,150,30,1,2026-05-15,已入库
145,入库-000145,151,37,1,2026-05-04,已入库
146,入库-000146,152,48,2,2026-02-09,已入库
147,入库-000147,153,48,1,2024-10-25,已入库
148,入库-000148,154,7,1,2025-08-26,已入库
149,入库-000149,155,19,1,2024-11-23,已入库
150,入库-000150,156,45,1,2025-03-06,已入库
151,入库-000151,157,32,1,2025-12-22,已入库
152,入库-000152,158,47,2,2026-02-17,已入库
153,入库-000153,159,1,1,2025-06-04,已入库
154,入库-000154,160,47,2,2024-10-28,已入库
155,入库-000155,161,42,2,2024-10-30,已入库
156,入库-000156,162,5,1,2024-09-11,已入库
157,入库-000157,163,9,1,2025-10-15,已入库
158,入库-000158,164,43,1,2025-11-02,已入库
159,入库-000159,165,39,2,2025-05-04,已入库
160,入库-000160,166,7,2,2026-02-26,已入库
161,入库-000161,167,29,1,2026-03-22,已入库
162,入库-000162,168,2,1,2025-07-15,已入库
163,入库-000163,169,49,2,2026-03-17,已入库
164,入库-000164,170,46,2,2026-04-09,已入库
165,入库-000165,171,18,1,2025-02-16,已入库
166,入库-000166,172,34,1,2025-09-19,已入库
167,入库-000167,173,19,2,2026-07-09,已入库
168,入库-000168,174,33,1,2026-05-14,已入库
169,入库-000169,175,37,2,2025-06-03,已入库
170,入库-000170,176,50,2,2024-11-19,已入库
171,入库-000171,177,40,2,2024-08-19,已入库
172,入库-000172,178,44,1,2025-11-14,已入库
173,入库-000173,179,5,2,2026-03-16,已入库
174,入库-000174,180,36,2,2026-05-01,已入库
175,入库-000175,181,16,2,2025-01-28,已入库
176,入库-000176,182,34,2,2025-06-13,已入库
177,入库-000177,183,44,1,2024-12-28,已入库
178,入库-000178,184,24,1,2026-04-02,已入库
179,入库-000179,185,44,1,2026-01-25,已入库
180,入库-000180,186,42,1,2024-09-19,已入库
181,入库-000181,187,48,2,2025-07-27,已入库
182,入库-000182,188,21,1,2026-01-23,已入库
183,入库-000183,189,30,1,2025-04-16,已入库
184,入库-000184,190,21,1,2025-09-30,已入库
185,入库-000185,191,49,1,2025-09-30,已入库
186,入库-000186,192,3,1,2025-12-28,已入库
187,入库-000187,193,1,1,2025-09-02,已入库
188,入库-000188,194,49,1,2025-04-14,已入库
189,入库-000189,195,18,2,2026-01-15,已入库
190,入库-000190,196,4,2,2025-08-22,已入库
191,入库-000191,197,14,1,2026-05-31,已入库
192,入库-000192,199,36,1,2025-11-14,已入库
193,入库-000193,200,33,1,2024-11-07,已入库
194,入库-000194,201,13,1,2025-10-29,已入库
195,入库-000195,202,33,2,2026-04-20,已入库
196,入库-000196,203,12,1,2025-09-17,已入库
197,入库-000197,204,11,2,2026-07-02,已入库
198,入库-000198,205,12,2,2026-04-06,已入库
199,入库-000199,206,42,1,2025-05-16,已入库
200,入库-000200,207,9,1,2025-04-26,已入库
201,入库-000201,208,41,2,2026-04-06,已入库
202,入库-000202,209,20,2,2026-04-30,已入库
203,入库-000203,210,13,1,2024-08-27,已入库
204,入库-000204,211,24,1,2024-11-22,已入库
205,入库-000205,212,10,1,2025-10-12,已入库
206,入库-000206,213,30,2,2024-11-15,已入库
207,入库-000207,214,24,2,2024-11-01,已入库
208,入库-000208,215,21,1,2025-01-05,已入库
209,入库-000209,216,15,1,2025-04-19,已入库
210,入库-000210,217,7,2,2026-03-10,已入库
211,入库-000211,218,35,2,2024-10-05,已入库
212,入库-000212,219,23,1,2026-07-23,已入库
213,入库-000213,220,30,2,2026-04-18,已入库
214,入库-000214,221,11,1,2025-05-19,已入库
215,入库-000215,222,38,2,2026-07-25,已入库
216,入库-000216,223,39,2,2024-12-02,已入库
217,入库-000217,224,36,1,2026-02-22,已入库
218,入库-000218,225,9,1,2024-11-06,已入库
219,入库-000219,226,14,1,2026-06-21,已入库
220,入库-000220,227,34,2,2026-05-26,已入库
221,入库-000221,228,36,2,2025-07-28,已入库
222,入库-000222,229,45,2,2025-06-20,已入库
223,入库-000223,230,27,1,2024-12-05,已入库
224,入库-000224,231,36,1,2025-08-07,已入库
225,入库-000225,233,36,1,2025-02-21,已入库
226,入库-000226,234,29,1,2025-11-05,已入库
227,入库-000227,235,42,1,2025-06-29,已入库
228,入库-000228,236,13,2,2025-11-09,已入库
229,入库-000229,237,11,2,2026-02-22,已入库
230,入库-000230,238,4,1,2025-01-24,已入库
231,入库-000231,239,28,1,2025-03-05,已入库
232,入库-000232,240,7,1,2026-06-04,已入库
233,入库-000233,241,45,2,2025-04-29,已入库
234,入库-000234,242,2,2,2026-02-03,已入库
235,入库-000235,243,22,1,2024-11-20,已入库
236,入库-000236,244,23,2,2025-10-17,已入库
237,入库-000237,245,26,1,2026-01-18,已入库
238,入库-000238,246,18,1,2026-04-05,已入库
239,入库-000239,247,12,1,2025-10-01,已入库
240,入库-000240,248,22,1,2025-05-24,已入库
241,入库-000241,249,19,2,2026-05-03,已入库
242,入库-000242,250,13,1,2025-03-17,已入库
243,入库-000243,251,44,2,2025-11-21,已入库
244,入库-000244,252,39,1,2026-04-25,已入库
245,入库-000245,253,50,2,2025-05-06,已入库
246,入库-000246,254,13,1,2024-09-12,已入库
247,入库-000247,255,29,1,2025-04-05,已入库
248,入库-000248,256,43,1,2026-06-10,已入库
249,入库-000249,257,15,1,2026-08-03,已入库
250,入库-000250,258,19,1,2025-10-26,已入库
251,入库-000251,259,37,1,2025-12-24,已入库
252,入库-000252,260,25,1,2025-04-13,已入库
253,入库-000253,261,13,1,2025-01-14,已入库
254,入库-000254,262,21,2,2025-07-17,已入库
255,入库-000255,263,1,2,2024-10-13,已入库
256,入库-000256,264,31,1,2026-06-17,已入库
257,入库-000257,265,43,2,2024-12-10,已入库
258,入库-000258,266,26,1,2026-06-02,已入库
259,入库-000259,267,11,1,2025-11-21,已入库
260,入库-000260,268,12,2,2025-09-11,已入库
261,入库-000261,269,34,1,2026-04-23,已入库
262,入库-000262,270,42,1,2026-01-23,已入库
263,入库-000263,271,39,2,2026-05-18,已入库
264,入库-000264,272,40,1,2026-01-20,已入库
265,入库-000265,273,16,1,2024-08-17,已入库
266,入库-000266,274,43,1,2025-08-21,已入库
267,入库-000267,275,18,2,2026-04-18,已入库
268,入库-000268,276,47,1,2025-09-17,已入库
269,入库-000269,277,49,1,2025-11-10,已入库
270,入库-000270,278,30,2,2024-09-29,已入库
271,入库-000271,279,10,1,2024-09-29,已入库
272,入库-000272,280,34,1,2025-07-07,已入库
273,入库-000273,281,47,1,2026-08-03,已入库
274,入库-000274,282,27,1,2026-04-11,已入库
275,入库-000275,283,18,2,2026-06-18,已入库
276,入库-000276,284,3,2,2025-10-11,已入库
277,入库-000277,285,49,1,2025-10-21,已入库
278,入库-000278,286,9,1,2025-01-08,已入库
279,入库-000279,287,49,1,2025-06-09,已入库
280,入库-000280,288,46,1,2025-12-09,已入库
281,入库-000281,289,13,1,2026-06-05,已入库
282,入库-000282,290,35,2,2024-11-21,已入库
283,入库-000283,291,50,1,2025-07-27,已入库
284,入库-000284,292,36,2,2025-04-03,已入库
285,入库-000285,293,48,1,2026-03-22,已入库
286,入库-000286,294,14,1,2026-01-26,已入库
287,入库-000287,295,1,1,2026-07-17,已入库
288,入库-000288,296,13,2,2025-07-29,已入库
289,入库-000289,297,9,2,2025-08-09,已入库
290,入库-000290,298,34,1,2025-09-13,已入库
291,入库-000291,299,16,2,2024-12-26,已入库
292,入库-000292,300,17,1,2024-10-06,已入库
293,入库-000293,301,11,2,2024-11-27,已入库
294,入库-000294,302,47,1,2026-05-15,已入库
295,入库-000295,303,34,1,2025-04-26,已入库
296,入库-000296,304,44,2,2025-09-22,已入库
297,入库-000297,305,7,1,2024-11-14,已入库
298,入库-000298,306,44,1,2026-04-06,已入库
299,入库-000299,307,40,2,2025-06-02,已入库
300,入库-000300,308,48,1,2025-01-29,已入库
301,入库-000301,309,30,1,2025-09-12,已入库
302,入库-000302,310,5,1,2024-09-11,已入库
303,入库-000303,311,47,1,2026-05-25,已入库
304,入库-000304,312,35,1,2025-03-17,已入库
305,入库-000305,313,14,1,2025-10-10,已入库
306,入库-000306,314,41,1,2025-08-28,已入库
307,入库-000307,315,4,1,2026-03-16,已入库
308,入库-000308,316,48,2,2025-01-12,已入库
309,入库-000309,317,46,1,2025-04-07,已入库
310,入库-000310,318,3,2,2025-12-20,已入库
311,入库-000311,319,19,1,2025-11-30,已入库
312,入库-000312,320,15,2,2024-11-03,已入库
313,入库-000313,321,47,1,2026-01-01,已入库
314,入库-000314,322,39,1,2025-11-13,已入库
315,入库-000315,323,39,1,2026-05-23,已入库
316,入库-000316,324,24,1,2025-04-12,已入库
317,入库-000317,325,15,1,2025-03-14,已入库
318,入库-000318,326,39,1,2025-11-29,已入库
319,入库-000319,327,50,1,2025-09-01,已入库
320,入库-000320,328,22,1,2025-12-11,已入库
321,入库-000321,329,44,1,2026-06-04,已入库
322,入库-000322,330,44,1,2024-09-24,已入库
323,入库-000323,331,47,1,2025-10-25,已入库
324,入库-000324,332,11,1,2026-04-10,已入库
325,入库-000325,333,48,2,2026-06-17,已入库
326,入库-000326,334,45,1,2025-07-24,已入库
327,入库-000327,335,25,1,2026-04-18,已入库
328,入库-000328,336,4,1,2025-01-30,已入库
329,入库-000329,337,33,1,2026-02-24,已入库
330,入库-000330,338,30,2,2024-12-21,已入库
331,入库-000331,339,21,1,2026-05-17,已入库
332,入库-000332,340,23,1,2026-04-01,已入库
333,入库-000333,341,9,2,2026-05-13,已入库
334,入库-000334,342,13,1,2025-08-14,已入库
335,入库-000335,343,43,2,2025-03-28,已入库
336,入库-000336,344,29,2,2025-01-24,已入库
337,入库-000337,345,26,1,2025-12-09,已入库
338,入库-000338,346,26,2,2025-12-16,已入库
339,入库-000339,347,3,2,2025-08-10,已入库
340,入库-000340,348,3,1,2025-11-09,已入库
341,入库-000341,349,31,1,2025-01-22,已入库
342,入库-000342,350,40,1,2026-03-16,已入库
343,入库-000343,351,13,1,2025-09-08,已入库
344,入库-000344,352,44,2,2025-12-27,已入库
345,入库-000345,354,32,2,2025-05-26,已入库
346,入库-000346,355,18,2,2025-03-28,已入库
347,入库-000347,356,18,1,2025-07-04,已入库
348,入库-000348,357,5,1,2025-12-16,已入库
349,入库-000349,358,12,2,2025-08-02,已入库
350,入库-000350,359,2,2,2025-03-23,已入库
351,入库-000351,360,4,1,2025-04-27,已入库
352,入库-000352,361,6,2,2026-02-20,已入库
353,入库-000353,362,15,1,2024-09-22,已入库
354,入库-000354,363,11,2,2024-11-03,已入库
355,入库-000355,364,50,1,2025-01-20,已入库
356,入库-000356,365,35,2,2024-08-26,已入库
357,入库-000357,366,47,2,2025-04-25,已入库
358,入库-000358,367,38,2,2025-02-14,已入库
359,入库-000359,368,49,2,2025-10-19,已入库
360,入库-000360,369,40,2,2025-09-05,已入库
361,入库-000361,370,4,2,2025-05-14,已入库
362,入库-000362,371,33,2,2025-01-02,已入库
363,入库-000363,372,34,1,2026-05-02,已入库
364,入库-000364,373,8,2,2024-09-17,已入库
365,入库-000365,374,26,1,2025-08-29,已入库
366,入库-000366,375,36,1,2024-12-17,已入库
367,入库-000367,376,36,1,2026-02-07,已入库
368,入库-000368,377,21,2,2026-03-22,已入库
369,入库-000369,378,50,1,2025-08-09,已入库
370,入库-000370,379,26,1,2026-01-18,已入库
371,入库-000371,380,43,1,2025-08-04,已入库
372,入库-000372,381,21,2,2024-11-15,已入库
373,入库-000373,382,34,2,2026-02-01,已入库
374,入库-000374,383,47,1,2025-03-05,已入库
375,入库-000375,384,41,1,2025-02-24,已入库
376,入库-000376,385,20,2,2025-02-06,已入库
377,入库-000377,386,16,1,2025-12-17,已入库
378,入库-000378,387,6,1,2026-02-11,已入库
379,入库-000379,388,3,1,2025-01-26,已入库
380,入库-000380,389,12,1,2025-04-24,已入库
381,入库-000381,390,36,1,2025-07-14,已入库
382,入库-000382,391,15,1,2025-09-10,已入库
383,入库-000383,392,5,2,2026-06-06,已入库
384,入库-000384,393,9,2,2026-02-02,已入库
385,入库-000385,394,8,2,2025-02-26,已入库
386,入库-000386,395,43,1,2025-06-27,已入库
387,入库-000387,396,13,2,2026-05-06,已入库
388,入库-000388,397,13,1,2026-02-16,已入库
389,入库-000389,398,32,1,2026-02-03,已入库
390,入库-000390,399,34,1,2026-04-04,已入库
391,入库-000391,400,20,2,2026-01-07,已入库
392,入库-000392,401,18,2,2025-04-19,已入库
393,入库-000393,402,50,1,2026-06-07,已入库
394,入库-000394,403,30,1,2025-05-24,已入库
395,入库-000395,404,24,2,2025-04-04,已入库
396,入库-000396,405,46,2,2025-04-09,已入库
397,入库-000397,406,19,1,2024-10-25,已入库
398,入库-000398,407,40,1,2025-11-18,已入库
399,入库-000399,408,23,2,2026-06-12,已入库
400,入库-000400,409,20,2,2026-08-03,已入库
401,入库-000401,410,23,1,2025-03-10,已入库
402,入库-000402,411,9,2,2025-12-11,已入库
403,入库-000403,412,28,2,2025-05-10,已入库
404,入库-000404,413,1,2,2024-10-04,已入库
405,入库-000405,414,21,1,2026-06-10,已入库
406,入库-000406,415,46,2,2024-12-14,已入库
407,入库-000407,416,26,1,2025-08-03,已入库
408,入库-000408,417,35,2,2025-08-01,已入库
409,入库-000409,418,3,2,2026-03-19,已入库
410,入库-000410,419,36,1,2025-04-29,已入库
411,入库-000411,420,15,1,2026-05-11,已入库
412,入库-000412,421,45,2,2025-01-05,已入库
413,入库-000413,422,6,1,2025-05-11,已入库
414,入库-000414,423,43,1,2025-02-18,已入库
415,入库-000415,424,25,1,2025-04-26,已入库
416,入库-000416,425,7,2,2025-03-07,已入库
417,入库-000417,426,32,1,2025-11-30,已入库
418,入库-000418,427,3,1,2025-10-06,已入库
419,入库-000419,428,20,1,2026-03-13,已入库
420,入库-000420,429,1,1,2025-08-03,已入库
421,入库-000421,430,50,1,2025-01-13,已入库
422,入库-000422,431,3,1,2026-04-09,已入库
423,入库-000423,432,42,2,2025-06-13,已入库
424,入库-000424,433,18,2,2026-04-24,已入库
425,入库-000425,434,13,2,2025-07-29,已入库
426,入库-000426,435,9,1,2025-12-24,已入库
427,入库-000427,436,49,1,2026-05-09,已入库
428,入库-000428,437,48,2,2025-10-16,已入库
429,入库-000429,438,35,1,2025-02-25,已入库
430,入库-000430,439,36,1,2025-02-14,已入库
431,入库-000431,440,35,2,2025-10-26,已入库
432,入库-000432,441,35,1,2025-08-10,已入库
433,入库-000433,442,1,1,2025-05-02,已入库
434,入库-000434,443,49,1,2025-04-15,已入库
435,入库-000435,444,2,2,2026-02-14,已入库
436,入库-000436,445,28,2,2026-05-08,已入库
437,入库-000437,446,29,1,2026-06-27,已入库
438,入库-000438,447,26,1,2025-03-21,已入库
439,入库-000439,448,30,2,2025-12-13,已入库
440,入库-000440,450,4,2,2024-12-28,已入库
441,入库-000441,451,21,2,2025-08-27,已入库
442,入库-000442,452,3,1,2025-08-23,已入库
443,入库-000443,453,10,1,2026-01-31,已入库
444,入库-000444,454,28,2,2025-04-30,已入库
445,入库-000445,455,47,1,2025-12-02,已入库
446,入库-000446,456,14,1,2025-04-01,已入库
447,入库-000447,457,50,1,2026-01-05,已入库
448,入库-000448,458,1,2,2025-10-09,已入库
449,入库-000449,459,3,1,2026-02-10,已入库
450,入库-000450,460,28,1,2026-02-21,已入库
451,入库-000451,461,49,1,2026-05-11,已入库
452,入库-000452,462,44,2,2025-02-01,已入库
453,入库-000453,463,42,1,2026-03-16,已入库
454,入库-000454,464,33,1,2025-11-03,已入库
455,入库-000455,465,9,2,2025-03-11,已入库
456,入库-000456,466,48,1,2025-05-08,已入库
457,入库-000457,467,33,1,2026-02-19,已入库
458,入库-000458,468,21,1,2024-08-23,已入库
459,入库-000459,469,31,1,2026-04-17,已入库
460,入库-000460,470,21,1,2024-12-18,已入库
461,入库-000461,471,47,1,2025-09-08,已入库
462,入库-000462,472,19,1,2025-05-08,已入库
463,入库-000463,473,4,1,2025-02-03,已入库
464,入库-000464,474,28,1,2025-03-28,已入库
465,入库-000465,475,17,2,2025-07-11,已入库
466,入库-000466,476,49,1,2025-09-04,已入库
467,入库-000467,477,24,1,2026-07-02,已入库
468,入库-000468,478,37,1,2025-05-27,已入库
469,入库-000469,479,1,1,2025-10-16,已入库
470,入库-000470,480,21,1,2025-03-19,已入库
471,入库-000471,481,8,2,2024-12-14,已入库
472,入库-000472,482,14,2,2026-06-09,已入库
473,入库-000473,483,29,1,2025-04-17,已入库
474,入库-000474,484,14,2,2025-01-14,已入库
475,入库-000475,485,8,1,2024-09-23,已入库
476,入库-000476,486,43,2,2025-05-25,已入库
477,入库-000477,487,47,2,2026-02-24,已入库
478,入库-000478,488,37,1,2025-11-21,已入库
479,入库-000479,489,5,1,2025-12-28,已入库
480,入库-000480,490,35,2,2026-02-15,已入库
481,入库-000481,491,26,2,2026-07-25,已入库
482,入库-000482,492,29,1,2024-09-14,已入库
483,入库-000483,493,32,2,2025-08-01,已入库
484,入库-000484,494,50,1,2024-11-14,已入库
485,入库-000485,495,12,2,2024-10-30,已入库
486,入库-000486,496,50,1,2025-12-26,已入库
487,入库-000487,497,49,1,2026-03-24,已入库
488,入库-000488,498,26,2,2026-07-06,已入库
489,入库-000489,499,36,1,2026-03-04,已入库
490,入库-000490,500,16,2,2025-07-24,已入库
491,入库-000491,501,43,2,2025-07-17,已入库
492,入库-000492,502,17,2,2025-01-19,已入库
493,入库-000493,504,27,1,2025-04-20,已入库
494,入库-000494,505,15,1,2024-11-15,已入库
495,入库-000495,506,41,1,2024-09-18,已入库
496,入库-000496,507,13,1,2025-11-07,已入库
497,入库-000497,508,9,1,2026-01-31,已入库
498,入库-000498,509,3,2,2025-11-23,已入库
499,入库-000499,510,15,1,2024-10-16,已入库
500,入库-000500,511,26,1,2025-05-17,已入库
501,入库-000501,512,19,1,2026-07-13,已入库
502,入库-000502,513,36,1,2025-04-06,已入库
503,入库-000503,514,49,1,2024-10-15,已入库
504,入库-000504,515,26,1,2026-03-15,已入库
505,入库-000505,516,41,1,2024-11-27,已入库
506,入库-000506,517,33,1,2025-03-08,已入库
507,入库-000507,518,8,1,2026-01-13,已入库
508,入库-000508,519,41,1,2026-05-19,已入库
509,入库-000509,520,2,2,2024-10-08,已入库
510,入库-000510,522,45,1,2025-05-11,已入库
511,入库-000511,523,21,1,2026-01-12,已入库
512,入库-000512,524,30,2,2025-01-25,已入库
513,入库-000513,525,30,2,2025-11-11,已入库
514,入库-000514,526,1,2,2025-10-13,已入库
515,入库-000515,527,33,1,2025-12-06,已入库
516,入库-000516,528,29,2,2025-11-11,已入库
517,入库-000517,529,36,1,2025-06-21,已入库
518,入库-000518,530,16,2,2025-03-23,已入库
519,入库-000519,531,33,1,2025-05-31,已入库
520,入库-000520,532,9,1,2024-11-18,已入库
521,入库-000521,533,33,2,2026-06-06,已入库
522,入库-000522,534,3,1,2026-05-24,已入库
523,入库-000523,535,25,1,2026-06-10,已入库
524,入库-000524,536,48,2,2024-08-27,已入库
525,入库-000525,537,32,2,2024-12-06,已入库
526,入库-000526,538,13,1,2025-08-30,已入库
527,入库-000527,539,50,1,2025-05-21,已入库
528,入库-000528,540,42,2,2024-10-20,已入库
529,入库-000529,541,31,1,2026-03-01,已入库
530,入库-000530,542,23,2,2025-05-27,已入库
531,入库-000531,543,4,1,2025-06-18,已入库
532,入库-000532,544,43,1,2025-09-21,已入库
533,入库-000533,545,35,2,2025-06-14,已入库
534,入库-000534,546,48,1,2025-05-04,已入库
535,入库-000535,547,19,2,2024-10-17,已入库
536,入库-000536,548,3,1,2025-08-19,已入库
537,入库-000537,549,33,1,2025-05-31,已入库
538,入库-000538,550,13,1,2024-12-28,已入库
539,入库-000539,551,30,1,2025-03-13,已入库
540,入库-000540,552,12,1,2025-11-01,已入库
541,入库-000541,553,22,1,2026-03-24,已入库
542,入库-000542,554,50,1,2025-02-08,已入库
543,入库-000543,555,36,1,2024-09-27,已入库
544,入库-000544,556,1,2,2025-01-06,已入库
545,入库-000545,557,47,1,2024-12-23,已入库
546,入库-000546,558,5,2,2025-01-29,已入库
547,入库-000547,559,29,1,2025-04-06,已入库
548,入库-000548,560,16,1,2025-02-12,已入库
549,入库-000549,561,2,2,2025-07-26,已入库
550,入库-000550,562,26,1,2026-01-14,已入库
551,入库-000551,563,10,1,2025-02-11,已入库
552,入库-000552,564,30,1,2025-12-21,已入库
553,入库-000553,565,34,2,2025-12-30,已入库
554,入库-000554,566,12,1,2025-04-30,已入库
555,入库-000555,567,13,2,2026-04-03,已入库
556,入库-000556,569,11,1,2026-01-09,已入库
