sales_order_id,company_id,sales_order_code,customer_id,plant_id,order_date,promised_delivery_date,status,sales_owner_id,currency,order_amount,source_system
61,1,销售-000061,68,1,2024-08-27,2024-12-20,已完成,9,CNY,237692.07,ERP
62,1,销售-000062,66,1,2024-08-27,2024-11-25,已完成,7,CNY,727134.31,ERP
63,1,销售-000063,23,2,2024-08-27,2024-12-23,已完成,4,CNY,1245215.9,ERP
64,1,销售-000064,69,1,2024-08-28,2024-11-01,已完成,10,CNY,774386.6,ERP
65,1,销售-000065,56,2,2024-08-28,2024-11-17,已完成,7,CNY,172776.43,ERP
66,1,销售-000066,14,2,2024-08-29,2024-12-23,已完成,5,CNY,484604.06,ERP
67,1,销售-000067,44,2,2024-08-29,2024-11-09,已完成,5,CNY,199732.09,ERP
68,1,销售-000068,51,1,2024-08-30,2024-12-02,已完成,2,CNY,220519.3,ERP
69,1,销售-000069,74,1,2024-08-30,2024-10-28,已完成,5,CNY,331431.49,ERP
70,1,销售-000070,37,1,2024-08-30,2024-10-28,已完成,8,CNY,476278.96,ERP
71,1,销售-000071,30,1,2024-08-30,2024-10-24,已完成,1,CNY,212114.06,ERP
72,1,销售-000072,2,1,2024-08-31,2024-12-23,已完成,3,CNY,937148.83,ERP
73,1,销售-000073,9,2,2024-08-31,2024-10-29,已完成,10,CNY,1089055.83,ERP
74,1,销售-000074,40,1,2024-08-31,2024-12-12,已完成,1,CNY,1189924.39,ERP
75,1,销售-000075,2,2,2024-08-31,2024-11-21,已完成,3,CNY,743935.39,ERP
76,1,销售-000076,79,1,2024-09-01,2024-10-23,已完成,10,CNY,201047.26,ERP
77,1,销售-000077,4,1,2024-09-01,2024-11-05,已完成,5,CNY,249022.55,ERP
78,1,销售-000078,62,1,2024-09-02,2024-11-19,已完成,3,CNY,242031.73,ERP
79,1,销售-000079,34,1,2024-09-02,2024-11-10,已完成,5,CNY,286523.48,ERP
80,1,销售-000080,44,1,2024-09-02,2024-10-25,已完成,5,CNY,438033.51,ERP
81,1,销售-000081,69,1,2024-09-02,2024-10-09,已完成,10,CNY,252210.82,ERP
82,1,销售-000082,80,1,2024-09-03,2024-11-28,已完成,1,CNY,349246.95,ERP
83,1,销售-000083,58,2,2024-09-03,2024-11-10,已完成,9,CNY,179349.85,ERP
84,1,销售-000084,40,2,2024-09-03,2024-12-11,已完成,1,CNY,1246923.5,ERP
85,1,销售-000085,6,2,2024-09-03,2024-10-23,已完成,7,CNY,203372.08,ERP
86,1,销售-000086,47,2,2024-09-04,2024-12-17,已完成,8,CNY,421747.96,ERP
87,1,销售-000087,53,2,2024-09-04,2024-12-07,已完成,4,CNY,348932.46,ERP
88,1,销售-000088,66,1,2024-09-04,2024-12-12,已完成,7,CNY,721043.03,ERP
89,1,销售-000089,57,1,2024-09-05,2024-11-10,已完成,8,CNY,1276059.0,ERP
90,1,销售-000090,77,1,2024-09-05,2024-12-11,已完成,8,CNY,257777.15,ERP
91,1,销售-000091,67,1,2024-09-05,2024-10-10,已完成,8,CNY,724737.72,ERP
92,1,销售-000092,28,2,2024-09-06,2024-12-31,已完成,9,CNY,245399.98,ERP
93,1,销售-000093,27,2,2024-09-06,2024-10-22,已完成,8,CNY,796993.43,ERP
94,1,销售-000094,65,2,2024-09-06,2024-11-15,已完成,6,CNY,377344.47,ERP
95,1,销售-000095,46,2,2024-09-06,2025-01-03,已完成,7,CNY,619146.51,ERP
96,1,销售-000096,71,1,2024-09-07,2024-10-17,已完成,2,CNY,445643.92,ERP
97,1,销售-000097,34,2,2024-09-08,2024-12-12,已完成,5,CNY,565805.59,ERP
98,1,销售-000098,62,1,2024-09-08,2024-12-04,已完成,3,CNY,1072942.71,ERP
99,1,销售-000099,66,2,2024-09-08,2024-12-03,已完成,7,CNY,302711.57,ERP
100,1,销售-000100,15,2,2024-09-09,2024-11-24,已完成,6,CNY,301631.66,ERP
101,1,销售-000101,65,2,2024-09-09,2024-11-11,已完成,6,CNY,186274.97,ERP
102,1,销售-000102,48,1,2024-09-09,2025-01-02,已完成,9,CNY,482723.73,ERP
103,1,销售-000103,27,2,2024-09-09,2024-11-01,已完成,8,CNY,332561.96,ERP
104,1,销售-000104,36,2,2024-09-09,2024-11-14,已完成,7,CNY,356213.61,ERP
105,1,销售-000105,45,1,2024-09-10,2024-10-27,已完成,6,CNY,160874.99,ERP
106,1,销售-000106,1,1,2024-09-10,2024-12-03,已完成,2,CNY,342900.26,ERP
107,1,销售-000107,33,1,2024-09-10,2024-10-21,已完成,4,CNY,228274.2,ERP
108,1,销售-000108,31,1,2024-09-10,2024-11-04,已完成,2,CNY,776205.25,ERP
109,1,销售-000109,43,2,2024-09-11,2024-11-09,已完成,4,CNY,640234.14,ERP
110,1,销售-000110,80,2,2024-09-11,2024-12-31,已完成,1,CNY,187630.8,ERP
111,1,销售-000111,59,1,2024-09-11,2024-11-11,已完成,10,CNY,159688.01,ERP
112,1,销售-000112,24,1,2024-09-11,2024-12-13,已完成,5,CNY,232519.89,ERP
113,1,销售-000113,1,1,2024-09-11,2024-11-06,已完成,2,CNY,712088.82,ERP
114,1,销售-000114,61,1,2024-09-11,2024-11-04,已完成,2,CNY,398204.5,ERP
115,1,销售-000115,43,2,2024-09-11,2024-11-22,已完成,4,CNY,499817.47,ERP
116,1,销售-000116,52,1,2024-09-12,2024-11-13,已完成,3,CNY,263483.68,ERP
117,1,销售-000117,68,2,2024-09-12,2024-11-15,已完成,9,CNY,508456.6,ERP
118,1,销售-000118,73,2,2024-09-12,2025-01-05,已完成,4,CNY,958366.53,ERP
119,1,销售-000119,69,1,2024-09-12,2024-11-04,已完成,10,CNY,487472.88,ERP
120,1,销售-000120,66,1,2024-09-12,2024-11-22,已完成,7,CNY,232243.96,ERP
121,1,销售-000121,80,1,2024-09-13,2024-12-18,已完成,1,CNY,551144.3,ERP
122,1,销售-000122,53,2,2024-09-15,2024-11-24,已完成,4,CNY,233829.87,ERP
123,1,销售-000123,55,1,2024-09-15,2024-10-27,已完成,6,CNY,647359.91,ERP
124,1,销售-000124,49,1,2024-09-15,2024-12-26,已完成,10,CNY,898271.16,ERP
125,1,销售-000125,25,1,2024-09-15,2025-01-01,已完成,6,CNY,988533.55,ERP
126,1,销售-000126,38,1,2024-09-15,2024-11-11,已完成,9,CNY,403299.35,ERP
127,1,销售-000127,53,1,2024-09-15,2024-11-12,已完成,4,CNY,1431013.82,ERP
128,1,销售-000128,57,1,2024-09-16,2025-01-14,已完成,8,CNY,327155.96,ERP
129,1,销售-000129,59,1,2024-09-16,2024-10-24,已完成,10,CNY,373104.69,ERP
130,1,销售-000130,15,1,2024-09-17,2024-12-19,已完成,6,CNY,421654.72,ERP
131,1,销售-000131,56,1,2024-09-17,2024-10-29,已完成,7,CNY,135519.67,ERP
132,1,销售-000132,59,2,2024-09-17,2024-12-30,已完成,10,CNY,790021.4,ERP
133,1,销售-000133,51,2,2024-09-17,2025-01-07,已完成,2,CNY,536962.34,ERP
134,1,销售-000134,77,1,2024-09-18,2025-01-06,已完成,8,CNY,954717.58,ERP
135,1,销售-000135,77,1,2024-09-18,2024-12-11,已完成,8,CNY,397241.82,ERP
136,1,销售-000136,40,2,2024-09-18,2024-12-06,已完成,1,CNY,214943.12,ERP
137,1,销售-000137,78,2,2024-09-19,2024-12-13,已完成,9,CNY,198993.7,ERP
138,1,销售-000138,35,1,2024-09-19,2024-12-23,已完成,6,CNY,168572.71,ERP
139,1,销售-000139,76,2,2024-09-19,2024-12-05,已完成,7,CNY,210714.12,ERP
140,1,销售-000140,32,1,2024-09-19,2024-12-27,已完成,3,CNY,331427.86,ERP
141,1,销售-000141,67,1,2024-09-19,2024-11-27,已完成,8,CNY,533485.85,ERP
142,1,销售-000142,1,2,2024-09-20,2024-11-13,已完成,2,CNY,882161.32,ERP
143,1,销售-000143,6,2,2024-09-20,2024-11-08,已完成,7,CNY,375502.73,ERP
144,1,销售-000144,62,2,2024-09-20,2024-12-31,已完成,3,CNY,201493.56,ERP
145,1,销售-000145,9,1,2024-09-20,2024-10-30,已完成,10,CNY,839223.0,ERP
146,1,销售-000146,3,1,2024-09-21,2024-11-28,已完成,4,CNY,1202713.3,ERP
147,1,销售-000147,71,1,2024-09-21,2024-10-28,已完成,2,CNY,516234.1,ERP
148,1,销售-000148,46,1,2024-09-22,2024-12-14,已完成,7,CNY,238965.38,ERP
149,1,销售-000149,70,2,2024-09-22,2024-12-20,已完成,1,CNY,1162704.96,ERP
150,1,销售-000150,16,1,2024-09-23,2024-12-03,已完成,7,CNY,388984.09,ERP
151,1,销售-000151,22,2,2024-09-23,2025-01-01,已完成,3,CNY,896563.11,ERP
152,1,销售-000152,22,2,2024-09-23,2024-12-25,已完成,3,CNY,334178.75,ERP
153,1,销售-000153,72,1,2024-09-23,2025-01-16,已完成,3,CNY,427369.29,ERP
154,1,销售-000154,66,2,2024-09-24,2024-11-22,已完成,7,CNY,811438.74,ERP
155,1,销售-000155,16,1,2024-09-24,2024-12-04,已完成,7,CNY,635425.43,ERP
156,1,销售-000156,5,1,2024-09-25,2025-01-10,已完成,6,CNY,157491.52,ERP
157,1,销售-000157,44,2,2024-09-26,2024-12-17,已完成,5,CNY,332233.12,ERP
158,1,销售-000158,26,1,2024-09-26,2024-11-03,已完成,7,CNY,1187179.03,ERP
159,1,销售-000159,1,2,2024-09-26,2025-01-09,已完成,2,CNY,291844.12,ERP
160,1,销售-000160,21,2,2024-09-26,2024-12-20,已完成,2,CNY,569321.61,ERP
161,1,销售-000161,26,2,2024-09-27,2025-01-18,已完成,7,CNY,236104.91,ERP
162,1,销售-000162,76,1,2024-09-27,2025-01-23,已完成,7,CNY,845057.98,ERP
163,1,销售-000163,4,2,2024-09-27,2024-11-05,已完成,5,CNY,199162.88,ERP
164,1,销售-000164,80,1,2024-09-27,2024-11-09,已完成,1,CNY,624120.27,ERP
165,1,销售-000165,74,1,2024-09-27,2024-11-25,已完成,5,CNY,941155.29,ERP
166,1,销售-000166,5,2,2024-09-27,2025-01-15,已完成,6,CNY,362540.23,ERP
167,1,销售-000167,57,1,2024-09-28,2025-01-01,已完成,8,CNY,186626.39,ERP
168,1,销售-000168,80,1,2024-09-28,2024-12-10,已完成,1,CNY,1029953.13,ERP
169,1,销售-000169,46,1,2024-09-29,2024-11-20,已完成,7,CNY,1232497.5,ERP
170,1,销售-000170,1,1,2024-09-29,2024-11-12,已完成,2,CNY,772607.17,ERP
171,1,销售-000171,38,1,2024-09-29,2024-12-23,已完成,9,CNY,903248.12,ERP
172,1,销售-000172,30,1,2024-09-30,2024-12-30,已完成,1,CNY,172361.04,ERP
173,1,销售-000173,62,1,2024-09-30,2025-01-14,已完成,3,CNY,257932.0,ERP
174,1,销售-000174,79,1,2024-10-01,2024-12-28,已完成,10,CNY,664993.47,ERP
175,1,销售-000175,65,1,2024-10-01,2025-01-23,已完成,6,CNY,143997.72,ERP
176,1,销售-000176,28,1,2024-10-01,2024-12-08,已完成,9,CNY,167781.98,ERP
177,1,销售-000177,17,1,2024-10-01,2025-01-24,已完成,8,CNY,569952.72,ERP
178,1,销售-000178,58,2,2024-10-02,2025-01-25,已完成,9,CNY,331706.28,ERP
179,1,销售-000179,55,1,2024-10-02,2024-11-30,已完成,6,CNY,569546.34,ERP
180,1,销售-000180,35,1,2024-10-03,2025-01-29,已完成,6,CNY,698069.48,ERP
181,1,销售-000181,24,1,2024-10-03,2025-01-12,已完成,5,CNY,186633.04,ERP
182,1,销售-000182,15,2,2024-10-03,2024-12-02,已完成,6,CNY,172954.75,ERP
183,1,销售-000183,17,1,2024-10-03,2024-12-20,已完成,8,CNY,194025.64,ERP
184,1,销售-000184,73,2,2024-10-04,2024-11-18,已完成,4,CNY,306262.75,ERP
185,1,销售-000185,23,1,2024-10-04,2025-01-15,已完成,4,CNY,539739.83,ERP
186,1,销售-000186,15,1,2024-10-04,2025-01-06,已完成,6,CNY,934229.57,ERP
187,1,销售-000187,56,1,2024-10-04,2024-12-29,已完成,7,CNY,1058377.67,ERP
188,1,销售-000188,79,2,2024-10-04,2024-11-30,已完成,10,CNY,940133.18,ERP
189,1,销售-000189,59,1,2024-10-05,2024-12-22,已完成,10,CNY,363102.33,ERP
190,1,销售-000190,24,2,2024-10-05,2024-12-03,已完成,5,CNY,934515.19,ERP
191,1,销售-000191,58,1,2024-10-05,2025-01-05,已完成,9,CNY,444390.44,ERP
192,1,销售-000192,4,1,2024-10-06,2024-11-18,已完成,5,CNY,697995.39,ERP
193,1,销售-000193,6,1,2024-10-06,2025-01-09,已完成,7,CNY,647061.42,ERP
194,1,销售-000194,28,1,2024-10-07,2025-01-07,已完成,9,CNY,1074800.93,ERP
195,1,销售-000195,47,2,2024-10-07,2025-01-18,已完成,8,CNY,230770.16,ERP
196,1,销售-000196,80,1,2024-10-08,2025-01-26,已完成,1,CNY,499710.19,ERP
197,1,销售-000197,5,1,2024-10-08,2024-12-04,已完成,6,CNY,873489.84,ERP
198,1,销售-000198,33,2,2024-10-09,2025-01-07,已完成,4,CNY,735063.18,ERP
199,1,销售-000199,49,2,2024-10-09,2024-12-08,已完成,10,CNY,1088652.1,ERP
200,1,销售-000200,78,2,2024-10-09,2025-01-02,已完成,9,CNY,996396.34,ERP
201,1,销售-000201,1,2,2024-10-09,2025-01-25,已完成,2,CNY,724170.27,ERP
202,1,销售-000202,66,1,2024-10-10,2025-01-10,已完成,7,CNY,512816.26,ERP
203,1,销售-000203,61,1,2024-10-11,2024-11-26,已完成,2,CNY,148098.87,ERP
204,1,销售-000204,9,1,2024-10-11,2025-01-01,已完成,10,CNY,729706.36,ERP
205,1,销售-000205,46,1,2024-10-11,2024-12-27,已完成,7,CNY,553534.88,ERP
206,1,销售-000206,40,2,2024-10-11,2025-01-16,已完成,1,CNY,1002352.34,ERP
207,1,销售-000207,23,2,2024-10-12,2025-01-23,已完成,4,CNY,299814.53,ERP
208,1,销售-000208,54,1,2024-10-12,2025-02-05,已完成,5,CNY,161190.1,ERP
209,1,销售-000209,53,1,2024-10-13,2024-11-17,已完成,4,CNY,653139.65,ERP
210,1,销售-000210,33,1,2024-10-14,2024-12-25,已完成,4,CNY,696405.37,ERP
211,1,销售-000211,59,1,2024-10-15,2025-01-07,已完成,10,CNY,212551.66,ERP
212,1,销售-000212,46,2,2024-10-15,2024-11-26,已完成,7,CNY,534643.09,ERP
213,1,销售-000213,29,2,2024-10-16,2024-11-28,已完成,10,CNY,622919.45,ERP
214,1,销售-000214,54,2,2024-10-17,2024-12-10,已完成,5,CNY,1001102.4,ERP
215,1,销售-000215,64,1,2024-10-17,2024-11-29,已完成,5,CNY,1354274.67,ERP
216,1,销售-000216,50,2,2024-10-17,2025-01-22,已完成,1,CNY,900827.11,ERP
217,1,销售-000217,4,2,2024-10-17,2025-01-29,已完成,5,CNY,676188.41,ERP
218,1,销售-000218,20,1,2024-10-18,2024-12-15,已完成,1,CNY,1551655.95,ERP
219,1,销售-000219,25,2,2024-10-18,2025-01-30,已完成,6,CNY,646255.28,ERP
220,1,销售-000220,24,1,2024-10-18,2025-01-01,已完成,5,CNY,116619.75,ERP
221,1,销售-000221,58,2,2024-10-18,2024-12-17,已完成,9,CNY,896041.29,ERP
222,1,销售-000222,25,2,2024-10-19,2024-12-04,已完成,6,CNY,950624.95,ERP
223,1,销售-000223,46,2,2024-10-19,2025-01-15,已完成,7,CNY,517765.28,ERP
224,1,销售-000224,35,2,2024-10-20,2025-02-05,已完成,6,CNY,265077.22,ERP
225,1,销售-000225,7,2,2024-10-20,2025-01-29,已完成,8,CNY,595950.95,ERP
226,1,销售-000226,15,1,2024-10-20,2024-12-04,已完成,6,CNY,290520.24,ERP
227,1,销售-000227,36,1,2024-10-21,2024-12-05,已完成,7,CNY,799279.72,ERP
228,1,销售-000228,54,1,2024-10-21,2025-01-22,已完成,5,CNY,282328.18,ERP
229,1,销售-000229,35,2,2024-10-21,2025-02-08,已完成,6,CNY,175951.72,ERP
230,1,销售-000230,37,1,2024-10-22,2025-01-18,已完成,8,CNY,336871.57,ERP
231,1,销售-000231,23,1,2024-10-23,2025-01-24,已完成,4,CNY,303382.19,ERP
232,1,销售-000232,43,2,2024-10-23,2025-01-12,已完成,4,CNY,233632.73,ERP
233,1,销售-000233,58,1,2024-10-24,2024-12-21,已完成,9,CNY,551115.58,ERP
234,1,销售-000234,48,1,2024-10-24,2024-12-29,已完成,9,CNY,207733.88,ERP
235,1,销售-000235,52,2,2024-10-25,2024-12-31,已完成,3,CNY,638436.54,ERP
236,1,销售-000236,59,2,2024-10-25,2024-12-19,已完成,10,CNY,1123406.22,ERP
237,1,销售-000237,11,1,2024-10-25,2024-12-11,已完成,2,CNY,539758.3,ERP
238,1,销售-000238,75,1,2024-10-25,2025-01-15,已完成,6,CNY,467034.02,ERP
239,1,销售-000239,52,1,2024-10-26,2025-01-04,已完成,3,CNY,244704.3,ERP
240,1,销售-000240,72,2,2024-10-26,2024-12-31,已完成,3,CNY,208070.01,ERP
241,1,销售-000241,31,1,2024-10-26,2025-02-17,已完成,2,CNY,465850.59,ERP
242,1,销售-000242,15,1,2024-10-26,2025-02-06,已完成,6,CNY,501226.76,ERP
243,1,销售-000243,20,2,2024-10-27,2024-12-25,已完成,1,CNY,186174.35,ERP
244,1,销售-000244,80,2,2024-10-27,2025-01-13,已完成,1,CNY,1438276.41,ERP
245,1,销售-000245,21,1,2024-10-27,2024-12-23,已完成,2,CNY,734899.14,ERP
246,1,销售-000246,32,2,2024-10-27,2025-02-09,已完成,3,CNY,611171.79,ERP
247,1,销售-000247,38,1,2024-10-27,2025-02-07,已完成,9,CNY,961998.56,ERP
248,1,销售-000248,45,1,2024-10-27,2024-12-02,已完成,6,CNY,118129.37,ERP
249,1,销售-000249,75,2,2024-10-27,2025-01-03,已完成,6,CNY,265999.05,ERP
250,1,销售-000250,44,1,2024-10-27,2024-12-02,已完成,5,CNY,1294919.94,ERP
251,1,销售-000251,38,2,2024-10-28,2025-01-30,已完成,9,CNY,411413.28,ERP
252,1,销售-000252,76,2,2024-10-28,2025-02-21,已完成,7,CNY,926982.94,ERP
253,1,销售-000253,47,1,2024-10-28,2025-01-19,已完成,8,CNY,179980.94,ERP
254,1,销售-000254,9,1,2024-10-29,2024-12-17,已完成,10,CNY,771241.84,ERP
255,1,销售-000255,80,2,2024-10-29,2025-01-21,已完成,1,CNY,276804.66,ERP
256,1,销售-000256,59,1,2024-10-29,2025-01-20,已完成,10,CNY,498444.43,ERP
257,1,销售-000257,13,2,2024-10-30,2024-12-17,已完成,4,CNY,1005340.67,ERP
258,1,销售-000258,69,2,2024-10-30,2025-02-09,已完成,10,CNY,209241.48,ERP
259,1,销售-000259,41,1,2024-10-30,2025-01-04,已完成,2,CNY,793094.73,ERP
260,1,销售-000260,20,1,2024-10-31,2024-12-18,已完成,1,CNY,957009.35,ERP
261,1,销售-000261,43,1,2024-10-31,2025-01-03,已完成,4,CNY,341594.1,ERP
262,1,销售-000262,37,1,2024-11-01,2025-02-25,已完成,8,CNY,1524916.39,ERP
263,1,销售-000263,43,1,2024-11-01,2025-01-27,已完成,4,CNY,796515.24,ERP
264,1,销售-000264,13,2,2024-11-02,2024-12-09,已完成,4,CNY,503572.48,ERP
265,1,销售-000265,57,1,2024-11-02,2025-03-01,已完成,8,CNY,575445.69,ERP
266,1,销售-000266,55,1,2024-11-02,2024-12-13,已完成,6,CNY,395668.9,ERP
267,1,销售-000267,30,1,2024-11-02,2024-12-21,已完成,1,CNY,216018.7,ERP
268,1,销售-000268,58,1,2024-11-03,2025-02-01,已完成,9,CNY,222626.62,ERP
269,1,销售-000269,11,2,2024-11-03,2025-02-11,已完成,2,CNY,255180.49,ERP
270,1,销售-000270,51,1,2024-11-04,2025-01-20,已完成,2,CNY,188963.8,ERP
271,1,销售-000271,61,1,2024-11-04,2025-01-02,已完成,2,CNY,930263.22,ERP
272,1,销售-000272,31,2,2024-11-05,2025-01-14,已完成,2,CNY,566392.42,ERP
273,1,销售-000273,64,1,2024-11-05,2025-02-09,已完成,5,CNY,398766.91,ERP
274,1,销售-000274,23,1,2024-11-05,2025-03-01,已完成,4,CNY,345654.65,ERP
275,1,销售-000275,21,1,2024-11-06,2025-02-11,已完成,2,CNY,305797.52,ERP
276,1,销售-000276,57,2,2024-11-06,2025-02-11,已完成,8,CNY,770499.68,ERP
277,1,销售-000277,9,1,2024-11-07,2025-01-31,已完成,10,CNY,508914.85,ERP
278,1,销售-000278,36,1,2024-11-07,2025-02-20,已完成,7,CNY,1028208.45,ERP
279,1,销售-000279,34,2,2024-11-07,2024-12-31,已完成,5,CNY,950000.69,ERP
280,1,销售-000280,74,2,2024-11-07,2025-01-18,已完成,5,CNY,506227.82,ERP
281,1,销售-000281,69,2,2024-11-07,2024-12-21,已完成,10,CNY,938062.27,ERP
282,1,销售-000282,47,1,2024-11-07,2025-01-05,已完成,8,CNY,165519.31,ERP
283,1,销售-000283,67,1,2024-11-09,2025-02-14,已完成,8,CNY,1521860.43,ERP
284,1,销售-000284,6,1,2024-11-09,2025-01-17,已完成,7,CNY,524890.63,ERP
285,1,销售-000285,64,2,2024-11-09,2025-02-05,已完成,5,CNY,1434908.47,ERP
286,1,销售-000286,78,1,2024-11-10,2025-01-17,已完成,9,CNY,159069.88,ERP
287,1,销售-000287,45,2,2024-11-10,2024-12-27,已完成,6,CNY,1258422.91,ERP
288,1,销售-000288,23,1,2024-11-11,2024-12-24,已完成,4,CNY,497948.61,ERP
289,1,销售-000289,25,1,2024-11-11,2025-01-12,已完成,6,CNY,422141.51,ERP
290,1,销售-000290,16,1,2024-11-11,2025-01-11,已完成,7,CNY,771585.78,ERP
291,1,销售-000291,2,1,2024-11-12,2024-12-18,已完成,3,CNY,176716.59,ERP
292,1,销售-000292,46,1,2024-11-12,2025-02-26,已完成,7,CNY,182485.91,ERP
293,1,销售-000293,49,1,2024-11-12,2025-02-27,已完成,10,CNY,565454.93,ERP
294,1,销售-000294,16,1,2024-11-12,2024-12-28,已完成,7,CNY,253872.03,ERP
