quotation_id,quotation_code,customer_id,product_id,quotation_date,quantity,estimated_cost,target_margin_rate,quoted_amount,status,converted_sales_order_id
63,报价-000063,23,33,2024-08-14,4,933609.8,0.2502,1245215.9,已转订单,63
64,报价-000064,69,1,2024-08-25,2,552582.62,0.2864,774386.6,已转订单,64
65,报价-000065,56,3,2024-08-20,1,125470.7,0.2738,172776.43,已转订单,65
66,报价-000066,14,32,2024-08-21,2,385318.2,0.2049,484604.06,已转订单,66
67,报价-000067,44,11,2024-08-19,1,134360.63,0.3273,199732.09,已转订单,67
68,报价-000068,51,30,2024-08-19,1,176607.76,0.1991,220519.3,已转订单,68
69,报价-000069,74,3,2024-08-21,2,250941.4,0.2429,331431.49,已转订单,69
70,报价-000070,37,40,2024-08-17,2,386863.56,0.1877,476278.96,已转订单,70
71,报价-000071,30,27,2024-08-21,1,165284.07,0.2208,212114.06,已转订单,71
72,报价-000072,2,25,2024-08-28,4,649717.0,0.3067,937148.83,已转订单,72
73,报价-000073,9,35,2024-08-15,5,787754.15,0.2767,1089055.83,已转订单,73
74,报价-000074,40,18,2024-08-24,4,844343.28,0.2904,1189924.39,已转订单,74
75,报价-000075,2,19,2024-08-28,5,605861.85,0.1856,743935.39,已转订单,75
76,报价-000076,79,26,2024-08-29,1,143160.48,0.2879,201047.26,已转订单,76
77,报价-000077,4,15,2024-08-16,1,171649.64,0.3107,249022.55,已转订单,77
78,报价-000078,62,7,2024-08-26,1,176416.63,0.2711,242031.73,已转订单,78
79,报价-000079,34,33,2024-08-21,1,233402.45,0.1854,286523.48,已转订单,79
80,报价-000080,44,35,2024-08-29,2,315101.66,0.2806,438033.51,已转订单,80
81,报价-000081,69,32,2024-08-17,1,192659.1,0.2361,252210.82,已转订单,81
82,报价-000082,80,8,2024-08-19,2,279067.0,0.2009,349246.95,已转订单,82
83,报价-000083,58,26,2024-08-30,1,143160.48,0.2018,179349.85,已转订单,83
84,报价-000084,40,39,2024-08-18,5,884218.6,0.2909,1246923.5,已转订单,84
85,报价-000085,6,27,2024-08-25,1,165284.07,0.1873,203372.08,已转订单,85
86,报价-000086,47,25,2024-08-27,2,324858.5,0.2297,421747.96,已转订单,86
87,报价-000087,53,6,2024-08-18,2,249035.9,0.2863,348932.46,已转订单,87
88,报价-000088,66,22,2024-08-29,4,577995.92,0.1984,721043.03,已转订单,88
89,报价-000089,57,33,2024-08-27,4,933609.8,0.2684,1276059.0,已转订单,89
90,报价-000090,77,39,2024-08-22,1,176843.72,0.314,257777.15,已转订单,90
91,报价-000091,67,21,2024-08-31,4,519100.0,0.2837,724737.72,已转订单,91
92,报价-000092,28,38,2024-08-29,1,185408.81,0.2445,245399.98,已转订单,92
93,报价-000093,27,20,2024-08-21,3,557791.86,0.3001,796993.43,已转订单,93
94,报价-000094,65,13,2024-08-30,2,298992.4,0.2076,377344.47,已转订单,94
95,报价-000095,46,26,2024-08-22,3,429481.44,0.3063,619146.51,已转订单,95
96,报价-000096,71,36,2024-08-26,3,340793.28,0.2353,445643.92,已转订单,96
97,报价-000097,34,9,2024-08-26,2,418840.84,0.2597,565805.59,已转订单,97
98,报价-000098,62,15,2024-08-24,5,858248.2,0.2001,1072942.71,已转订单,98
99,报价-000099,66,9,2024-09-04,1,209420.42,0.3082,302711.57,已转订单,99
100,报价-000100,15,33,2024-09-05,1,233402.45,0.2262,301631.66,已转订单,100
101,报价-000101,65,22,2024-09-01,1,144498.98,0.2243,186274.97,已转订单,101
102,报价-000102,48,21,2024-09-05,3,389325.0,0.1935,482723.73,已转订单,102
103,报价-000103,27,19,2024-09-01,2,242344.74,0.2713,332561.96,已转订单,103
104,报价-000104,36,2,2024-08-28,2,254517.7,0.2855,356213.61,已转订单,104
105,报价-000105,45,12,2024-08-27,1,110343.78,0.3141,160874.99,已转订单,105
106,报价-000106,1,8,2024-09-04,2,279067.0,0.1862,342900.26,已转订单,106
107,报价-000107,33,7,2024-09-07,1,176416.63,0.2272,228274.2,已转订单,107
108,报价-000108,31,30,2024-08-29,3,529823.28,0.3174,776205.25,已转订单,108
109,报价-000109,43,33,2024-09-04,2,466804.9,0.2709,640234.14,已转订单,109
110,报价-000110,80,8,2024-09-06,1,139533.5,0.2563,187630.8,已转订单,110
111,报价-000111,59,19,2024-09-08,1,121172.37,0.2412,159688.01,已转订单,111
112,报价-000112,24,35,2024-08-27,1,157550.83,0.3224,232519.89,已转订单,112
113,报价-000113,1,28,2024-08-31,4,535029.32,0.2486,712088.82,已转订单,113
114,报价-000114,61,35,2024-09-06,2,315101.66,0.2087,398204.5,已转订单,114
115,报价-000115,43,20,2024-09-01,2,371861.24,0.256,499817.47,已转订单,115
116,报价-000116,52,14,2024-08-27,1,190274.38,0.2779,263483.68,已转订单,116
117,报价-000117,68,23,2024-09-05,3,402346.05,0.2087,508456.6,已转订单,117
118,报价-000118,73,38,2024-09-09,4,741635.24,0.2261,958366.53,已转订单,118
119,报价-000119,69,37,2024-09-08,2,337160.5,0.3084,487472.88,已转订单,119
120,报价-000120,66,35,2024-08-31,1,157550.83,0.3216,232243.96,已转订单,120
121,报价-000121,80,32,2024-09-10,2,385318.2,0.3009,551144.3,已转订单,121
122,报价-000122,53,20,2024-09-12,1,185930.62,0.2048,233829.87,已转订单,122
123,报价-000123,55,12,2024-09-07,4,441375.12,0.3182,647359.91,已转订单,123
124,报价-000124,49,23,2024-09-12,5,670576.75,0.2535,898271.16,已转订单,124
125,报价-000125,25,22,2024-09-04,5,722494.9,0.2691,988533.55,已转订单,125
126,报价-000126,38,28,2024-09-09,2,267514.66,0.3367,403299.35,已转订单,126
127,报价-000127,53,33,2024-09-09,5,1167012.25,0.1845,1431013.82,已转订单,127
128,报价-000128,57,19,2024-09-12,2,242344.74,0.2592,327155.96,已转订单,128
129,报价-000129,59,13,2024-08-29,2,298992.4,0.1986,373104.69,已转订单,129
130,报价-000130,15,27,2024-09-12,2,330568.14,0.216,421654.72,已转订单,130
131,报价-000131,56,24,2024-08-31,1,89907.25,0.3366,135519.67,已转订单,131
132,报价-000132,59,26,2024-09-01,4,572641.92,0.2752,790021.4,已转订单,132
133,报价-000133,51,32,2024-09-05,2,385318.2,0.2824,536962.34,已转订单,133
134,报价-000134,77,37,2024-09-08,4,674321.0,0.2937,954717.58,已转订单,134
135,报价-000135,77,35,2024-09-11,2,315101.66,0.2068,397241.82,已转订单,135
136,报价-000136,40,4,2024-09-09,1,142521.96,0.3369,214943.12,已转订单,136
137,报价-000137,78,35,2024-09-08,1,157550.83,0.2083,198993.7,已转订单,137
138,报价-000138,35,28,2024-09-06,1,133757.33,0.2065,168572.71,已转订单,138
139,报价-000139,76,27,2024-09-10,1,165284.07,0.2156,210714.12,已转订单,139
140,报价-000140,32,19,2024-09-14,2,242344.74,0.2688,331427.86,已转订单,140
141,报价-000141,67,9,2024-09-13,2,418840.84,0.2149,533485.85,已转订单,141
142,报价-000142,1,37,2024-09-06,4,674321.0,0.2356,882161.32,已转订单,142
143,报价-000143,6,1,2024-09-17,1,276291.31,0.2642,375502.73,已转订单,143
144,报价-000144,62,26,2024-09-16,1,143160.48,0.2895,201493.56,已转订单,144
145,报价-000145,9,18,2024-09-08,3,633257.46,0.2454,839223.0,已转订单,145
146,报价-000146,3,9,2024-09-15,4,837681.68,0.3035,1202713.3,已转订单,146
147,报价-000147,71,30,2024-09-08,2,353215.52,0.3158,516234.1,已转订单,147
148,报价-000148,46,32,2024-09-04,1,192659.1,0.1938,238965.38,已转订单,148
149,报价-000149,70,9,2024-09-19,4,837681.68,0.2795,1162704.96,已转订单,149
150,报价-000150,16,1,2024-09-18,1,276291.31,0.2897,388984.09,已转订单,150
151,报价-000151,22,25,2024-09-05,4,649717.0,0.2753,896563.11,已转订单,151
152,报价-000152,22,21,2024-09-15,2,259550.0,0.2233,334178.75,已转订单,152
153,报价-000153,72,27,2024-09-05,2,330568.14,0.2265,427369.29,已转订单,153
154,报价-000154,66,4,2024-09-14,4,570087.84,0.2974,811438.74,已转订单,154
155,报价-000155,16,2,2024-09-17,4,509035.4,0.1989,635425.43,已转订单,155
156,报价-000156,5,19,2024-09-08,1,121172.37,0.2306,157491.52,已转订单,156
157,报价-000157,44,23,2024-09-10,2,268230.7,0.1926,332233.12,已转订单,157
158,报价-000158,26,10,2024-09-23,3,878811.57,0.2597,1187179.03,已转订单,158
159,报价-000159,1,33,2024-09-09,1,233402.45,0.2002,291844.12,已转订单,159
160,报价-000160,21,23,2024-09-13,3,402346.05,0.2933,569321.61,已转订单,160
161,报价-000161,26,20,2024-09-23,1,185930.62,0.2125,236104.91,已转订单,161
162,报价-000162,76,21,2024-09-15,5,648875.0,0.2322,845057.98,已转订单,162
163,报价-000163,4,28,2024-09-22,1,133757.33,0.3284,199162.88,已转订单,163
164,报价-000164,80,35,2024-09-22,3,472652.49,0.2427,624120.27,已转订单,164
165,报价-000165,74,39,2024-09-11,4,707374.88,0.2484,941155.29,已转订单,165
166,报价-000166,5,4,2024-09-18,2,285043.92,0.2138,362540.23,已转订单,166
167,报价-000167,57,21,2024-09-11,1,129775.0,0.3046,186626.39,已转订单,167
168,报价-000168,80,40,2024-09-18,4,773727.12,0.2488,1029953.13,已转订单,168
169,报价-000169,46,27,2024-09-23,5,826420.35,0.3295,1232497.5,已转订单,169
170,报价-000170,1,39,2024-09-15,3,530531.16,0.3133,772607.17,已转订单,170
171,报价-000171,38,8,2024-09-12,5,697667.5,0.2276,903248.12,已转订单,171
172,报价-000172,30,19,2024-09-20,1,121172.37,0.297,172361.04,已转订单,172
173,报价-000173,62,18,2024-09-13,1,211085.82,0.1816,257932.0,已转订单,173
174,报价-000174,79,6,2024-09-20,4,498071.8,0.251,664993.47,已转订单,174
175,报价-000175,65,36,2024-09-22,1,113597.76,0.2111,143997.72,已转订单,175
176,报价-000176,28,36,2024-09-18,1,113597.76,0.3229,167781.98,已转订单,176
177,报价-000177,17,28,2024-09-21,3,401271.99,0.296,569952.72,已转订单,177
178,报价-000178,58,33,2024-09-24,1,233402.45,0.2964,331706.28,已转订单,178
179,报价-000179,55,33,2024-09-25,2,466804.9,0.1804,569546.34,已转订单,179
180,报价-000180,35,30,2024-09-27,3,529823.28,0.241,698069.48,已转订单,180
181,报价-000181,24,8,2024-09-15,1,139533.5,0.2524,186633.04,已转订单,181
182,报价-000182,15,11,2024-09-29,1,134360.63,0.2231,172954.75,已转订单,182
183,报价-000183,17,4,2024-09-16,1,142521.96,0.2654,194025.64,已转订单,183
184,报价-000184,73,33,2024-09-19,1,233402.45,0.2379,306262.75,已转订单,184
185,报价-000185,23,18,2024-09-23,2,422171.64,0.2178,539739.83,已转订单,185
186,报价-000186,15,31,2024-09-17,3,702306.6,0.2483,934229.57,已转订单,186
187,报价-000187,56,32,2024-09-29,4,770636.4,0.2719,1058377.67,已转订单,187
188,报价-000188,79,27,2024-09-17,4,661136.28,0.2968,940133.18,已转订单,188
189,报价-000189,59,22,2024-09-20,2,288997.96,0.2041,363102.33,已转订单,189
190,报价-000190,24,26,2024-09-26,5,715802.4,0.234,934515.19,已转订单,190
191,报价-000191,58,16,2024-09-27,2,293442.64,0.3397,444390.44,已转订单,191
192,报价-000192,4,21,2024-09-24,4,519100.0,0.2563,697995.39,已转订单,192
193,报价-000193,6,36,2024-10-01,4,454391.04,0.2978,647061.42,已转订单,193
194,报价-000194,28,35,2024-09-28,5,787754.15,0.2671,1074800.93,已转订单,194
195,报价-000195,47,30,2024-09-20,1,176607.76,0.2347,230770.16,已转订单,195
196,报价-000196,80,30,2024-10-04,2,353215.52,0.2932,499710.19,已转订单,196
197,报价-000197,5,32,2024-09-25,3,577977.3,0.3383,873489.84,已转订单,197
198,报价-000198,33,2,2024-09-21,4,509035.4,0.3075,735063.18,已转订单,198
199,报价-000199,49,25,2024-10-02,5,812146.25,0.254,1088652.1,已转订单,199
200,报价-000200,78,22,2024-09-30,5,722494.9,0.2749,996396.34,已转订单,200
201,报价-000201,1,10,2024-09-28,2,585874.38,0.191,724170.27,已转订单,201
202,报价-000202,66,36,2024-09-24,3,340793.28,0.3354,512816.26,已转订单,202
203,报价-000203,61,19,2024-10-01,1,121172.37,0.1818,148098.87,已转订单,203
204,报价-000204,9,5,2024-10-07,3,569054.46,0.2202,729706.36,已转订单,204
205,报价-000205,46,4,2024-10-07,3,427565.88,0.2276,553534.88,已转订单,205
206,报价-000206,40,16,2024-10-01,5,733606.6,0.2681,1002352.34,已转订单,206
207,报价-000207,23,36,2024-10-08,2,227195.52,0.2422,299814.53,已转订单,207
208,报价-000208,54,12,2024-10-08,1,110343.78,0.3154,161190.1,已转订单,208
209,报价-000209,53,12,2024-10-09,4,441375.12,0.3242,653139.65,已转订单,209
210,报价-000210,33,36,2024-09-27,5,567988.8,0.1844,696405.37,已转订单,210
211,报价-000211,59,22,2024-10-10,1,144498.98,0.3202,212551.66,已转订单,211
212,报价-000212,46,39,2024-10-09,2,353687.44,0.3385,534643.09,已转订单,212
213,报价-000213,29,35,2024-10-01,3,472652.49,0.2412,622919.45,已转订单,213
214,报价-000214,54,4,2024-10-04,5,712609.8,0.2882,1001102.4,已转订单,214
215,报价-000215,64,33,2024-10-02,4,933609.8,0.3106,1354274.67,已转订单,215
216,报价-000216,50,33,2024-10-10,3,700207.35,0.2227,900827.11,已转订单,216
217,报价-000217,4,39,2024-10-11,3,530531.16,0.2154,676188.41,已转订单,217
218,报价-000218,20,31,2024-10-10,5,1170511.0,0.2456,1551655.95,已转订单,218
219,报价-000219,25,27,2024-10-15,3,495852.21,0.2327,646255.28,已转订单,219
220,报价-000220,24,24,2024-10-09,1,89907.25,0.2291,116619.75,已转订单,220
221,报价-000221,58,21,2024-10-06,5,648875.0,0.2758,896041.29,已转订单,221
222,报价-000222,25,5,2024-10-14,4,758739.28,0.2019,950624.95,已转订单,222
223,报价-000223,46,30,2024-10-04,2,353215.52,0.3178,517765.28,已转订单,223
224,报价-000224,35,38,2024-10-06,1,185408.81,0.3005,265077.22,已转订单,224
225,报价-000225,7,17,2024-10-16,2,416571.12,0.301,595950.95,已转订单,225
226,报价-000226,15,40,2024-10-11,1,193431.78,0.3342,290520.24,已转订单,226
227,报价-000227,36,3,2024-10-03,5,627353.5,0.2151,799279.72,已转订单,227
228,报价-000228,54,40,2024-10-16,1,193431.78,0.3149,282328.18,已转订单,228
229,报价-000229,35,8,2024-10-05,1,139533.5,0.207,175951.72,已转订单,229
230,报价-000230,37,3,2024-10-06,2,250941.4,0.2551,336871.57,已转订单,230
231,报价-000231,23,9,2024-10-14,1,209420.42,0.3097,303382.19,已转订单,231
232,报价-000232,43,37,2024-10-13,1,168580.25,0.2784,233632.73,已转订单,232
233,报价-000233,58,32,2024-10-15,2,385318.2,0.3008,551115.58,已转订单,233
234,报价-000234,48,35,2024-10-11,1,157550.83,0.2416,207733.88,已转订单,234
235,报价-000235,52,36,2024-10-09,4,454391.04,0.2883,638436.54,已转订单,235
236,报价-000236,59,40,2024-10-10,4,773727.12,0.3113,1123406.22,已转订单,236
237,报价-000237,11,24,2024-10-12,4,359629.0,0.3337,539758.3,已转订单,237
238,报价-000238,75,5,2024-10-18,2,379369.64,0.1877,467034.02,已转订单,238
239,报价-000239,52,39,2024-10-18,1,176843.72,0.2773,244704.3,已转订单,239
240,报价-000240,72,35,2024-10-10,1,157550.83,0.2428,208070.01,已转订单,240
241,报价-000241,31,14,2024-10-15,2,380548.76,0.1831,465850.59,已转订单,241
242,报价-000242,15,14,2024-10-09,2,380548.76,0.2408,501226.76,已转订单,242
243,报价-000243,20,2,2024-10-19,1,127258.85,0.3165,186174.35,已转订单,243
244,报价-000244,80,33,2024-10-15,5,1167012.25,0.1886,1438276.41,已转订单,244
245,报价-000245,21,10,2024-10-11,2,585874.38,0.2028,734899.14,已转订单,245
246,报价-000246,32,18,2024-10-15,2,422171.64,0.3092,611171.79,已转订单,246
247,报价-000247,38,25,2024-10-11,4,649717.0,0.3246,961998.56,已转订单,247
248,报价-000248,45,24,2024-10-17,1,89907.25,0.2389,118129.37,已转订单,248
249,报价-000249,75,17,2024-10-21,1,208285.56,0.217,265999.05,已转订单,249
250,报价-000250,44,7,2024-10-17,5,882083.15,0.3188,1294919.94,已转订单,250
251,报价-000251,38,13,2024-10-10,2,298992.4,0.2733,411413.28,已转订单,251
252,报价-000252,76,29,2024-10-12,4,675135.36,0.2717,926982.94,已转订单,252
253,报价-000253,47,4,2024-10-12,1,142521.96,0.2081,179980.94,已转订单,253
254,报价-000254,9,20,2024-10-15,3,557791.86,0.2768,771241.84,已转订单,254
255,报价-000255,80,32,2024-10-19,1,192659.1,0.304,276804.66,已转订单,255
256,报价-000256,59,32,2024-10-15,2,385318.2,0.227,498444.43,已转订单,256
257,报价-000257,13,39,2024-10-17,4,707374.88,0.2964,1005340.67,已转订单,257
258,报价-000258,69,22,2024-10-23,1,144498.98,0.3094,209241.48,已转订单,258
259,报价-000259,41,1,2024-10-14,2,552582.62,0.3033,793094.73,已转订单,259
260,报价-000260,20,23,2024-10-26,5,670576.75,0.2993,957009.35,已转订单,260
261,报价-000261,43,36,2024-10-22,2,227195.52,0.3349,341594.1,已转订单,261
262,报价-000262,37,31,2024-10-23,5,1170511.0,0.2324,1524916.39,已转订单,262
263,报价-000263,43,4,2024-10-18,4,570087.84,0.2843,796515.24,已转订单,263
264,报价-000264,13,32,2024-10-20,2,385318.2,0.2348,503572.48,已转订单,264
265,报价-000265,57,18,2024-10-18,2,422171.64,0.2664,575445.69,已转订单,265
266,报价-000266,55,22,2024-10-28,2,288997.96,0.2696,395668.9,已转订单,266
267,报价-000267,30,37,2024-10-25,1,168580.25,0.2196,216018.7,已转订单,267
268,报价-000268,58,27,2024-10-30,1,165284.07,0.2576,222626.62,已转订单,268
269,报价-000269,11,34,2024-10-17,1,196710.36,0.2291,255180.49,已转订单,269
270,报价-000270,51,22,2024-10-28,1,144498.98,0.2353,188963.8,已转订单,270
271,报价-000271,61,9,2024-10-25,3,628261.26,0.3246,930263.22,已转订单,271
272,报价-000272,31,17,2024-10-25,2,416571.12,0.2645,566392.42,已转订单,272
273,报价-000273,64,1,2024-10-18,1,276291.31,0.3071,398766.91,已转订单,273
274,报价-000274,23,8,2024-10-21,2,279067.0,0.1926,345654.65,已转订单,274
275,报价-000275,21,36,2024-10-24,2,227195.52,0.257,305797.52,已转订单,275
276,报价-000276,57,40,2024-10-28,3,580295.34,0.2469,770499.68,已转订单,276
277,报价-000277,9,14,2024-11-04,2,380548.76,0.2522,508914.85,已转订单,277
278,报价-000278,36,26,2024-11-03,5,715802.4,0.3038,1028208.45,已转订单,278
279,报价-000279,34,15,2024-10-31,4,686598.56,0.2773,950000.69,已转订单,279
280,报价-000280,74,6,2024-10-22,3,373553.85,0.2621,506227.82,已转订单,280
281,报价-000281,69,7,2024-10-23,4,705666.52,0.2477,938062.27,已转订单,281
282,报价-000282,47,11,2024-10-26,1,134360.63,0.1882,165519.31,已转订单,282
283,报价-000283,67,31,2024-10-22,5,1170511.0,0.2309,1521860.43,已转订单,283
284,报价-000284,6,21,2024-10-23,3,389325.0,0.2583,524890.63,已转订单,284
285,报价-000285,64,17,2024-10-23,5,1041427.8,0.2742,1434908.47,已转订单,285
286,报价-000286,78,21,2024-10-30,1,129775.0,0.1842,159069.88,已转订单,286
287,报价-000287,45,18,2024-10-23,4,844343.28,0.329,1258422.91,已转订单,287
288,报价-000288,23,23,2024-11-08,3,402346.05,0.192,497948.61,已转订单,288
289,报价-000289,25,37,2024-10-27,2,337160.5,0.2013,422141.51,已转订单,289
290,报价-000290,16,28,2024-10-27,4,535029.32,0.3066,771585.78,已转订单,290
291,报价-000291,2,26,2024-10-29,1,143160.48,0.1899,176716.59,已转订单,291
292,报价-000292,46,4,2024-11-07,1,142521.96,0.219,182485.91,已转订单,292
293,报价-000293,49,9,2024-10-30,2,418840.84,0.2593,565454.93,已转订单,293
294,报价-000294,16,29,2024-11-07,1,168783.84,0.3352,253872.03,已转订单,294
295,报价-000295,64,26,2024-10-27,2,286320.96,0.2513,382410.36,已转订单,295
296,报价-000296,45,38,2024-10-28,1,185408.81,0.33,276747.02,已转订单,296
297,报价-000297,64,30,2024-11-10,5,883038.8,0.1875,1086881.47,已转订单,297
298,报价-000298,57,24,2024-11-03,1,89907.25,0.3328,134753.88,已转订单,298
299,报价-000299,55,33,2024-11-06,1,233402.45,0.3205,343475.53,已转订单,299
300,报价-000300,2,17,2024-11-07,2,416571.12,0.335,626442.08,已转订单,300
301,报价-000301,66,3,2024-11-09,4,501882.8,0.2894,706327.47,已转订单,301
302,报价-000302,7,36,2024-11-10,4,454391.04,0.2289,589251.43,已转订单,302
303,报价-000303,62,36,2024-11-10,3,340793.28,0.2533,456406.07,已转订单,303
304,报价-000304,23,12,2024-10-30,1,110343.78,0.3123,160457.88,已转订单,304
305,报价-000305,19,23,2024-11-03,2,268230.7,0.3074,387304.37,已转订单,305
306,报价-000306,18,10,2024-11-05,4,1171748.76,0.1972,1459570.53,已转订单,306
307,报价-000307,49,40,2024-11-08,4,773727.12,0.2111,980730.69,已转订单,307
308,报价-000308,44,22,2024-11-09,1,144498.98,0.3171,211590.32,已转订单,308
309,报价-000309,7,24,2024-11-08,3,269721.75,0.3258,400056.55,已转订单,309
310,报价-000310,7,6,2024-11-12,2,249035.9,0.2031,312491.41,已转订单,310
311,报价-000311,55,40,2024-11-04,2,386863.56,0.2482,514579.34,已转订单,311
312,报价-000312,43,7,2024-11-04,1,176416.63,0.2894,248252.6,已转订单,312
313,报价-000313,50,28,2024-11-01,1,133757.33,0.1866,164436.61,已转订单,313
314,报价-000314,18,9,2024-11-02,1,209420.42,0.2039,263043.72,已转订单,314
315,报价-000315,50,19,2024-11-10,5,605861.85,0.3346,910465.86,已转订单,315
316,报价-000316,22,8,2024-11-07,1,139533.5,0.3087,201827.66,已转订单,316
317,报价-000317,72,21,2024-11-05,5,648875.0,0.2749,894831.6,已转订单,317
318,报价-000318,32,12,2024-11-09,4,441375.12,0.2758,609459.28,已转订单,318
319,报价-000319,8,16,2024-11-05,3,440163.96,0.2922,621875.49,已转订单,319
320,报价-000320,29,17,2024-11-08,2,416571.12,0.2075,525668.01,已转订单,320
321,报价-000321,61,8,2024-11-14,1,139533.5,0.2491,185823.39,已转订单,321
322,报价-000322,17,8,2024-11-06,2,279067.0,0.2935,395010.95,已转订单,322
