material_requirement_id,production_order_id,material_id,required_date,required_qty,issued_qty,shortage_qty,is_critical,status
166,10,108,2024-08-10,640.3726,640.3726,0.0,0,已满足
167,10,110,2024-08-10,21,21,0,0,已满足
168,11,1,2024-08-11,1835.82,1835.82,0.0,1,已满足
169,11,12,2024-08-11,255.3111,255.3111,0.0,1,已满足
170,11,26,2024-08-11,310.4319,310.4319,0.0,1,已满足
171,11,34,2024-08-11,206.1176,206.1176,0.0,0,已满足
172,11,37,2024-08-11,8,8,0,0,已满足
173,11,39,2024-08-11,21,21,0,1,已满足
174,11,46,2024-08-11,10,10,0,0,已满足
175,11,54,2024-08-11,31,31,0,0,已满足
176,11,58,2024-08-11,225.7464,225.7464,0.0,1,已满足
177,11,70,2024-08-11,13,13,0,1,已满足
178,11,78,2024-08-11,36,36,0,0,已满足
179,11,79,2024-08-11,21,21,0,1,已满足
180,11,81,2024-08-11,24,24,0,0,已满足
181,11,86,2024-08-11,35,35,0,1,已满足
182,11,110,2024-08-11,12,12,0,0,已满足
183,11,116,2024-08-11,326.5755,326.5755,0.0,1,已满足
184,12,16,2024-08-11,3,3,0,0,已满足
185,12,20,2024-08-11,60.4985,60.4985,0.0,0,已满足
186,12,29,2024-08-11,12,12,0,0,已满足
187,12,37,2024-08-11,10,10,0,0,已满足
188,12,49,2024-08-11,15,15,0,0,已满足
189,12,73,2024-08-11,6,6,0,0,已满足
190,12,75,2024-08-11,129.1288,129.1288,0.0,0,已满足
191,12,76,2024-08-11,121.2935,121.2935,0.0,0,已满足
192,12,79,2024-08-11,5,5,0,1,已满足
193,12,81,2024-08-11,6,6,0,0,已满足
194,12,85,2024-08-11,18,18,0,1,已满足
195,12,97,2024-08-11,17,17,0,0,已满足
196,12,107,2024-08-11,151.2887,151.2887,0.0,1,已满足
197,12,113,2024-08-11,6,6,0,0,已满足
198,12,119,2024-08-11,6,6,0,1,已满足
199,13,12,2024-08-12,65.4356,65.4356,0.0,1,已满足
200,13,33,2024-08-12,13,13,0,1,已满足
201,13,35,2024-08-12,58.1656,58.1656,0.0,0,已满足
202,13,44,2024-08-12,96.1755,96.1755,0.0,0,已满足
203,13,59,2024-08-12,60.8535,60.8535,0.0,1,已满足
204,13,61,2024-08-12,13,13,0,1,已满足
205,13,63,2024-08-12,7,7,0,0,已满足
206,13,75,2024-08-12,115.3205,115.3205,0.0,0,已满足
207,13,92,2024-08-12,112.0894,112.0894,0.0,0,已满足
208,13,94,2024-08-12,12,12,0,1,已满足
209,13,95,2024-08-12,17,17,0,0,已满足
210,13,105,2024-08-12,12,12,0,0,已满足
211,13,112,2024-08-12,4,4,0,1,已满足
212,13,115,2024-08-12,18.1703,18.1703,0.0,0,已满足
213,13,116,2024-08-12,98.9948,98.9948,0.0,1,已满足
214,13,119,2024-08-12,9,9,0,1,已满足
215,14,6,2024-08-12,5,5,0,0,已满足
216,14,10,2024-08-12,153.4368,153.4368,0.0,0,已满足
217,14,19,2024-08-12,59.2794,59.2794,0.0,0,已满足
218,14,24,2024-08-12,9,9,0,0,已满足
219,14,31,2024-08-12,10,10,0,1,已满足
220,14,45,2024-08-12,21,21,0,1,已满足
221,14,46,2024-08-12,35,35,0,0,已满足
222,14,49,2024-08-12,14,14,0,0,已满足
223,14,57,2024-08-12,34,34,0,0,已满足
224,14,64,2024-08-12,10,10,0,1,已满足
225,14,70,2024-08-12,21,21,0,1,已满足
226,14,72,2024-08-12,11,11,0,0,已满足
227,14,73,2024-08-12,13,13,0,0,已满足
228,14,76,2024-08-12,278.8924,278.8924,0.0,0,已满足
229,14,81,2024-08-12,21,21,0,0,已满足
230,14,83,2024-08-12,318.4089,318.4089,0.0,0,已满足
231,14,93,2024-08-12,11,11,0,0,已满足
232,14,106,2024-08-12,151.5167,151.5167,0.0,0,已满足
233,15,13,2024-08-12,50,50,0,1,已满足
234,15,14,2024-08-12,14,14,0,1,已满足
235,15,17,2024-08-12,11,11,0,0,已满足
236,15,19,2024-08-12,698.3496,698.3496,0.0,0,已满足
237,15,42,2024-08-12,734.6467,734.6467,0.0,1,已满足
238,15,46,2024-08-12,54,54,0,0,已满足
239,15,49,2024-08-12,37,37,0,0,已满足
240,15,64,2024-08-12,53,53,0,1,已满足
241,15,66,2024-08-12,194.8574,194.8574,0.0,0,已满足
242,15,73,2024-08-12,24,24,0,0,已满足
243,15,80,2024-08-12,75,75,0,0,已满足
244,15,92,2024-08-12,76.5211,76.5211,0.0,0,已满足
245,15,93,2024-08-12,85,85,0,0,已满足
246,15,95,2024-08-12,31,31,0,0,已满足
247,15,99,2024-08-12,112.5496,112.5496,0.0,0,已满足
248,15,118,2024-08-12,9,9,0,1,已满足
249,16,3,2024-08-13,117.8569,117.8569,0.0,0,已满足
250,16,4,2024-08-13,163.6717,163.6717,0.0,1,已满足
251,16,29,2024-08-13,18,18,0,0,已满足
252,16,37,2024-08-13,7,7,0,0,已满足
253,16,46,2024-08-13,14,14,0,0,已满足
254,16,52,2024-08-13,158.0083,158.0083,0.0,0,已满足
255,16,53,2024-08-13,5,5,0,0,已满足
256,16,58,2024-08-13,102.2473,102.2473,0.0,1,已满足
257,16,67,2024-08-13,36.9793,36.9793,0.0,1,已满足
258,16,83,2024-08-13,130.9113,130.9113,0.0,0,已满足
259,16,89,2024-08-13,7,7,0,0,已满足
260,16,92,2024-08-13,46.6845,46.6845,0.0,0,已满足
261,16,97,2024-08-13,13,13,0,0,已满足
262,16,101,2024-08-13,18,18,0,0,已满足
263,16,115,2024-08-13,34.3056,34.3056,0.0,0,已满足
264,16,116,2024-08-13,158.4397,158.4397,0.0,1,已满足
265,17,3,2024-08-13,117.8569,117.8569,0.0,0,已满足
266,17,4,2024-08-13,163.6717,163.6717,0.0,1,已满足
267,17,29,2024-08-13,18,18,0,0,已满足
268,17,37,2024-08-13,7,7,0,0,已满足
269,17,46,2024-08-13,14,14,0,0,已满足
270,17,52,2024-08-13,158.0083,158.0083,0.0,0,已满足
271,17,53,2024-08-13,5,5,0,0,已满足
272,17,58,2024-08-13,102.2473,102.2473,0.0,1,已满足
273,17,67,2024-08-13,36.9793,36.9793,0.0,1,已满足
274,17,83,2024-08-13,130.9113,130.9113,0.0,0,已满足
275,17,89,2024-08-13,7,7,0,0,已满足
276,17,92,2024-08-13,46.6845,46.6845,0.0,0,已满足
277,17,97,2024-08-13,13,13,0,0,已满足
278,17,101,2024-08-13,18,18,0,0,已满足
279,17,115,2024-08-13,34.3056,34.3056,0.0,0,已满足
280,17,116,2024-08-13,158.4397,158.4397,0.0,1,已满足
281,18,6,2024-08-13,6,6,0,0,已满足
282,18,10,2024-08-13,106.8419,106.8419,0.0,0,已满足
283,18,16,2024-08-13,15,15,0,0,已满足
284,18,26,2024-08-13,159.0698,159.0698,0.0,1,已满足
285,18,33,2024-08-13,14,14,0,1,已满足
286,18,35,2024-08-13,61.6178,61.6178,0.0,0,已满足
287,18,39,2024-08-13,12,12,0,1,已满足
288,18,49,2024-08-13,11,11,0,0,已满足
289,18,61,2024-08-13,14,14,0,1,已满足
290,18,78,2024-08-13,9,9,0,0,已满足
291,18,80,2024-08-13,16,16,0,0,已满足
292,18,87,2024-08-13,13,13,0,0,已满足
293,18,94,2024-08-13,12,12,0,1,已满足
294,18,104,2024-08-13,13,13,0,0,已满足
295,18,105,2024-08-13,12,12,0,0,已满足
296,18,109,2024-08-13,6,6,0,0,已满足
297,18,110,2024-08-13,9,9,0,0,已满足
298,19,25,2024-08-13,10,10,0,0,已满足
299,19,29,2024-08-13,2,2,0,0,已满足
300,19,34,2024-08-13,156.7229,156.7229,0.0,0,已满足
301,19,39,2024-08-13,8,8,0,1,已满足
302,19,40,2024-08-13,9,9,0,1,已满足
303,19,45,2024-08-13,5,5,0,1,已满足
304,19,46,2024-08-13,10,10,0,0,已满足
305,19,57,2024-08-13,8,8,0,0,已满足
306,19,59,2024-08-13,95.2354,95.2354,0.0,1,已满足
307,19,62,2024-08-13,7,7,0,0,已满足
308,19,64,2024-08-13,12,12,0,1,已满足
309,19,74,2024-08-13,111.0222,111.0222,0.0,1,已满足
310,19,92,2024-08-13,60.0315,60.0315,0.0,0,已满足
311,19,97,2024-08-13,13,13,0,0,已满足
312,19,100,2024-08-13,52.2241,52.2241,0.0,1,已满足
313,19,110,2024-08-13,4,4,0,0,已满足
314,19,117,2024-08-13,3,3,0,0,已满足
315,19,119,2024-08-13,11,11,0,1,已满足
316,20,16,2024-08-14,5,5,0,0,已满足
317,20,20,2024-08-14,120.997,120.997,0.0,0,已满足
318,20,29,2024-08-14,23,23,0,0,已满足
319,20,37,2024-08-14,20,20,0,0,已满足
320,20,49,2024-08-14,30,30,0,0,已满足
321,20,73,2024-08-14,11,11,0,0,已满足
322,20,75,2024-08-14,258.2576,258.2576,0.0,0,已满足
323,20,76,2024-08-14,242.587,242.587,0.0,0,已满足
324,20,79,2024-08-14,9,9,0,1,已满足
325,20,81,2024-08-14,11,11,0,0,已满足
326,20,85,2024-08-14,36,36,0,1,已满足
327,20,97,2024-08-14,33,33,0,0,已满足
328,20,107,2024-08-14,302.5773,302.5773,0.0,1,已满足
329,20,113,2024-08-14,11,11,0,0,已满足
330,20,119,2024-08-14,11,11,0,1,已满足
331,21,4,2024-08-15,145.8266,145.8266,0.0,1,已满足
332,21,15,2024-08-15,3,3,0,0,已满足
333,21,27,2024-08-15,55.3156,55.3156,0.0,0,已满足
334,21,29,2024-08-15,11,11,0,0,已满足
335,21,35,2024-08-15,160.2166,160.2166,0.0,0,已满足
336,21,36,2024-08-15,72.6475,72.6475,0.0,0,已满足
337,21,48,2024-08-15,15,15,0,0,已满足
338,21,52,2024-08-15,120.9221,120.9221,0.0,0,已满足
339,21,66,2024-08-15,155.9564,155.9564,0.0,0,已满足
340,21,77,2024-08-15,14,14,0,1,已满足
341,21,84,2024-08-15,158.4204,158.4204,0.0,1,已满足
342,21,90,2024-08-15,41.0504,41.0504,0.0,0,已满足
343,21,91,2024-08-15,16.7823,16.7823,0.0,0,已满足
344,21,93,2024-08-15,12,12,0,0,已满足
345,21,95,2024-08-15,16,16,0,0,已满足
346,21,97,2024-08-15,11,11,0,0,已满足
347,21,99,2024-08-15,69.2032,69.2032,0.0,0,已满足
348,21,118,2024-08-15,10,10,0,1,已满足
349,22,8,2024-08-15,10,10,0,0,已满足
350,22,10,2024-08-15,74.8504,74.8504,0.0,0,已满足
351,22,11,2024-08-15,106.6863,106.6863,0.0,1,已满足
352,22,18,2024-08-15,117.4229,117.4229,0.0,1,已满足
353,22,20,2024-08-15,75.6121,75.6121,0.0,0,已满足
354,22,21,2024-08-15,13,13,0,1,已满足
355,22,31,2024-08-15,9,9,0,1,已满足
356,22,35,2024-08-15,43.839,43.839,0.0,0,已满足
357,22,48,2024-08-15,4,4,0,0,已满足
358,22,51,2024-08-15,149.4146,149.4146,0.0,0,已满足
359,22,71,2024-08-15,5,5,0,0,已满足
360,22,78,2024-08-15,6,6,0,0,已满足
361,22,79,2024-08-15,7,7,0,1,已满足
362,22,86,2024-08-15,12,12,0,1,已满足
363,22,95,2024-08-15,14,14,0,0,已满足
364,22,108,2024-08-15,128.0745,128.0745,0.0,0,已满足
365,22,110,2024-08-15,5,5,0,0,已满足
366,23,12,2024-08-15,67.4309,67.4309,0.0,1,已满足
367,23,18,2024-08-15,217.5911,217.5911,0.0,1,已满足
368,23,20,2024-08-15,311.4288,311.4288,0.0,0,已满足
369,23,23,2024-08-15,24,24,0,0,已满足
370,23,24,2024-08-15,16,16,0,0,已满足
371,23,39,2024-08-15,16,16,0,1,已满足
372,23,47,2024-08-15,3,3,0,0,已满足
373,23,48,2024-08-15,13,13,0,0,已满足
374,23,53,2024-08-15,11,11,0,0,已满足
375,23,60,2024-08-15,72.8361,72.8361,0.0,0,已满足
376,23,78,2024-08-15,7,7,0,0,已满足
377,23,86,2024-08-15,14,14,0,1,已满足
378,23,88,2024-08-15,29,29,0,0,已满足
379,23,89,2024-08-15,15,15,0,0,已满足
380,23,92,2024-08-15,184.7611,184.7611,0.0,0,已满足
381,23,93,2024-08-15,6,6,0,0,已满足
382,23,114,2024-08-15,37.3293,37.3293,0.0,1,已满足
383,23,116,2024-08-15,34.3742,34.3742,0.0,1,已满足
384,23,117,2024-08-15,23,23,0,0,已满足
385,24,16,2024-08-16,5,5,0,0,已满足
386,24,20,2024-08-16,120.997,120.997,0.0,0,已满足
387,24,29,2024-08-16,23,23,0,0,已满足
388,24,37,2024-08-16,20,20,0,0,已满足
389,24,49,2024-08-16,30,30,0,0,已满足
390,24,73,2024-08-16,11,11,0,0,已满足
391,24,75,2024-08-16,258.2576,258.2576,0.0,0,已满足
392,24,76,2024-08-16,242.587,242.587,0.0,0,已满足
393,24,79,2024-08-16,9,9,0,1,已满足
394,24,81,2024-08-16,11,11,0,0,已满足
395,24,85,2024-08-16,36,36,0,1,已满足
396,24,97,2024-08-16,33,33,0,0,已满足
397,24,107,2024-08-16,302.5773,302.5773,0.0,1,已满足
398,24,113,2024-08-16,11,11,0,0,已满足
399,24,119,2024-08-16,11,11,0,1,已满足
400,25,7,2024-08-16,61,61,0,0,已满足
401,25,18,2024-08-16,228.5345,228.5345,0.0,1,已满足
402,25,29,2024-08-16,20,20,0,0,已满足
403,25,47,2024-08-16,14,14,0,0,已满足
404,25,57,2024-08-16,47,47,0,0,已满足
405,25,58,2024-08-16,526.0217,526.0217,0.0,1,已满足
406,25,61,2024-08-16,19,19,0,1,已满足
407,25,63,2024-08-16,43,43,0,0,已满足
408,25,65,2024-08-16,9,9,0,0,已满足
409,25,68,2024-08-16,327.3579,327.3579,0.0,0,已满足
410,25,71,2024-08-16,24,24,0,0,已满足
411,25,78,2024-08-16,27,27,0,0,已满足
412,25,86,2024-08-16,7,7,0,1,已满足
413,25,97,2024-08-16,64,64,0,0,已满足
414,25,106,2024-08-16,103.3728,103.3728,0.0,0,已满足
415,25,107,2024-08-16,496.342,496.342,0.0,1,已满足
416,25,118,2024-08-16,46,46,0,1,已满足
417,25,119,2024-08-16,20,20,0,1,已满足
418,25,120,2024-08-16,41,41,0,0,已满足
419,26,28,2024-08-16,315.3281,315.3281,0.0,0,已满足
420,26,40,2024-08-16,30,30,0,1,已满足
421,26,50,2024-08-16,130.362,130.362,0.0,1,已满足
422,26,58,2024-08-16,306.3273,306.3273,0.0,1,已满足
423,26,61,2024-08-16,24,24,0,1,已满足
424,26,62,2024-08-16,31,31,0,0,已满足
425,26,65,2024-08-16,27,27,0,0,已满足
426,26,83,2024-08-16,263.9291,263.9291,0.0,0,已满足
427,26,84,2024-08-16,52.6049,52.6049,0.0,1,已满足
428,26,91,2024-08-16,224.8621,224.8621,0.0,0,已满足
429,26,92,2024-08-16,229.3092,229.3092,0.0,0,已满足
430,26,108,2024-08-16,212.8492,212.8492,0.0,0,已满足
431,26,110,2024-08-16,31,31,0,0,已满足
432,26,114,2024-08-16,246.4604,246.4604,0.0,1,已满足
433,26,116,2024-08-16,21.2527,21.2527,0.0,1,已满足
434,27,25,2024-08-17,30,30,0,0,已满足
435,27,29,2024-08-17,5,5,0,0,已满足
436,27,34,2024-08-17,470.1688,470.1688,0.0,0,已满足
437,27,39,2024-08-17,23,23,0,1,已满足
438,27,40,2024-08-17,25,25,0,1,已满足
439,27,45,2024-08-17,15,15,0,1,已满足
440,27,46,2024-08-17,28,28,0,0,已满足
441,27,57,2024-08-17,22,22,0,0,已满足
442,27,59,2024-08-17,285.7062,285.7062,0.0,1,已满足
443,27,62,2024-08-17,21,21,0,0,已满足
444,27,64,2024-08-17,36,36,0,1,已满足
445,27,74,2024-08-17,333.0665,333.0665,0.0,1,已满足
446,27,92,2024-08-17,180.0944,180.0944,0.0,0,已满足
447,27,97,2024-08-17,39,39,0,0,已满足
448,27,100,2024-08-17,156.6723,156.6723,0.0,1,已满足
449,27,110,2024-08-17,10,10,0,0,已满足
450,27,117,2024-08-17,7,7,0,0,已满足
451,27,119,2024-08-17,31,31,0,1,已满足
452,28,10,2024-08-17,91.1875,91.1875,0.0,0,已满足
453,28,16,2024-08-17,7,7,0,0,已满足
454,28,23,2024-08-17,44,44,0,0,已满足
455,28,26,2024-08-17,84.9175,84.9175,0.0,1,已满足
456,28,30,2024-08-17,24,24,0,0,已满足
457,28,31,2024-08-17,42,42,0,1,已满足
458,28,42,2024-08-17,412.7902,412.7902,0.0,1,已满足
459,28,49,2024-08-17,5,5,0,0,已满足
460,28,53,2024-08-17,47,47,0,0,已满足
461,28,63,2024-08-17,26,26,0,0,已满足
462,28,68,2024-08-17,71.7903,71.7903,0.0,0,已满足
463,28,70,2024-08-17,18,18,0,1,已满足
464,28,77,2024-08-17,40,40,0,1,已满足
465,28,92,2024-08-17,416.2186,416.2186,0.0,0,已满足
466,28,95,2024-08-17,41,41,0,0,已满足
467,28,108,2024-08-17,39.2963,39.2963,0.0,0,已满足
468,28,118,2024-08-17,36,36,0,1,已满足
469,29,6,2024-08-17,5,5,0,0,已满足
470,29,10,2024-08-17,153.4368,153.4368,0.0,0,已满足
471,29,19,2024-08-17,59.2794,59.2794,0.0,0,已满足
472,29,24,2024-08-17,9,9,0,0,已满足
473,29,31,2024-08-17,10,10,0,1,已满足
474,29,45,2024-08-17,21,21,0,1,已满足
475,29,46,2024-08-17,35,35,0,0,已满足
476,29,49,2024-08-17,14,14,0,0,已满足
477,29,57,2024-08-17,34,34,0,0,已满足
478,29,64,2024-08-17,10,10,0,1,已满足
479,29,70,2024-08-17,21,21,0,1,已满足
480,29,72,2024-08-17,11,11,0,0,已满足
481,29,73,2024-08-17,13,13,0,0,已满足
482,29,76,2024-08-17,278.8924,278.8924,0.0,0,已满足
483,29,81,2024-08-17,21,21,0,0,已满足
484,29,83,2024-08-17,318.4089,318.4089,0.0,0,已满足
485,29,93,2024-08-17,11,11,0,0,已满足
486,29,106,2024-08-17,151.5167,151.5167,0.0,0,已满足
487,30,4,2024-08-17,98.6318,98.6318,0.0,1,已满足
488,30,33,2024-08-17,16,16,0,1,已满足
489,30,49,2024-08-17,14,14,0,0,已满足
490,30,54,2024-08-17,9,9,0,0,已满足
491,30,65,2024-08-17,14,14,0,0,已满足
492,30,67,2024-08-17,115.0264,115.0264,0.0,1,已满足
493,30,68,2024-08-17,82.6614,82.6614,0.0,0,已满足
494,30,74,2024-08-17,112.0635,112.0635,0.0,1,已满足
495,30,83,2024-08-17,150.7162,150.7162,0.0,0,已满足
496,30,91,2024-08-17,50.212,50.212,0.0,0,已满足
497,30,98,2024-08-17,28.3911,28.3911,0.0,1,已满足
