ar_snapshot_id,snapshot_date,customer_id,invoice_id,invoice_amount,paid_amount,outstanding_amount,due_date,overdue_days,aging_bucket,risk_level
63,2026-07-01,2,63,937148.84,937148.84,0.0,2025-02-28,0,1-30天,低
64,2026-07-01,9,64,1089055.85,1089055.85,0.0,2025-01-04,0,1-30天,低
65,2026-07-01,40,65,1189924.4,1189924.4,0.0,2025-02-04,0,1-30天,低
66,2026-07-01,2,66,743935.4,743935.4,0.0,2025-01-16,0,1-30天,低
67,2026-07-01,79,67,201047.26,201047.26,0.0,2025-02-16,0,1-30天,低
68,2026-07-01,4,68,249022.55,249022.55,0.0,2024-12-31,0,1-30天,低
69,2026-07-01,62,69,242031.73,193625.38,48406.35,2025-02-04,512,90天以上,高
70,2026-07-01,34,70,286523.48,229218.78,57304.7,2025-01-06,541,90天以上,高
71,2026-07-01,44,71,438033.52,438033.52,0.0,2024-12-22,0,1-30天,低
72,2026-07-01,69,72,252210.82,252210.82,0.0,2024-12-06,0,1-30天,低
73,2026-07-01,80,73,349246.96,0.0,349246.96,2025-03-23,465,90天以上,高
74,2026-07-01,58,74,179349.85,179349.85,0.0,2025-01-27,0,1-30天,低
75,2026-07-01,40,75,1246923.5,0.0,1246923.5,2025-02-05,511,90天以上,高
76,2026-07-01,6,76,203372.08,203372.08,0.0,2024-12-31,0,1-30天,低
77,2026-07-01,47,77,421747.96,0.0,421747.96,2025-02-28,488,90天以上,高
78,2026-07-01,53,78,348932.46,348932.46,0.0,2025-02-11,0,1-30天,低
79,2026-07-01,66,79,721043.04,721043.04,0.0,2025-02-10,0,1-30天,低
80,2026-07-01,57,80,1276059.0,1276059.0,0.0,2025-01-27,0,1-30天,低
81,2026-07-01,77,81,257777.15,257777.15,0.0,2025-02-09,0,1-30天,低
82,2026-07-01,67,82,724737.72,724737.72,0.0,2025-01-25,0,1-30天,低
83,2026-07-01,28,83,245399.98,245399.98,0.0,2025-02-15,0,1-30天,低
84,2026-07-01,27,84,796993.44,796993.44,0.0,2024-12-17,0,1-30天,低
85,2026-07-01,65,85,377344.48,377344.48,0.0,2025-01-14,0,1-30天,低
86,2026-07-01,46,86,619146.51,619146.51,0.0,2025-03-10,0,1-30天,低
87,2026-07-01,71,87,445643.91,445643.91,0.0,2025-01-30,0,1-30天,低
88,2026-07-01,34,88,565805.58,565805.58,0.0,2025-02-04,0,1-30天,低
89,2026-07-01,62,89,1072942.7,1072942.7,0.0,2025-02-02,0,1-30天,低
90,2026-07-01,66,90,302711.57,302711.57,0.0,2025-02-02,0,1-30天,低
91,2026-07-01,15,91,301631.66,241305.33,60326.33,2025-03-18,470,90天以上,高
92,2026-07-01,65,92,186274.97,186274.97,0.0,2025-01-05,0,1-30天,低
93,2026-07-01,48,93,482723.73,482723.73,0.0,2025-04-06,0,1-30天,低
94,2026-07-01,27,94,332561.96,332561.96,0.0,2025-01-05,0,1-30天,低
95,2026-07-01,36,95,356213.6,356213.6,0.0,2025-01-25,0,1-30天,低
96,2026-07-01,45,96,160874.99,160874.99,0.0,2025-02-10,0,1-30天,低
97,2026-07-01,33,97,228274.2,228274.2,0.0,2025-01-10,0,1-30天,低
98,2026-07-01,31,98,776205.24,776205.24,0.0,2025-02-13,0,1-30天,低
99,2026-07-01,43,99,640234.14,0.0,640234.14,2024-12-18,560,90天以上,高
100,2026-07-01,80,100,187630.8,0.0,187630.8,2025-04-19,438,90天以上,高
101,2026-07-01,24,101,232519.89,232519.89,0.0,2025-01-21,0,1-30天,低
102,2026-07-01,1,102,712088.8,712088.8,0.0,2025-01-02,0,1-30天,低
103,2026-07-01,61,103,398204.5,398204.5,0.0,2025-01-20,0,1-30天,低
104,2026-07-01,43,104,499817.46,499817.46,0.0,2025-01-07,0,1-30天,低
105,2026-07-01,69,105,487472.88,487472.88,0.0,2025-01-02,0,1-30天,低
106,2026-07-01,66,106,232243.96,232243.96,0.0,2025-01-23,0,1-30天,低
107,2026-07-01,80,107,551144.3,551144.3,0.0,2025-04-09,0,1-30天,低
108,2026-07-01,53,108,233829.87,233829.87,0.0,2025-01-31,0,1-30天,低
109,2026-07-01,49,109,898271.15,898271.15,0.0,2025-03-13,0,1-30天,低
110,2026-07-01,25,110,988533.55,0.0,988533.55,2025-02-08,508,90天以上,高
111,2026-07-01,38,111,403299.36,403299.36,0.0,2025-01-24,0,1-30天,低
112,2026-07-01,53,112,1431013.8,1431013.8,0.0,2025-01-19,0,1-30天,低
113,2026-07-01,57,113,327155.96,327155.96,0.0,2025-03-16,0,1-30天,低
114,2026-07-01,59,114,373104.68,373104.68,0.0,2025-02-15,0,1-30天,低
115,2026-07-01,15,115,421654.72,421654.72,0.0,2025-03-26,0,1-30天,低
116,2026-07-01,56,116,135519.67,67759.84,67759.83,2025-02-03,513,90天以上,高
117,2026-07-01,59,117,790021.4,790021.4,0.0,2025-04-26,0,1-30天,低
118,2026-07-01,51,118,536962.34,0.0,536962.34,2025-03-14,474,90天以上,高
119,2026-07-01,40,119,214943.12,0.0,214943.12,2025-01-29,518,90天以上,高
120,2026-07-01,78,120,198993.7,198993.7,0.0,2025-02-11,0,1-30天,低
121,2026-07-01,35,121,168572.71,168572.71,0.0,2025-04-08,0,1-30天,低
122,2026-07-01,76,122,210714.12,210714.12,0.0,2025-02-11,0,1-30天,低
123,2026-07-01,32,123,331427.86,331427.86,0.0,2025-04-23,0,1-30天,低
124,2026-07-01,67,124,533485.86,533485.86,0.0,2025-03-03,0,1-30天,低
125,2026-07-01,1,125,882161.32,882161.32,0.0,2024-12-27,0,1-30天,低
126,2026-07-01,6,126,375502.73,375502.73,0.0,2025-02-03,0,1-30天,低
127,2026-07-01,62,127,201493.56,100746.78,100746.78,2025-02-25,491,90天以上,高
128,2026-07-01,9,128,839223.0,839223.0,0.0,2024-12-25,0,1-30天,低
129,2026-07-01,3,129,1202713.32,1202713.32,0.0,2025-02-09,0,1-30天,低
130,2026-07-01,71,130,516234.1,516234.1,0.0,2025-02-02,0,1-30天,低
131,2026-07-01,46,131,238965.38,238965.38,0.0,2025-01-28,0,1-30天,低
132,2026-07-01,70,132,1162704.96,1162704.96,0.0,2025-03-17,0,1-30天,低
133,2026-07-01,16,133,388984.09,194492.05,194492.04,2025-03-19,469,90天以上,高
134,2026-07-01,22,134,896563.12,896563.12,0.0,2025-04-27,0,1-30天,低
135,2026-07-01,22,135,334178.74,334178.74,0.0,2025-04-03,0,1-30天,低
136,2026-07-01,72,136,427369.28,427369.28,0.0,2025-02-28,0,1-30天,低
137,2026-07-01,66,137,811438.76,649151.01,162287.75,2025-01-22,525,90天以上,高
138,2026-07-01,16,138,635425.44,635425.44,0.0,2025-03-11,0,1-30天,低
139,2026-07-01,5,139,157491.52,157491.52,0.0,2025-04-29,0,1-30天,低
140,2026-07-01,44,140,332233.12,265786.5,66446.62,2025-01-23,524,90天以上,高
141,2026-07-01,26,141,1187179.02,1187179.02,0.0,2025-01-11,0,1-30天,低
142,2026-07-01,1,142,291844.12,291844.12,0.0,2025-03-01,0,1-30天,低
143,2026-07-01,21,143,569321.61,569321.61,0.0,2025-02-02,0,1-30天,低
144,2026-07-01,26,144,236104.91,236104.91,0.0,2025-03-29,0,1-30天,低
145,2026-07-01,76,145,845058.0,422529.0,422529.0,2025-04-03,454,90天以上,高
146,2026-07-01,4,146,199162.88,199162.88,0.0,2024-12-30,0,1-30天,低
147,2026-07-01,80,147,624120.27,624120.27,0.0,2025-03-05,0,1-30天,低
148,2026-07-01,74,148,941155.28,0.0,941155.28,2025-02-18,498,90天以上,高
149,2026-07-01,5,149,362540.24,362540.24,0.0,2025-05-02,0,1-30天,低
150,2026-07-01,57,150,186626.39,186626.39,0.0,2025-03-07,0,1-30天,低
151,2026-07-01,80,151,1029953.12,1029953.12,0.0,2025-03-27,0,1-30天,低
152,2026-07-01,46,152,1232497.5,1232497.5,0.0,2025-01-05,0,1-30天,低
153,2026-07-01,1,153,772607.16,0.0,772607.16,2025-01-03,544,90天以上,高
154,2026-07-01,38,154,903248.1,903248.1,0.0,2025-02-05,0,1-30天,低
155,2026-07-01,30,155,172361.04,172361.04,0.0,2025-04-14,0,1-30天,低
156,2026-07-01,62,156,257932.0,128966.0,128966.0,2025-03-03,485,90天以上,高
157,2026-07-01,79,157,664993.48,664993.48,0.0,2025-04-24,0,1-30天,低
158,2026-07-01,65,158,143997.72,143997.72,0.0,2025-03-13,0,1-30天,低
159,2026-07-01,28,159,167781.98,167781.98,0.0,2025-01-25,0,1-30天,低
160,2026-07-01,17,160,569952.72,569952.72,0.0,2025-03-15,0,1-30天,低
161,2026-07-01,58,161,331706.28,331706.28,0.0,2025-04-18,0,1-30天,低
162,2026-07-01,55,162,569546.34,455637.07,113909.27,2025-02-15,501,90天以上,高
163,2026-07-01,35,163,698069.49,698069.49,0.0,2025-05-20,0,1-30天,低
164,2026-07-01,24,164,186633.04,186633.04,0.0,2025-03-10,0,1-30天,低
165,2026-07-01,15,165,172954.75,0.0,172954.75,2025-03-24,464,90天以上,高
166,2026-07-01,17,166,194025.64,194025.64,0.0,2025-02-11,0,1-30天,低
167,2026-07-01,73,167,306262.75,306262.75,0.0,2025-01-22,0,1-30天,低
168,2026-07-01,23,168,539739.84,539739.84,0.0,2025-04-16,0,1-30天,低
169,2026-07-01,15,169,934229.58,934229.58,0.0,2025-04-10,0,1-30天,低
170,2026-07-01,56,170,1058377.68,1058377.68,0.0,2025-04-10,0,1-30天,低
171,2026-07-01,79,171,940133.16,940133.16,0.0,2025-03-25,0,1-30天,低
172,2026-07-01,59,172,363102.34,363102.34,0.0,2025-04-17,0,1-30天,低
173,2026-07-01,58,173,444390.44,355512.35,88878.09,2025-03-21,467,90天以上,高
174,2026-07-01,4,174,697995.4,0.0,697995.4,2025-01-04,543,90天以上,高
175,2026-07-01,6,175,647061.44,647061.44,0.0,2025-03-17,0,1-30天,低
176,2026-07-01,28,176,1074800.95,0.0,1074800.95,2025-03-01,487,90天以上,高
177,2026-07-01,47,177,230770.16,230770.16,0.0,2025-03-26,0,1-30天,低
178,2026-07-01,80,178,499710.2,499710.2,0.0,2025-05-16,0,1-30天,低
179,2026-07-01,5,179,873489.84,698791.87,174697.97,2025-03-09,479,90天以上,高
180,2026-07-01,33,180,735063.2,735063.2,0.0,2025-03-17,0,1-30天,低
181,2026-07-01,49,181,1088652.1,0.0,1088652.1,2025-03-10,478,90天以上,高
182,2026-07-01,78,182,996396.35,996396.35,0.0,2025-03-16,0,1-30天,低
183,2026-07-01,1,183,724170.26,362085.13,362085.13,2025-04-04,453,90天以上,高
184,2026-07-01,66,184,512816.25,512816.25,0.0,2025-03-08,0,1-30天,低
185,2026-07-01,61,185,148098.87,118479.1,29619.77,2025-02-18,498,90天以上,高
186,2026-07-01,9,186,729706.35,729706.35,0.0,2025-02-15,0,1-30天,低
187,2026-07-01,40,187,1002352.35,1002352.35,0.0,2025-03-04,0,1-30天,低
188,2026-07-01,23,188,299814.54,239851.63,59962.91,2025-04-24,433,90天以上,高
189,2026-07-01,54,189,161190.1,161190.1,0.0,2025-05-07,0,1-30天,低
190,2026-07-01,53,190,653139.64,653139.64,0.0,2025-01-25,0,1-30天,低
191,2026-07-01,33,191,696405.35,348202.68,348202.67,2025-02-28,488,90天以上,高
192,2026-07-01,59,192,212551.66,212551.66,0.0,2025-04-20,0,1-30天,低
193,2026-07-01,46,193,534643.1,534643.1,0.0,2025-02-01,0,1-30天,低
194,2026-07-01,29,194,622919.46,622919.46,0.0,2025-01-30,0,1-30天,低
195,2026-07-01,64,195,1354274.68,1354274.68,0.0,2025-01-26,0,1-30天,低
196,2026-07-01,50,196,900827.1,0.0,900827.1,2025-04-09,448,90天以上,高
197,2026-07-01,4,197,676188.42,676188.42,0.0,2025-03-31,0,1-30天,低
198,2026-07-01,20,198,1551655.95,1551655.95,0.0,2025-02-06,0,1-30天,低
199,2026-07-01,25,199,646255.29,646255.29,0.0,2025-03-25,0,1-30天,低
200,2026-07-01,58,200,896041.3,896041.3,0.0,2025-03-02,0,1-30天,低
201,2026-07-01,25,201,950624.96,760499.97,190124.99,2025-01-28,519,90天以上,高
202,2026-07-01,46,202,517765.28,517765.28,0.0,2025-03-28,0,1-30天,低
203,2026-07-01,35,203,265077.22,265077.22,0.0,2025-05-31,0,1-30天,低
204,2026-07-01,7,204,595950.96,595950.96,0.0,2025-05-30,0,1-30天,低
205,2026-07-01,15,205,290520.24,290520.24,0.0,2025-03-14,0,1-30天,低
206,2026-07-01,36,206,799279.7,0.0,799279.7,2025-02-10,506,90天以上,高
207,2026-07-01,54,207,282328.18,282328.18,0.0,2025-03-30,0,1-30天,低
208,2026-07-01,35,208,175951.72,175951.72,0.0,2025-05-15,0,1-30天,低
209,2026-07-01,37,209,336871.56,0.0,336871.56,2025-03-06,482,90天以上,高
210,2026-07-01,23,210,303382.19,303382.19,0.0,2025-05-10,0,1-30天,低
211,2026-07-01,58,211,551115.58,551115.58,0.0,2025-02-26,0,1-30天,低
212,2026-07-01,48,212,207733.88,207733.88,0.0,2025-04-10,0,1-30天,低
213,2026-07-01,52,213,638436.56,638436.56,0.0,2025-04-26,0,1-30天,低
214,2026-07-01,59,214,1123406.24,898724.99,224681.25,2025-03-19,469,90天以上,高
215,2026-07-01,11,215,539758.32,539758.32,0.0,2025-01-30,0,1-30天,低
216,2026-07-01,75,216,467034.02,0.0,467034.02,2025-03-22,466,90天以上,高
217,2026-07-01,52,217,244704.3,244704.3,0.0,2025-04-20,0,1-30天,低
218,2026-07-01,72,218,208070.01,208070.01,0.0,2025-02-13,0,1-30天,低
219,2026-07-01,31,219,465850.58,232925.29,232925.29,2025-05-29,398,90天以上,高
220,2026-07-01,15,220,501226.76,501226.76,0.0,2025-05-21,0,1-30天,低
221,2026-07-01,20,221,186174.35,0.0,186174.35,2025-03-09,479,90天以上,高
222,2026-07-01,80,222,1438276.4,1438276.4,0.0,2025-04-28,0,1-30天,低
223,2026-07-01,21,223,734899.14,734899.14,0.0,2025-01-29,0,1-30天,低
224,2026-07-01,32,224,611171.8,0.0,611171.8,2025-06-02,394,90天以上,高
225,2026-07-01,38,225,961998.56,961998.56,0.0,2025-03-25,0,1-30天,低
226,2026-07-01,45,226,118129.37,118129.37,0.0,2025-03-17,0,1-30天,低
227,2026-07-01,75,227,265999.05,265999.05,0.0,2025-02-23,0,1-30天,低
228,2026-07-01,44,228,1294919.95,1294919.95,0.0,2025-01-28,0,1-30天,低
229,2026-07-01,76,229,926982.96,926982.96,0.0,2025-04-09,0,1-30天,低
230,2026-07-01,47,230,179980.94,89990.47,89990.47,2025-04-03,454,90天以上,高
231,2026-07-01,9,231,771241.83,771241.83,0.0,2025-02-09,0,1-30天,低
232,2026-07-01,80,232,276804.66,0.0,276804.66,2025-05-08,419,90天以上,高
233,2026-07-01,59,233,498444.42,498444.42,0.0,2025-05-04,0,1-30天,低
234,2026-07-01,13,234,1005340.68,1005340.68,0.0,2025-03-23,0,1-30天,低
235,2026-07-01,69,235,209241.48,209241.48,0.0,2025-03-30,0,1-30天,低
236,2026-07-01,41,236,793094.72,396547.36,396547.36,2025-03-10,478,90天以上,高
237,2026-07-01,20,237,957009.35,0.0,957009.35,2025-02-21,495,90天以上,高
238,2026-07-01,43,238,341594.1,341594.1,0.0,2025-02-11,0,1-30天,低
239,2026-07-01,37,239,1524916.4,762458.2,762458.2,2025-04-07,450,90天以上,高
240,2026-07-01,43,240,796515.24,796515.24,0.0,2025-03-19,0,1-30天,低
241,2026-07-01,13,241,503572.48,503572.48,0.0,2025-04-07,0,1-30天,低
242,2026-07-01,57,242,575445.7,575445.7,0.0,2025-05-19,0,1-30天,低
243,2026-07-01,55,243,395668.9,395668.9,0.0,2025-02-27,0,1-30天,低
244,2026-07-01,30,244,216018.7,216018.7,0.0,2025-04-11,0,1-30天,低
245,2026-07-01,58,245,222626.62,111313.31,111313.31,2025-04-07,450,90天以上,高
246,2026-07-01,51,246,188963.8,188963.8,0.0,2025-04-03,0,1-30天,低
247,2026-07-01,61,247,930263.22,930263.22,0.0,2025-03-19,0,1-30天,低
248,2026-07-01,64,248,398766.91,0.0,398766.91,2025-04-11,446,90天以上,高
249,2026-07-01,23,249,345654.66,276523.73,69130.93,2025-06-07,389,90天以上,高
250,2026-07-01,21,250,305797.52,305797.52,0.0,2025-03-29,0,1-30天,低
251,2026-07-01,57,251,770499.69,770499.69,0.0,2025-04-19,0,1-30天,低
252,2026-07-01,9,252,508914.84,508914.84,0.0,2025-04-11,0,1-30天,低
253,2026-07-01,36,253,1028208.45,514104.23,514104.22,2025-04-22,435,90天以上,高
254,2026-07-01,34,254,950000.68,760000.54,190000.14,2025-02-21,495,90天以上,高
255,2026-07-01,74,255,506227.83,506227.83,0.0,2025-03-30,0,1-30天,低
256,2026-07-01,69,256,938062.28,938062.28,0.0,2025-03-06,0,1-30天,低
257,2026-07-01,47,257,165519.31,82759.66,82759.65,2025-03-23,465,90天以上,高
258,2026-07-01,67,258,1521860.45,1521860.45,0.0,2025-05-25,0,1-30天,低
259,2026-07-01,6,259,524890.62,0.0,524890.62,2025-04-02,455,90天以上,高
260,2026-07-01,64,260,1434908.45,1434908.45,0.0,2025-04-12,0,1-30天,低
261,2026-07-01,78,261,159069.88,159069.88,0.0,2025-03-15,0,1-30天,低
262,2026-07-01,45,262,1258422.92,1006738.34,251684.58,2025-04-05,452,90天以上,高
263,2026-07-01,23,263,497948.61,248974.31,248974.3,2025-04-19,438,90天以上,高
264,2026-07-01,25,264,422141.5,211070.75,211070.75,2025-02-23,493,90天以上,高
265,2026-07-01,16,265,771585.76,385792.88,385792.88,2025-04-19,438,90天以上,高
266,2026-07-01,2,266,176716.59,176716.59,0.0,2025-02-14,0,1-30天,低
267,2026-07-01,49,267,565454.92,565454.92,0.0,2025-05-06,0,1-30天,低
268,2026-07-01,16,268,253872.03,126936.02,126936.01,2025-04-04,453,90天以上,高
269,2026-07-01,64,269,382410.36,382410.36,0.0,2025-03-29,0,1-30天,低
270,2026-07-01,45,270,276747.02,276747.02,0.0,2025-06-20,0,1-30天,低
271,2026-07-01,64,271,1086881.45,1086881.45,0.0,2025-04-04,0,1-30天,低
272,2026-07-01,57,272,134753.88,134753.88,0.0,2025-03-30,0,1-30天,低
273,2026-07-01,55,273,343475.53,343475.53,0.0,2025-04-20,0,1-30天,低
274,2026-07-01,66,274,706327.48,706327.48,0.0,2025-05-05,0,1-30天,低
275,2026-07-01,7,275,589251.44,589251.44,0.0,2025-06-17,0,1-30天,低
276,2026-07-01,62,276,456406.08,456406.08,0.0,2025-04-21,0,1-30天,低
277,2026-07-01,23,277,160457.88,160457.88,0.0,2025-05-01,0,1-30天,低
278,2026-07-01,19,278,387304.38,387304.38,0.0,2025-04-13,0,1-30天,低
279,2026-07-01,18,279,1459570.52,1459570.52,0.0,2025-03-18,0,1-30天,低
280,2026-07-01,49,280,980730.68,980730.68,0.0,2025-05-26,0,1-30天,低
281,2026-07-01,44,281,211590.32,211590.32,0.0,2025-04-06,0,1-30天,低
282,2026-07-01,7,282,400056.54,400056.54,0.0,2025-05-25,0,1-30天,低
283,2026-07-01,7,283,312491.42,156245.71,156245.71,2025-04-17,440,90天以上,高
284,2026-07-01,55,284,514579.34,514579.34,0.0,2025-04-06,0,1-30天,低
285,2026-07-01,43,285,248252.6,248252.6,0.0,2025-03-30,0,1-30天,低
286,2026-07-01,50,286,164436.61,164436.61,0.0,2025-03-11,0,1-30天,低
287,2026-07-01,18,287,263043.72,263043.72,0.0,2025-04-11,0,1-30天,低
288,2026-07-01,50,288,910465.85,910465.85,0.0,2025-05-02,0,1-30天,低
289,2026-07-01,22,289,201827.66,100913.83,100913.83,2025-04-14,443,90天以上,高
290,2026-07-01,72,290,894831.6,715865.28,178966.32,2025-04-22,435,90天以上,高
291,2026-07-01,32,291,609459.28,487567.42,121891.86,2025-05-29,398,90天以上,高
292,2026-07-01,8,292,621875.49,621875.49,0.0,2025-03-29,0,1-30天,低
293,2026-07-01,61,293,185823.39,0.0,185823.39,2025-04-17,440,90天以上,高
294,2026-07-01,17,294,395010.94,316008.75,79002.19,2025-04-17,440,90天以上,高
295,2026-07-01,13,295,432103.1,345682.48,86420.62,2025-05-26,401,90天以上,高
296,2026-07-01,17,296,201868.1,201868.1,0.0,2025-04-26,0,1-30天,低
297,2026-07-01,78,297,735505.08,735505.08,0.0,2025-03-24,0,1-30天,低
298,2026-07-01,66,298,1279481.25,1279481.25,0.0,2025-03-07,0,1-30天,低
299,2026-07-01,79,299,243160.62,121580.31,121580.31,2025-04-17,440,90天以上,高
300,2026-07-01,69,300,164145.31,131316.25,32829.06,2025-04-09,448,90天以上,高
301,2026-07-01,50,301,211164.19,211164.19,0.0,2025-04-19,0,1-30天,低
302,2026-07-01,12,302,242327.44,242327.44,0.0,2025-04-15,0,1-30天,低
303,2026-07-01,62,303,834596.3,417298.15,417298.15,2025-03-23,465,90天以上,高
304,2026-07-01,35,304,279618.68,279618.68,0.0,2025-05-22,0,1-30天,低
305,2026-07-01,64,305,656516.96,656516.96,0.0,2025-04-27,0,1-30天,低
306,2026-07-01,80,306,429253.46,429253.46,0.0,2025-04-17,0,1-30天,低
307,2026-07-01,22,307,427700.04,427700.04,0.0,2025-04-28,0,1-30天,低
308,2026-07-01,71,308,935563.08,467781.54,467781.54,2025-05-15,412,90天以上,高
309,2026-07-01,54,309,402881.56,0.0,402881.56,2025-04-22,435,90天以上,高
310,2026-07-01,37,310,511537.72,0.0,511537.72,2025-03-17,471,90天以上,高
311,2026-07-01,77,311,196623.5,98311.75,98311.75,2025-05-21,406,90天以上,高
312,2026-07-01,43,312,1037826.69,1037826.69,0.0,2025-04-09,0,1-30天,低
313,2026-07-01,62,313,1288257.35,1288257.35,0.0,2025-03-22,0,1-30天,低
314,2026-07-01,6,314,195522.7,195522.7,0.0,2025-06-16,0,1-30天,低
315,2026-07-01,17,315,978257.92,782606.34,195651.58,2025-05-19,408,90天以上,高
316,2026-07-01,67,316,1446437.92,1446437.92,0.0,2025-07-06,0,1-30天,低
317,2026-07-01,53,317,605931.84,605931.84,0.0,2025-05-28,0,1-30天,低
318,2026-07-01,24,318,263296.99,263296.99,0.0,2025-05-20,0,1-30天,低
319,2026-07-01,36,319,413324.44,413324.44,0.0,2025-04-14,0,1-30天,低
