receipt_line_id,receipt_id,purchase_order_line_id,material_id,received_qty,accepted_qty,rejected_qty
79,79,84,59,651.0574,634.777,0
80,80,85,102,22,21,0
81,81,86,90,845.6287,833.2282,0
82,82,87,117,140,137,0
83,83,88,104,143,138,0
84,84,89,69,128,126,0
85,85,90,82,833.2183,820.4703,0
86,86,91,27,55.0868,54.1336,0
87,87,92,9,63,61,0
88,88,93,66,286.1572,279.7499,0
89,89,94,108,322.2042,318.2616,0
90,90,95,82,897.7994,889.1481,0
91,91,96,88,22,21,0
92,92,97,13,149,146,0
93,93,98,84,611.3148,595.3998,0
94,94,99,18,961.2536,952.5062,0
95,95,100,44,327.2351,325.1952,0
96,96,101,62,132,128,0
97,97,102,49,19,18,0
98,98,103,114,1127.8782,1118.9259,0
99,99,104,60,901.9492,897.5626,0
100,100,105,23,38,36,0
101,101,106,23,64,63,0
102,102,107,80,116,111,0
103,103,108,99,81.5579,79.2052,0
104,104,109,16,132,126,0
105,105,110,48,113,111,0
106,106,111,82,122.1474,118.2621,0
107,107,112,28,497.7549,486.5576,0
108,108,113,39,103,99,0
109,109,114,75,34.1019,32.9591,0
110,110,115,2,493.2542,487.5697,0
111,111,116,75,726.3101,723.4273,0
112,112,117,46,54,53,0
113,113,118,21,117,115,0
114,114,119,117,122,120,0
115,115,120,80,88,85,0
116,116,121,93,17,16,0
117,117,122,92,374.8357,370.13,0
118,118,123,120,140,134,0
119,119,125,89,11,10,0
120,120,126,53,49,47,0
121,121,127,34,519.6168,499.5425,0
122,122,128,16,85,83,0
123,123,129,65,90,87,0
124,124,130,38,144,142,0
125,125,131,32,96,92,0
126,126,132,22,89,85,0
127,127,133,107,491.0405,480.2045,0
128,128,134,92,379.7625,366.0322,0
129,129,135,24,8,7,0
130,130,136,21,51,50,0
131,131,137,48,62,60,0
132,132,138,79,71,69,0
133,133,139,23,28,27,0
134,134,140,14,75,73,0
135,135,141,120,86,83,0
136,136,142,33,155,149,0
137,137,143,28,984.6854,964.1927,0
138,138,144,54,107,106,0
139,139,145,69,6,5,0
140,140,146,29,42,41,0
141,141,147,7,19,18,0
142,142,148,10,49.1427,47.2272,0
143,143,149,43,56.3811,55.1507,0
144,144,150,96,132,130,0
145,145,151,103,96,94,0
146,146,152,48,13,12,0
147,147,153,101,67,64,0
148,148,154,27,205.9721,198.7654,0
149,149,155,86,16,15,0
150,150,156,95,59,58,0
151,151,157,23,128,124,0
152,152,158,76,608.1085,597.8241,0
153,153,159,68,759.5361,739.6695,0
154,154,160,6,148,147,0
155,155,161,85,61,59,0
156,156,162,46,71,70,0
157,157,163,54,11,10,0
158,158,164,108,219.4494,213.6921,0
159,159,165,73,146,142,0
160,160,166,78,115,111,0
161,161,167,15,115,112,0
162,162,168,109,115,113,0
163,163,169,66,61.4662,59.996,0
164,164,170,24,110,107,0
165,165,171,46,116,113,0
166,166,172,60,72.088,69.7046,0
167,167,173,86,35,34,0
168,168,174,107,913.2246,908.7182,0
169,169,175,117,71,70,0
170,170,176,15,85,82,0
171,171,177,7,56,55,0
172,172,178,57,28,27,0
173,173,179,13,95,94,0
174,174,180,100,124.7974,122.4548,0
175,175,181,2,716.4013,714.7793,0
176,176,182,87,87,86,0
177,177,183,105,89,85,0
178,178,184,86,13,12,0
179,179,185,86,71,69,0
180,180,186,43,469.7202,465.799,0
181,181,187,18,976.2827,953.5044,0
182,182,188,120,109,107,0
183,183,189,14,31,30,0
184,184,190,48,12,11,0
185,185,191,40,28,27,0
186,186,192,6,9,8,0
187,187,193,61,137,136,0
188,188,194,82,904.6417,874.3697,0
189,189,195,50,1096.8477,1070.9193,0
190,190,196,117,135,133,0
191,191,197,8,26,25,0
192,192,199,14,30,29,0
193,193,200,47,96,95,0
194,194,201,96,9,8,0
195,195,202,85,138,133,0
196,196,203,109,39,37,0
197,197,204,21,122,120,0
198,198,205,91,637.2742,613.1777,0
199,199,206,102,121,117,0
200,200,207,83,216.3647,211.8692,0
201,201,208,110,8,7,0
202,202,209,91,313.5724,312.569,0
203,203,210,91,509.0165,503.3221,0
204,204,211,52,1005.5746,967.9827,0
205,205,212,22,79,77,0
206,206,213,31,81,78,0
207,207,214,64,104,103,0
208,208,215,111,35,34,0
209,209,216,23,8,7,0
210,210,217,66,663.8621,660.8578,0
211,211,218,75,1178.1294,1169.1082,0
212,212,219,59,922.3452,901.2978,0
213,213,220,75,254.5845,251.5019,0
214,214,221,79,26,25,0
215,215,222,22,39,37,0
216,216,223,63,94,91,0
217,217,224,42,759.5156,758.0909,0
218,218,225,5,101,100,0
219,219,226,33,103,99,0
220,220,227,45,131,126,0
221,221,228,64,150,147,0
222,222,229,47,24,23,0
223,223,230,26,467.7295,455.0214,0
224,224,231,95,83,81,0
225,225,233,95,135,132,0
226,226,234,43,366.7706,352.5073,0
227,227,235,78,11,10,0
228,228,236,80,11,10,0
229,229,237,38,48,47,0
230,230,238,110,38,36,0
231,231,239,95,33,32,0
232,232,240,16,152,147,0
233,233,241,76,975.0244,972.1027,0
234,234,242,72,66,63,0
235,235,243,120,59,57,0
236,236,244,83,676.1502,669.6456,0
237,237,245,34,1170.0822,1130.1898,0
238,238,246,55,22,21,0
239,239,247,81,95,92,0
240,240,248,68,204.0838,199.4458,0
241,241,249,115,56.5305,54.8867,0
242,242,250,80,62,61,0
243,243,251,67,553.5559,540.5465,0
244,244,252,73,21,20,0
245,245,253,119,58,57,0
246,246,254,58,997.7819,985.6624,0
247,247,255,97,128,125,0
248,248,256,108,327.5929,320.9103,0
249,249,257,23,41,40,0
250,250,258,81,151,149,0
251,251,259,117,12,11,0
252,252,260,101,99,96,0
253,253,261,8,126,123,0
254,254,262,77,77,75,0
255,255,263,1,138.5384,136.6349,0
256,256,264,79,70,69,0
257,257,265,16,103,102,0
258,258,266,80,34,33,0
259,259,267,79,33,31,0
260,260,268,26,273.8171,273.0654,0
261,261,269,106,59.9022,59.2393,0
262,262,270,33,159,155,0
263,263,271,73,157,156,0
264,264,272,68,524.6402,508.8855,0
265,265,273,70,125,121,0
266,266,274,107,1004.5942,1000.2498,0
267,267,275,46,44,43,0
268,268,276,69,131,130,0
269,269,277,40,13,12,0
270,270,278,49,98,97,0
271,271,279,56,27,26,0
272,272,280,11,955.2675,944.6065,0
273,273,281,113,76,75,0
274,274,282,113,150,144,0
275,275,283,55,56,55,0
276,276,284,65,36,35,0
277,277,285,41,109,108,0
278,278,286,70,15,14,0
279,279,287,40,121,120,0
280,280,288,16,141,139,0
281,281,289,96,131,128,0
282,282,290,24,13,12,0
283,283,291,116,156.4729,151.4495,0
284,284,292,8,133,127,0
285,285,293,1,812.728,787.7805,0
286,286,294,71,139,137,0
287,287,295,28,627.5181,612.4111,0
288,288,296,65,72,71,0
289,289,297,5,140,135,0
290,290,298,74,1104.2083,1103.913,0
291,291,299,82,1061.1749,1059.3214,0
292,292,300,59,146.6911,145.8568,0
293,293,301,79,65,64,0
294,294,302,89,85,83,0
295,295,303,60,946.1336,922.5535,0
296,296,304,51,624.4437,608.2808,0
297,297,305,27,1149.1341,1106.0627,0
298,298,306,105,123,119,0
299,299,307,97,114,109,0
300,300,308,89,96,94,0
301,301,309,96,33,32,0
302,302,310,108,957.9412,920.9228,0
303,303,311,69,17,16,0
304,304,312,107,538.4144,535.251,0
305,305,313,11,324.701,319.5196,0
306,306,314,114,840.0361,812.0024,0
307,307,315,94,101,98,0
308,308,316,1,848.587,839.7897,0
309,309,317,20,820.1856,795.4716,0
310,310,318,65,83,80,0
311,311,319,86,26,25,0
312,312,320,3,134.4916,131.5385,0
313,313,321,113,37,35,0
314,314,322,97,61,58,0
315,315,323,48,135,131,0
316,316,324,64,84,81,0
317,317,325,119,47,46,0
318,318,326,104,108,104,0
319,319,327,94,112,110,0
320,320,328,57,27,26,0
321,321,329,57,76,74,0
322,322,330,105,75,74,0
323,323,331,55,61,59,0
324,324,332,38,103,100,0
325,325,333,19,980.7865,976.1879,0
326,326,334,93,7,6,0
327,327,335,114,228.8674,228.4867,0
328,328,336,16,127,125,0
329,329,337,47,42,40,0
330,330,338,14,104,101,0
331,331,339,1,1073.3076,1046.8015,0
332,332,340,16,144,140,0
333,333,341,75,635.6417,620.4372,0
334,334,342,65,11,10,0
335,335,343,110,148,144,0
336,336,344,74,637.0052,613.473,0
337,337,345,112,79,77,0
338,338,346,80,77,76,0
339,339,347,3,1177.8829,1156.7823,0
340,340,348,106,935.8585,919.6998,0
341,341,349,18,231.4713,229.9033,0
342,342,350,111,51,49,0
343,343,351,91,915.9424,890.399,0
344,344,352,105,107,104,0
345,345,354,13,95,94,0
346,346,355,46,111,106,0
347,347,356,46,78,77,0
348,348,357,116,60.2879,59.2961,0
349,349,358,91,1022.1781,1000.9659,0
350,350,359,36,756.0517,730.4086,0
351,351,360,94,28,27,0
352,352,361,44,376.3252,362.3855,0
353,353,362,47,147,143,0
354,354,363,39,138,132,0
355,355,364,20,1025.1286,1005.2499,0
356,356,365,82,723.2285,703.8202,0
357,357,366,15,140,138,0
358,358,367,67,894.1892,872.4145,0
359,359,368,40,33,32,0
360,360,369,58,149.536,144.679,0
361,361,370,15,153,149,0
362,362,371,54,70,69,0
363,363,372,45,93,92,0
364,364,373,45,45,44,0
365,365,374,87,42,40,0
366,366,375,87,15,14,0
367,367,376,64,129,127,0
368,368,377,77,85,83,0
369,369,378,39,160,159,0
370,370,379,35,657.1088,654.8319,0
371,371,380,110,61,58,0
372,372,381,106,812.5686,785.7048,0
373,373,382,11,718.4463,703.4273,0
374,374,383,6,151,148,0
375,375,384,104,59,57,0
376,376,385,60,157.9667,157.1255,0
377,377,386,82,541.2601,533.5464,0
378,378,387,10,618.8318,609.3376,0
379,379,388,106,985.7837,948.349,0
380,380,389,81,38,36,0
381,381,390,64,44,43,0
382,382,391,3,848.4512,827.764,0
383,383,392,13,104,103,0
384,384,393,77,24,23,0
385,385,394,4,1027.6812,987.719,0
386,386,395,110,122,118,0
387,387,396,65,20,19,0
388,388,397,51,1117.3829,1088.7849,0
389,389,398,23,109,105,0
390,390,399,52,755.97,740.0988,0
391,391,400,91,1027.544,1012.7104,0
392,392,401,49,63,62,0
393,393,402,94,158,156,0
394,394,403,31,148,144,0
395,395,404,52,82.8414,81.3426,0
396,396,405,45,29,28,0
397,397,406,103,70,69,0
398,398,407,24,105,103,0
399,399,408,90,667.0051,662.9544,0
400,400,409,91,656.7958,638.9896,0
401,401,410,59,354.0949,343.6249,0
402,402,411,83,1046.5962,1018.188,0
403,403,412,105,113,110,0
404,404,413,68,892.3023,886.0483,0
405,405,414,120,127,124,0
406,406,415,20,144.7074,141.1803,0
407,407,416,39,39,38,0
408,408,417,107,735.7399,724.8699,0
409,409,418,70,79,77,0
410,410,419,8,82,80,0
411,411,420,65,33,32,0
412,412,421,45,7,6,0
413,413,422,10,722.0128,705.0029,0
414,414,423,16,112,110,0
415,415,424,64,76,74,0
416,416,425,49,67,66,0
417,417,426,97,85,84,0
418,418,427,70,83,82,0
419,419,428,13,68,66,0
420,420,429,61,136,133,0
421,421,430,119,6,5,0
422,422,431,65,8,7,0
423,423,432,84,460.7636,444.2077,0
424,424,433,49,23,22,0
425,425,434,39,78,77,0
426,426,435,74,510.0888,509.8867,0
427,427,436,86,106,103,0
428,428,437,48,87,85,0
429,429,438,104,120,115,0
430,430,439,106,92.739,91.2365,0
431,431,440,19,135.6672,132.4532,0
432,432,441,96,33,32,0
433,433,442,26,514.108,505.6407,0
434,434,443,77,151,147,0
435,435,444,109,131,130,0
436,436,445,69,10,9,0
437,437,446,3,832.3203,805.3337,0
438,438,447,118,94,91,0
439,439,448,14,133,128,0
440,440,450,49,119,114,0
441,441,451,120,111,106,0
442,442,452,3,465.3477,458.1595,0
443,443,453,6,72,69,0
444,444,454,37,151,147,0
445,445,455,86,22,21,0
446,446,456,11,896.0572,886.2782,0
447,447,457,80,74,72,0
448,448,458,1,610.2835,597.1549,0
449,449,459,52,542.828,530.2706,0
450,450,460,5,128,124,0
451,451,461,9,127,122,0
452,452,462,57,49,47,0
453,453,463,10,98.6618,97.8723,0
454,454,464,77,27,26,0
455,455,465,5,156,154,0
456,456,466,79,77,75,0
457,457,467,107,741.3836,717.3609,0
458,458,468,87,78,76,0
459,459,469,18,183.6221,181.0886,0
460,460,470,1,900.6587,899.9051,0
461,461,471,86,150,148,0
462,462,472,86,92,88,0
463,463,473,79,106,103,0
464,464,474,69,94,93,0
465,465,475,59,1133.6905,1115.933,0
466,466,476,83,111.5631,108.1709,0
467,467,477,42,1084.1011,1073.6207,0
468,468,478,103,25,24,0
469,469,479,84,411.0689,411.0451,0
470,470,480,120,11,10,0
471,471,481,51,83.8679,82.5387,0
472,472,482,35,1068.1122,1066.5396,0
473,473,483,43,754.0532,749.213,0
474,474,484,8,98,96,0
475,475,485,45,81,78,0
476,476,486,113,84,81,0
477,477,487,89,51,50,0
478,478,488,82,119.2124,115.002,0
479,479,489,13,141,135,0
480,480,490,19,819.55,790.0838,0
481,481,491,79,104,102,0
482,482,492,3,413.1647,406.9562,0
483,483,493,23,34,33,0
484,484,494,22,14,13,0
485,485,495,63,74,72,0
486,486,496,119,148,143,0
487,487,497,83,209.5238,202.7737,0
488,488,498,25,64,62,0
489,489,499,42,1156.3685,1153.9191,0
490,490,500,44,170.6577,167.3616,0
491,491,501,77,32,31,0
492,492,502,112,64,63,0
493,493,504,56,121,119,0
494,494,505,65,87,86,0
495,495,506,115,971.4962,944.5787,0
496,496,507,96,152,151,0
497,497,508,40,157,152,0
498,498,509,52,702.989,690.3961,0
499,499,510,23,63,61,0
500,500,511,80,48,46,0
501,501,512,42,394.6746,380.8803,0
502,502,513,64,46,44,0
503,503,514,41,47,45,0
504,504,515,84,306.9546,303.9782,0
505,505,516,18,383.677,379.4614,0
506,506,517,36,393.4045,388.6147,0
507,507,518,45,26,25,0
508,508,519,18,903.6823,902.7221,0
509,509,520,109,91,87,0
510,510,522,66,586.7917,576.1136,0
511,511,523,87,62,60,0
512,512,524,49,82,79,0
513,513,525,14,79,76,0
514,514,526,50,865.532,833.0189,0
515,515,527,9,6,5,0
516,516,528,105,56,55,0
517,517,529,7,24,23,0
518,518,530,70,45,44,0
519,519,531,47,79,78,0
520,520,532,5,29,28,0
521,521,533,54,126,125,0
522,522,534,3,419.3796,407.7995,0
523,523,535,100,1179.2638,1170.9962,0
524,524,536,20,239.8909,239.4053,0
525,525,537,36,1188.2027,1153.1334,0
526,526,538,98,365.0665,353.8577,0
527,527,539,20,837.2815,834.7453,0
528,528,540,78,38,37,0
529,529,541,90,1083.3123,1067.9781,0
530,530,542,83,1101.2755,1090.2723,0
531,531,543,49,136,134,0
532,532,544,108,1016.7995,1004.0132,0
533,533,545,63,132,131,0
534,534,546,20,339.4158,329.0954,0
535,535,547,56,146,144,0
536,536,548,54,94,92,0
537,537,549,54,40,38,0
538,538,550,108,727.9299,702.8889,0
539,539,551,75,1046.3594,1027.8921,0
540,540,552,26,679.0652,659.9431,0
541,541,553,120,44,43,0
542,542,554,80,49,47,0
543,543,555,64,103,98,0
544,544,556,1,1025.7734,1016.1605,0
545,545,557,89,9,8,0
546,546,558,46,7,6,0
547,547,559,43,199.114,192.025,0
548,548,560,44,1037.9195,1030.2807,0
549,549,561,72,68,65,0
550,550,562,80,76,75,0
551,551,563,14,117,114,0
552,552,564,55,135,132,0
553,553,565,99,689.3919,679.965,0
554,554,566,62,27,26,0
555,555,567,96,103,102,0
556,556,569,63,44,42,0
557,557,570,115,750.5449,749.8119,0
558,558,571,9,77,75,0
559,559,572,23,92,90,0
560,560,573,98,928.0467,892.6242,0
561,561,574,75,651.4833,632.743,0
562,562,575,82,813.4705,793.2005,0
563,563,576,33,122,119,0
564,564,577,77,48,47,0
565,565,578,52,945.5077,936.1268,0
566,566,579,48,99,98,0
567,567,580,114,99.2646,96.0279,0
568,568,581,106,63.2907,60.7624,0
569,569,582,31,95,93,0
570,570,583,97,122,120,0
571,571,584,18,1022.8791,992.8358,0
572,572,585,47,38,37,0
573,573,586,97,129,126,0
574,574,587,71,158,156,0
575,575,588,42,978.2407,960.3007,0
576,576,589,7,68,66,0
577,577,590,24,83,81,0
578,578,591,61,43,42,0
579,579,592,24,160,159,0
580,580,593,90,641.8513,635.9164,0
581,581,594,32,7,6,0
582,582,595,101,7,6,0
583,583,596,73,153,151,0
584,584,598,36,736.4008,718.6895,0
585,585,599,116,798.2932,795.2261,0
586,586,600,7,6,5,0
587,587,601,83,469.1062,462.4988,0
588,588,602,60,692.6771,682.0417,0
589,589,603,98,560.1731,550.8439,0
590,590,604,53,37,36,0
591,591,605,63,131,126,0
592,592,607,87,8,7,0
593,593,608,80,49,47,0
594,594,609,42,240.4431,233.6986,0
595,595,610,116,423.436,411.0735,0
596,596,611,74,919.9804,914.208,0
597,597,612,66,263.0025,259.509,0
598,598,613,86,104,101,0
599,599,614,98,632.634,607.3294,0
600,600,615,40,17,16,0
601,601,616,58,276.8928,268.5679,0
602,602,617,44,155.7568,151.4206,0
603,603,618,56,75,73,0
604,604,619,60,985.5597,948.7454,0
605,605,620,64,28,27,0
606,606,621,14,140,137,0
607,607,622,1,217.5392,215.0989,0
608,608,623,83,800.6919,771.2339,0
609,609,624,84,1150.5291,1110.7987,0
610,610,625,40,42,40,0
611,611,626,73,110,106,0
612,612,627,91,1007.3912,999.2737,0
613,613,628,67,915.9333,902.3947,0
614,614,629,92,664.3418,656.2109,0
615,615,630,56,45,43,0
616,616,631,95,101,100,0
617,617,632,4,513.2901,496.5504,0
618,618,633,27,623.6541,617.286,0
619,619,634,95,29,28,0
620,620,635,57,33,32,0
621,621,636,104,76,74,0
622,622,637,70,126,125,0
623,623,638,52,768.3138,747.4678,0
624,624,639,32,26,25,0
625,625,640,21,67,65,0
626,626,641,74,1180.7831,1175.2096,0
627,627,643,26,926.4954,893.4607,0
628,628,644,66,682.8478,665.5576,0
629,629,645,24,136,133,0
630,630,646,75,844.3513,842.9755,0
631,631,647,1,478.8789,465.0516,0
632,632,648,113,144,143,0
633,633,649,109,77,74,0
634,634,650,30,92,90,0
635,635,651,38,151,145,0
636,636,652,68,495.8345,491.7393,0
637,637,653,110,158,154,0
638,638,654,103,93,91,0
639,639,655,91,347.1319,343.869,0
640,640,656,48,88,87,0
641,641,657,12,850.7435,834.735,0
642,642,658,108,947.9711,913.6205,0
643,643,659,56,32,31,0
644,644,660,110,52,50,0
645,645,661,101,84,80,0
646,646,662,34,106.7676,105.8241,0
647,647,663,19,1153.3231,1115.5102,0
648,648,664,71,152,150,0
649,649,666,98,707.5572,699.9498,0
650,650,667,78,19,18,0
651,651,668,57,103,101,0
652,652,669,4,627.5248,621.0457,0
653,653,670,20,775.0893,754.0161,0
654,654,671,55,58,57,0
655,655,672,118,113,110,0
656,656,673,73,123,122,0
657,657,674,99,39.4376,38.3442,0
658,658,675,80,20,19,0
659,659,676,37,46,45,0
660,660,677,11,423.6722,419.0709,0
661,661,678,53,130,129,0
662,662,679,23,25,24,0
663,663,680,22,109,108,0
664,664,681,104,133,132,0
665,665,682,81,113,110,0
666,666,683,105,145,142,0
667,667,684,66,1199.7576,1189.9703,0
668,668,685,67,887.0985,853.018,0
669,669,686,79,107,106,0
670,670,687,103,95,94,0
671,671,688,100,778.358,751.3504,0
672,672,689,114,512.554,505.5972,0
673,673,690,60,860.6637,827.9196,0
674,674,691,7,26,25,0
675,675,692,9,100,98,0
676,676,694,114,851.6121,837.9774,0
677,677,695,18,670.1814,668.0538,0
678,678,696,28,943.4124,927.5177,0
679,679,697,18,965.8483,945.8202,0
680,680,698,38,10,9,0
681,681,699,3,1036.8333,1010.0246,0
682,682,700,17,56,55,0
683,683,701,23,15,14,0
684,684,702,65,149,143,0
685,685,703,116,738.9848,723.2737,0
686,686,704,95,125,124,0
687,687,705,109,157,155,0
688,688,706,42,1164.0631,1142.8714,0
689,689,707,59,830.9116,799.3067,0
690,690,708,53,44,43,0
691,691,709,91,155.6339,149.9977,0
692,692,710,63,67,66,0
693,693,711,70,79,78,0
694,694,712,56,143,142,0
695,695,713,18,487.7693,480.9487,0
696,696,714,28,406.1164,395.9024,0
697,697,715,100,446.437,430.2621,0
698,698,716,93,49,48,0
699,699,717,32,77,74,0
700,700,718,111,55,54,0
701,701,719,26,175.1952,171.5433,0
702,702,720,21,54,53,0
703,703,721,102,112,111,0
704,704,722,42,302.5216,301.6318,0
705,705,723,61,130,129,0
706,706,724,2,356.4042,356.2881,0
707,707,725,17,30,29,0
708,708,726,37,116,113,0
709,709,727,2,784.511,759.9162,0
710,710,728,5,29,28,0
711,711,729,54,134,128,0
712,712,730,31,21,20,0
713,713,731,49,16,15,0
714,714,732,86,67,65,0
715,715,733,118,65,63,0
716,716,734,20,420.5707,411.9562,0
717,717,735,89,29,28,0
718,718,736,45,53,52,0
719,719,737,36,958.9488,944.6283,0
720,720,738,40,60,57,0
721,721,739,6,142,141,0
722,722,740,50,1141.0947,1136.0622,0
723,723,741,53,116,115,0
724,724,742,8,80,78,0
725,725,743,119,21,20,0
726,726,744,38,129,128,0
727,727,745,3,524.8027,508.2061,0
728,728,746,22,57,56,0
729,729,748,72,49,47,0
730,730,749,48,151,147,0
731,731,750,73,75,73,0
732,732,751,14,129,124,0
733,733,752,107,47.0706,46.4643,0
734,734,753,28,751.172,725.0913,0
735,735,754,2,135.3548,133.1677,0
736,736,755,7,110,109,0
737,737,756,42,988.0489,970.824,0
738,738,757,58,250.8095,241.5318,0
739,739,758,15,52,51,0
740,740,759,35,860.0401,852.3371,0
741,741,760,75,264.6703,254.925,0
742,742,761,37,157,153,0
743,743,762,17,125,123,0
744,744,763,105,78,77,0
745,745,764,7,145,139,0
746,746,765,49,31,30,0
747,747,766,8,86,84,0
748,748,767,81,64,61,0
749,749,768,21,58,55,0
750,750,769,18,38.6945,37.9394,0
751,751,770,83,438.9394,423.3739,0
752,752,772,37,8,7,0
753,753,773,47,24,23,0
754,754,774,70,100,96,0
755,755,775,65,124,120,0
756,756,777,84,571.8634,549.4681,0
757,757,778,103,35,33,0
758,758,779,20,430.6771,421.1663,0
759,759,780,3,844.8943,829.2306,0
760,760,781,16,16,15,0
761,761,782,3,567.7659,567.0408,0
762,762,783,10,138.4845,133.1501,0
763,763,784,13,121,117,0
764,764,785,100,502.8082,486.5753,0
765,765,786,51,354.3079,346.2841,0
766,766,787,107,145.1818,142.4293,0
767,767,788,82,1088.7827,1071.5826,0
768,768,789,26,100.0647,98.6299,0
769,769,790,30,141,138,0
770,770,791,72,107,103,0
771,771,792,74,982.885,966.5769,0
772,772,793,113,65,62,0
773,773,794,89,17,16,0
774,774,795,46,27,26,0
775,775,796,35,902.2323,871.5161,0
776,776,797,51,959.9268,956.9775,0
777,777,798,23,71,70,0
778,778,799,19,304.337,299.7937,0
779,779,800,100,138.415,135.9478,0
780,780,801,112,68,67,0
781,781,802,25,79,77,0
782,782,803,28,146.1653,140.7669,0
783,783,804,115,784.7909,768.0094,0
784,784,805,44,460.9799,447.2799,0
785,785,806,36,346.5231,341.938,0
786,786,807,93,135,131,0
787,787,808,66,897.8981,870.0074,0
788,788,809,58,804.4486,783.5686,0
789,789,810,18,1161.7776,1142.3417,0
790,790,811,100,244.2702,236.1942,0
791,791,813,35,1068.4879,1057.6283,0
792,792,814,116,711.0639,686.0276,0
793,793,815,7,75,73,0
794,794,816,23,86,82,0
795,795,817,96,49,48,0
796,796,819,102,109,108,0
797,797,820,46,139,138,0
798,798,821,89,87,84,0
799,799,822,54,86,83,0
800,800,823,115,824.9895,812.6722,0
801,801,824,61,29,27,0
802,802,825,90,646.0756,643.1415,0
803,803,826,76,126.7338,122.4687,0
804,804,827,52,850.7726,843.4594,0
805,805,828,65,112,110,0
806,806,829,95,101,98,0
807,807,830,86,143,141,0
808,808,831,45,86,82,0
809,809,832,62,127,122,0
810,810,833,118,112,107,0
811,811,834,60,839.1333,823.6343,0
812,812,835,2,87.8103,85.4273,0
813,813,836,38,18,17,0
814,814,837,59,367.7508,358.0731,0
815,815,838,9,84,81,0
816,816,839,13,152,150,0
817,817,840,75,660.5699,652.9749,0
818,818,841,65,159,152,0
819,819,842,43,328.3696,322.4756,0
820,820,843,88,131,128,0
821,821,844,117,75,74,0
822,822,845,106,386.2906,383.6781,0
823,823,846,23,139,133,0
824,824,847,89,74,72,0
825,825,848,2,805.9428,776.3068,0
826,826,849,103,150,146,0
827,827,850,10,716.9353,706.2965,0
828,828,851,29,115,110,0
829,829,852,86,36,35,0
830,830,853,29,62,61,0
831,831,854,53,29,28,0
832,832,855,110,28,27,0
833,833,856,50,1091.796,1083.4365,0
834,834,857,100,865.8431,833.5138,0
835,835,858,6,68,66,0
836,836,859,72,108,104,0
837,837,860,72,115,110,0
838,838,861,111,97,94,0
839,839,862,86,52,50,0
840,840,863,56,123,121,0
841,841,864,75,83.2823,83.2022,0
842,842,865,27,921.5171,910.718,0
843,843,866,68,377.9713,365.1403,0
844,844,867,112,146,141,0
845,845,868,11,521.1615,507.8738,0
846,846,869,75,350.4595,341.6164,0
847,847,871,107,777.4255,749.3136,0
848,848,872,51,1053.7589,1053.2768,0
849,849,873,74,678.9262,672.6958,0
850,850,874,47,11,10,0
851,851,875,45,72,71,0
