task_id,risk_event_id,task_code,task_title,owner_employee_id,due_date,status,priority
28,28,任务-000028,处理销售-001899风险,32,2026-08-06,待处理,中
29,29,任务-000029,处理销售-001730风险,24,2026-08-06,待处理,高
30,30,任务-000030,处理销售-001900风险,32,2026-08-06,待处理,中
31,31,任务-000031,处理销售-001735风险,32,2026-08-06,待处理,中
32,32,任务-000032,处理销售-001977风险,24,2026-08-06,待处理,高
33,33,任务-000033,处理销售-001956风险,24,2026-08-06,待处理,中
34,34,任务-000034,处理销售-001778风险,24,2026-08-06,待处理,中
35,35,任务-000035,处理销售-001848风险,32,2026-08-06,待处理,中
36,36,任务-000036,处理销售-001779风险,24,2026-08-06,待处理,中
37,37,任务-000037,处理销售-001916风险,24,2026-08-06,待处理,中
38,38,任务-000038,处理销售-001745风险,24,2026-08-06,待处理,中
39,39,任务-000039,处理销售-001911风险,24,2026-08-06,待处理,中
40,40,任务-000040,处理销售-001828风险,24,2026-08-06,待处理,中
41,41,任务-000041,处理销售-001910风险,24,2026-08-06,待处理,高
42,42,任务-000042,处理销售-001877风险,32,2026-08-06,待处理,中
43,43,任务-000043,处理销售-001754风险,32,2026-08-06,待处理,中
44,44,任务-000044,处理销售-001954风险,24,2026-08-06,待处理,高
45,45,任务-000045,处理销售-001940风险,24,2026-08-06,待处理,高
46,46,任务-000046,处理销售-001981风险,24,2026-08-06,待处理,高
47,47,任务-000047,处理销售-001948风险,24,2026-08-06,待处理,中
48,48,任务-000048,处理销售-001768风险,24,2026-08-06,待处理,高
49,49,任务-000049,处理销售-001889风险,24,2026-08-06,待处理,高
50,50,任务-000050,处理销售-001865风险,24,2026-08-06,待处理,中
51,51,任务-000051,处理销售-001869风险,24,2026-08-06,待处理,高
52,52,任务-000052,处理销售-001854风险,24,2026-08-06,待处理,中
53,53,任务-000053,处理销售-001805风险,24,2026-08-06,待处理,高
54,54,任务-000054,处理销售-001861风险,24,2026-08-06,待处理,中
55,55,任务-000055,处理销售-001972风险,24,2026-08-06,待处理,高
56,56,任务-000056,处理销售-001749风险,24,2026-08-06,待处理,中
57,57,任务-000057,处理销售-001949风险,24,2026-08-06,待处理,高
58,58,任务-000058,处理销售-001898风险,24,2026-08-06,待处理,中
59,59,任务-000059,处理销售-001820风险,24,2026-08-06,待处理,高
60,60,任务-000060,处理销售-001993风险,24,2026-08-06,待处理,中
61,61,任务-000061,处理销售-001874风险,24,2026-08-06,待处理,高
62,62,任务-000062,处理销售-001852风险,32,2026-08-06,待处理,中
63,63,任务-000063,处理销售-001894风险,24,2026-08-06,待处理,中
64,64,任务-000064,处理销售-001700风险,24,2026-08-06,待处理,高
65,65,任务-000065,处理销售-001872风险,32,2026-08-06,待处理,中
66,66,任务-000066,处理销售-001918风险,24,2026-08-06,待处理,高
67,67,任务-000067,处理销售-001791风险,32,2026-08-06,待处理,中
68,68,任务-000068,处理销售-001830风险,24,2026-08-06,待处理,高
69,69,任务-000069,处理销售-001901风险,32,2026-08-06,待处理,中
70,70,任务-000070,处理销售-001841风险,24,2026-08-06,待处理,中
71,71,任务-000071,处理销售-001812风险,24,2026-08-06,待处理,中
72,72,任务-000072,处理销售-001855风险,32,2026-08-06,待处理,中
73,73,任务-000073,处理销售-001960风险,24,2026-08-06,待处理,中
74,74,任务-000074,处理销售-001938风险,32,2026-08-06,待处理,中
75,75,任务-000075,处理销售-001847风险,24,2026-08-06,待处理,高
76,76,任务-000076,处理销售-001897风险,32,2026-08-06,待处理,中
77,77,任务-000077,处理销售-001942风险,32,2026-08-06,待处理,中
78,78,任务-000078,处理销售-001863风险,24,2026-08-06,待处理,中
79,79,任务-000079,处理销售-001922风险,32,2026-08-06,待处理,中
80,80,任务-000080,处理销售-001955风险,32,2026-08-06,待处理,中
81,81,任务-000081,处理销售-001752风险,24,2026-08-06,待处理,中
82,82,任务-000082,处理销售-001926风险,32,2026-08-06,待处理,中
83,83,任务-000083,处理销售-001984风险,24,2026-08-06,待处理,高
84,84,任务-000084,处理销售-001882风险,24,2026-08-06,待处理,高
85,85,任务-000085,处理销售-001708风险,32,2026-08-06,待处理,中
86,86,任务-000086,处理销售-001697风险,24,2026-08-06,待处理,高
87,87,任务-000087,处理销售-001969风险,32,2026-08-06,待处理,中
88,88,任务-000088,处理销售-001815风险,24,2026-08-06,待处理,高
89,89,任务-000089,处理销售-001853风险,32,2026-08-06,待处理,中
90,90,任务-000090,处理销售-001933风险,24,2026-08-06,待处理,高
91,91,任务-000091,处理销售-001912风险,24,2026-08-06,待处理,中
92,92,任务-000092,处理销售-001883风险,24,2026-08-06,待处理,中
93,93,任务-000093,处理销售-001881风险,32,2026-08-06,待处理,中
94,94,任务-000094,处理销售-001919风险,24,2026-08-06,待处理,高
95,95,任务-000095,处理销售-001978风险,24,2026-08-06,待处理,高
96,96,任务-000096,处理销售-001931风险,24,2026-08-06,待处理,中
97,97,任务-000097,处理销售-001701风险,32,2026-08-06,待处理,中
98,98,任务-000098,处理销售-001810风险,24,2026-08-06,待处理,中
99,99,任务-000099,处理销售-001849风险,24,2026-08-06,待处理,中
100,100,任务-000100,处理销售-001923风险,24,2026-08-06,待处理,高
101,101,任务-000101,处理销售-001806风险,24,2026-08-06,待处理,中
102,102,任务-000102,处理销售-001939风险,32,2026-08-06,待处理,中
103,103,任务-000103,处理销售-001921风险,24,2026-08-06,待处理,高
104,104,任务-000104,处理销售-001802风险,24,2026-08-06,待处理,高
105,105,任务-000105,处理销售-001756风险,24,2026-08-06,待处理,高
106,106,任务-000106,处理销售-001818风险,24,2026-08-06,待处理,中
107,107,任务-000107,处理销售-001997风险,24,2026-08-06,待处理,高
108,108,任务-000108,处理销售-001777风险,24,2026-08-06,待处理,高
109,109,任务-000109,处理销售-001800风险,24,2026-08-06,待处理,高
110,110,任务-000110,处理销售-001996风险,32,2026-08-06,待处理,中
111,111,任务-000111,处理销售-001866风险,24,2026-08-06,待处理,高
112,112,任务-000112,处理销售-001936风险,24,2026-08-06,待处理,高
113,113,任务-000113,处理销售-001832风险,24,2026-08-06,待处理,中
114,114,任务-000114,处理销售-001968风险,24,2026-08-06,待处理,高
115,115,任务-000115,处理销售-001947风险,24,2026-08-06,待处理,中
116,116,任务-000116,处理销售-001879风险,24,2026-08-06,待处理,中
117,117,任务-000117,处理销售-001875风险,24,2026-08-06,待处理,高
118,118,任务-000118,处理销售-001995风险,24,2026-08-06,待处理,高
119,119,任务-000119,处理销售-001721风险,24,2026-08-06,待处理,高
120,120,任务-000120,处理销售-001691风险,24,2026-08-06,待处理,中
121,121,任务-000121,处理销售-001991风险,24,2026-08-06,待处理,高
122,122,任务-000122,处理销售-001774风险,24,2026-08-06,待处理,中
123,123,任务-000123,处理销售-001858风险,24,2026-08-06,待处理,中
